Date,Temperature,State
1961-01-01 00:00:00,26.98,Andaman And Nicobar
1961-02-01 00:00:00,26.76,Andaman And Nicobar
1961-03-01 00:00:00,27.54,Andaman And Nicobar
1961-04-01 00:00:00,28.7,Andaman And Nicobar
1961-05-01 00:00:00,28.14,Andaman And Nicobar
1961-06-01 00:00:00,27.8,Andaman And Nicobar
1961-07-01 00:00:00,27.73,Andaman And Nicobar
1961-08-01 00:00:00,27.63,Andaman And Nicobar
1961-09-01 00:00:00,27.01,Andaman And Nicobar
1961-10-01 00:00:00,26.81,Andaman And Nicobar
1961-11-01 00:00:00,27.54,Andaman And Nicobar
1961-12-01 00:00:00,26.78,Andaman And Nicobar
1962-01-01 00:00:00,26.45,Andaman And Nicobar
1962-02-01 00:00:00,26.5,Andaman And Nicobar
1962-03-01 00:00:00,27.35,Andaman And Nicobar
1962-04-01 00:00:00,28.76,Andaman And Nicobar
1962-05-01 00:00:00,28.85,Andaman And Nicobar
1962-06-01 00:00:00,28.07,Andaman And Nicobar
1962-07-01 00:00:00,27.92,Andaman And Nicobar
1962-08-01 00:00:00,27.6,Andaman And Nicobar
1962-09-01 00:00:00,27.35,Andaman And Nicobar
1962-10-01 00:00:00,27.5,Andaman And Nicobar
1962-11-01 00:00:00,27.45,Andaman And Nicobar
1962-12-01 00:00:00,26.9,Andaman And Nicobar
1963-01-01 00:00:00,26.35,Andaman And Nicobar
1963-02-01 00:00:00,26.65,Andaman And Nicobar
1963-03-01 00:00:00,27.47,Andaman And Nicobar
1963-04-01 00:00:00,28.35,Andaman And Nicobar
1963-05-01 00:00:00,29.26,Andaman And Nicobar
1963-06-01 00:00:00,28.03,Andaman And Nicobar
1963-07-01 00:00:00,27.86,Andaman And Nicobar
1963-08-01 00:00:00,27.59,Andaman And Nicobar
1963-09-01 00:00:00,27.34,Andaman And Nicobar
1963-10-01 00:00:00,27.02,Andaman And Nicobar
1963-11-01 00:00:00,27.68,Andaman And Nicobar
1963-12-01 00:00:00,26.86,Andaman And Nicobar
1964-01-01 00:00:00,26.69,Andaman And Nicobar
1964-02-01 00:00:00,27.36,Andaman And Nicobar
1964-03-01 00:00:00,27.81,Andaman And Nicobar
1964-04-01 00:00:00,29.0,Andaman And Nicobar
1964-05-01 00:00:00,28.27,Andaman And Nicobar
1964-06-01 00:00:00,27.75,Andaman And Nicobar
1964-07-01 00:00:00,27.82,Andaman And Nicobar
1964-08-01 00:00:00,27.54,Andaman And Nicobar
1964-09-01 00:00:00,27.18,Andaman And Nicobar
1964-10-01 00:00:00,27.06,Andaman And Nicobar
1964-11-01 00:00:00,26.96,Andaman And Nicobar
1964-12-01 00:00:00,26.56,Andaman And Nicobar
1965-01-01 00:00:00,25.85,Andaman And Nicobar
1965-02-01 00:00:00,26.78,Andaman And Nicobar
1965-03-01 00:00:00,27.06,Andaman And Nicobar
1965-04-01 00:00:00,28.17,Andaman And Nicobar
1965-05-01 00:00:00,28.41,Andaman And Nicobar
1965-06-01 00:00:00,27.89,Andaman And Nicobar
1965-07-01 00:00:00,27.81,Andaman And Nicobar
1965-08-01 00:00:00,27.48,Andaman And Nicobar
1965-09-01 00:00:00,27.14,Andaman And Nicobar
1965-10-01 00:00:00,27.12,Andaman And Nicobar
1965-11-01 00:00:00,27.49,Andaman And Nicobar
1965-12-01 00:00:00,27.42,Andaman And Nicobar
1966-01-01 00:00:00,27.05,Andaman And Nicobar
1966-02-01 00:00:00,27.25,Andaman And Nicobar
1966-03-01 00:00:00,27.62,Andaman And Nicobar
1966-04-01 00:00:00,28.6,Andaman And Nicobar
1966-05-01 00:00:00,28.73,Andaman And Nicobar
1966-06-01 00:00:00,28.19,Andaman And Nicobar
1966-07-01 00:00:00,27.8,Andaman And Nicobar
1966-08-01 00:00:00,27.92,Andaman And Nicobar
1966-09-01 00:00:00,27.47,Andaman And Nicobar
1966-10-01 00:00:00,27.18,Andaman And Nicobar
1966-11-01 00:00:00,27.62,Andaman And Nicobar
1966-12-01 00:00:00,27.15,Andaman And Nicobar
1967-01-01 00:00:00,26.83,Andaman And Nicobar
1967-02-01 00:00:00,26.67,Andaman And Nicobar
1967-03-01 00:00:00,27.33,Andaman And Nicobar
1967-04-01 00:00:00,28.51,Andaman And Nicobar
1967-05-01 00:00:00,28.51,Andaman And Nicobar
1967-06-01 00:00:00,28.22,Andaman And Nicobar
1967-07-01 00:00:00,27.77,Andaman And Nicobar
1967-08-01 00:00:00,27.48,Andaman And Nicobar
1967-09-01 00:00:00,27.36,Andaman And Nicobar
1967-10-01 00:00:00,26.92,Andaman And Nicobar
1967-11-01 00:00:00,27.56,Andaman And Nicobar
1967-12-01 00:00:00,27.06,Andaman And Nicobar
1968-01-01 00:00:00,26.48,Andaman And Nicobar
1968-02-01 00:00:00,26.52,Andaman And Nicobar
1968-03-01 00:00:00,27.97,Andaman And Nicobar
1968-04-01 00:00:00,28.56,Andaman And Nicobar
1968-05-01 00:00:00,28.55,Andaman And Nicobar
1968-06-01 00:00:00,27.98,Andaman And Nicobar
1968-07-01 00:00:00,27.81,Andaman And Nicobar
1968-08-01 00:00:00,28.08,Andaman And Nicobar
1968-09-01 00:00:00,27.47,Andaman And Nicobar
1968-10-01 00:00:00,27.4,Andaman And Nicobar
1968-11-01 00:00:00,27.87,Andaman And Nicobar
1968-12-01 00:00:00,27.46,Andaman And Nicobar
1969-01-01 00:00:00,26.59,Andaman And Nicobar
1969-02-01 00:00:00,26.44,Andaman And Nicobar
1969-03-01 00:00:00,28.08,Andaman And Nicobar
1969-04-01 00:00:00,29.4,Andaman And Nicobar
1969-05-01 00:00:00,28.97,Andaman And Nicobar
1969-06-01 00:00:00,28.24,Andaman And Nicobar
1969-07-01 00:00:00,28.0,Andaman And Nicobar
1969-08-01 00:00:00,27.83,Andaman And Nicobar
1969-09-01 00:00:00,27.53,Andaman And Nicobar
1969-10-01 00:00:00,27.54,Andaman And Nicobar
1969-11-01 00:00:00,27.24,Andaman And Nicobar
1969-12-01 00:00:00,27.32,Andaman And Nicobar
1970-01-01 00:00:00,27.03,Andaman And Nicobar
1970-02-01 00:00:00,27.4,Andaman And Nicobar
1970-03-01 00:00:00,28.16,Andaman And Nicobar
1970-04-01 00:00:00,29.09,Andaman And Nicobar
1970-05-01 00:00:00,28.62,Andaman And Nicobar
1970-06-01 00:00:00,28.27,Andaman And Nicobar
1970-07-01 00:00:00,27.71,Andaman And Nicobar
1970-08-01 00:00:00,27.66,Andaman And Nicobar
1970-09-01 00:00:00,27.47,Andaman And Nicobar
1970-10-01 00:00:00,26.94,Andaman And Nicobar
1970-11-01 00:00:00,27.08,Andaman And Nicobar
1970-12-01 00:00:00,26.6,Andaman And Nicobar
1971-01-01 00:00:00,26.5,Andaman And Nicobar
1971-02-01 00:00:00,26.35,Andaman And Nicobar
1971-03-01 00:00:00,27.27,Andaman And Nicobar
1971-04-01 00:00:00,28.41,Andaman And Nicobar
1971-05-01 00:00:00,28.37,Andaman And Nicobar
1971-06-01 00:00:00,27.72,Andaman And Nicobar
1971-07-01 00:00:00,27.52,Andaman And Nicobar
1971-08-01 00:00:00,27.39,Andaman And Nicobar
1971-09-01 00:00:00,27.38,Andaman And Nicobar
1971-10-01 00:00:00,26.8,Andaman And Nicobar
1971-11-01 00:00:00,26.67,Andaman And Nicobar
1971-12-01 00:00:00,27.01,Andaman And Nicobar
1972-01-01 00:00:00,26.15,Andaman And Nicobar
1972-02-01 00:00:00,26.48,Andaman And Nicobar
1972-03-01 00:00:00,27.34,Andaman And Nicobar
1972-04-01 00:00:00,28.05,Andaman And Nicobar
1972-05-01 00:00:00,28.3,Andaman And Nicobar
1972-06-01 00:00:00,27.98,Andaman And Nicobar
1972-07-01 00:00:00,27.88,Andaman And Nicobar
1972-08-01 00:00:00,27.72,Andaman And Nicobar
