YEAR,TEMPERATURE,CO2,RAINFALL
01-01-1961 00:00,23.71,10.19011329,3.2
01-02-1961 00:00,25.34,10.19011329,11.28
01-03-1961 00:00,29.7,10.19011329,1.74
01-04-1961 00:00,31.78,10.19011329,7.72
01-05-1961 00:00,32.31,10.19011329,43.88
01-06-1961 00:00,29.65,10.19011329,123.08
01-07-1961 00:00,27.34,10.19011329,232.28
01-08-1961 00:00,27.57,10.19011329,168.14
01-09-1961 00:00,27.23,10.19011329,115.76
01-10-1961 00:00,26.25,10.19011329,188.38
01-11-1961 00:00,23.79,10.19011329,45.42
01-12-1961 00:00,21.92,10.19011329,2.18
01-01-1962 00:00,21.85,11.21110184,1.58
01-02-1962 00:00,25.03,11.21110184,13.38
01-03-1962 00:00,28.35,11.21110184,3.18
01-04-1962 00:00,30.66,11.21110184,43.64
01-05-1962 00:00,31.98,11.21110184,53.04
01-06-1962 00:00,30.29,11.21110184,79.7
01-07-1962 00:00,27.98,11.21110184,170.62
01-08-1962 00:00,27.49,11.21110184,188.3
01-09-1962 00:00,27.29,11.21110184,229.74
01-10-1962 00:00,26.31,11.21110184,189.08
01-11-1962 00:00,24,11.21110184,36.36
01-12-1962 00:00,22.33,11.21110184,42.44
01-01-1963 00:00,22.14,12.04067294,2.84
01-02-1963 00:00,24.74,12.04067294,0.24
01-03-1963 00:00,28.45,12.04067294,7.04
01-04-1963 00:00,29.92,12.04067294,39.48
01-05-1963 00:00,32.36,12.04067294,18.86
01-06-1963 00:00,29.89,12.04067294,128.16
01-07-1963 00:00,28.15,12.04067294,146.4
01-08-1963 00:00,27.19,12.04067294,243.58
01-09-1963 00:00,27.92,12.04067294,105.94
01-10-1963 00:00,26.69,12.04067294,174.7
01-11-1963 00:00,24.84,12.04067294,13.22
01-12-1963 00:00,22.86,12.04067294,12
01-01-1964 00:00,23.4,11.77217273,0.14
01-02-1964 00:00,26.12,11.77217273,2.32
01-03-1964 00:00,29.52,11.77217273,2.42
01-04-1964 00:00,31.89,11.77217273,2.84
01-05-1964 00:00,33.39,11.77217273,11.78
01-06-1964 00:00,30.47,11.77217273,89.66
01-07-1964 00:00,28,11.77217273,193.9
01-08-1964 00:00,26.89,11.77217273,173.96
01-09-1964 00:00,27.02,11.77217273,281.76
01-10-1964 00:00,26.83,11.77217273,52.32
01-11-1964 00:00,23.79,11.77217273,67.16
01-12-1964 00:00,22.05,11.77217273,5.58
01-01-1965 00:00,23.09,12.96967795,1.6
01-02-1965 00:00,25.39,12.96967795,0.8
01-03-1965 00:00,28.28,12.96967795,5.38
01-04-1965 00:00,30.36,12.96967795,25.88
01-05-1965 00:00,32.33,12.96967795,14.66
01-06-1965 00:00,30.8,12.96967795,79
01-07-1965 00:00,27.84,12.96967795,192.14
01-08-1965 00:00,27.64,12.96967795,159.9
01-09-1965 00:00,27.72,12.96967795,151.86
01-10-1965 00:00,27.27,12.96967795,17.58
01-11-1965 00:00,24.91,12.96967795,29.88
01-12-1965 00:00,23.49,12.96967795,22.18
01-01-1966 00:00,23.36,13.42243179,18.38
01-02-1966 00:00,26.01,13.42243179,0.32
01-03-1966 00:00,29.2,13.42243179,2.04
01-04-1966 00:00,31.47,13.42243179,8.76
01-05-1966 00:00,33.08,13.42243179,23.72
01-06-1966 00:00,30.71,13.42243179,86.1
01-07-1966 00:00,28.59,13.42243179,204.94
01-08-1966 00:00,28.08,13.42243179,170.94
01-09-1966 00:00,27.56,13.42243179,185.06
01-10-1966 00:00,26.68,13.42243179,66.78
01-11-1966 00:00,25.28,13.42243179,142.44
01-12-1966 00:00,22.34,13.42243179,31.5
01-01-1967 00:00,23.13,13.45939713,9.46
01-02-1967 00:00,25.47,13.45939713,0.02
01-03-1967 00:00,27.92,13.45939713,53.32
01-04-1967 00:00,31.11,13.45939713,10.04
01-05-1967 00:00,32.97,13.45939713,24.98
01-06-1967 00:00,30.81,13.45939713,116.62
01-07-1967 00:00,27.6,13.45939713,228.36
01-08-1967 00:00,27.24,13.45939713,117.96
01-09-1967 00:00,27.38,13.45939713,140.42
01-10-1967 00:00,26.21,13.45939713,47.94
01-11-1967 00:00,23.93,13.45939713,18.28
01-12-1967 00:00,23.52,13.45939713,73.2
01-01-1968 00:00,22.42,14.63913607,8.9
01-02-1968 00:00,25.63,14.63913607,9.4
01-03-1968 00:00,28.14,14.63913607,21.08
01-04-1968 00:00,30.14,14.63913607,30.22
01-05-1968 00:00,32.36,14.63913607,17.04
01-06-1968 00:00,30.76,14.63913607,67.28
01-07-1968 00:00,28.13,14.63913607,140.64
01-08-1968 00:00,28.07,14.63913607,35.46
01-09-1968 00:00,27.66,14.63913607,185.68
01-10-1968 00:00,26.09,14.63913607,118
01-11-1968 00:00,24.28,14.63913607,55.38
01-12-1968 00:00,22.82,14.63913607,27.72
01-01-1969 00:00,23.11,14.90391109,0.92
01-02-1969 00:00,26.37,14.90391109,0.08
01-03-1969 00:00,29.87,14.90391109,1.46
01-04-1969 00:00,32.06,14.90391109,6.96
01-05-1969 00:00,32.15,14.90391109,95.96
01-06-1969 00:00,30.95,14.90391109,90.78
01-07-1969 00:00,27.75,14.90391109,191.92
01-08-1969 00:00,27.7,14.90391109,145.16
01-09-1969 00:00,27.29,14.90391109,155.78
01-10-1969 00:00,26.43,14.90391109,167.28
01-11-1969 00:00,25.09,14.90391109,109.7
01-12-1969 00:00,22.19,14.90391109,45.7
01-01-1970 00:00,23.26,15.24920753,2.98
01-02-1970 00:00,26.13,15.24920753,7.9
01-03-1970 00:00,29.32,15.24920753,7.42
01-04-1970 00:00,31.34,15.24920753,17.66
01-05-1970 00:00,32.73,15.24920753,68
01-06-1970 00:00,29.08,15.24920753,140.08
01-07-1970 00:00,27.92,15.24920753,133.74
01-08-1970 00:00,26.93,15.24920753,267.54
01-09-1970 00:00,27.4,15.24920753,149.58
01-10-1970 00:00,26.41,15.24920753,90.54
01-11-1970 00:00,23.67,15.24920753,25.8
01-12-1970 00:00,20.86,15.24920753,0.2
01-01-1971 00:00,22.96,16.08737522,4.56
01-02-1971 00:00,25.87,16.08737522,10.2
01-03-1971 00:00,28.01,16.08737522,13.06
01-04-1971 00:00,30.86,16.08737522,34.66
01-05-1971 00:00,31.63,16.08737522,53.62
01-06-1971 00:00,28.61,16.08737522,87.36
01-07-1971 00:00,28.21,16.08737522,89.8
01-08-1971 00:00,27.61,16.08737522,138.18
01-09-1971 00:00,27.74,16.08737522,119.56
01-10-1971 00:00,26.2,16.08737522,169.76
01-11-1971 00:00,23.15,16.08737522,16.52
01-12-1971 00:00,21.28,16.08737522,9.52
01-01-1972 00:00,22.04,17.02354406,1.28
01-02-1972 00:00,25.19,17.02354406,12.62
01-03-1972 00:00,28.85,17.02354406,0.04
01-04-1972 00:00,31.42,17.02354406,17.02
01-05-1972 00:00,33.02,17.02354406,44.7
01-06-1972 00:00,32.17,17.02354406,134.46
01-07-1972 00:00,28.8,17.02354406,110.14
01-08-1972 00:00,28.44,17.02354406,64.68
01-09-1972 00:00,28.5,17.02354406,119.44
01-10-1972 00:00,26.81,17.02354406,178
01-11-1972 00:00,24.64,17.02354406,80.56
01-12-1972 00:00,23.75,17.02354406,41.5
01-01-1973 00:00,24.24,17.53102953,0
01-02-1973 00:00,26.8,17.53102953,0.08
01-03-1973 00:00,29.53,17.53102953,3.12
01-04-1973 00:00,32.8,17.53102953,3.02
01-05-1973 00:00,34.05,17.53102953,23.68
01-06-1973 00:00,30.72,17.53102953,79.3
01-07-1973 00:00,28.26,17.53102953,159.64
01-08-1973 00:00,27.25,17.53102953,242.56
01-09-1973 00:00,27.9,17.53102953,116.66
01-10-1973 00:00,26.44,17.53102953,201.58
01-11-1973 00:00,23.85,17.53102953,20.5
01-12-1973 00:00,22.28,17.53102953,14.38
01-01-1974 00:00,22.59,18.12877921,0.02
01-02-1974 00:00,25.75,18.12877921,0.3
01-03-1974 00:00,29.32,18.12877921,2.96
01-04-1974 00:00,31.92,18.12877921,8.5
01-05-1974 00:00,31.94,18.12877921,44.82
01-06-1974 00:00,30.44,18.12877921,95.44
01-07-1974 00:00,28.62,18.12877921,108.3
01-08-1974 00:00,27.72,18.12877921,122.72
01-09-1974 00:00,27.69,18.12877921,170.74
01-10-1974 00:00,26.43,18.12877921,237.12
01-11-1974 00:00,23.74,18.12877921,21.46
01-12-1974 00:00,21.64,18.12877921,0
01-01-1975 00:00,22.1,19.70797311,5.52
01-02-1975 00:00,25.79,19.70797311,6.34
01-03-1975 00:00,28.96,19.70797311,5.1
