AREA,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Andhra Pradesh,1961,3.2,11.28,1.74,7.72,43.88,123.08,232.28,168.14,115.76,188.38,45.42,2.18
Andhra Pradesh,1962,1.58,13.38,3.18,43.64,53.04,79.7,170.62,188.3,229.74,189.08,36.36,42.44
Andhra Pradesh,1963,2.84,0.24,7.04,39.48,18.86,128.16,146.4,243.58,105.94,174.7,13.22,12.0
Andhra Pradesh,1964,0.14,2.32,2.42,2.84,11.78,89.66,193.9,173.96,281.76,52.32,67.16,5.58
Andhra Pradesh,1965,1.6,0.8,5.38,25.88,14.66,79.0,192.14,159.9,151.86,17.58,29.88,22.18
Andhra Pradesh,1966,18.38,0.32,2.04,8.76,23.72,86.1,204.94,170.94,185.06,66.78,142.44,31.5
Andhra Pradesh,1967,9.46,0.02,53.32,10.04,24.98,116.62,228.36,117.96,140.42,47.94,18.28,73.2
Andhra Pradesh,1968,8.9,9.4,21.08,30.22,17.04,67.28,140.64,35.46,185.68,118.0,55.38,27.72
Andhra Pradesh,1969,0.92,0.08,1.46,6.96,95.96,90.78,191.92,145.16,155.78,167.28,109.7,45.7
Andhra Pradesh,1970,2.98,7.9,7.42,17.66,68.0,140.08,133.74,267.54,149.58,90.54,25.8,0.2
Andhra Pradesh,1971,4.56,10.2,13.06,34.66,53.62,87.36,89.8,138.18,119.56,169.76,16.52,9.52
Andhra Pradesh,1972,1.28,12.62,0.04,17.02,44.7,134.46,110.14,64.68,119.44,178.0,80.56,41.5
Andhra Pradesh,1973,0.0,0.08,3.12,3.02,23.68,79.3,159.64,242.56,116.66,201.58,20.5,14.38
Andhra Pradesh,1974,0.02,0.3,2.96,8.5,44.82,95.44,108.3,122.72,170.74,237.12,21.46,0.0
Andhra Pradesh,1975,5.52,6.34,5.1,3.24,34.14,114.06,209.36,173.26,247.64,280.32,60.2,2.18
Andhra Pradesh,1976,0.44,0.22,0.94,19.46,17.5,78.12,282.36,232.4,87.84,73.66,164.5,1.66
Andhra Pradesh,1977,0.46,0.16,2.08,24.7,65.56,100.9,166.14,187.44,71.34,131.4,142.7,3.68
Andhra Pradesh,1978,14.74,14.2,5.0,26.36,26.2,162.66,241.22,239.7,163.72,67.6,80.84,37.76
Andhra Pradesh,1979,5.32,22.92,0.5,10.88,83.14,99.98,110.9,103.7,188.76,41.32,150.56,10.94
Andhra Pradesh,1980,0.1,0.48,3.84,12.06,21.42,154.66,149.7,197.34,109.0,58.44,74.12,20.24
Andhra Pradesh,1981,10.48,0.02,24.96,11.88,44.22,119.38,167.54,200.06,250.88,91.62,18.96,17.5
Andhra Pradesh,1982,2.96,0.1,3.42,20.9,39.28,99.08,165.56,116.18,139.1,133.56,68.98,0.02
Andhra Pradesh,1983,0.02,5.54,3.16,5.2,48.44,114.84,202.22,296.74,312.12,170.74,16.28,40.04
Andhra Pradesh,1984,6.66,37.6,13.6,14.82,9.68,70.9,219.76,80.18,128.04,90.52,56.1,19.44
Andhra Pradesh,1985,17.9,0.08,3.9,12.36,14.5,114.42,182.96,131.3,74.64,141.28,62.6,26.26
Andhra Pradesh,1986,45.8,35.1,1.2,17.6,19.26,89.88,137.52,251.84,88.06,75.96,63.26,11.78
Andhra Pradesh,1987,12.34,0.44,16.92,10.34,34.26,91.12,141.46,183.12,79.92,162.24,143.24,39.12
Andhra Pradesh,1988,0.24,6.1,2.5,35.52,36.44,77.88,396.36,277.68,255.3,53.04,26.64,20.08
Andhra Pradesh,1989,0.02,0.02,33.32,3.1,17.94,141.22,326.4,168.82,162.8,38.54,33.48,22.2
Andhra Pradesh,1990,4.58,20.06,37.74,8.48,220.98,139.08,117.5,273.12,158.42,196.22,83.3,5.26
Andhra Pradesh,1991,17.2,2.3,7.36,22.74,31.62,195.94,168.5,116.32,133.42,117.9,129.04,8.74
Andhra Pradesh,1992,7.62,0.86,1.0,12.94,33.94,103.04,150.08,186.12,98.16,84.02,104.4,1.84
Andhra Pradesh,1993,2.4,5.44,15.28,15.08,45.82,64.96,193.76,127.9,160.58,148.68,56.46,46.58
Andhra Pradesh,1994,7.0,13.76,1.46,24.76,35.52,72.38,203.54,176.94,64.16,191.68,97.6,8.74
Andhra Pradesh,1995,56.22,2.62,16.32,14.52,120.36,97.92,220.34,199.06,119.76,251.36,33.06,2.94
Andhra Pradesh,1996,0.68,4.68,3.72,31.82,23.36,202.0,175.9,236.92,180.22,188.64,36.78,63.24
Andhra Pradesh,1997,18.66,2.04,18.78,43.32,28.04,76.3,110.2,119.7,213.7,93.4,87.22,59.42
Andhra Pradesh,1998,4.68,17.26,12.74,27.06,29.48,108.12,199.02,232.52,215.62,126.12,88.04,17.88
Andhra Pradesh,1999,0.34,6.3,2.08,7.32,72.3,104.96,133.16,142.64,123.86,93.14,34.46,4.8
Andhra Pradesh,2000,0.26,28.92,0.62,19.18,62.72,178.46,157.06,327.1,90.02,75.88,19.76,18.16
Andhra Pradesh,2001,7.4,0.76,15.2,53.02,22.96,106.6,102.16,179.18,163.6,234.44,39.24,16.06
Andhra Pradesh,2002,23.36,5.32,7.58,17.04,41.8,116.64,68.78,191.3,66.58,127.22,22.1,5.16
Andhra Pradesh,2003,1.24,8.68,27.34,15.48,7.24,88.8,246.58,184.82,117.28,161.34,9.9,26.18
Andhra Pradesh,2004,22.64,11.16,11.2,32.42,85.24,72.32,174.26,81.32,125.86,91.58,30.24,0.04
