Date,Temperature,State
1961-01-01 00:00:00,23.71,Andhra Pradesh
1961-02-01 00:00:00,25.34,Andhra Pradesh
1961-03-01 00:00:00,29.7,Andhra Pradesh
1961-04-01 00:00:00,31.78,Andhra Pradesh
1961-05-01 00:00:00,32.31,Andhra Pradesh
1961-06-01 00:00:00,29.65,Andhra Pradesh
1961-07-01 00:00:00,27.34,Andhra Pradesh
1961-08-01 00:00:00,27.57,Andhra Pradesh
1961-09-01 00:00:00,27.23,Andhra Pradesh
1961-10-01 00:00:00,26.25,Andhra Pradesh
1961-11-01 00:00:00,23.79,Andhra Pradesh
1961-12-01 00:00:00,21.92,Andhra Pradesh
1962-01-01 00:00:00,21.85,Andhra Pradesh
1962-02-01 00:00:00,25.03,Andhra Pradesh
1962-03-01 00:00:00,28.35,Andhra Pradesh
1962-04-01 00:00:00,30.66,Andhra Pradesh
1962-05-01 00:00:00,31.98,Andhra Pradesh
1962-06-01 00:00:00,30.29,Andhra Pradesh
1962-07-01 00:00:00,27.98,Andhra Pradesh
1962-08-01 00:00:00,27.49,Andhra Pradesh
1962-09-01 00:00:00,27.29,Andhra Pradesh
1962-10-01 00:00:00,26.31,Andhra Pradesh
1962-11-01 00:00:00,24.0,Andhra Pradesh
1962-12-01 00:00:00,22.33,Andhra Pradesh
1963-01-01 00:00:00,22.14,Andhra Pradesh
1963-02-01 00:00:00,24.74,Andhra Pradesh
1963-03-01 00:00:00,28.45,Andhra Pradesh
1963-04-01 00:00:00,29.92,Andhra Pradesh
1963-05-01 00:00:00,32.36,Andhra Pradesh
1963-06-01 00:00:00,29.89,Andhra Pradesh
1963-07-01 00:00:00,28.15,Andhra Pradesh
1963-08-01 00:00:00,27.19,Andhra Pradesh
1963-09-01 00:00:00,27.92,Andhra Pradesh
1963-10-01 00:00:00,26.69,Andhra Pradesh
1963-11-01 00:00:00,24.84,Andhra Pradesh
1963-12-01 00:00:00,22.86,Andhra Pradesh
1964-01-01 00:00:00,23.4,Andhra Pradesh
1964-02-01 00:00:00,26.12,Andhra Pradesh
1964-03-01 00:00:00,29.52,Andhra Pradesh
1964-04-01 00:00:00,31.89,Andhra Pradesh
1964-05-01 00:00:00,33.39,Andhra Pradesh
1964-06-01 00:00:00,30.47,Andhra Pradesh
1964-07-01 00:00:00,28.0,Andhra Pradesh
1964-08-01 00:00:00,26.89,Andhra Pradesh
1964-09-01 00:00:00,27.02,Andhra Pradesh
1964-10-01 00:00:00,26.83,Andhra Pradesh
1964-11-01 00:00:00,23.79,Andhra Pradesh
1964-12-01 00:00:00,22.05,Andhra Pradesh
1965-01-01 00:00:00,23.09,Andhra Pradesh
1965-02-01 00:00:00,25.39,Andhra Pradesh
1965-03-01 00:00:00,28.28,Andhra Pradesh
1965-04-01 00:00:00,30.36,Andhra Pradesh
1965-05-01 00:00:00,32.33,Andhra Pradesh
1965-06-01 00:00:00,30.8,Andhra Pradesh
1965-07-01 00:00:00,27.84,Andhra Pradesh
1965-08-01 00:00:00,27.64,Andhra Pradesh
1965-09-01 00:00:00,27.72,Andhra Pradesh
1965-10-01 00:00:00,27.27,Andhra Pradesh
1965-11-01 00:00:00,24.91,Andhra Pradesh
1965-12-01 00:00:00,23.49,Andhra Pradesh
1966-01-01 00:00:00,23.36,Andhra Pradesh
1966-02-01 00:00:00,26.01,Andhra Pradesh
1966-03-01 00:00:00,29.2,Andhra Pradesh
1966-04-01 00:00:00,31.47,Andhra Pradesh
1966-05-01 00:00:00,33.08,Andhra Pradesh
1966-06-01 00:00:00,30.71,Andhra Pradesh
1966-07-01 00:00:00,28.59,Andhra Pradesh
1966-08-01 00:00:00,28.08,Andhra Pradesh
1966-09-01 00:00:00,27.56,Andhra Pradesh
1966-10-01 00:00:00,26.68,Andhra Pradesh
1966-11-01 00:00:00,25.28,Andhra Pradesh
1966-12-01 00:00:00,22.34,Andhra Pradesh
1967-01-01 00:00:00,23.13,Andhra Pradesh
1967-02-01 00:00:00,25.47,Andhra Pradesh
1967-03-01 00:00:00,27.92,Andhra Pradesh
1967-04-01 00:00:00,31.11,Andhra Pradesh
1967-05-01 00:00:00,32.97,Andhra Pradesh
1967-06-01 00:00:00,30.81,Andhra Pradesh
1967-07-01 00:00:00,27.6,Andhra Pradesh
1967-08-01 00:00:00,27.24,Andhra Pradesh
1967-09-01 00:00:00,27.38,Andhra Pradesh
1967-10-01 00:00:00,26.21,Andhra Pradesh
1967-11-01 00:00:00,23.93,Andhra Pradesh
1967-12-01 00:00:00,23.52,Andhra Pradesh
1968-01-01 00:00:00,22.42,Andhra Pradesh
1968-02-01 00:00:00,25.63,Andhra Pradesh
1968-03-01 00:00:00,28.14,Andhra Pradesh
1968-04-01 00:00:00,30.14,Andhra Pradesh
1968-05-01 00:00:00,32.36,Andhra Pradesh
1968-06-01 00:00:00,30.76,Andhra Pradesh
1968-07-01 00:00:00,28.13,Andhra Pradesh
1968-08-01 00:00:00,28.07,Andhra Pradesh
1968-09-01 00:00:00,27.66,Andhra Pradesh
1968-10-01 00:00:00,26.09,Andhra Pradesh
1968-11-01 00:00:00,24.28,Andhra Pradesh
1968-12-01 00:00:00,22.82,Andhra Pradesh
1969-01-01 00:00:00,23.11,Andhra Pradesh
1969-02-01 00:00:00,26.37,Andhra Pradesh
1969-03-01 00:00:00,29.87,Andhra Pradesh
1969-04-01 00:00:00,32.06,Andhra Pradesh
1969-05-01 00:00:00,32.15,Andhra Pradesh
1969-06-01 00:00:00,30.95,Andhra Pradesh
1969-07-01 00:00:00,27.75,Andhra Pradesh
1969-08-01 00:00:00,27.7,Andhra Pradesh
1969-09-01 00:00:00,27.29,Andhra Pradesh
1969-10-01 00:00:00,26.43,Andhra Pradesh
1969-11-01 00:00:00,25.09,Andhra Pradesh
1969-12-01 00:00:00,22.19,Andhra Pradesh
1970-01-01 00:00:00,23.26,Andhra Pradesh
1970-02-01 00:00:00,26.13,Andhra Pradesh
1970-03-01 00:00:00,29.32,Andhra Pradesh
1970-04-01 00:00:00,31.34,Andhra Pradesh
1970-05-01 00:00:00,32.73,Andhra Pradesh
1970-06-01 00:00:00,29.08,Andhra Pradesh
1970-07-01 00:00:00,27.92,Andhra Pradesh
1970-08-01 00:00:00,26.93,Andhra Pradesh
1970-09-01 00:00:00,27.4,Andhra Pradesh
1970-10-01 00:00:00,26.41,Andhra Pradesh
1970-11-01 00:00:00,23.67,Andhra Pradesh
1970-12-01 00:00:00,20.86,Andhra Pradesh
1971-01-01 00:00:00,22.96,Andhra Pradesh
1971-02-01 00:00:00,25.87,Andhra Pradesh
1971-03-01 00:00:00,28.01,Andhra Pradesh
1971-04-01 00:00:00,30.86,Andhra Pradesh
1971-05-01 00:00:00,31.63,Andhra Pradesh
1971-06-01 00:00:00,28.61,Andhra Pradesh
1971-07-01 00:00:00,28.21,Andhra Pradesh
1971-08-01 00:00:00,27.61,Andhra Pradesh
1971-09-01 00:00:00,27.74,Andhra Pradesh
1971-10-01 00:00:00,26.2,Andhra Pradesh
1971-11-01 00:00:00,23.15,Andhra Pradesh
1971-12-01 00:00:00,21.28,Andhra Pradesh
1972-01-01 00:00:00,22.04,Andhra Pradesh
1972-02-01 00:00:00,25.19,Andhra Pradesh
1972-03-01 00:00:00,28.85,Andhra Pradesh
1972-04-01 00:00:00,31.42,Andhra Pradesh
