UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,17.142664,81.708444,27.903,0,0,0,No Data,No Data
1179727677,2007-05-21T06:07:57Z,17.134314,81.71732,26.823,1.325082,0,0,No Data,No Data
1179728174,2007-05-21T06:16:14Z,17.125204,81.726129,21.573,2.706055,0,0,No Data,No Data
1179729038,2007-05-21T06:30:38Z,17.108752,81.740698,23.418,5.105548,0,0,No Data,No Data
1179729968,2007-05-21T06:46:08Z,17.090023,81.755064,21.925,7.690928,0,0,No Data,No Data
1179730336,2007-05-21T06:52:16Z,17.082684,81.760823,21.228,8.712228,0,0,No Data,No Data
1179730833,2007-05-21T07:00:33Z,17.072879,81.768767,20.545,10.09292,0,0,No Data,No Data
1179731106,2007-05-21T07:05:06Z,17.066551,81.771411,20.623,10.85155,0,0,No Data,No Data
1179731489,2007-05-21T07:11:29Z,17.057819,81.775442,21.711,11.91416,0,0,No Data,No Data
1179731845,2007-05-21T07:17:25Z,17.049847,81.77954,20.084,12.90299,0,0,No Data,No Data
1179732159,2007-05-21T07:22:39Z,17.0427,81.782916,29.12,13.77607,0,0,No Data,No Data
1179732447,2007-05-21T07:27:27Z,17.03631,81.786359,41.251,14.57624,0,0,No Data,No Data
1179732693,2007-05-21T07:31:33Z,17.030743,81.789072,55.842,15.25995,0,0,No Data,No Data
1179732871,2007-05-21T07:34:31Z,17.026758,81.791119,57.61,15.75416,0,0,No Data,No Data
1179733296,2007-05-21T07:41:36Z,17.016576,81.794221,47.066,16.93479,0,0,No Data,No Data
1179733741,2007-05-21T07:49:01Z,17.005693,81.796479,33.113,18.17,0,0,No Data,No Data
1179733957,2007-05-21T07:52:37Z,17.000314,81.796813,28.423,18.76988,0,0,No Data,No Data
1179734343,2007-05-21T07:59:03Z,16.990947,81.7992,26.264,19.84317,0,0,No Data,No Data
1179734469,2007-05-21T08:01:09Z,16.987846,81.799731,23.107,20.19299,0,0,No Data,No Data
1179734871,2007-05-21T08:07:51Z,16.977849,81.800457,19.712,21.30853,0,0,No Data,No Data
1179735543,2007-05-21T08:19:03Z,16.961097,81.799779,44.118,23.17486,0,0,No Data,No Data
1179735726,2007-05-21T08:22:06Z,16.956537,81.799388,27.274,23.68418,0,0,No Data,No Data
1179735818,2007-05-21T08:23:38Z,16.954257,81.799192,21.319,23.93885,0,0,No Data,No Data
1179736124,2007-05-21T08:28:44Z,16.946655,81.79854,16.723,24.78801,0,0,No Data,No Data
1179736429,2007-05-21T08:33:49Z,16.939051,81.797888,18.466,25.63735,0,0,No Data,No Data
1179736796,2007-05-21T08:39:56Z,16.929929,81.797101,40.428,26.65632,0,0,No Data,No Data
1179737019,2007-05-21T08:43:39Z,16.924737,81.795052,20.834,27.27408,0,0,No Data,No Data
1179737390,2007-05-21T08:49:50Z,16.915746,81.792673,18.419,28.30649,0,0,No Data,No Data
