UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,17.192082,81.683121,23.752,0,0,0,No Data,No Data
1179727356,2007-05-21T06:02:36Z,17.191006,81.68703,23.304,0.4327,0,0,No Data,No Data
1179727492,2007-05-21T06:04:52Z,17.189234,81.690078,24.081,0.8122244,0,0,No Data,No Data
1179727879,2007-05-21T06:11:19Z,17.185439,81.699353,27.445,1.885435,0,0,No Data,No Data
1179728657,2007-05-21T06:24:17Z,17.175644,81.71691,21.773,4.04788,0,0,No Data,No Data
1179729888,2007-05-21T06:44:48Z,17.161159,81.745261,18.418,7.46764,0,0,No Data,No Data
1179730081,2007-05-21T06:48:01Z,17.159261,81.749897,19.877,8.004192,0,0,No Data,No Data
1179730785,2007-05-21T06:59:45Z,17.148187,81.764137,19.21,9.957259,0,0,No Data,No Data
1179731929,2007-05-21T07:18:49Z,17.126731,81.783867,20,13.13712,0,0,No Data,No Data
1179732590,2007-05-21T07:29:50Z,17.1123,81.792205,19.438,14.9723,0,0,No Data,No Data
1179733180,2007-05-21T07:39:40Z,17.098183,81.796562,35,16.61086,0,0,No Data,No Data
1179733658,2007-05-21T07:47:38Z,17.087111,81.801195,19.93,17.93836,0,0,No Data,No Data
1179734327,2007-05-21T07:58:47Z,17.071352,81.806999,25.872,19.79832,0,0,No Data,No Data
1179734713,2007-05-21T08:05:13Z,17.061989,81.809374,38.07,20.87085,0,0,No Data,No Data
1179734965,2007-05-21T08:09:25Z,17.05579,81.810431,41.98,21.57,0,0,No Data,No Data
1179735255,2007-05-21T08:14:15Z,17.048769,81.812211,52.835,22.37424,0,0,No Data,No Data
1179735637,2007-05-21T08:20:37Z,17.040041,81.816229,81.998,23.4359,0,0,No Data,No Data
1179735773,2007-05-21T08:22:53Z,17.036879,81.817546,93.227,23.81479,0,0,No Data,No Data
1179736130,2007-05-21T08:28:50Z,17.02828,81.81998,100.91,24.80654,0,0,No Data,No Data
1179736692,2007-05-21T08:38:12Z,17.014932,81.824429,88.706,26.36614,0,0,No Data,No Data
1179736821,2007-05-21T08:40:21Z,17.012464,81.826617,74.093,26.72631,0,0,No Data,No Data
1179736947,2007-05-21T08:42:27Z,17.009363,81.827153,66.555,27.07619,0,0,No Data,No Data
1179737248,2007-05-21T08:47:28Z,17.002275,81.829742,53.612,27.91205,0,0,No Data,No Data
1179737481,2007-05-21T08:51:21Z,16.996768,81.831666,48,28.55837,0,0,No Data,No Data
1179737754,2007-05-21T08:55:54Z,16.990439,81.834319,55.108,29.31748,0,0,No Data,No Data
1179737970,2007-05-21T08:59:30Z,16.985058,81.834654,48.786,29.91753,0,0,No Data,No Data
1179738422,2007-05-21T09:07:02Z,16.974737,81.839362,50.161,31.17111,0,0,No Data,No Data
1179739002,2007-05-21T09:16:42Z,16.960679,81.842948,30.963,32.78209,0,0,No Data,No Data
1179739446,2007-05-21T09:24:06Z,16.949787,81.845204,24.683,34.01823,0,0,No Data,No Data
1179739848,2007-05-21T09:30:48Z,16.939781,81.845937,18.157,35.13485,0,0,No Data,No Data
1179740286,2007-05-21T09:38:06Z,16.928951,81.847397,16.484,36.35049,0,0,No Data,No Data
1179740533,2007-05-21T09:42:13Z,16.922807,81.847664,15.073,37.035,0,0,No Data,No Data
1179740940,2007-05-21T09:49:00Z,16.912738,81.849188,15.019,38.16765,0,0,No Data,No Data
1179741276,2007-05-21T09:54:36Z,16.90438,81.84846,14.179,39.10127,0,0,No Data,No Data
1179741612,2007-05-21T10:00:12Z,16.896023,81.847731,14.444,40.03487,0,0,No Data,No Data
1179741857,2007-05-21T10:04:17Z,16.889943,81.847202,16.132,40.71401,0,0,No Data,No Data
1179742205,2007-05-21T10:10:05Z,16.881776,81.844092,15.869,41.68163,0,0,No Data,No Data
1179742574,2007-05-21T10:16:14Z,16.873737,81.839394,17.014,42.70697,0,0,No Data,No Data
1179743000,2007-05-21T10:23:20Z,16.864174,81.834566,16.104,43.88925,0,0,No Data,No Data
1179743331,2007-05-21T10:28:51Z,16.857717,81.829208,19.284,44.80717,0,0,No Data,No Data
1179743966,2007-05-21T10:39:26Z,16.845557,81.818559,15.207,46.57341,0,0,No Data,No Data
1179744507,2007-05-21T10:48:27Z,16.836437,81.808176,6,48.07495,0,0,No Data,No Data
1179744643,2007-05-21T10:50:43Z,16.833523,81.806325,6,48.45457,0,0,No Data,No Data
1179744839,2007-05-21T10:53:59Z,16.8308,81.802092,17.919,48.99799,0,0,No Data,No Data
1179745078,2007-05-21T10:57:58Z,16.827381,81.796999,18.257,49.66083,0,0,No Data,No Data
1179745383,2007-05-21T11:03:03Z,16.823329,81.790252,13.399,50.50952,0,0,No Data,No Data
1179745838,2007-05-21T11:10:38Z,16.816424,81.780861,14.078,51.77133,0,0,No Data,No Data
1179746119,2007-05-21T11:15:19Z,16.812306,81.77491,12.083,52.55383,0,0,No Data,No Data
1179746407,2007-05-21T11:20:07Z,16.809011,81.768231,15,53.35454,0,0,No Data,No Data
1179746628,2007-05-21T11:23:48Z,16.80635,81.763205,14.072,53.9666,0,0,No Data,No Data
1179746940,2007-05-21T11:29:00Z,16.805464,81.755136,5,54.83214,0,0,No Data,No Data
1179747123,2007-05-21T11:32:03Z,16.805844,81.750374,5,55.3414,0,0,No Data,No Data
1179747742,2007-05-21T11:42:22Z,16.812373,81.735755,14.783,57.0606,0,0,No Data,No Data
1179748015,2007-05-21T11:46:55Z,16.815921,81.729669,16.705,57.81999,0,0,No Data,No Data
1179748602,2007-05-21T11:56:42Z,16.828086,81.721132,13.443,59.45151,0,0,No Data,No Data
1179749534,2007-05-21T12:12:14Z,16.846837,81.706773,14.821,62.03971,0,0,No Data,No Data
1179749883,2007-05-21T12:18:03Z,16.854121,81.70181,14.208,63.00781,0,0,No Data,No Data
1179750298,2007-05-21T12:24:58Z,16.862988,81.696185,15.183,64.16264,0,0,No Data,No Data
1179751037,2007-05-21T12:37:17Z,16.879704,81.688043,16.544,66.21589,0,0,No Data,No Data
1179751521,2007-05-21T12:45:21Z,16.890148,81.681754,16.735,67.55778,0,0,No Data,No Data
1179752026,2007-05-21T12:53:46Z,16.901985,81.677185,18.755,68.96259,0,0,No Data,No Data
1179752732,2007-05-21T13:05:32Z,16.919142,81.673077,17.761,70.92215,0,0,No Data,No Data
1179752910,2007-05-21T13:08:30Z,16.923129,81.671024,17.071,71.41698,0,0,No Data,No Data
1179753266,2007-05-21T13:14:26Z,16.931103,81.666919,17,72.40659,0,0,No Data,No Data
1179753691,2007-05-21T13:21:31Z,16.94066,81.662152,18.087,73.58546,0,0,No Data,No Data
1179754335,2007-05-21T13:32:15Z,16.955024,81.654604,21.001,75.37524,0,0,No Data,No Data
1179754953,2007-05-21T13:42:33Z,16.96863,81.646993,31.824,77.09323,0,0,No Data,No Data
1179755391,2007-05-21T13:49:51Z,16.978884,81.643089,36.129,78.30813,0,0,No Data,No Data
1179755696,2007-05-21T13:54:56Z,16.985339,81.638857,48.302,79.15633,0,0,No Data,No Data
1179756366,2007-05-21T14:06:06Z,17.001092,81.633035,59.067,81.01644,0,0,No Data,No Data
1179756803,2007-05-21T14:13:23Z,17.011907,81.631574,53.533,82.23054,0,0,No Data,No Data
1179757257,2007-05-21T14:20:57Z,17.022846,81.62852,40.603,83.49106,0,0,No Data,No Data
1179757634,2007-05-21T14:27:14Z,17.032141,81.626918,28.788,84.5399,0,0,No Data,No Data
1179757867,2007-05-21T14:31:07Z,17.037642,81.624988,20,85.18596,0,0,No Data,No Data
1179758113,2007-05-21T14:35:13Z,17.043778,81.624709,18.231,85.86983,0,0,No Data,No Data
1179758296,2007-05-21T14:38:16Z,17.048334,81.625097,17.114,86.37881,0,0,No Data,No Data
1179758586,2007-05-21T14:43:06Z,17.055356,81.6233,17.49,87.1837,0,0,No Data,No Data
1179758838,2007-05-21T14:47:18Z,17.061556,81.622236,19.132,87.88324,0,0,No Data,No Data
1179759175,2007-05-21T14:52:55Z,17.069972,81.622162,17.411,88.82024,0,0,No Data,No Data
1179759487,2007-05-21T14:58:07Z,17.077691,81.621227,17.824,89.68537,0,0,No Data,No Data
1179759761,2007-05-21T15:02:41Z,17.084526,81.621816,18.646,90.44889,0,0,No Data,No Data
1179760220,2007-05-21T15:10:20Z,17.095917,81.622797,20.101,91.72139,0,0,No Data,No Data
1179760555,2007-05-21T15:15:55Z,17.10427,81.623518,21.708,92.6546,0,0,No Data,No Data
1179760861,2007-05-21T15:21:01Z,17.111865,81.624173,21.524,93.50304,0,0,No Data,No Data
1179761197,2007-05-21T15:26:37Z,17.120216,81.624896,28.928,94.436,0,0,No Data,No Data
