UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,28.203707,94.759820,427.489,0,0,0,No Data,No Data
1179727284,2007-05-21T06:01:24Z,28.203440,94.762178,483.106,0.2332997,0,0,No Data,No Data
1179727342,2007-05-21T06:02:22Z,28.203313,94.763810,474.171,0.3941036,0,0,No Data,No Data
1179727414,2007-05-21T06:03:34Z,28.203159,94.765859,379.327,0.5959216,0,0,No Data,No Data
1179727497,2007-05-21T06:04:57Z,28.202854,94.768173,406.293,0.8255336,0,0,No Data,No Data
1179727565,2007-05-21T06:06:05Z,28.202565,94.770056,474.997,1.013096,0,0,No Data,No Data
1179727603,2007-05-21T06:06:43Z,28.202333,94.771110,519.59,1.119712,0,0,No Data,No Data
1179727726,2007-05-21T06:08:46Z,28.202206,94.774605,551.542,1.462983,0,0,No Data,No Data
1179727770,2007-05-21T06:09:30Z,28.202402,94.775819,547.224,1.584133,0,0,No Data,No Data
1179727863,2007-05-21T06:11:03Z,28.202630,94.778432,425.71,1.841812,0,0,No Data,No Data
1179727999,2007-05-21T06:13:19Z,28.203584,94.782125,334.561,2.21944,0,0,No Data,No Data
1179728086,2007-05-21T06:14:46Z,28.204252,94.784488,313.669,2.462949,0,0,No Data,No Data
1179728195,2007-05-21T06:16:35Z,28.205248,94.787346,256.153,2.764549,0,0,No Data,No Data
1179728254,2007-05-21T06:17:34Z,28.205430,94.789007,263.919,2.928816,0,0,No Data,No Data
1179728384,2007-05-21T06:19:44Z,28.206506,94.792471,265.798,3.289267,0,0,No Data,No Data
1179728489,2007-05-21T06:21:29Z,28.207661,94.795131,287.286,3.580294,0,0,No Data,No Data
1179728600,2007-05-21T06:23:20Z,28.208679,94.798054,319.986,3.888728,0,0,No Data,No Data
1179728665,2007-05-21T06:24:25Z,28.209449,94.799677,371.384,4.069664,0,0,No Data,No Data
1179728695,2007-05-21T06:24:55Z,28.209685,94.800495,390.087,4.154138,0,0,No Data,No Data
1179728781,2007-05-21T06:26:21Z,28.210777,94.802601,466.634,4.393978,0,0,No Data,No Data
1179728862,2007-05-21T06:27:42Z,28.211553,94.804693,541.806,4.616666,0,0,No Data,No Data
1179728924,2007-05-21T06:28:44Z,28.211786,94.806432,519.145,4.789267,0,0,No Data,No Data
1179728997,2007-05-21T06:29:57Z,28.212450,94.808357,463.447,4.992095,0,0,No Data,No Data
1179729138,2007-05-21T06:32:18Z,28.214154,94.811851,363.164,5.383914,0,0,No Data,No Data
1179729171,2007-05-21T06:32:51Z,28.214826,94.812397,365.987,5.475972,0,0,No Data,No Data
1179729254,2007-05-21T06:34:14Z,28.215394,94.814649,363.443,5.705831,0,0,No Data,No Data
1179729398,2007-05-21T06:36:38Z,28.217136,94.818210,270.31,6.105447,0,0,No Data,No Data
1179729451,2007-05-21T06:37:31Z,28.217723,94.819561,277.847,6.253269,0,0,No Data,No Data
1179729543,2007-05-21T06:39:03Z,28.218894,94.821791,319.756,6.508036,0,0,No Data,No Data
1179729623,2007-05-21T06:40:23Z,28.220100,94.823605,369.787,6.731041,0,0,No Data,No Data
1179729712,2007-05-21T06:41:52Z,28.221226,94.825764,411.62,6.977225,0,0,No Data,No Data
1179729750,2007-05-21T06:42:30Z,28.221808,94.826638,425.775,7.08472,0,0,No Data,No Data
1179729861,2007-05-21T06:44:21Z,28.223840,94.828764,471.429,7.39252,0,0,No Data,No Data
1179729940,2007-05-21T06:45:40Z,28.225216,94.830368,451.789,7.612174,0,0,No Data,No Data
