YEAR,TEMPERATURE,CO2,RAINFALL
01-01-1961 00:00,6.98,0.010862502,50
01-02-1961 00:00,7.58,0.010862502,204.2
01-03-1961 00:00,10.64,0.010862502,289.6
01-04-1961 00:00,14.36,0.010862502,181
01-05-1961 00:00,16.64,0.010862502,492.3
01-06-1961 00:00,20.09,0.010862502,595.5
01-07-1961 00:00,20.5,0.010862502,738.3
01-08-1961 00:00,20.52,0.010862502,547.9
01-09-1961 00:00,18.87,0.010862502,256.2
01-10-1961 00:00,16.22,0.010862502,260.5
01-11-1961 00:00,9.24,0.010862502,57.1
01-12-1961 00:00,5.01,0.010862502,3.9
01-01-1962 00:00,5.06,0.01195086,37.2
01-02-1962 00:00,7.97,0.01195086,87.1
01-03-1962 00:00,10.55,0.01195086,45.1
01-04-1962 00:00,14.52,0.01195086,250.3
01-05-1962 00:00,16.05,0.01195086,601.9
01-06-1962 00:00,19.08,0.01195086,1088.8
01-07-1962 00:00,20.55,0.01195086,758.1
01-08-1962 00:00,19.08,0.01195086,1405.9
01-09-1962 00:00,18.76,0.01195086,222.4
01-10-1962 00:00,15.21,0.01195086,255.6
01-11-1962 00:00,11.26,0.01195086,120.23
01-12-1962 00:00,7.23,0.01195086,98.34
01-01-1963 00:00,5.45,0.01283517,14.6
01-02-1963 00:00,8.32,0.01283517,35.2
01-03-1963 00:00,10.98,0.01283517,168.6
01-04-1963 00:00,13.55,0.01283517,262.6
01-05-1963 00:00,16.7,0.01283517,346.4
01-06-1963 00:00,19.11,0.01283517,755.4
01-07-1963 00:00,20.27,0.01283517,817.4
01-08-1963 00:00,19.72,0.01283517,1199.3
01-09-1963 00:00,19.44,0.01283517,366.4
01-10-1963 00:00,14.75,0.01283517,136.4
01-11-1963 00:00,9.51,0.01283517,20
01-12-1963 00:00,6.75,0.01283517,15.7
01-01-1964 00:00,6.01,0.012548953,55.4
01-02-1964 00:00,7.81,0.012548953,90.3
01-03-1964 00:00,11.05,0.012548953,81.1
01-04-1964 00:00,13.82,0.012548953,219.7
01-05-1964 00:00,16.64,0.012548953,286.4
01-06-1964 00:00,19.31,0.012548953,1432.8
01-07-1964 00:00,19.67,0.012548953,1506.1
01-08-1964 00:00,19.84,0.012548953,492.1
01-09-1964 00:00,18.97,0.012548953,465.1
01-10-1964 00:00,17.02,0.012548953,246.2
01-11-1964 00:00,11.77,0.012548953,12.2
01-12-1964 00:00,6.98,0.012548953,71.9
01-01-1965 00:00,6.09,0.013825475,37.4
01-02-1965 00:00,7.18,0.013825475,120.7
01-03-1965 00:00,9.66,0.013825475,103.7
01-04-1965 00:00,13.95,0.013825475,254.4
01-05-1965 00:00,17.22,0.013825475,306.9
01-06-1965 00:00,19.54,0.013825475,404.7
01-07-1965 00:00,19.73,0.013825475,315.8
01-08-1965 00:00,18.81,0.013825475,351.3
01-09-1965 00:00,18.28,0.013825475,172.9
01-10-1965 00:00,14.62,0.013825475,51.5
01-11-1965 00:00,9.39,0.013825475,72.6
01-12-1965 00:00,7.66,0.013825475,4.9
01-01-1966 00:00,6.01,0.014308103,22.4
01-02-1966 00:00,9.33,0.014308103,91.5
01-03-1966 00:00,12.42,0.014308103,98.4
01-04-1966 00:00,13.93,0.014308103,180.2
01-05-1966 00:00,18.03,0.014308103,177.9
01-06-1966 00:00,18.26,0.014308103,473.2
01-07-1966 00:00,20.46,0.014308103,432.7
01-08-1966 00:00,19.71,0.014308103,411.6
01-09-1966 00:00,18.05,0.014308103,197.6
01-10-1966 00:00,13.93,0.014308103,78.9
01-11-1966 00:00,12.64,0.014308103,39
01-12-1966 00:00,7.92,0.014308103,6.3
01-01-1967 00:00,6.93,0.014347508,13.3
01-02-1967 00:00,8.17,0.014347508,45.5
01-03-1967 00:00,10.2,0.014347508,147.9
01-04-1967 00:00,13.28,0.014347508,96.6
01-05-1967 00:00,16.84,0.014347508,164
01-06-1967 00:00,18.88,0.014347508,253.1
01-07-1967 00:00,20.27,0.014347508,434.5
01-08-1967 00:00,20.65,0.014347508,220.8
01-09-1967 00:00,18.76,0.014347508,212.8
01-10-1967 00:00,14.49,0.014347508,58.5
01-11-1967 00:00,9.09,0.014347508,10
01-12-1967 00:00,6.83,0.014347508,11.5
01-01-1968 00:00,5.48,0.015605091,54.2
01-02-1968 00:00,6.67,0.015605091,41.4
01-03-1968 00:00,11.05,0.015605091,135.9
01-04-1968 00:00,13.2,0.015605091,117.6
01-05-1968 00:00,16.7,0.015605091,307.2
01-06-1968 00:00,18.9,0.015605091,510.1
01-07-1968 00:00,19.54,0.015605091,404.8
01-08-1968 00:00,19.97,0.015605091,227.5
01-09-1968 00:00,19.37,0.015605091,243.5
01-10-1968 00:00,14.83,0.015605091,75.8
01-11-1968 00:00,11.09,0.015605091,12.5
01-12-1968 00:00,7.31,0.015605091,8.4
01-01-1969 00:00,6.02,0.015887337,19.2
01-02-1969 00:00,8.6,0.015887337,10
01-03-1969 00:00,12.01,0.015887337,33.8
01-04-1969 00:00,14.29,0.015887337,127
01-05-1969 00:00,17.97,0.015887337,202.3
01-06-1969 00:00,19.43,0.015887337,412.3
01-07-1969 00:00,20.32,0.015887337,405.1
01-08-1969 00:00,19.62,0.015887337,333.9
01-09-1969 00:00,18.85,0.015887337,241.4
01-10-1969 00:00,14.81,0.015887337,42.9
01-11-1969 00:00,11.31,0.015887337,34.8
01-12-1969 00:00,7.65,0.015887337,15.1
01-01-1970 00:00,5.61,0.016255418,49.2
