Date,Temperature,State
1961-01-01 00:00:00,6.98,Arunachal Pradesh
1961-02-01 00:00:00,7.58,Arunachal Pradesh
1961-03-01 00:00:00,10.64,Arunachal Pradesh
1961-04-01 00:00:00,14.36,Arunachal Pradesh
1961-05-01 00:00:00,16.64,Arunachal Pradesh
1961-06-01 00:00:00,20.09,Arunachal Pradesh
1961-07-01 00:00:00,20.5,Arunachal Pradesh
1961-08-01 00:00:00,20.52,Arunachal Pradesh
1961-09-01 00:00:00,18.87,Arunachal Pradesh
1961-10-01 00:00:00,16.22,Arunachal Pradesh
1961-11-01 00:00:00,9.24,Arunachal Pradesh
1961-12-01 00:00:00,5.01,Arunachal Pradesh
1962-01-01 00:00:00,5.06,Arunachal Pradesh
1962-02-01 00:00:00,7.97,Arunachal Pradesh
1962-03-01 00:00:00,10.55,Arunachal Pradesh
1962-04-01 00:00:00,14.52,Arunachal Pradesh
1962-05-01 00:00:00,16.05,Arunachal Pradesh
1962-06-01 00:00:00,19.08,Arunachal Pradesh
1962-07-01 00:00:00,20.55,Arunachal Pradesh
1962-08-01 00:00:00,19.08,Arunachal Pradesh
1962-09-01 00:00:00,18.76,Arunachal Pradesh
1962-10-01 00:00:00,15.21,Arunachal Pradesh
1962-11-01 00:00:00,11.26,Arunachal Pradesh
1962-12-01 00:00:00,7.23,Arunachal Pradesh
1963-01-01 00:00:00,5.45,Arunachal Pradesh
1963-02-01 00:00:00,8.32,Arunachal Pradesh
1963-03-01 00:00:00,10.98,Arunachal Pradesh
1963-04-01 00:00:00,13.55,Arunachal Pradesh
1963-05-01 00:00:00,16.7,Arunachal Pradesh
1963-06-01 00:00:00,19.11,Arunachal Pradesh
1963-07-01 00:00:00,20.27,Arunachal Pradesh
1963-08-01 00:00:00,19.72,Arunachal Pradesh
1963-09-01 00:00:00,19.44,Arunachal Pradesh
1963-10-01 00:00:00,14.75,Arunachal Pradesh
1963-11-01 00:00:00,9.51,Arunachal Pradesh
1963-12-01 00:00:00,6.75,Arunachal Pradesh
1964-01-01 00:00:00,6.01,Arunachal Pradesh
1964-02-01 00:00:00,7.81,Arunachal Pradesh
1964-03-01 00:00:00,11.05,Arunachal Pradesh
1964-04-01 00:00:00,13.82,Arunachal Pradesh
1964-05-01 00:00:00,16.64,Arunachal Pradesh
1964-06-01 00:00:00,19.31,Arunachal Pradesh
1964-07-01 00:00:00,19.67,Arunachal Pradesh
1964-08-01 00:00:00,19.84,Arunachal Pradesh
1964-09-01 00:00:00,18.97,Arunachal Pradesh
1964-10-01 00:00:00,17.02,Arunachal Pradesh
1964-11-01 00:00:00,11.77,Arunachal Pradesh
1964-12-01 00:00:00,6.98,Arunachal Pradesh
1965-01-01 00:00:00,6.09,Arunachal Pradesh
1965-02-01 00:00:00,7.18,Arunachal Pradesh
1965-03-01 00:00:00,9.66,Arunachal Pradesh
1965-04-01 00:00:00,13.95,Arunachal Pradesh
1965-05-01 00:00:00,17.22,Arunachal Pradesh
1965-06-01 00:00:00,19.54,Arunachal Pradesh
1965-07-01 00:00:00,19.73,Arunachal Pradesh
1965-08-01 00:00:00,18.81,Arunachal Pradesh
1965-09-01 00:00:00,18.28,Arunachal Pradesh
1965-10-01 00:00:00,14.62,Arunachal Pradesh
1965-11-01 00:00:00,9.39,Arunachal Pradesh
1965-12-01 00:00:00,7.66,Arunachal Pradesh
1966-01-01 00:00:00,6.01,Arunachal Pradesh
1966-02-01 00:00:00,9.33,Arunachal Pradesh
1966-03-01 00:00:00,12.42,Arunachal Pradesh
1966-04-01 00:00:00,13.93,Arunachal Pradesh
1966-05-01 00:00:00,18.03,Arunachal Pradesh
1966-06-01 00:00:00,18.26,Arunachal Pradesh
1966-07-01 00:00:00,20.46,Arunachal Pradesh
1966-08-01 00:00:00,19.71,Arunachal Pradesh
1966-09-01 00:00:00,18.05,Arunachal Pradesh
1966-10-01 00:00:00,13.93,Arunachal Pradesh
1966-11-01 00:00:00,12.64,Arunachal Pradesh
1966-12-01 00:00:00,7.92,Arunachal Pradesh
1967-01-01 00:00:00,6.93,Arunachal Pradesh
1967-02-01 00:00:00,8.17,Arunachal Pradesh
1967-03-01 00:00:00,10.2,Arunachal Pradesh
1967-04-01 00:00:00,13.28,Arunachal Pradesh
1967-05-01 00:00:00,16.84,Arunachal Pradesh
1967-06-01 00:00:00,18.88,Arunachal Pradesh
1967-07-01 00:00:00,20.27,Arunachal Pradesh
1967-08-01 00:00:00,20.65,Arunachal Pradesh
1967-09-01 00:00:00,18.76,Arunachal Pradesh
1967-10-01 00:00:00,14.49,Arunachal Pradesh
1967-11-01 00:00:00,9.09,Arunachal Pradesh
1967-12-01 00:00:00,6.83,Arunachal Pradesh
1968-01-01 00:00:00,5.48,Arunachal Pradesh
1968-02-01 00:00:00,6.67,Arunachal Pradesh
1968-03-01 00:00:00,11.05,Arunachal Pradesh
1968-04-01 00:00:00,13.2,Arunachal Pradesh
1968-05-01 00:00:00,16.7,Arunachal Pradesh
1968-06-01 00:00:00,18.9,Arunachal Pradesh
1968-07-01 00:00:00,19.54,Arunachal Pradesh
1968-08-01 00:00:00,19.97,Arunachal Pradesh
1968-09-01 00:00:00,19.37,Arunachal Pradesh
1968-10-01 00:00:00,14.83,Arunachal Pradesh
1968-11-01 00:00:00,11.09,Arunachal Pradesh
1968-12-01 00:00:00,7.31,Arunachal Pradesh
1969-01-01 00:00:00,6.02,Arunachal Pradesh
1969-02-01 00:00:00,8.6,Arunachal Pradesh
1969-03-01 00:00:00,12.01,Arunachal Pradesh
1969-04-01 00:00:00,14.29,Arunachal Pradesh
1969-05-01 00:00:00,17.97,Arunachal Pradesh
1969-06-01 00:00:00,19.43,Arunachal Pradesh
1969-07-01 00:00:00,20.32,Arunachal Pradesh
1969-08-01 00:00:00,19.62,Arunachal Pradesh
1969-09-01 00:00:00,18.85,Arunachal Pradesh
1969-10-01 00:00:00,14.81,Arunachal Pradesh
1969-11-01 00:00:00,11.31,Arunachal Pradesh
1969-12-01 00:00:00,7.65,Arunachal Pradesh
1970-01-01 00:00:00,5.61,Arunachal Pradesh
1970-02-01 00:00:00,7.45,Arunachal Pradesh
1970-03-01 00:00:00,11.44,Arunachal Pradesh
1970-04-01 00:00:00,13.87,Arunachal Pradesh
1970-05-01 00:00:00,17.0,Arunachal Pradesh
1970-06-01 00:00:00,19.4,Arunachal Pradesh
1970-07-01 00:00:00,19.98,Arunachal Pradesh
1970-08-01 00:00:00,19.85,Arunachal Pradesh
1970-09-01 00:00:00,18.98,Arunachal Pradesh
1970-10-01 00:00:00,15.09,Arunachal Pradesh
1970-11-01 00:00:00,10.73,Arunachal Pradesh
1970-12-01 00:00:00,7.62,Arunachal Pradesh
1971-01-01 00:00:00,5.99,Arunachal Pradesh
1971-02-01 00:00:00,7.38,Arunachal Pradesh
1971-03-01 00:00:00,11.73,Arunachal Pradesh
1971-04-01 00:00:00,14.16,Arunachal Pradesh
1971-05-01 00:00:00,16.66,Arunachal Pradesh
1971-06-01 00:00:00,19.42,Arunachal Pradesh
1971-07-01 00:00:00,20.05,Arunachal Pradesh
1971-08-01 00:00:00,19.51,Arunachal Pradesh
1971-09-01 00:00:00,19.36,Arunachal Pradesh
1971-10-01 00:00:00,15.61,Arunachal Pradesh
1971-11-01 00:00:00,9.78,Arunachal Pradesh
1971-12-01 00:00:00,6.33,Arunachal Pradesh
1972-01-01 00:00:00,7.19,Arunachal Pradesh
1972-02-01 00:00:00,8.16,Arunachal Pradesh
1972-03-01 00:00:00,11.92,Arunachal Pradesh
1972-04-01 00:00:00,12.94,Arunachal Pradesh
1972-05-01 00:00:00,17.16,Arunachal Pradesh
1972-06-01 00:00:00,19.78,Arunachal Pradesh
1972-07-01 00:00:00,20.92,Arunachal Pradesh
1972-08-01 00:00:00,20.23,Arunachal Pradesh
1972-09-01 00:00:00,18.43,Arunachal Pradesh
1972-10-01 00:00:00,15.62,Arunachal Pradesh
1972-11-01 00:00:00,10.62,Arunachal Pradesh
1972-12-01 00:00:00,7.64,Arunachal Pradesh
1973-01-01 00:00:00,7.13,Arunachal Pradesh
1973-02-01 00:00:00,8.86,Arunachal Pradesh
1973-03-01 00:00:00,11.86,Arunachal Pradesh
1973-04-01 00:00:00,15.0,Arunachal Pradesh
1973-05-01 00:00:00,17.41,Arunachal Pradesh
1973-06-01 00:00:00,19.15,Arunachal Pradesh
1973-07-01 00:00:00,20.6,Arunachal Pradesh
1973-08-01 00:00:00,20.08,Arunachal Pradesh
1973-09-01 00:00:00,19.26,Arunachal Pradesh
1973-10-01 00:00:00,16.03,Arunachal Pradesh
1973-11-01 00:00:00,10.66,Arunachal Pradesh
1973-12-01 00:00:00,7.13,Arunachal Pradesh
1974-01-01 00:00:00,5.58,Arunachal Pradesh
1974-02-01 00:00:00,8.96,Arunachal Pradesh
1974-03-01 00:00:00,11.15,Arunachal Pradesh
1974-04-01 00:00:00,14.0,Arunachal Pradesh
1974-05-01 00:00:00,17.32,Arunachal Pradesh
1974-06-01 00:00:00,19.64,Arunachal Pradesh
1974-07-01 00:00:00,19.12,Arunachal Pradesh
1974-08-01 00:00:00,19.69,Arunachal Pradesh
1974-09-01 00:00:00,18.1,Arunachal Pradesh
1974-10-01 00:00:00,17.53,Arunachal Pradesh
1974-11-01 00:00:00,12.39,Arunachal Pradesh
1974-12-01 00:00:00,6.92,Arunachal Pradesh
1975-01-01 00:00:00,6.08,Arunachal Pradesh
1975-02-01 00:00:00,8.17,Arunachal Pradesh
1975-03-01 00:00:00,11.9,Arunachal Pradesh
1975-04-01 00:00:00,14.36,Arunachal Pradesh
1975-05-01 00:00:00,16.67,Arunachal Pradesh
1975-06-01 00:00:00,20.2,Arunachal Pradesh
1975-07-01 00:00:00,19.84,Arunachal Pradesh
1975-08-01 00:00:00,19.97,Arunachal Pradesh
1975-09-01 00:00:00,18.77,Arunachal Pradesh
1975-10-01 00:00:00,16.91,Arunachal Pradesh
1975-11-01 00:00:00,11.4,Arunachal Pradesh
1975-12-01 00:00:00,6.54,Arunachal Pradesh
1976-01-01 00:00:00,5.93,Arunachal Pradesh
1976-02-01 00:00:00,8.79,Arunachal Pradesh
1976-03-01 00:00:00,11.58,Arunachal Pradesh
1976-04-01 00:00:00,14.08,Arunachal Pradesh
1976-05-01 00:00:00,16.95,Arunachal Pradesh
1976-06-01 00:00:00,18.72,Arunachal Pradesh
1976-07-01 00:00:00,19.5,Arunachal Pradesh
1976-08-01 00:00:00,19.74,Arunachal Pradesh
1976-09-01 00:00:00,18.72,Arunachal Pradesh
1976-10-01 00:00:00,14.8,Arunachal Pradesh
1976-11-01 00:00:00,12.74,Arunachal Pradesh
1976-12-01 00:00:00,7.85,Arunachal Pradesh
1977-01-01 00:00:00,6.09,Arunachal Pradesh
1977-02-01 00:00:00,8.87,Arunachal Pradesh
1977-03-01 00:00:00,12.38,Arunachal Pradesh
1977-04-01 00:00:00,13.29,Arunachal Pradesh
1977-05-01 00:00:00,15.6,Arunachal Pradesh
1977-06-01 00:00:00,18.26,Arunachal Pradesh
1977-07-01 00:00:00,20.43,Arunachal Pradesh
1977-08-01 00:00:00,19.78,Arunachal Pradesh
1977-09-01 00:00:00,18.99,Arunachal Pradesh
1977-10-01 00:00:00,14.07,Arunachal Pradesh
1977-11-01 00:00:00,10.75,Arunachal Pradesh
1977-12-01 00:00:00,7.05,Arunachal Pradesh
1978-01-01 00:00:00,4.8,Arunachal Pradesh
1978-02-01 00:00:00,7.8,Arunachal Pradesh
1978-03-01 00:00:00,10.87,Arunachal Pradesh
1978-04-01 00:00:00,13.79,Arunachal Pradesh
1978-05-01 00:00:00,17.03,Arunachal Pradesh
1978-06-01 00:00:00,19.33,Arunachal Pradesh
1978-07-01 00:00:00,19.87,Arunachal Pradesh
1978-08-01 00:00:00,20.29,Arunachal Pradesh
1978-09-01 00:00:00,18.39,Arunachal Pradesh
1978-10-01 00:00:00,16.11,Arunachal Pradesh
1978-11-01 00:00:00,10.99,Arunachal Pradesh
1978-12-01 00:00:00,7.35,Arunachal Pradesh
1979-01-01 00:00:00,6.65,Arunachal Pradesh
1979-02-01 00:00:00,8.0,Arunachal Pradesh
1979-03-01 00:00:00,10.99,Arunachal Pradesh
1979-04-01 00:00:00,15.28,Arunachal Pradesh
1979-05-01 00:00:00,18.68,Arunachal Pradesh
1979-06-01 00:00:00,20.26,Arunachal Pradesh
1979-07-01 00:00:00,20.01,Arunachal Pradesh
1979-08-01 00:00:00,20.23,Arunachal Pradesh
1979-09-01 00:00:00,18.03,Arunachal Pradesh
1979-10-01 00:00:00,14.68,Arunachal Pradesh
1979-11-01 00:00:00,12.53,Arunachal Pradesh
1979-12-01 00:00:00,7.18,Arunachal Pradesh
1980-01-01 00:00:00,5.67,Arunachal Pradesh
1980-02-01 00:00:00,7.99,Arunachal Pradesh
1980-03-01 00:00:00,11.17,Arunachal Pradesh
