UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,28.101434,95.284983,154.0,0,0,0,No Data,No Data
1179727280,2007-05-21T06:01:20Z,28.100439,95.286948,153.832,0.2224951,0,0,No Data,No Data
1179727371,2007-05-21T06:02:51Z,28.099680,95.289388,218.992,0.4765533,0,0,No Data,No Data
1179727458,2007-05-21T06:04:18Z,28.099470,95.291836,214.159,0.7181549,0,0,No Data,No Data
1179727575,2007-05-21T06:06:15Z,28.098804,95.295059,155.382,1.043307,0,0,No Data,No Data
1179727707,2007-05-21T06:08:27Z,28.098414,95.298752,155.461,1.408634,0,0,No Data,No Data
1179727853,2007-05-21T06:10:53Z,28.097976,95.302858,152.0,1.81483,0,0,No Data,No Data
1179727897,2007-05-21T06:11:37Z,28.097844,95.304090,152.0,1.936717,0,0,No Data,No Data
1179727972,2007-05-21T06:12:52Z,28.097250,95.306093,152.0,2.144255,0,0,No Data,No Data
1179728018,2007-05-21T06:13:38Z,28.096743,95.307274,151.0,2.273255,0,0,No Data,No Data
1179728093,2007-05-21T06:14:53Z,28.096149,95.309276,151.0,2.480744,0,0,No Data,No Data
1179728205,2007-05-21T06:16:45Z,28.094718,95.311996,153.64,2.791772,0,0,No Data,No Data
1179728280,2007-05-21T06:18:00Z,28.094125,95.313997,155.54,2.999098,0,0,No Data,No Data
1179728386,2007-05-21T06:19:46Z,28.093073,95.316766,163.382,3.295176,0,0,No Data,No Data
1179728518,2007-05-21T06:21:58Z,28.091217,95.319836,165.336,3.660677,0,0,No Data,No Data
1179728578,2007-05-21T06:22:58Z,28.090667,95.321423,165.744,3.828182,0,0,No Data,No Data
1179728671,2007-05-21T06:24:31Z,28.089657,95.323777,163.906,4.085268,0,0,No Data,No Data
1179728805,2007-05-21T06:26:45Z,28.088510,95.327358,149.0,4.45944,0,0,No Data,No Data
1179728898,2007-05-21T06:28:18Z,28.087499,95.329708,149.0,4.716208,0,0,No Data,No Data
1179729003,2007-05-21T06:30:03Z,28.085762,95.331950,149.0,5.009299,0,0,No Data,No Data
1179729063,2007-05-21T06:31:03Z,28.085217,95.333535,149.0,5.176403,0,0,No Data,No Data
1179729234,2007-05-21T06:33:54Z,28.083260,95.337822,152.901,5.650567,0,0,No Data,No Data
1179729323,2007-05-21T06:35:23Z,28.082623,95.340224,152.897,5.896904,0,0,No Data,No Data
1179729434,2007-05-21T06:37:14Z,28.081205,95.342920,151.659,6.20526,0,0,No Data,No Data
1179729507,2007-05-21T06:38:27Z,28.080977,95.344965,152.914,6.407762,0,0,No Data,No Data
1179729591,2007-05-21T06:39:51Z,28.079649,95.346840,150.211,6.643964,0,0,No Data,No Data
1179729684,2007-05-21T06:41:24Z,28.078642,95.349179,156.798,6.899585,0,0,No Data,No Data
1179729795,2007-05-21T06:43:15Z,28.077224,95.351867,150.28,7.207202,0,0,No Data,No Data
1179729937,2007-05-21T06:45:37Z,28.075351,95.355312,150.389,7.604652,0,0,No Data,No Data
