UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,28.134222,95.294929,179.307,0,0,0,No Data,No Data
1179727766,2007-05-21T06:09:26Z,28.124307,95.306318,207.13,1.571186,0,0,No Data,No Data
1179728281,2007-05-21T06:18:01Z,28.116666,95.318063,190.062,3.004242,0,0,No Data,No Data
1179729009,2007-05-21T06:30:09Z,28.107806,95.336023,185.648,5.024999,0,0,No Data,No Data
1179729727,2007-05-21T06:42:07Z,28.099477,95.354000,174.856,7.019084,0,0,No Data,No Data
1179730264,2007-05-21T06:51:04Z,28.092254,95.366819,172.486,8.512944,0,0,No Data,No Data
1179730547,2007-05-21T06:55:47Z,28.087889,95.373092,164.0,9.297626,0,0,No Data,No Data
1179730638,2007-05-21T06:57:18Z,28.086607,95.375211,168.547,9.549973,0,0,No Data,No Data
1179730813,2007-05-21T07:00:13Z,28.083595,95.378779,159.731,10.035,0,0,No Data,No Data
1179730931,2007-05-21T07:02:11Z,28.081739,95.381378,156.738,10.36339,0,0,No Data,No Data
1179731074,2007-05-21T07:04:34Z,28.078859,95.383788,160.855,10.76192,0,0,No Data,No Data
1179731189,2007-05-21T07:06:29Z,28.076557,95.385713,150.533,11.0804,0,0,No Data,No Data
1179731318,2007-05-21T07:08:38Z,28.074195,95.388211,148.955,11.44007,0,0,No Data,No Data
1179731461,2007-05-21T07:11:01Z,28.071324,95.390612,150.405,11.83729,0,0,No Data,No Data
1179731591,2007-05-21T07:13:11Z,28.068967,95.393104,143.825,12.19616,0,0,No Data,No Data
1179731733,2007-05-21T07:15:33Z,28.066101,95.395495,148.0,12.59238,0,0,No Data,No Data
1179731890,2007-05-21T07:18:10Z,28.063173,95.398450,149.0,13.02889,0,0,No Data,No Data
1179732091,2007-05-21T07:21:31Z,28.059614,95.402448,149.685,13.58677,0,0,No Data,No Data
1179732164,2007-05-21T07:22:44Z,28.057965,95.403303,147.0,13.78868,0,0,No Data,No Data
1179732293,2007-05-21T07:24:53Z,28.055175,95.405106,146.633,14.1462,0,0,No Data,No Data
1179732449,2007-05-21T07:27:29Z,28.051821,95.407381,151.104,14.58138,0,0,No Data,No Data
1179732478,2007-05-21T07:27:58Z,28.051252,95.407855,150.647,14.66001,0,0,No Data,No Data
1179732613,2007-05-21T07:30:13Z,28.048031,95.408987,147.766,15.0354,0,0,No Data,No Data
1179732819,2007-05-21T07:33:39Z,28.043178,95.410965,143.068,15.60952,0,0,No Data,No Data
1179732972,2007-05-21T07:36:12Z,28.039469,95.411999,141.197,16.03467,0,0,No Data,No Data
1179733182,2007-05-21T07:39:42Z,28.034264,95.412738,141.0,16.61866,0,0,No Data,No Data
1179733335,2007-05-21T07:42:15Z,28.030571,95.413762,141.881,17.04189,0,0,No Data,No Data
1179733525,2007-05-21T07:45:25Z,28.025888,95.414593,140.407,17.5695,0,0,No Data,No Data
1179733777,2007-05-21T07:49:37Z,28.019664,95.415702,137.627,18.27089,0,0,No Data,No Data
1179734041,2007-05-21T07:54:01Z,28.013091,95.415586,150.773,19.00267,0,0,No Data,No Data
1179734242,2007-05-21T07:57:22Z,28.008085,95.415196,154.601,19.56123,0,0,No Data,No Data
1179734562,2007-05-21T08:02:42Z,28.000204,95.413669,138.531,20.45135,0,0,No Data,No Data
1179734722,2007-05-21T08:05:22Z,27.996276,95.412906,135.259,20.89501,0,0,No Data,No Data
1179734907,2007-05-21T08:08:27Z,27.991993,95.410927,137.278,21.40994,0,0,No Data,No Data
1179735098,2007-05-21T08:11:38Z,27.987783,95.408393,136.708,21.94065,0,0,No Data,No Data
1179735200,2007-05-21T08:13:20Z,27.986020,95.406336,132.897,22.22239,0,0,No Data,No Data
1179735398,2007-05-21T08:16:38Z,27.981888,95.403251,136.707,22.77331,0,0,No Data,No Data
1179735678,2007-05-21T08:21:18Z,27.976499,95.398218,138.254,23.5509,0,0,No Data,No Data
1179736135,2007-05-21T08:28:55Z,27.969213,95.388290,132.805,24.82,0,0,No Data,No Data
1179736798,2007-05-21T08:39:58Z,27.961743,95.371596,141.253,26.6601,0,0,No Data,No Data
1179737512,2007-05-21T08:51:52Z,27.953480,95.353704,138.771,28.64548,0,0,No Data,No Data
1179737727,2007-05-21T08:55:27Z,27.951168,95.348229,138.346,29.24217,0,0,No Data,No Data
1179737834,2007-05-21T08:57:14Z,27.950523,95.345296,141.183,29.53931,0,0,No Data,No Data
1179738079,2007-05-21T09:01:19Z,27.949836,95.338409,145.014,30.22083,0,0,No Data,No Data
1179738258,2007-05-21T09:04:18Z,27.949915,95.333357,141.479,30.71765,0,0,No Data,No Data
1179738638,2007-05-21T09:10:38Z,27.949657,95.322626,145.152,31.77331,0,0,No Data,No Data
1179738994,2007-05-21T09:16:34Z,27.950290,95.312614,147.246,32.76039,0,0,No Data,No Data
1179739328,2007-05-21T09:22:08Z,27.951337,95.303235,150.929,33.69006,0,0,No Data,No Data
1179739722,2007-05-21T09:28:42Z,27.952568,95.292202,154.62,34.78363,0,0,No Data,No Data
1179740076,2007-05-21T09:34:36Z,27.954151,95.282350,161.478,35.76838,0,0,No Data,No Data
1179740164,2007-05-21T09:36:04Z,27.955351,95.280293,159.702,36.01075,0,0,No Data,No Data
1179740316,2007-05-21T09:38:36Z,27.958107,95.277356,162.953,36.43216,0,0,No Data,No Data
1179740510,2007-05-21T09:41:50Z,27.961468,95.273383,165.075,36.97313,0,0,No Data,No Data
1179740634,2007-05-21T09:43:54Z,27.964109,95.271543,164.941,37.31838,0,0,No Data,No Data
1179740745,2007-05-21T09:45:45Z,27.966273,95.269626,167.64,37.62428,0,0,No Data,No Data
1179740897,2007-05-21T09:48:17Z,27.969043,95.266674,167.708,38.04777,0,0,No Data,No Data
1179741002,2007-05-21T09:50:02Z,27.971570,95.265933,169.014,38.33837,0,0,No Data,No Data
1179741213,2007-05-21T09:53:33Z,27.976274,95.263266,173.597,38.92407,0,0,No Data,No Data
1179741310,2007-05-21T09:55:10Z,27.978389,95.261894,178.924,39.19545,0,0,No Data,No Data
1179741390,2007-05-21T09:56:30Z,27.980383,95.261631,178.602,39.41899,0,0,No Data,No Data
1179741565,2007-05-21T09:59:25Z,27.984500,95.259991,182.0,39.90496,0,0,No Data,No Data
1179741646,2007-05-21T10:00:46Z,27.986501,95.259725,185.14,40.12927,0,0,No Data,No Data
1179741945,2007-05-21T10:05:45Z,27.993672,95.257402,189.805,40.95969,0,0,No Data,No Data
1179742029,2007-05-21T10:07:09Z,27.995318,95.255948,191.862,41.19213,0,0,No Data,No Data
1179742188,2007-05-21T10:09:48Z,27.999280,95.255968,193.813,41.63333,0,0,No Data,No Data
1179742259,2007-05-21T10:10:59Z,28.000868,95.255068,192.0,41.8311,0,0,No Data,No Data
1179742399,2007-05-21T10:13:19Z,28.004352,95.255014,209.568,42.21903,0,0,No Data,No Data
1179742657,2007-05-21T10:17:37Z,28.010784,95.255394,210.595,42.9361,0,0,No Data,No Data
1179742801,2007-05-21T10:20:01Z,28.014345,95.254780,226.511,43.33722,0,0,No Data,No Data
1179742902,2007-05-21T10:21:42Z,28.016866,95.254580,232.719,43.6186,0,0,No Data,No Data
1179743160,2007-05-21T10:26:00Z,28.023293,95.254930,332.709,44.33499,0,0,No Data,No Data
1179743482,2007-05-21T10:31:22Z,28.031310,95.254365,403.55,45.22931,0,0,No Data,No Data
1179743764,2007-05-21T10:36:04Z,28.038289,95.255402,388.739,46.01294,0,0,No Data,No Data
1179743922,2007-05-21T10:38:42Z,28.042180,95.255945,511.901,46.44948,0,0,No Data,No Data
1179744244,2007-05-21T10:44:04Z,28.050162,95.257118,501.945,47.34558,0,0,No Data,No Data
1179744605,2007-05-21T10:50:05Z,28.059135,95.257838,565.044,48.3471,0,0,No Data,No Data
1179744828,2007-05-21T10:53:48Z,28.064667,95.258652,565.632,48.96822,0,0,No Data,No Data
