YEAR,TEMPERATURE,CO2,RAINFALL
01-01-1961 00:00,16.04,0.217250044,11.5
01-02-1961 00:00,16.23,0.217250044,19.7
01-03-1961 00:00,21.12,0.217250044,253.8
01-04-1961 00:00,23.97,0.217250044,123
01-05-1961 00:00,25.2,0.217250044,355.8
01-06-1961 00:00,26.65,0.217250044,335.4
01-07-1961 00:00,27.27,0.217250044,352.9
01-08-1961 00:00,27.27,0.217250044,347.4
01-09-1961 00:00,26.53,0.217250044,226.1
01-10-1961 00:00,24.44,0.217250044,128.1
01-11-1961 00:00,18.95,0.217250044,34.8
01-12-1961 00:00,14.53,0.217250044,6.9
01-01-1962 00:00,14.18,0.239017202,24.9
01-02-1962 00:00,17.34,0.239017202,27.6
01-03-1962 00:00,20.76,0.239017202,17.3
01-04-1962 00:00,24.08,0.239017202,134.7
01-05-1962 00:00,24.35,0.239017202,369
01-06-1962 00:00,26.27,0.239017202,601.4
01-07-1962 00:00,27.49,0.239017202,338.8
01-08-1962 00:00,26.26,0.239017202,509.8
01-09-1962 00:00,26.68,0.239017202,137.4
01-10-1962 00:00,23.86,0.239017202,118.2
01-11-1962 00:00,19.99,0.239017202,11.1
01-12-1962 00:00,16.34,0.239017202,5.8
01-01-1963 00:00,14.95,0.256703399,3.3
01-02-1963 00:00,18.14,0.256703399,7.9
01-03-1963 00:00,20.83,0.256703399,51.1
01-04-1963 00:00,22.76,0.256703399,183.3
01-05-1963 00:00,24.32,0.256703399,288.4
01-06-1963 00:00,26.35,0.256703399,596
01-07-1963 00:00,27.04,0.256703399,557.3
01-08-1963 00:00,26.81,0.256703399,432
01-09-1963 00:00,26.89,0.256703399,211.7
01-10-1963 00:00,23.73,0.256703399,144.1
01-11-1963 00:00,19.43,0.256703399,29.4
01-12-1963 00:00,16.48,0.256703399,7.2
01-01-1964 00:00,14.84,0.250979058,9.6
01-02-1964 00:00,17.33,0.250979058,22.6
01-03-1964 00:00,21.43,0.250979058,80.7
01-04-1964 00:00,22.82,0.250979058,268.3
01-05-1964 00:00,24.63,0.250979058,297.4
01-06-1964 00:00,26.33,0.250979058,557.9
01-07-1964 00:00,26.4,0.250979058,600.3
01-08-1964 00:00,27.07,0.250979058,340.4
01-09-1964 00:00,26.49,0.250979058,326.3
01-10-1964 00:00,25.1,0.250979058,205.1
01-11-1964 00:00,21.05,0.250979058,8.3
01-12-1964 00:00,16.39,0.250979058,12.8
01-01-1965 00:00,15.43,0.276509497,5.1
01-02-1965 00:00,16.84,0.276509497,73.6
01-03-1965 00:00,19.71,0.276509497,52.5
01-04-1965 00:00,23.16,0.276509497,158.2
01-05-1965 00:00,25.36,0.276509497,327.1
01-06-1965 00:00,26.44,0.276509497,501
01-07-1965 00:00,26.6,0.276509497,399.6
01-08-1965 00:00,25.92,0.276509497,422.1
01-09-1965 00:00,26.05,0.276509497,304
01-10-1965 00:00,23.65,0.276509497,82.4
01-11-1965 00:00,19.39,0.276509497,60.8
01-12-1965 00:00,17.04,0.276509497,12.5
01-01-1966 00:00,15.47,0.286162068,20
01-02-1966 00:00,18.79,0.286162068,23.6
01-03-1966 00:00,21.77,0.286162068,36.1
01-04-1966 00:00,23.88,0.286162068,164.3
01-05-1966 00:00,26.08,0.286162068,323.7
01-06-1966 00:00,25.62,0.286162068,780.5
01-07-1966 00:00,27.11,0.286162068,507.1
