Date,Temperature,State
1961-01-01 00:00:00,16.04,Assam & Meghalaya
1961-02-01 00:00:00,16.23,Assam & Meghalaya
1961-03-01 00:00:00,21.12,Assam & Meghalaya
1961-04-01 00:00:00,23.97,Assam & Meghalaya
1961-05-01 00:00:00,25.2,Assam & Meghalaya
1961-06-01 00:00:00,26.65,Assam & Meghalaya
1961-07-01 00:00:00,27.27,Assam & Meghalaya
1961-08-01 00:00:00,27.27,Assam & Meghalaya
1961-09-01 00:00:00,26.53,Assam & Meghalaya
1961-10-01 00:00:00,24.44,Assam & Meghalaya
1961-11-01 00:00:00,18.95,Assam & Meghalaya
1961-12-01 00:00:00,14.53,Assam & Meghalaya
1962-01-01 00:00:00,14.18,Assam & Meghalaya
1962-02-01 00:00:00,17.34,Assam & Meghalaya
1962-03-01 00:00:00,20.76,Assam & Meghalaya
1962-04-01 00:00:00,24.08,Assam & Meghalaya
1962-05-01 00:00:00,24.35,Assam & Meghalaya
1962-06-01 00:00:00,26.27,Assam & Meghalaya
1962-07-01 00:00:00,27.49,Assam & Meghalaya
1962-08-01 00:00:00,26.26,Assam & Meghalaya
1962-09-01 00:00:00,26.68,Assam & Meghalaya
1962-10-01 00:00:00,23.86,Assam & Meghalaya
1962-11-01 00:00:00,19.99,Assam & Meghalaya
1962-12-01 00:00:00,16.34,Assam & Meghalaya
1963-01-01 00:00:00,14.95,Assam & Meghalaya
1963-02-01 00:00:00,18.14,Assam & Meghalaya
1963-03-01 00:00:00,20.83,Assam & Meghalaya
1963-04-01 00:00:00,22.76,Assam & Meghalaya
1963-05-01 00:00:00,24.32,Assam & Meghalaya
1963-06-01 00:00:00,26.35,Assam & Meghalaya
1963-07-01 00:00:00,27.04,Assam & Meghalaya
1963-08-01 00:00:00,26.81,Assam & Meghalaya
1963-09-01 00:00:00,26.89,Assam & Meghalaya
1963-10-01 00:00:00,23.73,Assam & Meghalaya
1963-11-01 00:00:00,19.43,Assam & Meghalaya
1963-12-01 00:00:00,16.48,Assam & Meghalaya
1964-01-01 00:00:00,14.84,Assam & Meghalaya
1964-02-01 00:00:00,17.33,Assam & Meghalaya
1964-03-01 00:00:00,21.43,Assam & Meghalaya
1964-04-01 00:00:00,22.82,Assam & Meghalaya
1964-05-01 00:00:00,24.63,Assam & Meghalaya
1964-06-01 00:00:00,26.33,Assam & Meghalaya
1964-07-01 00:00:00,26.4,Assam & Meghalaya
1964-08-01 00:00:00,27.07,Assam & Meghalaya
1964-09-01 00:00:00,26.49,Assam & Meghalaya
1964-10-01 00:00:00,25.1,Assam & Meghalaya
1964-11-01 00:00:00,21.05,Assam & Meghalaya
1964-12-01 00:00:00,16.39,Assam & Meghalaya
1965-01-01 00:00:00,15.43,Assam & Meghalaya
1965-02-01 00:00:00,16.84,Assam & Meghalaya
1965-03-01 00:00:00,19.71,Assam & Meghalaya
1965-04-01 00:00:00,23.16,Assam & Meghalaya
1965-05-01 00:00:00,25.36,Assam & Meghalaya
1965-06-01 00:00:00,26.44,Assam & Meghalaya
1965-07-01 00:00:00,26.6,Assam & Meghalaya
1965-08-01 00:00:00,25.92,Assam & Meghalaya
1965-09-01 00:00:00,26.05,Assam & Meghalaya
1965-10-01 00:00:00,23.65,Assam & Meghalaya
1965-11-01 00:00:00,19.39,Assam & Meghalaya
1965-12-01 00:00:00,17.04,Assam & Meghalaya
1966-01-01 00:00:00,15.47,Assam & Meghalaya
1966-02-01 00:00:00,18.79,Assam & Meghalaya
1966-03-01 00:00:00,21.77,Assam & Meghalaya
1966-04-01 00:00:00,23.88,Assam & Meghalaya
1966-05-01 00:00:00,26.08,Assam & Meghalaya
1966-06-01 00:00:00,25.62,Assam & Meghalaya
1966-07-01 00:00:00,27.11,Assam & Meghalaya
1966-08-01 00:00:00,26.62,Assam & Meghalaya
1966-09-01 00:00:00,25.95,Assam & Meghalaya
1966-10-01 00:00:00,22.87,Assam & Meghalaya
1966-11-01 00:00:00,21.41,Assam & Meghalaya
1966-12-01 00:00:00,16.75,Assam & Meghalaya
1967-01-01 00:00:00,16.0,Assam & Meghalaya
1967-02-01 00:00:00,17.9,Assam & Meghalaya
1967-03-01 00:00:00,19.88,Assam & Meghalaya
1967-04-01 00:00:00,22.33,Assam & Meghalaya
1967-05-01 00:00:00,24.75,Assam & Meghalaya
1967-06-01 00:00:00,26.1,Assam & Meghalaya
1967-07-01 00:00:00,26.98,Assam & Meghalaya
1967-08-01 00:00:00,27.36,Assam & Meghalaya
1967-09-01 00:00:00,26.16,Assam & Meghalaya
1967-10-01 00:00:00,23.26,Assam & Meghalaya
1967-11-01 00:00:00,18.87,Assam & Meghalaya
1967-12-01 00:00:00,16.5,Assam & Meghalaya
1968-01-01 00:00:00,14.91,Assam & Meghalaya
1968-02-01 00:00:00,16.22,Assam & Meghalaya
1968-03-01 00:00:00,20.89,Assam & Meghalaya
1968-04-01 00:00:00,22.67,Assam & Meghalaya
1968-05-01 00:00:00,24.64,Assam & Meghalaya
1968-06-01 00:00:00,25.98,Assam & Meghalaya
1968-07-01 00:00:00,26.55,Assam & Meghalaya
1968-08-01 00:00:00,27.01,Assam & Meghalaya
1968-09-01 00:00:00,26.6,Assam & Meghalaya
1968-10-01 00:00:00,23.69,Assam & Meghalaya
1968-11-01 00:00:00,20.35,Assam & Meghalaya
1968-12-01 00:00:00,16.46,Assam & Meghalaya
1969-01-01 00:00:00,15.03,Assam & Meghalaya
1969-02-01 00:00:00,17.67,Assam & Meghalaya
1969-03-01 00:00:00,21.74,Assam & Meghalaya
1969-04-01 00:00:00,23.57,Assam & Meghalaya
1969-05-01 00:00:00,25.89,Assam & Meghalaya
1969-06-01 00:00:00,26.42,Assam & Meghalaya
1969-07-01 00:00:00,27.23,Assam & Meghalaya
1969-08-01 00:00:00,26.46,Assam & Meghalaya
1969-09-01 00:00:00,26.54,Assam & Meghalaya
1969-10-01 00:00:00,23.73,Assam & Meghalaya
1969-11-01 00:00:00,20.4,Assam & Meghalaya
1969-12-01 00:00:00,16.84,Assam & Meghalaya
1970-01-01 00:00:00,14.79,Assam & Meghalaya
1970-02-01 00:00:00,17.16,Assam & Meghalaya
1970-03-01 00:00:00,21.15,Assam & Meghalaya
1970-04-01 00:00:00,23.68,Assam & Meghalaya
1970-05-01 00:00:00,25.46,Assam & Meghalaya
1970-06-01 00:00:00,26.51,Assam & Meghalaya
1970-07-01 00:00:00,26.68,Assam & Meghalaya
1970-08-01 00:00:00,26.94,Assam & Meghalaya
1970-09-01 00:00:00,26.44,Assam & Meghalaya
1970-10-01 00:00:00,23.82,Assam & Meghalaya
1970-11-01 00:00:00,20.1,Assam & Meghalaya
1970-12-01 00:00:00,16.6,Assam & Meghalaya
1971-01-01 00:00:00,15.22,Assam & Meghalaya
1971-02-01 00:00:00,16.92,Assam & Meghalaya
1971-03-01 00:00:00,21.4,Assam & Meghalaya
1971-04-01 00:00:00,22.55,Assam & Meghalaya
1971-05-01 00:00:00,24.91,Assam & Meghalaya
1971-06-01 00:00:00,26.29,Assam & Meghalaya
1971-07-01 00:00:00,26.63,Assam & Meghalaya
1971-08-01 00:00:00,26.29,Assam & Meghalaya
1971-09-01 00:00:00,26.45,Assam & Meghalaya
1971-10-01 00:00:00,24.12,Assam & Meghalaya
1971-11-01 00:00:00,19.29,Assam & Meghalaya
1971-12-01 00:00:00,16.08,Assam & Meghalaya
1972-01-01 00:00:00,16.1,Assam & Meghalaya
1972-02-01 00:00:00,16.64,Assam & Meghalaya
1972-03-01 00:00:00,21.38,Assam & Meghalaya
1972-04-01 00:00:00,22.29,Assam & Meghalaya
1972-05-01 00:00:00,25.09,Assam & Meghalaya
1972-06-01 00:00:00,26.51,Assam & Meghalaya
1972-07-01 00:00:00,27.29,Assam & Meghalaya
1972-08-01 00:00:00,26.95,Assam & Meghalaya
1972-09-01 00:00:00,26.18,Assam & Meghalaya
1972-10-01 00:00:00,24.17,Assam & Meghalaya
1972-11-01 00:00:00,20.36,Assam & Meghalaya
1972-12-01 00:00:00,16.74,Assam & Meghalaya
1973-01-01 00:00:00,15.85,Assam & Meghalaya
1973-02-01 00:00:00,18.44,Assam & Meghalaya
1973-03-01 00:00:00,21.23,Assam & Meghalaya
1973-04-01 00:00:00,24.42,Assam & Meghalaya
1973-05-01 00:00:00,24.98,Assam & Meghalaya
1973-06-01 00:00:00,26.23,Assam & Meghalaya
1973-07-01 00:00:00,27.56,Assam & Meghalaya
1973-08-01 00:00:00,27.13,Assam & Meghalaya
1973-09-01 00:00:00,26.54,Assam & Meghalaya
1973-10-01 00:00:00,24.53,Assam & Meghalaya
1973-11-01 00:00:00,20.21,Assam & Meghalaya
1973-12-01 00:00:00,16.33,Assam & Meghalaya
1974-01-01 00:00:00,14.81,Assam & Meghalaya
1974-02-01 00:00:00,17.71,Assam & Meghalaya
1974-03-01 00:00:00,20.94,Assam & Meghalaya
1974-04-01 00:00:00,23.13,Assam & Meghalaya
1974-05-01 00:00:00,24.95,Assam & Meghalaya
1974-06-01 00:00:00,26.47,Assam & Meghalaya
1974-07-01 00:00:00,25.95,Assam & Meghalaya
1974-08-01 00:00:00,26.88,Assam & Meghalaya
1974-09-01 00:00:00,25.6,Assam & Meghalaya
1974-10-01 00:00:00,25.44,Assam & Meghalaya
1974-11-01 00:00:00,21.65,Assam & Meghalaya
1974-12-01 00:00:00,15.71,Assam & Meghalaya
1975-01-01 00:00:00,15.21,Assam & Meghalaya
1975-02-01 00:00:00,17.56,Assam & Meghalaya
1975-03-01 00:00:00,21.83,Assam & Meghalaya
1975-04-01 00:00:00,23.96,Assam & Meghalaya
1975-05-01 00:00:00,24.7,Assam & Meghalaya
1975-06-01 00:00:00,26.9,Assam & Meghalaya
1975-07-01 00:00:00,26.29,Assam & Meghalaya
1975-08-01 00:00:00,26.94,Assam & Meghalaya
1975-09-01 00:00:00,26.04,Assam & Meghalaya
1975-10-01 00:00:00,24.99,Assam & Meghalaya
1975-11-01 00:00:00,20.11,Assam & Meghalaya
1975-12-01 00:00:00,15.57,Assam & Meghalaya
1976-01-01 00:00:00,15.18,Assam & Meghalaya
1976-02-01 00:00:00,18.14,Assam & Meghalaya
1976-03-01 00:00:00,21.56,Assam & Meghalaya
1976-04-01 00:00:00,23.79,Assam & Meghalaya
1976-05-01 00:00:00,24.75,Assam & Meghalaya
1976-06-01 00:00:00,25.64,Assam & Meghalaya
1976-07-01 00:00:00,26.57,Assam & Meghalaya
1976-08-01 00:00:00,26.49,Assam & Meghalaya
1976-09-01 00:00:00,26.39,Assam & Meghalaya
1976-10-01 00:00:00,23.57,Assam & Meghalaya
