UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,26.458021,92.419249,62.663,0,0,0,No Data,No Data
1179727496,2007-05-21T06:04:56Z,26.451469,92.423083,62.905,0.8234906,0,0,No Data,No Data
1179727815,2007-05-21T06:10:15Z,26.444938,92.428147,62.76,1.708571,0,0,No Data,No Data
1179728195,2007-05-21T06:16:35Z,26.437326,92.434464,60.286,2.764336,0,0,No Data,No Data
1179728734,2007-05-21T06:25:34Z,26.429816,92.446935,59.773,4.262569,0,0,No Data,No Data
1179729363,2007-05-21T06:36:03Z,26.420121,92.460682,58.7,6.007136,0,0,No Data,No Data
1179730025,2007-05-21T06:47:05Z,26.410445,92.475658,61.098,7.848338,0,0,No Data,No Data
1179731094,2007-05-21T07:04:54Z,26.397642,92.501775,62.914,10.81714,0,0,No Data,No Data
1179731849,2007-05-21T07:17:29Z,26.391348,92.521599,61.889,12.91461,0,0,No Data,No Data
1179732996,2007-05-21T07:36:36Z,26.384127,92.552520,61.092,16.10148,0,0,No Data,No Data
1179733725,2007-05-21T07:48:45Z,26.380030,92.572299,61.732,18.12622,0,0,No Data,No Data
1179734133,2007-05-21T07:55:33Z,26.378000,92.583419,61.793,19.25812,0,0,No Data,No Data
1179734958,2007-05-21T08:09:18Z,26.372835,92.605681,60.853,21.55183,0,0,No Data,No Data
1179735932,2007-05-21T08:25:32Z,26.372151,92.632784,64.575,24.25628,0,0,No Data,No Data
1179736640,2007-05-21T08:37:20Z,26.372453,92.652481,61.922,26.22122,0,0,No Data,No Data
1179736861,2007-05-21T08:41:01Z,26.372547,92.658636,64.979,26.83527,0,0,No Data,No Data
1179737126,2007-05-21T08:45:26Z,26.372659,92.666022,64.595,27.57217,0,0,No Data,No Data
1179737364,2007-05-21T08:49:24Z,26.374958,92.672137,64.257,28.23366,0,0,No Data,No Data
1179737799,2007-05-21T08:56:39Z,26.379536,92.683136,64.358,29.44341,0,0,No Data,No Data
1179738156,2007-05-21T09:02:36Z,26.384076,92.691678,64.361,30.43409,0,0,No Data,No Data
1179738612,2007-05-21T09:10:12Z,26.389756,92.702665,64.183,31.69929,0,0,No Data,No Data
1179739205,2007-05-21T09:20:05Z,26.396594,92.717327,64.603,33.34782,0,0,No Data,No Data
1179739393,2007-05-21T09:23:13Z,26.399958,92.720962,66.843,33.86911,0,0,No Data,No Data
1179739828,2007-05-21T09:30:28Z,26.404534,92.731971,68.538,35.07939,0,0,No Data,No Data
1179740333,2007-05-21T09:38:53Z,26.408043,92.745469,70.5,36.48092,0,0,No Data,No Data
1179740729,2007-05-21T09:45:29Z,26.412600,92.755251,65.025,37.58043,0,0,No Data,No Data
1179741234,2007-05-21T09:53:54Z,26.416108,92.768754,65.839,38.9823,0,0,No Data,No Data
1179741809,2007-05-21T10:03:29Z,26.421840,92.783455,72.443,40.58097,0,0,No Data,No Data
1179742486,2007-05-21T10:14:46Z,26.425417,92.801899,68.277,42.46248,0,0,No Data,No Data
1179742904,2007-05-21T10:21:44Z,26.431076,92.811673,68.913,43.62286,0,0,No Data,No Data
1179743261,2007-05-21T10:27:41Z,26.435614,92.820234,68.263,44.61471,0,0,No Data,No Data
1179743679,2007-05-21T10:34:39Z,26.441273,92.830013,66.054,45.77547,0,0,No Data,No Data
1179744275,2007-05-21T10:44:35Z,26.451382,92.842188,70.521,47.43069,0,0,No Data,No Data
1179744683,2007-05-21T10:51:23Z,26.459214,92.849465,66.11,48.56497,0,0,No Data,No Data
1179745218,2007-05-21T11:00:18Z,26.471444,92.855435,71.182,50.05097,0,0,No Data,No Data
1179745636,2007-05-21T11:07:16Z,26.480364,92.861464,68.875,51.21173,0,0,No Data,No Data
1179746154,2007-05-21T11:15:54Z,26.492579,92.866204,69.752,52.6514,0,0,No Data,No Data
1179746617,2007-05-21T11:23:37Z,26.503674,92.869728,69.064,53.93557,0,0,No Data,No Data
1179747068,2007-05-21T11:31:08Z,26.514752,92.872019,66.828,55.18984,0,0,No Data,No Data
1179747476,2007-05-21T11:37:56Z,26.524727,92.874329,68.213,56.32397,0,0,No Data,No Data
1179747928,2007-05-21T11:45:28Z,26.535807,92.876623,71.981,57.57853,0,0,No Data,No Data
1179748149,2007-05-21T11:49:09Z,26.541329,92.876533,74.81,58.19345,0,0,No Data,No Data
1179748371,2007-05-21T11:52:51Z,26.546853,92.876445,70.025,58.80854,0,0,No Data,No Data
1179748693,2007-05-21T11:58:13Z,26.554622,92.878795,72.47,59.70464,0,0,No Data,No Data
1179748963,2007-05-21T12:02:43Z,26.561269,92.879927,71.043,60.45323,0,0,No Data,No Data
1179749362,2007-05-21T12:09:22Z,26.571212,92.879767,75.204,61.56037,0,0,No Data,No Data
1179749600,2007-05-21T12:13:20Z,26.576772,92.882152,73.342,62.22346,0,0,No Data,No Data
1179749740,2007-05-21T12:15:40Z,26.580069,92.880862,70.199,62.61236,0,0,No Data,No Data
