UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,27.105987,94.441273,92.235,0,0,0,No Data,No Data
1179727858,2007-05-21T06:10:58Z,27.109156,94.423184,88.833,1.827023,0,0,No Data,No Data
1179729213,2007-05-21T06:33:33Z,27.129423,94.392778,91.077,5.59108,0,0,No Data,No Data
1179731681,2007-05-21T07:14:41Z,27.168724,94.339476,87.413,12.44855,0,0,No Data,No Data
1179733564,2007-05-21T07:46:04Z,27.203490,94.303968,91.963,17.67787,0,0,No Data,No Data
1179735800,2007-05-21T08:23:20Z,27.251326,94.271687,88.433,23.88865,0,0,No Data,No Data
1179736553,2007-05-21T08:35:53Z,27.267440,94.260807,90.902,25.98101,0,0,No Data,No Data
1179736881,2007-05-21T08:41:21Z,27.274637,94.256410,91.826,26.89279,0,0,No Data,No Data
1179737210,2007-05-21T08:46:50Z,27.281851,94.252003,92.421,27.80669,0,0,No Data,No Data
1179738121,2007-05-21T09:02:01Z,27.303701,94.244938,90.616,30.33767,0,0,No Data,No Data
1179738718,2007-05-21T09:11:58Z,27.318389,94.242278,93.652,31.994,0,0,No Data,No Data
1179739218,2007-05-21T09:20:18Z,27.329372,94.235585,93.753,33.38448,0,0,No Data,No Data
1179740043,2007-05-21T09:34:03Z,27.349775,94.232658,95.81,35.67437,0,0,No Data,No Data
1179740757,2007-05-21T09:45:57Z,27.366492,94.225672,94.04,37.65954,0,0,No Data,No Data
1179741436,2007-05-21T09:57:16Z,27.383409,94.224955,94.005,39.54429,0,0,No Data,No Data
1179741739,2007-05-21T10:02:19Z,27.390958,94.224635,96.222,40.38534,0,0,No Data,No Data
1179742499,2007-05-21T10:14:59Z,27.409911,94.223831,97.359,42.49686,0,0,No Data,No Data
1179743110,2007-05-21T10:25:10Z,27.425158,94.223185,101.51,44.19551,0,0,No Data,No Data
1179744341,2007-05-21T10:45:41Z,27.455835,94.221892,111.728,47.6132,0,0,No Data,No Data
1179744964,2007-05-21T10:56:04Z,27.471326,94.223375,126.562,49.34409,0,0,No Data,No Data
1179745527,2007-05-21T11:05:27Z,27.484990,94.227085,131.497,50.90887,0,0,No Data,No Data
1179746018,2007-05-21T11:13:38Z,27.496761,94.230891,144.056,52.2722,0,0,No Data,No Data
1179746946,2007-05-21T11:29:06Z,27.518181,94.240843,127.107,54.85149,0,0,No Data,No Data
1179747459,2007-05-21T11:37:39Z,27.529782,94.246910,216.293,56.27521,0,0,No Data,No Data
1179747846,2007-05-21T11:44:06Z,27.537730,94.253092,231.435,57.35016,0,0,No Data,No Data
1179748393,2007-05-21T11:53:13Z,27.547760,94.263537,352.021,58.87008,0,0,No Data,No Data
1179749108,2007-05-21T12:05:08Z,27.559892,94.278275,246.377,60.85519,0,0,No Data,No Data
1179749667,2007-05-21T12:14:27Z,27.568079,94.291019,240.622,62.40858,0,0,No Data,No Data
