UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,27.264768,94.738304,98.233,0,0,0,No Data,No Data
1179727395,2007-05-21T06:03:15Z,27.260368,94.740677,96.187,0.5431838,0,0,No Data,No Data
1179727689,2007-05-21T06:08:09Z,27.253772,94.744235,98.0,1.357535,0,0,No Data,No Data
1179728257,2007-05-21T06:17:37Z,27.240593,94.750131,97.355,2.936471,0,0,No Data,No Data
1179728948,2007-05-21T06:29:08Z,27.224144,94.755977,98.0,4.856922,0,0,No Data,No Data
1179730323,2007-05-21T06:52:03Z,27.190198,94.761547,101.685,8.676037,0,0,No Data,No Data
1179731700,2007-05-21T07:15:00Z,27.156368,94.768308,96.103,12.50136,0,0,No Data,No Data
1179732443,2007-05-21T07:27:23Z,27.137851,94.768027,95.166,14.56303,0,0,No Data,No Data
1179732879,2007-05-21T07:34:39Z,27.126974,94.767862,96.079,15.774,0,0,No Data,No Data
1179733577,2007-05-21T07:46:17Z,27.109593,94.766394,96.476,17.71439,0,0,No Data,No Data
1179734116,2007-05-21T07:55:16Z,27.096571,94.762583,98.797,19.21248,0,0,No Data,No Data
1179734464,2007-05-21T08:01:04Z,27.087906,94.762458,100.998,20.17717,0,0,No Data,No Data
1179734900,2007-05-21T08:08:20Z,27.077082,94.761097,93.685,21.38971,0,0,No Data,No Data
1179735386,2007-05-21T08:16:26Z,27.065184,94.758518,91.395,22.73871,0,0,No Data,No Data
1179735559,2007-05-21T08:19:19Z,27.060863,94.758457,96.424,23.21969,0,0,No Data,No Data
1179735689,2007-05-21T08:21:29Z,27.057624,94.758411,94.457,23.58022,0,0,No Data,No Data
1179735952,2007-05-21T08:25:52Z,27.051145,94.757115,92.654,24.31277,0,0,No Data,No Data
1179736216,2007-05-21T08:30:16Z,27.044670,94.755820,94.624,25.04486,0,0,No Data,No Data
1179736479,2007-05-21T08:34:39Z,27.038200,94.754526,92.886,25.77648,0,0,No Data,No Data
1179736914,2007-05-21T08:41:54Z,27.027426,94.753173,90.631,26.98335,0,0,No Data,No Data
1179737092,2007-05-21T08:44:52Z,27.023118,94.751912,93.22,27.4789,0,0,No Data,No Data
1179737407,2007-05-21T08:50:07Z,27.015583,94.749408,94.411,28.35365,0,0,No Data,No Data
1179737670,2007-05-21T08:54:30Z,27.009132,94.748121,92.938,29.08306,0,0,No Data,No Data
1179737863,2007-05-21T08:57:43Z,27.004828,94.745663,99.329,29.62061,0,0,No Data,No Data
1179738096,2007-05-21T09:01:36Z,26.999453,94.743192,100.228,30.26715,0,0,No Data,No Data
1179738312,2007-05-21T09:05:12Z,26.995151,94.739537,97.272,30.86777,0,0,No Data,No Data
1179738505,2007-05-21T09:08:25Z,26.990853,94.737083,93.538,31.40449,0,0,No Data,No Data
1179738661,2007-05-21T09:11:01Z,26.987629,94.734643,91.884,31.83729,0,0,No Data,No Data
1179738951,2007-05-21T09:15:51Z,26.981188,94.730965,95.558,32.64182,0,0,No Data,No Data
1179739202,2007-05-21T09:20:02Z,26.975822,94.727304,94.0,33.34096,0,0,No Data,No Data
1179739706,2007-05-21T09:28:26Z,26.965098,94.719988,98.193,34.73816,0,0,No Data,No Data
1179740137,2007-05-21T09:35:37Z,26.956523,94.712706,97.354,35.93541,0,0,No Data,No Data
1179740628,2007-05-21T09:43:48Z,26.946884,94.704223,99.532,37.29927,0,0,No Data,No Data
1179740938,2007-05-21T09:48:58Z,26.940465,94.699372,96.688,38.16085,0,0,No Data,No Data
1179741120,2007-05-21T09:52:00Z,26.937254,94.695754,95.611,38.66745,0,0,No Data,No Data
1179741585,2007-05-21T09:59:45Z,26.927638,94.688491,94.537,39.95802,0,0,No Data,No Data
1179741860,2007-05-21T10:04:20Z,26.922297,94.683663,97.159,40.72159,0,0,No Data,No Data
1179742229,2007-05-21T10:10:29Z,26.914827,94.677626,97.257,41.74661,0,0,No Data,No Data
1179742717,2007-05-21T10:18:37Z,26.905227,94.669190,94.286,43.10434,0,0,No Data,No Data
1179743026,2007-05-21T10:23:46Z,26.898834,94.664366,93.0,43.96209,0,0,No Data,No Data
1179743240,2007-05-21T10:27:20Z,26.894574,94.660755,95.002,44.55657,0,0,No Data,No Data
1179743431,2007-05-21T10:30:31Z,26.890318,94.658337,97.234,45.08768,0,0,No Data,No Data
1179743613,2007-05-21T10:33:33Z,26.887122,94.654738,96.073,45.59188,0,0,No Data,No Data
1179743887,2007-05-21T10:38:07Z,26.881802,94.649933,99.083,46.35236,0,0,No Data,No Data
1179744068,2007-05-21T10:41:08Z,26.878609,94.646337,96.585,46.85613,0,0,No Data,No Data
1179744222,2007-05-21T10:43:42Z,26.876477,94.642751,98.205,47.28402,0,0,No Data,No Data
1179744530,2007-05-21T10:48:50Z,26.872215,94.635580,99.0,48.13964,0,0,No Data,No Data
1179745029,2007-05-21T10:57:09Z,26.867938,94.622463,94.526,49.52649,0,0,No Data,No Data
1179745589,2007-05-21T11:06:29Z,26.865773,94.606989,98.59,51.08193,0,0,No Data,No Data
1179746144,2007-05-21T11:15:44Z,26.864667,94.591526,96.235,52.62247,0,0,No Data,No Data
1179746712,2007-05-21T11:25:12Z,26.861441,94.576057,96.784,54.20017,0,0,No Data,No Data
1179747013,2007-05-21T11:30:13Z,26.860355,94.567733,93.879,55.03563,0,0,No Data,No Data
1179747567,2007-05-21T11:39:27Z,26.859245,94.552283,97.865,56.57504,0,0,No Data,No Data
1179748168,2007-05-21T11:49:28Z,26.857072,94.535646,98.536,58.24497,0,0,No Data,No Data
1179748932,2007-05-21T12:02:12Z,26.856996,94.514266,95.341,60.36846,0,0,No Data,No Data
1179749654,2007-05-21T12:14:14Z,26.856922,94.494075,92.945,62.3738,0,0,No Data,No Data
1179749997,2007-05-21T12:19:57Z,26.857944,94.484573,99.501,63.32434,0,0,No Data,No Data
1179750347,2007-05-21T12:25:47Z,26.860024,94.475068,98.746,64.2963,0,0,No Data,No Data
1179750631,2007-05-21T12:30:31Z,26.863172,94.467935,93.422,65.08665,0,0,No Data,No Data
1179750940,2007-05-21T12:35:40Z,26.865257,94.459615,100.068,65.94492,0,0,No Data,No Data
1179751364,2007-05-21T12:42:44Z,26.871574,94.450091,94.805,67.12354,0,0,No Data,No Data
1179751729,2007-05-21T12:48:49Z,26.876839,94.441754,88.978,68.13791,0,0,No Data,No Data
1179752121,2007-05-21T12:55:21Z,26.883166,94.433408,91.834,69.22558,0,0,No Data,No Data
1179752206,2007-05-21T12:56:46Z,26.885288,94.433399,89.637,69.46184,0,0,No Data,No Data
1179752513,2007-05-21T13:01:53Z,26.891635,94.428615,92.975,70.31327,0,0,No Data,No Data
1179752703,2007-05-21T13:05:03Z,26.895871,94.426216,91.476,70.84162,0,0,No Data,No Data
1179752988,2007-05-21T13:09:48Z,26.902229,94.422617,91.417,71.63453,0,0,No Data,No Data
1179753289,2007-05-21T13:14:49Z,26.907516,94.416639,86.091,72.47041,0,0,No Data,No Data
1179753562,2007-05-21T13:19:22Z,26.912812,94.411849,86.519,73.22784,0,0,No Data,No Data
1179753869,2007-05-21T13:24:29Z,26.919173,94.407051,89.911,74.08132,0,0,No Data,No Data
1179754262,2007-05-21T13:31:02Z,26.925521,94.398674,87.473,75.17262,0,0,No Data,No Data
1179754416,2007-05-21T13:33:36Z,26.927635,94.395086,86.499,75.59943,0,0,No Data,No Data
