UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,25.535833,85.847907,47.978,0,0,0,No Data,No Data
1179727851,2007-05-21T06:10:51Z,25.545385,85.862476,47.553,1.809088,0,0,No Data,No Data
1179728922,2007-05-21T06:28:42Z,25.564427,85.883245,46.128,4.78329,0,0,No Data,No Data
1179730425,2007-05-21T06:53:45Z,25.589210,85.914447,49.213,8.958259,0,0,No Data,No Data
1179731016,2007-05-21T07:03:36Z,25.598745,85.926936,45.692,10.60124,0,0,No Data,No Data
1179732520,2007-05-21T07:28:40Z,25.623525,85.958164,44.104,14.77735,0,0,No Data,No Data
1179732948,2007-05-21T07:35:48Z,25.631142,85.966487,46.475,15.96782,0,0,No Data,No Data
1179733965,2007-05-21T07:52:45Z,25.642649,85.991554,45.266,18.79121,0,0,No Data,No Data
1179734473,2007-05-21T08:01:13Z,25.648401,86.004091,43.911,20.20309,0,0,No Data,No Data
1179735727,2007-05-21T08:22:07Z,25.661833,86.035448,44.431,23.68726,0,0,No Data,No Data
1179736413,2007-05-21T08:33:33Z,25.663840,86.054311,44.605,25.59335,0,0,No Data,No Data
1179736893,2007-05-21T08:41:33Z,25.667698,86.066871,44.172,26.9249,0,0,No Data,No Data
1179737196,2007-05-21T08:46:36Z,25.667748,86.075261,43.452,27.76689,0,0,No Data,No Data
1179738118,2007-05-21T09:01:58Z,25.664113,86.100457,41.0,30.32745,0,0,No Data,No Data
1179738729,2007-05-21T09:12:09Z,25.662317,86.117251,40.737,32.0245,0,0,No Data,No Data
1179738956,2007-05-21T09:15:56Z,25.662352,86.123544,39.253,32.65601,0,0,No Data,No Data
1179739581,2007-05-21T09:26:21Z,25.658663,86.140348,40.673,34.39159,0,0,No Data,No Data
1179740263,2007-05-21T09:37:43Z,25.658766,86.159229,39.036,36.28638,0,0,No Data,No Data
1179740869,2007-05-21T09:47:49Z,25.658855,86.176013,46.472,37.97072,0,0,No Data,No Data
1179741324,2007-05-21T09:55:24Z,25.658921,86.188601,44.399,39.23402,0,0,No Data,No Data
1179741855,2007-05-21T10:04:15Z,25.658997,86.203288,44.315,40.70798,0,0,No Data,No Data
1179742613,2007-05-21T10:16:53Z,25.659102,86.224273,45.179,42.81391,0,0,No Data,No Data
1179743144,2007-05-21T10:25:44Z,25.659175,86.238965,42.721,44.28837,0,0,No Data,No Data
1179743456,2007-05-21T10:30:56Z,25.657324,86.247370,40.401,45.15665,0,0,No Data,No Data
1179744155,2007-05-21T10:42:35Z,25.653632,86.266278,39.406,47.09818,0,0,No Data,No Data
1179745572,2007-05-21T11:06:12Z,25.644347,86.304099,41.72,51.03217,0,0,No Data,No Data
1179747403,2007-05-21T11:36:43Z,25.625631,86.350347,41.025,56.12033,0,0,No Data,No Data
1179749205,2007-05-21T12:06:45Z,25.608791,86.396583,37.145,61.12616,0,0,No Data,No Data
1179750460,2007-05-21T12:27:40Z,25.595666,86.428116,37.454,64.61297,0,0,No Data,No Data
1179751344,2007-05-21T12:42:24Z,25.584390,86.449138,42.371,67.06881,0,0,No Data,No Data
1179751996,2007-05-21T12:53:16Z,25.571188,86.459660,37.322,68.87899,0,0,No Data,No Data
1179753089,2007-05-21T13:11:29Z,25.548551,86.476498,37.537,71.91399,0,0,No Data,No Data
1179753468,2007-05-21T13:17:48Z,25.541007,86.482809,41.139,72.96625,0,0,No Data,No Data
1179753846,2007-05-21T13:24:06Z,25.533463,86.489121,42.237,74.01854,0,0,No Data,No Data
1179754438,2007-05-21T13:33:58Z,25.522150,86.499637,41.112,75.66241,0,0,No Data,No Data
1179754924,2007-05-21T13:42:04Z,25.512721,86.508049,46.134,77.01005,0,0,No Data,No Data
1179755409,2007-05-21T13:50:09Z,25.503292,86.516459,39.702,78.35765,0,0,No Data,No Data
1179755623,2007-05-21T13:53:43Z,25.499522,86.520663,39.204,78.95312,0,0,No Data,No Data
1179755961,2007-05-21T13:59:21Z,25.491972,86.524870,37.846,79.89397,0,0,No Data,No Data
1179756283,2007-05-21T14:04:43Z,25.486317,86.531175,40.143,80.7872,0,0,No Data,No Data
1179757041,2007-05-21T14:17:21Z,25.471225,86.543791,33.0,82.89215,0,0,No Data,No Data
1179757148,2007-05-21T14:19:08Z,25.469339,86.545893,33.0,83.18997,0,0,No Data,No Data
1179757556,2007-05-21T14:25:56Z,25.459898,86.550105,37.091,84.32306,0,0,No Data,No Data
1179757942,2007-05-21T14:32:22Z,25.450452,86.552219,39.183,85.39587,0,0,No Data,No Data
1179758245,2007-05-21T14:37:25Z,25.442892,86.552231,39.83,86.23742,0,0,No Data,No Data
1179758856,2007-05-21T14:47:36Z,25.427778,86.554353,38.034,87.93351,0,0,No Data,No Data
1179759310,2007-05-21T14:55:10Z,25.416439,86.554370,37.028,89.19577,0,0,No Data,No Data
1179759690,2007-05-21T15:01:30Z,25.410755,86.545984,39.831,90.24997,0,0,No Data,No Data
1179759860,2007-05-21T15:04:20Z,25.408858,86.541790,37.685,90.72157,0,0,No Data,No Data
