YEAR,TEMPERATURE,CO2,RAINFALL
01-01-1961 00:00,16.37,0.49858885,11.7
01-02-1961 00:00,17.17,0.49858885,35.8
01-03-1961 00:00,24.78,0.49858885,1.4
01-04-1961 00:00,29.25,0.49858885,2
01-05-1961 00:00,31.54,0.49858885,33.9
01-06-1961 00:00,29.92,0.49858885,239.7
01-07-1961 00:00,29.03,0.49858885,211.6
01-08-1961 00:00,28.69,0.49858885,317.5
01-09-1961 00:00,28.31,0.49858885,157.5
01-10-1961 00:00,25.62,0.49858885,236
01-11-1961 00:00,20.11,0.49858885,0.8
01-12-1961 00:00,14.4,0.49858885,10.1
01-01-1962 00:00,14.46,0.548544478,13
01-02-1962 00:00,18.45,0.548544478,7.8
01-03-1962 00:00,23.5,0.548544478,9.5
01-04-1962 00:00,28.63,0.548544478,20.8
01-05-1962 00:00,30.51,0.548544478,38.8
01-06-1962 00:00,30.3,0.548544478,156.4
01-07-1962 00:00,29.5,0.548544478,244.3
01-08-1962 00:00,28.18,0.548544478,395.4
01-09-1962 00:00,28.1,0.548544478,216.3
01-10-1962 00:00,25.02,0.548544478,72.5
01-11-1962 00:00,20.95,0.548544478,0
01-12-1962 00:00,16.85,0.548544478,3.2
01-01-1963 00:00,14.84,0.589134301,3.4
01-02-1963 00:00,19.53,0.589134301,1.7
01-03-1963 00:00,23.57,0.589134301,9.4
01-04-1963 00:00,27.82,0.589134301,17.5
01-05-1963 00:00,29.45,0.589134301,78.9
01-06-1963 00:00,30.2,0.589134301,154
01-07-1963 00:00,28.78,0.589134301,375.4
01-08-1963 00:00,28.67,0.589134301,273.5
01-09-1963 00:00,28.28,0.589134301,255.7
01-10-1963 00:00,26.04,0.589134301,138.7
01-11-1963 00:00,21.77,0.589134301,17.8
01-12-1963 00:00,17.49,0.589134301,0.2
01-01-1964 00:00,15.58,0.575996939,1.4
01-02-1964 00:00,18.43,0.575996939,3.3
01-03-1964 00:00,25.12,0.575996939,2.4
01-04-1964 00:00,28.95,0.575996939,21.9
01-05-1964 00:00,29.63,0.575996939,59.3
01-06-1964 00:00,30.95,0.575996939,134.7
01-07-1964 00:00,27.95,0.575996939,453.6
01-08-1964 00:00,28.62,0.575996939,157.7
01-09-1964 00:00,28.19,0.575996939,219
01-10-1964 00:00,26.6,0.575996939,66.3
01-11-1964 00:00,21.18,0.575996939,2.7
01-12-1964 00:00,17.03,0.575996939,0
01-01-1965 00:00,16.37,0.634589295,0.4
01-02-1965 00:00,18.46,0.634589295,1.2
01-03-1965 00:00,22.69,0.634589295,15.7
01-04-1965 00:00,27.67,0.634589295,7.1
01-05-1965 00:00,31,0.634589295,7.7
01-06-1965 00:00,31.55,0.634589295,98.8
01-07-1965 00:00,28.53,0.634589295,302.2
01-08-1965 00:00,28.2,0.634589295,328.3
01-09-1965 00:00,27.96,0.634589295,215
01-10-1965 00:00,25.73,0.634589295,22.2
01-11-1965 00:00,21.36,0.634589295,1.8
01-12-1965 00:00,16.28,0.634589295,2.4
01-01-1966 00:00,15.81,0.656741945,21.2
01-02-1966 00:00,20.03,0.656741945,6.9
01-03-1966 00:00,24.32,0.656741945,0.1
01-04-1966 00:00,29.59,0.656741945,0.9
01-05-1966 00:00,31.35,0.656741945,39.5
01-06-1966 00:00,31.04,0.656741945,114.5
01-07-1966 00:00,29.48,0.656741945,155.5
01-08-1966 00:00,28.53,0.656741945,308.3
01-09-1966 00:00,28.51,0.656741945,83.1
01-10-1966 00:00,25.63,0.656741945,18.3
01-11-1966 00:00,22.31,0.656741945,17.1
01-12-1966 00:00,16.79,0.656741945,1.6
01-01-1967 00:00,15.94,0.658550611,0.2
01-02-1967 00:00,19.75,0.658550611,0.1
01-03-1967 00:00,22.78,0.658550611,38.6
01-04-1967 00:00,27.24,0.658550611,30.6
01-05-1967 00:00,30.72,0.658550611,23.6
01-06-1967 00:00,31.31,0.658550611,80.7
01-07-1967 00:00,29.19,0.658550611,278.2
01-08-1967 00:00,28.43,0.658550611,282.1
01-09-1967 00:00,28.14,0.658550611,253.8
01-10-1967 00:00,25.33,0.658550611,10.3
01-11-1967 00:00,20.47,0.658550611,0.1
01-12-1967 00:00,17.83,0.658550611,1.5
01-01-1968 00:00,15.25,0.716273687,29.1
01-02-1968 00:00,17.51,0.716273687,1.7
01-03-1968 00:00,23.67,0.716273687,7
01-04-1968 00:00,28.06,0.716273687,3
01-05-1968 00:00,31,0.716273687,17.3
01-06-1968 00:00,29.14,0.716273687,261.8
