Date,Temperature,State
1961-01-01 00:00:00,16.37,Bihar
1961-02-01 00:00:00,17.17,Bihar
1961-03-01 00:00:00,24.78,Bihar
1961-04-01 00:00:00,29.25,Bihar
1961-05-01 00:00:00,31.54,Bihar
1961-06-01 00:00:00,29.92,Bihar
1961-07-01 00:00:00,29.03,Bihar
1961-08-01 00:00:00,28.69,Bihar
1961-09-01 00:00:00,28.31,Bihar
1961-10-01 00:00:00,25.62,Bihar
1961-11-01 00:00:00,20.11,Bihar
1961-12-01 00:00:00,14.4,Bihar
1962-01-01 00:00:00,14.46,Bihar
1962-02-01 00:00:00,18.45,Bihar
1962-03-01 00:00:00,23.5,Bihar
1962-04-01 00:00:00,28.63,Bihar
1962-05-01 00:00:00,30.51,Bihar
1962-06-01 00:00:00,30.3,Bihar
1962-07-01 00:00:00,29.5,Bihar
1962-08-01 00:00:00,28.18,Bihar
1962-09-01 00:00:00,28.1,Bihar
1962-10-01 00:00:00,25.02,Bihar
1962-11-01 00:00:00,20.95,Bihar
1962-12-01 00:00:00,16.85,Bihar
1963-01-01 00:00:00,14.84,Bihar
1963-02-01 00:00:00,19.53,Bihar
1963-03-01 00:00:00,23.57,Bihar
1963-04-01 00:00:00,27.82,Bihar
1963-05-01 00:00:00,29.45,Bihar
1963-06-01 00:00:00,30.2,Bihar
1963-07-01 00:00:00,28.78,Bihar
1963-08-01 00:00:00,28.67,Bihar
1963-09-01 00:00:00,28.28,Bihar
1963-10-01 00:00:00,26.04,Bihar
1963-11-01 00:00:00,21.77,Bihar
1963-12-01 00:00:00,17.49,Bihar
1964-01-01 00:00:00,15.58,Bihar
1964-02-01 00:00:00,18.43,Bihar
1964-03-01 00:00:00,25.12,Bihar
1964-04-01 00:00:00,28.95,Bihar
1964-05-01 00:00:00,29.63,Bihar
1964-06-01 00:00:00,30.95,Bihar
1964-07-01 00:00:00,27.95,Bihar
1964-08-01 00:00:00,28.62,Bihar
1964-09-01 00:00:00,28.19,Bihar
1964-10-01 00:00:00,26.6,Bihar
1964-11-01 00:00:00,21.18,Bihar
1964-12-01 00:00:00,17.03,Bihar
1965-01-01 00:00:00,16.37,Bihar
1965-02-01 00:00:00,18.46,Bihar
1965-03-01 00:00:00,22.69,Bihar
1965-04-01 00:00:00,27.67,Bihar
1965-05-01 00:00:00,31.0,Bihar
1965-06-01 00:00:00,31.55,Bihar
1965-07-01 00:00:00,28.53,Bihar
1965-08-01 00:00:00,28.2,Bihar
1965-09-01 00:00:00,27.96,Bihar
1965-10-01 00:00:00,25.73,Bihar
1965-11-01 00:00:00,21.36,Bihar
1965-12-01 00:00:00,16.28,Bihar
1966-01-01 00:00:00,15.81,Bihar
1966-02-01 00:00:00,20.03,Bihar
1966-03-01 00:00:00,24.32,Bihar
1966-04-01 00:00:00,29.59,Bihar
