UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,25.474551,87.266933,33.314,0,0,0,No Data,No Data
1179727789,2007-05-21T06:09:49Z,25.484925,87.278476,34.79,1.637097,0,0,No Data,No Data
1179729679,2007-05-21T06:41:19Z,25.520197,87.313145,36.237,6.886477,0,0,No Data,No Data
1179731931,2007-05-21T07:18:51Z,25.555429,87.361675,36.52,13.14349,0,0,No Data,No Data
1179732949,2007-05-21T07:35:49Z,25.569924,87.384792,33.683,15.97096,0,0,No Data,No Data
1179733736,2007-05-21T07:48:56Z,25.580270,87.403289,36.983,18.15668,0,0,No Data,No Data
1179734037,2007-05-21T07:53:57Z,25.584410,87.410229,34.725,18.9922,0,0,No Data,No Data
1179734673,2007-05-21T08:04:33Z,25.590601,87.426410,35.615,20.75717,0,0,No Data,No Data
1179735274,2007-05-21T08:14:34Z,25.598879,87.440294,34.89,22.42833,0,0,No Data,No Data
1179735723,2007-05-21T08:22:03Z,25.603003,87.451855,35.557,23.6766,0,0,No Data,No Data
1179736331,2007-05-21T08:32:11Z,25.607111,87.468039,35.949,25.3646,0,0,No Data,No Data
1179736749,2007-05-21T08:39:09Z,25.607073,87.479588,33.253,26.52408,0,0,No Data,No Data
1179737166,2007-05-21T08:46:06Z,25.607034,87.491138,33.571,27.68373,0,0,No Data,No Data
1179737500,2007-05-21T08:51:40Z,25.607003,87.500379,35.948,28.61153,0,0,No Data,No Data
1179738173,2007-05-21T09:02:53Z,25.598623,87.516513,34.816,30.48083,0,0,No Data,No Data
1179738781,2007-05-21T09:13:01Z,25.594402,87.532666,31.653,32.16938,0,0,No Data,No Data
1179739551,2007-05-21T09:25:51Z,25.590161,87.553444,34.613,34.3084,0,0,No Data,No Data
1179740584,2007-05-21T09:43:04Z,25.583807,87.581145,33.579,37.17849,0,0,No Data,No Data
1179741436,2007-05-21T09:57:16Z,25.579548,87.604237,31.007,39.54533,0,0,No Data,No Data
1179741945,2007-05-21T10:05:45Z,25.577407,87.618095,31.0,40.95728,0,0,No Data,No Data
1179742245,2007-05-21T10:10:45Z,25.571143,87.622686,30.909,41.79325,0,0,No Data,No Data
1179743117,2007-05-21T10:25:17Z,25.550298,87.629515,30.734,44.21314,0,0,No Data,No Data
1179744204,2007-05-21T10:43:24Z,25.523229,87.631688,30.882,47.23454,0,0,No Data,No Data
1179745372,2007-05-21T11:02:52Z,25.494089,87.631537,30.907,50.47865,0,0,No Data,No Data
1179746040,2007-05-21T11:14:00Z,25.477437,87.631455,28.922,52.33249,0,0,No Data,No Data
1179747124,2007-05-21T11:32:04Z,25.450374,87.631325,27.546,55.34533,0,0,No Data,No Data
1179747797,2007-05-21T11:43:17Z,25.433731,87.628934,29.389,57.21361,0,0,No Data,No Data
1179748324,2007-05-21T11:52:04Z,25.421264,87.624255,27.909,58.67898,0,0,No Data,No Data
1179748992,2007-05-21T12:03:12Z,25.404610,87.624176,30.063,60.53307,0,0,No Data,No Data
1179749627,2007-05-21T12:13:47Z,25.390069,87.617185,33.706,62.29793,0,0,No Data,No Data
1179750229,2007-05-21T12:23:49Z,25.377622,87.607897,30.737,63.96905,0,0,No Data,No Data
1179750415,2007-05-21T12:26:55Z,25.373469,87.605571,31.574,64.48714,0,0,No Data,No Data
