UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,25.304597,87.718744,24.0,0,0,0,No Data,No Data
1179727647,2007-05-21T06:07:27Z,25.315769,87.718803,24.0,1.243879,0,0,No Data,No Data
1179729327,2007-05-21T06:35:27Z,25.357662,87.719005,27.194,5.907929,0,0,No Data,No Data
1179730334,2007-05-21T06:52:14Z,25.382796,87.719126,28.692,8.706148,0,0,No Data,No Data
1179732240,2007-05-21T07:24:00Z,25.430284,87.716249,29.329,14.00094,0,0,No Data,No Data
1179733811,2007-05-21T07:50:11Z,25.469388,87.713332,29.06,18.36424,0,0,No Data,No Data
1179735334,2007-05-21T08:15:34Z,25.505745,87.701107,30.307,22.59428,0,0,No Data,No Data
1179736236,2007-05-21T08:30:36Z,25.528090,87.698130,29.536,25.09988,0,0,No Data,No Data
1179736987,2007-05-21T08:43:07Z,25.544884,87.688910,29.904,27.18639,0,0,No Data,No Data
1179737558,2007-05-21T08:52:38Z,25.558854,87.685884,32.1,28.77111,0,0,No Data,No Data
1179738058,2007-05-21T09:00:58Z,25.570048,87.679736,32.596,30.16195,0,0,No Data,No Data
1179738629,2007-05-21T09:10:29Z,25.584017,87.676708,32.0,31.74658,0,0,No Data,No Data
1179739585,2007-05-21T09:26:25Z,25.606386,87.667513,34.032,34.40258,0,0,No Data,No Data
1179740894,2007-05-21T09:48:14Z,25.637138,87.655254,38.393,38.04068,0,0,No Data,No Data
1179742146,2007-05-21T10:09:06Z,25.665109,87.639869,34.848,41.51649,0,0,No Data,No Data
1179742716,2007-05-21T10:18:36Z,25.679074,87.636849,34.915,43.10048,0,0,No Data,No Data
1179743679,2007-05-21T10:34:39Z,25.698670,87.621432,38.133,45.77476,0,0,No Data,No Data
1179744033,2007-05-21T10:40:33Z,25.701498,87.612127,38.106,46.75984,0,0,No Data,No Data
1179744742,2007-05-21T10:52:22Z,25.707151,87.593516,35.362,48.72992,0,0,No Data,No Data
1179745416,2007-05-21T11:03:36Z,25.707223,87.574876,37.852,50.59969,0,0,No Data,No Data
1179746874,2007-05-21T11:27:54Z,25.707367,87.534497,36.507,54.65008,0,0,No Data,No Data
1179748331,2007-05-21T11:52:11Z,25.707503,87.494157,33.005,58.69656,0,0,No Data,No Data
1179750123,2007-05-21T12:22:03Z,25.707656,87.444521,37.201,63.67547,0,0,No Data,No Data
1179751019,2007-05-21T12:36:59Z,25.707726,87.419710,38.652,66.16424,0,0,No Data,No Data
1179751691,2007-05-21T12:48:11Z,25.707776,87.401103,40.213,68.03061,0,0,No Data,No Data
1179753496,2007-05-21T13:18:16Z,25.702323,87.351484,38.569,73.04485,0,0,No Data,No Data
1179755303,2007-05-21T13:48:23Z,25.685701,87.304963,38.108,78.06528,0,0,No Data,No Data
1179757285,2007-05-21T14:21:25Z,25.671867,87.252283,40.517,83.57057,0,0,No Data,No Data
1179758386,2007-05-21T14:39:46Z,25.660768,87.224399,37.944,86.62925,0,0,No Data,No Data
1179759537,2007-05-21T14:58:57Z,25.646879,87.196520,37.614,89.82579,0,0,No Data,No Data
1179759940,2007-05-21T15:05:40Z,25.641320,87.187229,40.482,90.94493,0,0,No Data,No Data
1179760499,2007-05-21T15:14:59Z,25.632978,87.174845,38.268,92.49646,0,0,No Data,No Data
1179761288,2007-05-21T15:28:08Z,25.619067,87.159364,38.181,94.6903,0,0,No Data,No Data
1179761642,2007-05-21T15:34:02Z,25.610713,87.156260,41.926,95.67109,0,0,No Data,No Data
1179762141,2007-05-21T15:42:21Z,25.599576,87.150062,38.379,97.05826,0,0,No Data,No Data
1179762792,2007-05-21T15:53:12Z,25.585657,87.140771,36.941,98.86696,0,0,No Data,No Data
1179763692,2007-05-21T16:08:12Z,25.566169,87.128385,37.0,101.3678,0,0,No Data,No Data
1179764592,2007-05-21T16:23:12Z,25.543884,87.125269,34.566,103.8684,0,0,No Data,No Data
1179765758,2007-05-21T16:42:38Z,25.516034,87.115971,35.759,107.1065,0,0,No Data,No Data
1179766712,2007-05-21T16:58:32Z,25.493755,87.106682,36.473,109.7565,0,0,No Data,No Data
1179767946,2007-05-21T17:19:06Z,25.463108,87.103574,35.328,113.1826,0,0,No Data,No Data
1179768504,2007-05-21T17:28:24Z,25.449175,87.103565,33.011,114.7337,0,0,No Data,No Data
1179768951,2007-05-21T17:35:51Z,25.438028,87.103558,29.172,115.9746,0,0,No Data,No Data
1179769764,2007-05-21T17:49:24Z,25.418513,87.109720,34.632,118.2337,0,0,No Data,No Data
1179770615,2007-05-21T18:03:35Z,25.398993,87.118966,33.95,120.5974,0,0,No Data,No Data
1179771466,2007-05-21T18:17:46Z,25.379470,87.128210,34.365,122.9614,0,0,No Data,No Data
1179772421,2007-05-21T18:33:41Z,25.357157,87.137450,37.239,125.6136,0,0,No Data,No Data
