UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,26.345933,86.787916,66.38,0,0,0,No Data,No Data
1179727725,2007-05-21T06:08:45Z,26.335043,86.796032,63.266,1.457926,0,0,No Data,No Data
1179729037,2007-05-21T06:30:37Z,26.304176,86.808215,63.01,5.103017,0,0,No Data,No Data
1179730573,2007-05-21T06:56:13Z,26.266955,86.818375,65.43,9.369089,0,0,No Data,No Data
1179731774,2007-05-21T07:16:14Z,26.236990,86.819410,58.432,12.70658,0,0,No Data,No Data
1179732516,2007-05-21T07:28:36Z,26.218827,86.815375,57.098,14.76837,0,0,No Data,No Data
1179733185,2007-05-21T07:39:45Z,26.204288,86.806271,57.596,16.6248,0,0,No Data,No Data
1179733572,2007-05-21T07:46:12Z,26.197016,86.799188,57.42,17.69986,0,0,No Data,No Data
1179733768,2007-05-21T07:49:28Z,26.192474,86.797167,58.411,18.24422,0,0,No Data,No Data
1179734234,2007-05-21T07:57:14Z,26.185199,86.787052,58.297,19.53914,0,0,No Data,No Data
1179734464,2007-05-21T08:01:04Z,26.183376,86.780980,56.052,20.17872,0,0,No Data,No Data
1179734844,2007-05-21T08:07:24Z,26.180639,86.770861,57.111,21.2345,0,0,No Data,No Data
1179735409,2007-05-21T08:16:49Z,26.176986,86.755684,60.144,22.80438,0,0,No Data,No Data
1179735674,2007-05-21T08:21:14Z,26.175160,86.748601,57.807,23.54057,0,0,No Data,No Data
1179736020,2007-05-21T08:27:00Z,26.172424,86.739501,58.766,24.49943,0,0,No Data,No Data
1179736434,2007-05-21T08:33:54Z,26.169683,86.728378,57.02,25.65187,0,0,No Data,No Data
1179736913,2007-05-21T08:41:53Z,26.167846,86.715229,55.692,26.98142,0,0,No Data,No Data
1179737464,2007-05-21T08:51:04Z,26.166005,86.700060,60.176,28.51085,0,0,No Data,No Data
1179737906,2007-05-21T08:58:26Z,26.164168,86.687929,55.485,29.7401,0,0,No Data,No Data
1179738236,2007-05-21T09:03:56Z,26.163244,86.678830,54.0,30.65507,0,0,No Data,No Data
1179738601,2007-05-21T09:10:01Z,26.162317,86.668719,56.188,31.67056,0,0,No Data,No Data
1179738783,2007-05-21T09:13:03Z,26.162307,86.663663,54.464,32.17571,0,0,No Data,No Data
1179739048,2007-05-21T09:17:28Z,26.160477,86.656589,56.173,32.91128,0,0,No Data,No Data
1179739269,2007-05-21T09:21:09Z,26.159557,86.650524,57.0,33.52584,0,0,No Data,No Data
1179739526,2007-05-21T09:25:26Z,26.158635,86.643449,54.0,34.24022,0,0,No Data,No Data
1179739817,2007-05-21T09:30:17Z,26.158617,86.635360,57.853,35.04851,0,0,No Data,No Data
1179740217,2007-05-21T09:36:57Z,26.158592,86.624238,53.662,36.15985,0,0,No Data,No Data
1179740413,2007-05-21T09:40:13Z,26.160395,86.619178,54.042,36.70387,0,0,No Data,No Data
1179740632,2007-05-21T09:43:52Z,26.160381,86.613112,54.58,37.31001,0,0,No Data,No Data
1179740827,2007-05-21T09:47:07Z,26.162184,86.608051,52.42,37.85405,0,0,No Data,No Data
1179740973,2007-05-21T09:49:33Z,26.162174,86.604007,54.809,38.25807,0,0,No Data,No Data
1179741194,2007-05-21T09:53:14Z,26.163067,86.597939,54.493,38.87251,0,0,No Data,No Data
1179741376,2007-05-21T09:56:16Z,26.163055,86.592883,55.873,39.37762,0,0,No Data,No Data
1179741588,2007-05-21T09:59:48Z,26.160320,86.587837,54.753,39.96659,0,0,No Data,No Data
1179741719,2007-05-21T10:01:59Z,26.158497,86.584810,54.045,40.33077,0,0,No Data,No Data
1179741850,2007-05-21T10:04:10Z,26.156675,86.581783,53.0,40.69494,0,0,No Data,No Data
