UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,26.044761,86.497951,46.215,0,0,0,No Data,No Data
1179728089,2007-05-21T06:14:49Z,26.031913,86.518084,45.878,2.470127,0,0,No Data,No Data
1179729937,2007-05-21T06:45:37Z,26.006888,86.561191,47.165,7.60449,0,0,No Data,No Data
1179731643,2007-05-21T07:14:03Z,25.982486,86.599969,47.086,12.34136,0,0,No Data,No Data
1179732639,2007-05-21T07:30:39Z,25.967722,86.622228,48.663,15.10986,0,0,No Data,No Data
1179733446,2007-05-21T07:44:06Z,25.952293,86.636602,46.883,17.35048,0,0,No Data,No Data
1179734226,2007-05-21T07:57:06Z,25.936213,86.648823,44.766,19.51876,0,0,No Data,No Data
1179735255,2007-05-21T08:14:15Z,25.913045,86.661058,43.916,22.37414,0,0,No Data,No Data
1179736099,2007-05-21T08:28:19Z,25.893736,86.670414,47.0,24.71908,0,0,No Data,No Data
1179736631,2007-05-21T08:37:11Z,25.881507,86.676171,45.812,26.19759,0,0,No Data,No Data
1179737088,2007-05-21T08:44:48Z,25.870563,86.679780,43.239,27.46844,0,0,No Data,No Data
1179737425,2007-05-21T08:50:25Z,25.862190,86.680517,43.316,28.40348,0,0,No Data,No Data
1179737787,2007-05-21T08:56:27Z,25.853170,86.680533,43.46,29.40763,0,0,No Data,No Data
1179738277,2007-05-21T09:04:37Z,25.840929,86.680556,46.294,30.77036,0,0,No Data,No Data
1179738613,2007-05-21T09:10:13Z,25.832555,86.680578,44.041,31.70261,0,0,No Data,No Data
1179738742,2007-05-21T09:12:22Z,25.829334,86.680587,44.622,32.06118,0,0,No Data,No Data
1179739256,2007-05-21T09:20:56Z,25.817086,86.676324,43.499,33.49007,0,0,No Data,No Data
1179739722,2007-05-21T09:28:42Z,25.806125,86.672059,42.075,34.78298,0,0,No Data,No Data
1179740393,2007-05-21T09:39:53Z,25.790649,86.664942,42.933,36.6477,0,0,No Data,No Data
1179740590,2007-05-21T09:43:10Z,25.786133,86.662805,42.987,37.1941,0,0,No Data,No Data
1179741375,2007-05-21T09:56:15Z,25.768723,86.652830,39.257,39.37505,0,0,No Data,No Data
1179742306,2007-05-21T10:11:46Z,25.749366,86.638575,44.157,41.96087,0,0,No Data,No Data
1179742514,2007-05-21T10:15:14Z,25.744850,86.635727,44.03,42.53903,0,0,No Data,No Data
1179743099,2007-05-21T10:24:59Z,25.733872,86.625031,41.096,44.16505,0,0,No Data,No Data
1179743593,2007-05-21T10:33:13Z,25.724832,86.615760,43.385,45.53519,0,0,No Data,No Data
1179743976,2007-05-21T10:39:36Z,25.718373,86.607911,38.049,46.6013,0,0,No Data,No Data
1179744127,2007-05-21T10:42:07Z,25.716432,86.604342,38.374,47.01941,0,0,No Data,No Data
1179744365,2007-05-21T10:46:05Z,25.712552,86.599350,43.812,47.68067,0,0,No Data,No Data
1179744480,2007-05-21T10:48:00Z,25.711255,86.596494,40.384,48.00139,0,0,No Data,No Data
1179744795,2007-05-21T10:53:15Z,25.706726,86.589359,38.786,48.87686,0,0,No Data,No Data
1179745070,2007-05-21T10:57:50Z,25.702200,86.583653,41.452,49.63935,0,0,No Data,No Data
1179745258,2007-05-21T11:00:58Z,25.700899,86.578652,44.811,50.16144,0,0,No Data,No Data
1179745446,2007-05-21T11:04:06Z,25.699599,86.573651,42.824,50.68353,0,0,No Data,No Data
1179745627,2007-05-21T11:07:07Z,25.699587,86.568646,41.691,51.18558,0,0,No Data,No Data
1179745833,2007-05-21T11:10:33Z,25.699573,86.562926,38.488,51.75935,0,0,No Data,No Data
1179745988,2007-05-21T11:13:08Z,25.699561,86.558636,39.316,52.18965,0,0,No Data,No Data
1179746091,2007-05-21T11:14:51Z,25.699554,86.555776,41.0,52.47648,0,0,No Data,No Data
1179746324,2007-05-21T11:18:44Z,25.699537,86.549342,40.555,53.12191,0,0,No Data,No Data
1179746481,2007-05-21T11:21:21Z,25.698881,86.545054,42.065,53.55815,0,0,No Data,No Data
1179746694,2007-05-21T11:24:54Z,25.697578,86.539339,42.207,54.14947,0,0,No Data,No Data
