UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,22.124781,82.648839,260.337,0,0,0,No Data,No Data
1179727391,2007-05-21T06:03:11Z,22.120008,82.648779,261.481,0.5313323,0,0,No Data,No Data
1179727586,2007-05-21T06:06:26Z,22.115225,82.649749,256.618,1.073083,0,0,No Data,No Data
1179727744,2007-05-21T06:09:04Z,22.111397,82.650731,249.406,1.511128,0,0,No Data,No Data
1179727977,2007-05-21T06:12:57Z,22.105659,82.651689,242.589,2.157465,0,0,No Data,No Data
1179728206,2007-05-21T06:16:46Z,22.099935,82.651619,238.323,2.794701,0,0,No Data,No Data
1179728497,2007-05-21T06:21:37Z,22.093224,82.654627,253.209,3.603704,0,0,No Data,No Data
1179728655,2007-05-21T06:24:15Z,22.089396,82.655609,256.134,4.041757,0,0,No Data,No Data
1179728911,2007-05-21T06:28:31Z,22.083637,82.658626,257.255,4.754442,0,0,No Data,No Data
1179729107,2007-05-21T06:31:47Z,22.078855,82.659596,264.776,5.296128,0,0,No Data,No Data
1179729339,2007-05-21T06:35:39Z,22.073118,82.660554,264.185,5.942339,0,0,No Data,No Data
1179729581,2007-05-21T06:39:41Z,22.067371,82.662541,262.154,6.614145,0,0,No Data,No Data
1179729696,2007-05-21T06:41:36Z,22.064508,82.662505,262.004,6.9328,0,0,No Data,No Data
1179730002,2007-05-21T06:46:42Z,22.056876,82.662410,261.503,7.782492,0,0,No Data,No Data
1179730280,2007-05-21T06:51:20Z,22.050176,82.664389,262.832,8.555807,0,0,No Data,No Data
1179730471,2007-05-21T06:54:31Z,22.045406,82.664331,261.0,9.086867,0,0,No Data,No Data
1179730704,2007-05-21T06:58:24Z,22.039692,82.663232,262.879,9.732958,0,0,No Data,No Data
1179730861,2007-05-21T07:01:01Z,22.035887,82.662157,267.027,10.17084,0,0,No Data,No Data
1179730999,2007-05-21T07:03:19Z,22.033046,82.660063,259.153,10.5538,0,0,No Data,No Data
1179731114,2007-05-21T07:05:14Z,22.030184,82.660029,258.973,10.87242,0,0,No Data,No Data
1179731229,2007-05-21T07:07:09Z,22.027321,82.659994,253.229,11.1911,0,0,No Data,No Data
1179731573,2007-05-21T07:12:53Z,22.018733,82.659890,249.311,12.14714,0,0,No Data,No Data
1179731796,2007-05-21T07:16:36Z,22.013929,82.662920,244.723,12.76663,0,0,No Data,No Data
1179732066,2007-05-21T07:21:06Z,22.009103,82.668008,245.557,13.51788,0,0,No Data,No Data
1179732187,2007-05-21T07:23:07Z,22.006230,82.669002,247.55,13.85376,0,0,No Data,No Data
1179732463,2007-05-21T07:27:43Z,22.000460,82.673048,246.814,14.61992,0,0,No Data,No Data
1179732654,2007-05-21T07:30:54Z,21.996610,82.676089,246.006,15.15114,0,0,No Data,No Data
1179732877,2007-05-21T07:34:37Z,21.991806,82.679117,254.168,15.77062,0,0,No Data,No Data
1179732998,2007-05-21T07:36:38Z,21.988932,82.680111,254.755,16.1066,0,0,No Data,No Data
1179733231,2007-05-21T07:40:31Z,21.983195,82.681070,245.273,16.75284,0,0,No Data,No Data
1179733316,2007-05-21T07:41:56Z,21.981276,82.682075,245.066,16.99036,0,0,No Data,No Data
1179733595,2007-05-21T07:46:35Z,21.974573,82.684051,241.793,17.76389,0,0,No Data,No Data
1179733801,2007-05-21T07:50:01Z,21.969780,82.686049,241.378,18.33595,0,0,No Data,No Data
