UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,22.150474,82.655333,263.891,0,0,0,No Data,No Data
1179727445,2007-05-21T06:04:05Z,22.145654,82.659391,275.328,0.6804852,0,0,No Data,No Data
1179727721,2007-05-21T06:08:41Z,22.139885,82.663440,271.716,1.446526,0,0,No Data,No Data
1179727926,2007-05-21T06:12:06Z,22.135094,82.665442,266.887,2.018454,0,0,No Data,No Data
1179728089,2007-05-21T06:14:49Z,22.132200,82.668498,262.873,2.469153,0,0,No Data,No Data
1179728345,2007-05-21T06:19:05Z,22.126444,82.671519,265.91,3.181657,0,0,No Data,No Data
1179728483,2007-05-21T06:21:23Z,22.123560,82.673544,267.599,3.564624,0,0,No Data,No Data
1179728641,2007-05-21T06:24:01Z,22.119734,82.674527,265.247,4.002488,0,0,No Data,No Data
1179728847,2007-05-21T06:27:27Z,22.114941,82.676528,271.552,4.574575,0,0,No Data,No Data
1179729117,2007-05-21T06:31:57Z,22.108251,82.677475,269.997,5.32569,0,0,No Data,No Data
1179729385,2007-05-21T06:36:25Z,22.101572,82.677391,266.625,6.069307,0,0,No Data,No Data
1179729543,2007-05-21T06:39:03Z,22.097743,82.678373,267.244,6.507382,0,0,No Data,No Data
1179729932,2007-05-21T06:45:32Z,22.088178,82.680312,263.931,7.590764,0,0,No Data,No Data
1179730124,2007-05-21T06:48:44Z,22.083407,82.680251,262.027,8.121905,0,0,No Data,No Data
1179730238,2007-05-21T06:50:38Z,22.080544,82.680215,262.574,8.440592,0,0,No Data,No Data
1179730583,2007-05-21T06:56:23Z,22.071956,82.680105,261.868,9.396706,0,0,No Data,No Data
1179730812,2007-05-21T07:00:12Z,22.066231,82.680032,261.62,10.03409,0,0,No Data,No Data
1179731003,2007-05-21T07:03:23Z,22.061460,82.679971,264.025,10.56525,0,0,No Data,No Data
1179731282,2007-05-21T07:08:02Z,22.054759,82.681948,261.373,11.33857,0,0,No Data,No Data
1179731514,2007-05-21T07:11:54Z,22.049024,82.682908,261.169,11.98462,0,0,No Data,No Data
1179731720,2007-05-21T07:15:20Z,22.044232,82.684909,257.909,12.55667,0,0,No Data,No Data
1179731999,2007-05-21T07:19:59Z,22.037531,82.686887,260.0,13.33008,0,0,No Data,No Data
1179732307,2007-05-21T07:25:07Z,22.030807,82.690922,260.125,14.18664,0,0,No Data,No Data
1179732649,2007-05-21T07:30:49Z,22.023129,82.694946,255.331,15.13692,0,0,No Data,No Data
1179732807,2007-05-21T07:33:27Z,22.019301,82.695929,252.278,15.5749,0,0,No Data,No Data
1179733013,2007-05-21T07:36:53Z,22.014508,82.697929,252.106,16.14701,0,0,No Data,No Data
1179733134,2007-05-21T07:38:54Z,22.011634,82.698923,251.077,16.48296,0,0,No Data,No Data
1179733305,2007-05-21T07:41:45Z,22.007795,82.700934,252.078,16.95807,0,0,No Data,No Data
1179733463,2007-05-21T07:44:23Z,22.003966,82.701915,250.538,17.39612,0,0,No Data,No Data
1179733634,2007-05-21T07:47:14Z,22.000127,82.703926,251.206,17.87122,0,0,No Data,No Data
1179733904,2007-05-21T07:51:44Z,21.993436,82.704871,249.049,18.62246,0,0,No Data,No Data
1179734146,2007-05-21T07:55:46Z,21.987688,82.706858,251.552,19.29443,0,0,No Data,No Data
1179734341,2007-05-21T07:59:01Z,21.982905,82.707828,247.606,19.83617,0,0,No Data,No Data
1179734426,2007-05-21T08:00:26Z,21.980985,82.708833,245.619,20.07372,0,0,No Data,No Data
1179734705,2007-05-21T08:05:05Z,21.974282,82.710808,243.5,20.84723,0,0,No Data,No Data
1179734826,2007-05-21T08:07:06Z,21.971407,82.711802,245.036,21.18326,0,0,No Data,No Data
1179735055,2007-05-21T08:10:55Z,21.965681,82.711731,250.18,21.82075,0,0,No Data,No Data
1179735170,2007-05-21T08:12:50Z,21.962817,82.711697,252.344,22.13957,0,0,No Data,No Data
1179735361,2007-05-21T08:16:01Z,21.958044,82.711640,253.611,22.67096,0,0,No Data,No Data
1179735553,2007-05-21T08:19:13Z,21.953270,82.711583,249.95,23.2024,0,0,No Data,No Data
1179735821,2007-05-21T08:23:41Z,21.946587,82.711503,252.15,23.9464,0,0,No Data,No Data
1179736026,2007-05-21T08:27:06Z,21.941836,82.709387,249.547,24.51864,0,0,No Data,No Data
1179736259,2007-05-21T08:30:59Z,21.936118,82.708290,243.916,25.16519,0,0,No Data,No Data
1179736482,2007-05-21T08:34:42Z,21.931377,82.705146,229.879,25.78482,0,0,No Data,No Data
1179736559,2007-05-21T08:35:59Z,21.929467,82.705123,228.764,25.99741,0,0,No Data,No Data
1179736837,2007-05-21T08:40:37Z,21.922809,82.702980,229.0,26.77093,0,0,No Data,No Data
1179736995,2007-05-21T08:43:15Z,21.919002,82.701903,233.289,27.20903,0,0,No Data,No Data
1179737166,2007-05-21T08:46:06Z,21.915208,82.699796,235.927,27.68415,0,0,No Data,No Data
1179737328,2007-05-21T08:48:48Z,21.912379,82.696671,241.433,28.13498,0,0,No Data,No Data
1179737383,2007-05-21T08:49:43Z,21.911437,82.695630,240.526,28.28513,0,0,No Data,No Data
1179737639,2007-05-21T08:53:59Z,21.908644,82.689418,243.261,28.9981,0,0,No Data,No Data
1179737792,2007-05-21T08:56:32Z,21.908691,82.685300,245.071,29.42343,0,0,No Data,No Data
1179738119,2007-05-21T09:01:59Z,21.905920,82.677032,245.556,30.33141,0,0,No Data,No Data
1179738196,2007-05-21T09:03:16Z,21.905943,82.674973,246.219,30.544,0,0,No Data,No Data
1179738349,2007-05-21T09:05:49Z,21.905989,82.670857,248.382,30.96909,0,0,No Data,No Data
1179738617,2007-05-21T09:10:17Z,21.906069,82.663654,249.662,31.71306,0,0,No Data,No Data
1179738788,2007-05-21T09:13:08Z,21.908025,82.659562,255.357,32.18851,0,0,No Data,No Data
1179739044,2007-05-21T09:17:24Z,21.910957,82.653423,256.23,32.90167,0,0,No Data,No Data
1179739320,2007-05-21T09:22:00Z,21.914843,82.647295,258.046,33.66827,0,0,No Data,No Data
1179739512,2007-05-21T09:25:12Z,21.918695,82.644254,260.4,34.19979,0,0,No Data,No Data
1179739728,2007-05-21T09:28:48Z,21.922558,82.640185,263.516,34.8011,0,0,No Data,No Data
1179739951,2007-05-21T09:32:31Z,21.927364,82.637155,265.354,35.42093,0,0,No Data,No Data
1179740260,2007-05-21T09:37:40Z,21.934088,82.633121,263.136,36.27763,0,0,No Data,No Data
1179740451,2007-05-21T09:40:51Z,21.937938,82.630081,262.093,36.80891,0,0,No Data,No Data
1179740730,2007-05-21T09:45:30Z,21.944639,82.628104,257.314,37.5824,0,0,No Data,No Data
1179740901,2007-05-21T09:48:21Z,21.948478,82.626092,259.377,38.05764,0,0,No Data,No Data
1179741277,2007-05-21T09:54:37Z,21.957110,82.622080,263.468,39.10413,0,0,No Data,No Data
1179741534,2007-05-21T09:58:54Z,21.962867,82.619062,264.503,39.81688,0,0,No Data,No Data
1179741692,2007-05-21T10:01:32Z,21.966695,82.618078,267.987,40.255,0,0,No Data,No Data
1179741915,2007-05-21T10:05:15Z,21.971497,82.615049,266.108,40.87437,0,0,No Data,No Data
1179742072,2007-05-21T10:07:52Z,21.975324,82.614067,266.779,41.31237,0,0,No Data,No Data
1179742243,2007-05-21T10:10:43Z,21.979161,82.612055,264.546,41.78741,0,0,No Data,No Data
1179742522,2007-05-21T10:15:22Z,21.985860,82.610078,265.758,42.56071,0,0,No Data,No Data
1179742679,2007-05-21T10:17:59Z,21.989687,82.609095,266.265,42.99873,0,0,No Data,No Data
1179742885,2007-05-21T10:21:25Z,21.994478,82.607094,264.828,43.57076,0,0,No Data,No Data
1179743038,2007-05-21T10:23:58Z,21.998294,82.607140,262.595,43.9957,0,0,No Data,No Data
1179743347,2007-05-21T10:29:07Z,22.005937,82.606202,262.82,44.85212,0,0,No Data,No Data
1179743576,2007-05-21T10:32:56Z,22.011661,82.606270,262.478,45.48951,0,0,No Data,No Data
1179743844,2007-05-21T10:37:24Z,22.018340,82.606350,266.624,46.23315,0,0,No Data,No Data
1179744035,2007-05-21T10:40:35Z,22.023110,82.606407,267.116,46.76426,0,0,No Data,No Data
1179744264,2007-05-21T10:44:24Z,22.028834,82.606476,264.39,47.40161,0,0,No Data,No Data
1179744417,2007-05-21T10:46:57Z,22.032650,82.606522,259.709,47.82656,0,0,No Data,No Data
1179744685,2007-05-21T10:51:25Z,22.039329,82.606602,254.662,48.57021,0,0,No Data,No Data
1179744876,2007-05-21T10:54:36Z,22.044099,82.606660,260.078,49.10138,0,0,No Data,No Data
1179745068,2007-05-21T10:57:48Z,22.048870,82.606717,263.245,49.63261,0,0,No Data,No Data
1179745412,2007-05-21T11:03:32Z,22.057457,82.606820,261.671,50.58869,0,0,No Data,No Data
1179745603,2007-05-21T11:06:43Z,22.062227,82.606877,261.264,51.11984,0,0,No Data,No Data
1179745871,2007-05-21T11:11:11Z,22.068905,82.606957,258.546,51.86339,0,0,No Data,No Data
1179746028,2007-05-21T11:13:48Z,22.072731,82.605972,261.591,52.30132,0,0,No Data,No Data
1179746220,2007-05-21T11:17:00Z,22.077500,82.606029,255.53,52.83239,0,0,No Data,No Data
1179746411,2007-05-21T11:20:11Z,22.082270,82.606086,251.514,53.3635,0,0,No Data,No Data
1179746717,2007-05-21T11:25:17Z,22.089901,82.606176,250.927,54.21311,0,0,No Data,No Data
1179746984,2007-05-21T11:29:44Z,22.096578,82.606256,264.098,54.95658,0,0,No Data,No Data
1179747252,2007-05-21T11:34:12Z,22.103257,82.606336,262.848,55.70023,0,0,No Data,No Data
1179747443,2007-05-21T11:37:23Z,22.108027,82.606393,261.179,56.23139,0,0,No Data,No Data
1179747634,2007-05-21T11:40:34Z,22.112798,82.606451,261.741,56.76258,0,0,No Data,No Data
1179747720,2007-05-21T11:42:00Z,22.114695,82.607503,263.998,57.00011,0,0,No Data,No Data
1179748083,2007-05-21T11:48:03Z,22.123251,82.610696,266.361,58.00801,0,0,No Data,No Data
1179748339,2007-05-21T11:52:19Z,22.128944,82.613855,270.561,58.72071,0,0,No Data,No Data
1179748477,2007-05-21T11:54:37Z,22.131785,82.615949,272.003,59.10381,0,0,No Data,No Data
1179748669,2007-05-21T11:57:49Z,22.135572,82.619086,268.566,59.63531,0,0,No Data,No Data
1179748831,2007-05-21T12:00:31Z,22.138406,82.622212,264.0,60.08644,0,0,No Data,No Data
1179749107,2007-05-21T12:05:07Z,22.144092,82.626404,272.156,60.8531,0,0,No Data,No Data
1179749269,2007-05-21T12:07:49Z,22.146926,82.629531,266.609,61.30433,0,0,No Data,No Data
1179749432,2007-05-21T12:10:32Z,22.149760,82.632658,262.65,61.75548,0,0,No Data,No Data
1179749623,2007-05-21T12:13:43Z,22.152582,82.636815,258.141,62.28705,0,0,No Data,No Data
1179749794,2007-05-21T12:16:34Z,22.154451,82.640962,258.953,62.76265,0,0,No Data,No Data
1179749989,2007-05-21T12:19:49Z,22.155357,82.646128,249.513,63.30483,0,0,No Data,No Data
1179750185,2007-05-21T12:23:05Z,22.154343,82.651265,260.167,63.8464,0,0,No Data,No Data
