YEAR,TEMPERATURE,CO2,RAINFALL
01-01-1961 00:00,20.07,11.34045227,2.5
01-02-1961 00:00,20.93,11.34045227,44.1
01-03-1961 00:00,28.06,11.34045227,5
01-04-1961 00:00,31.17,11.34045227,10.9
01-05-1961 00:00,33.47,11.34045227,16.1
01-06-1961 00:00,29.85,11.34045227,377.4
01-07-1961 00:00,26.56,11.34045227,533.2
01-08-1961 00:00,26.82,11.34045227,467.6
01-09-1961 00:00,26.14,11.34045227,401.2
01-10-1961 00:00,24.85,11.34045227,102.8
01-11-1961 00:00,21.09,11.34045227,5.8
01-12-1961 00:00,17.44,11.34045227,7.3
01-01-1962 00:00,17.83,12.47669792,3.8
01-02-1962 00:00,21.86,12.47669792,15.8
01-03-1962 00:00,26.05,12.47669792,10.4
01-04-1962 00:00,30.34,12.47669792,23.8
01-05-1962 00:00,32.77,12.47669792,28
01-06-1962 00:00,30.63,12.47669792,130.5
01-07-1962 00:00,27.27,12.47669792,371.6
01-08-1962 00:00,26.64,12.47669792,276.1
01-09-1962 00:00,26.76,12.47669792,210
01-10-1962 00:00,24.67,12.47669792,26.3
01-11-1962 00:00,21.76,12.47669792,2
01-12-1962 00:00,19.26,12.47669792,26.4
01-01-1963 00:00,17.87,13.39991744,0.4
01-02-1963 00:00,22.3,13.39991744,5.4
01-03-1963 00:00,26.2,13.39991744,8.9
01-04-1963 00:00,29.61,13.39991744,44.8
01-05-1963 00:00,32.28,13.39991744,28.2
01-06-1963 00:00,30.05,13.39991744,160.8
01-07-1963 00:00,27.01,13.39991744,349.4
01-08-1963 00:00,26.63,13.39991744,387.7
01-09-1963 00:00,27.07,13.39991744,258.8
01-10-1963 00:00,25.74,13.39991744,91.2
01-11-1963 00:00,22.88,13.39991744,1.2
01-12-1963 00:00,19.35,13.39991744,0.3
01-01-1964 00:00,19.97,13.10110684,1
01-02-1964 00:00,22.84,13.10110684,21.9
01-03-1964 00:00,27.84,13.10110684,3.9
01-04-1964 00:00,31.56,13.10110684,6.5
01-05-1964 00:00,33.09,13.10110684,4.5
01-06-1964 00:00,30.91,13.10110684,269.2
01-07-1964 00:00,26.62,13.10110684,371.6
01-08-1964 00:00,26.17,13.10110684,515.3
01-09-1964 00:00,26.83,13.10110684,201.8
01-10-1964 00:00,25.99,13.10110684,109.1
01-11-1964 00:00,21.55,13.10110684,4.1
01-12-1964 00:00,19.2,13.10110684,0
01-01-1965 00:00,19.92,14.43379574,5.8
01-02-1965 00:00,22.32,14.43379574,4.5
01-03-1965 00:00,25.92,14.43379574,22.3
01-04-1965 00:00,29.71,14.43379574,14.4
01-05-1965 00:00,32.65,14.43379574,8.4
01-06-1965 00:00,31.89,14.43379574,111.1
01-07-1965 00:00,27.15,14.43379574,310
01-08-1965 00:00,27.04,14.43379574,208.3
01-09-1965 00:00,26.74,14.43379574,251.8
01-10-1965 00:00,25.9,14.43379574,4.9
01-11-1965 00:00,22.55,14.43379574,0
01-12-1965 00:00,19.57,14.43379574,0
01-01-1966 00:00,19.32,14.93765993,20.9
01-02-1966 00:00,23.3,14.93765993,0
01-03-1966 00:00,26.95,14.93765993,2.2
01-04-1966 00:00,31.59,14.93765993,16.3
01-05-1966 00:00,33.92,14.93765993,19
01-06-1966 00:00,31.13,14.93765993,267.8
01-07-1966 00:00,28.5,14.93765993,294
01-08-1966 00:00,27.04,14.93765993,253.4
01-09-1966 00:00,27.4,14.93765993,154.6
01-10-1966 00:00,26.11,14.93765993,25.1
01-11-1966 00:00,23.74,14.93765993,12.8
01-12-1966 00:00,19.14,14.93765993,20.9
01-01-1967 00:00,19.58,14.97879821,1.7
01-02-1967 00:00,23.26,14.97879821,0
01-03-1967 00:00,25.52,14.97879821,96.8
01-04-1967 00:00,30.12,14.97879821,15.5
01-05-1967 00:00,33.55,14.97879821,12.2
01-06-1967 00:00,31.98,14.97879821,184.3
01-07-1967 00:00,27.49,14.97879821,397.9
01-08-1967 00:00,26.35,14.97879821,508.3
01-09-1967 00:00,26.82,14.97879821,188.5
01-10-1967 00:00,25.27,14.97879821,9.2
01-11-1967 00:00,22,14.97879821,0.4
01-12-1967 00:00,20.7,14.97879821,57.6
01-01-1968 00:00,18.91,16.29171523,25.6
01-02-1968 00:00,21.98,16.29171523,26.1
01-03-1968 00:00,25.89,16.29171523,16.3
01-04-1968 00:00,29.61,16.29171523,19.5
