Date,Temperature,State
1961-01-01 00:00:00,20.07,Chhattisgarh
1961-02-01 00:00:00,20.93,Chhattisgarh
1961-03-01 00:00:00,28.06,Chhattisgarh
1961-04-01 00:00:00,31.17,Chhattisgarh
1961-05-01 00:00:00,33.47,Chhattisgarh
1961-06-01 00:00:00,29.85,Chhattisgarh
1961-07-01 00:00:00,26.56,Chhattisgarh
1961-08-01 00:00:00,26.82,Chhattisgarh
1961-09-01 00:00:00,26.14,Chhattisgarh
1961-10-01 00:00:00,24.85,Chhattisgarh
1961-11-01 00:00:00,21.09,Chhattisgarh
1961-12-01 00:00:00,17.44,Chhattisgarh
1962-01-01 00:00:00,17.83,Chhattisgarh
1962-02-01 00:00:00,21.86,Chhattisgarh
1962-03-01 00:00:00,26.05,Chhattisgarh
1962-04-01 00:00:00,30.34,Chhattisgarh
1962-05-01 00:00:00,32.77,Chhattisgarh
1962-06-01 00:00:00,30.63,Chhattisgarh
1962-07-01 00:00:00,27.27,Chhattisgarh
1962-08-01 00:00:00,26.64,Chhattisgarh
1962-09-01 00:00:00,26.76,Chhattisgarh
1962-10-01 00:00:00,24.67,Chhattisgarh
1962-11-01 00:00:00,21.76,Chhattisgarh
1962-12-01 00:00:00,19.26,Chhattisgarh
1963-01-01 00:00:00,17.87,Chhattisgarh
1963-02-01 00:00:00,22.3,Chhattisgarh
1963-03-01 00:00:00,26.2,Chhattisgarh
1963-04-01 00:00:00,29.61,Chhattisgarh
1963-05-01 00:00:00,32.28,Chhattisgarh
1963-06-01 00:00:00,30.05,Chhattisgarh
1963-07-01 00:00:00,27.01,Chhattisgarh
1963-08-01 00:00:00,26.63,Chhattisgarh
1963-09-01 00:00:00,27.07,Chhattisgarh
1963-10-01 00:00:00,25.74,Chhattisgarh
1963-11-01 00:00:00,22.88,Chhattisgarh
1963-12-01 00:00:00,19.35,Chhattisgarh
1964-01-01 00:00:00,19.97,Chhattisgarh
1964-02-01 00:00:00,22.84,Chhattisgarh
1964-03-01 00:00:00,27.84,Chhattisgarh
1964-04-01 00:00:00,31.56,Chhattisgarh
1964-05-01 00:00:00,33.09,Chhattisgarh
1964-06-01 00:00:00,30.91,Chhattisgarh
1964-07-01 00:00:00,26.62,Chhattisgarh
1964-08-01 00:00:00,26.17,Chhattisgarh
1964-09-01 00:00:00,26.83,Chhattisgarh
1964-10-01 00:00:00,25.99,Chhattisgarh
1964-11-01 00:00:00,21.55,Chhattisgarh
1964-12-01 00:00:00,19.2,Chhattisgarh
1965-01-01 00:00:00,19.92,Chhattisgarh
1965-02-01 00:00:00,22.32,Chhattisgarh
1965-03-01 00:00:00,25.92,Chhattisgarh
1965-04-01 00:00:00,29.71,Chhattisgarh
1965-05-01 00:00:00,32.65,Chhattisgarh
1965-06-01 00:00:00,31.89,Chhattisgarh
1965-07-01 00:00:00,27.15,Chhattisgarh
1965-08-01 00:00:00,27.04,Chhattisgarh
1965-09-01 00:00:00,26.74,Chhattisgarh
1965-10-01 00:00:00,25.9,Chhattisgarh
1965-11-01 00:00:00,22.55,Chhattisgarh
1965-12-01 00:00:00,19.57,Chhattisgarh
1966-01-01 00:00:00,19.32,Chhattisgarh
1966-02-01 00:00:00,23.3,Chhattisgarh
1966-03-01 00:00:00,26.95,Chhattisgarh
1966-04-01 00:00:00,31.59,Chhattisgarh
1966-05-01 00:00:00,33.92,Chhattisgarh
1966-06-01 00:00:00,31.13,Chhattisgarh
1966-07-01 00:00:00,28.5,Chhattisgarh
1966-08-01 00:00:00,27.04,Chhattisgarh
1966-09-01 00:00:00,27.4,Chhattisgarh
1966-10-01 00:00:00,26.11,Chhattisgarh
1966-11-01 00:00:00,23.74,Chhattisgarh
1966-12-01 00:00:00,19.14,Chhattisgarh
1967-01-01 00:00:00,19.58,Chhattisgarh
1967-02-01 00:00:00,23.26,Chhattisgarh
1967-03-01 00:00:00,25.52,Chhattisgarh
1967-04-01 00:00:00,30.12,Chhattisgarh
1967-05-01 00:00:00,33.55,Chhattisgarh
1967-06-01 00:00:00,31.98,Chhattisgarh
1967-07-01 00:00:00,27.49,Chhattisgarh
1967-08-01 00:00:00,26.35,Chhattisgarh
1967-09-01 00:00:00,26.82,Chhattisgarh
1967-10-01 00:00:00,25.27,Chhattisgarh
1967-11-01 00:00:00,22.0,Chhattisgarh
