YEAR,TEMPERATURE,CO2,RAINFALL
01-01-1961 00:00,24.9,0.032587507,0
01-02-1961 00:00,24.56,0.032587507,5.2
01-03-1961 00:00,27.62,0.032587507,0
01-04-1961 00:00,28.81,0.032587507,2.3
01-05-1961 00:00,27.79,0.032587507,182.2
01-06-1961 00:00,25.42,0.032587507,738
01-07-1961 00:00,24.24,0.032587507,1543.3
01-08-1961 00:00,25.22,0.032587507,712.6
01-09-1961 00:00,25.1,0.032587507,486.1
01-10-1961 00:00,25.27,0.032587507,248.9
01-11-1961 00:00,25.64,0.032587507,2.4
01-12-1961 00:00,24.64,0.032587507,0
01-01-1962 00:00,23.32,0.03585258,0.2
01-02-1962 00:00,25.48,0.03585258,0
01-03-1962 00:00,27.06,0.03585258,0.1
01-04-1962 00:00,28.39,0.03585258,0.7
01-05-1962 00:00,28.23,0.03585258,129.5
01-06-1962 00:00,26.63,0.03585258,435.5
01-07-1962 00:00,25.07,0.03585258,1355.1
01-08-1962 00:00,24.78,0.03585258,880.4
01-09-1962 00:00,25.12,0.03585258,525.9
01-10-1962 00:00,26.21,0.03585258,48.8
01-11-1962 00:00,25.3,0.03585258,12.8
01-12-1962 00:00,24.04,0.03585258,96.2
01-01-1963 00:00,24.68,0.03850551,0
01-02-1963 00:00,25.36,0.03850551,0.1
01-03-1963 00:00,27.4,0.03850551,0.1
01-04-1963 00:00,28.03,0.03850551,1.1
01-05-1963 00:00,28.72,0.03850551,7.6
01-06-1963 00:00,25.74,0.03850551,594.5
01-07-1963 00:00,25.19,0.03850551,1178.8
01-08-1963 00:00,24.48,0.03850551,1414.7
01-09-1963 00:00,25.39,0.03850551,306.3
01-10-1963 00:00,25.72,0.03850551,91.9
01-11-1963 00:00,26.14,0.03850551,11.7
01-12-1963 00:00,25.26,0.03850551,0
01-01-1964 00:00,23.7,0.037646859,0
01-02-1964 00:00,25.32,0.037646859,0
01-03-1964 00:00,27.44,0.037646859,0
01-04-1964 00:00,29.11,0.037646859,0.9
01-05-1964 00:00,28.98,0.037646859,5.2
01-06-1964 00:00,26.28,0.037646859,690.3
01-07-1964 00:00,24.83,0.037646859,908.3
01-08-1964 00:00,24.38,0.037646859,1031.8
01-09-1964 00:00,24.67,0.037646859,378.9
01-10-1964 00:00,25.26,0.037646859,158
01-11-1964 00:00,24.74,0.037646859,18.9
01-12-1964 00:00,23.7,0.037646859,0.4
01-01-1965 00:00,24.2,0.041476425,3.4
01-02-1965 00:00,24.83,0.041476425,0
01-03-1965 00:00,26.7,0.041476425,0
01-04-1965 00:00,28.28,0.041476425,5.7
01-05-1965 00:00,28.56,0.041476425,0.1
01-06-1965 00:00,25.99,0.041476425,817.6
01-07-1965 00:00,24.62,0.041476425,1393.7
01-08-1965 00:00,25.12,0.041476425,608.8
01-09-1965 00:00,25.54,0.041476425,147.5
01-10-1965 00:00,26.69,0.041476425,8.9
01-11-1965 00:00,26.5,0.041476425,2.2
01-12-1965 00:00,25.3,0.041476425,83.7
01-01-1966 00:00,24.58,0.04292431,0
01-02-1966 00:00,26.06,0.04292431,0
01-03-1966 00:00,27.48,0.04292431,0
01-04-1966 00:00,28.6,0.04292431,0.2
01-05-1966 00:00,28.21,0.04292431,64.7
01-06-1966 00:00,26.64,0.04292431,370
01-07-1966 00:00,25.38,0.04292431,1168.8
01-08-1966 00:00,25.59,0.04292431,224.1
01-09-1966 00:00,25.69,0.04292431,443.5
01-10-1966 00:00,26.38,0.04292431,43.9
01-11-1966 00:00,25.71,0.04292431,111.3
01-12-1966 00:00,24.51,0.04292431,1.1
01-01-1967 00:00,24.24,0.043042524,0
01-02-1967 00:00,25.45,0.043042524,0
01-03-1967 00:00,27.26,0.043042524,7.7
01-04-1967 00:00,29.17,0.043042524,0.8
01-05-1967 00:00,29.32,0.043042524,7.5
01-06-1967 00:00,26.74,0.043042524,768.9
01-07-1967 00:00,24.82,0.043042524,1109.2
01-08-1967 00:00,25.04,0.043042524,416.9
01-09-1967 00:00,25.27,0.043042524,317.1
01-10-1967 00:00,25.86,0.043042524,109.6
01-11-1967 00:00,25.65,0.043042524,0.7
01-12-1967 00:00,25.53,0.043042524,14
01-01-1968 00:00,23.91,0.046815274,0
01-02-1968 00:00,25.1,0.046815274,0.3
