AREA,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Goa,1961,0.0,5.2,0.0,2.3,182.2,738.0,1543.3,712.6,486.1,248.9,2.4,0.0
Goa,1962,0.2,0.0,0.1,0.7,129.5,435.5,1355.1,880.4,525.9,48.8,12.8,96.2
Goa,1963,0.0,0.1,0.1,1.1,7.6,594.5,1178.8,1414.7,306.3,91.9,11.7,0.0
Goa,1964,0.0,0.0,0.0,0.9,5.2,690.3,908.3,1031.8,378.9,158.0,18.9,0.4
Goa,1965,3.4,0.0,0.0,5.7,0.1,817.6,1393.7,608.8,147.5,8.9,2.2,83.7
Goa,1966,0.0,0.0,0.0,0.2,64.7,370.0,1168.8,224.1,443.5,43.9,111.3,1.1
Goa,1967,0.0,0.0,7.7,0.8,7.5,768.9,1109.2,416.9,317.1,109.6,0.7,14.0
Goa,1968,0.0,0.3,0.1,6.0,1.5,556.9,1134.7,318.7,202.1,130.4,8.6,0.0
Goa,1969,0.0,0.0,0.0,1.1,2.4,666.5,1282.2,527.1,586.0,37.9,23.2,0.9
Goa,1970,0.0,0.0,0.0,1.5,74.5,963.3,993.8,1164.8,312.7,85.8,0.0,0.2
Goa,1971,0.0,0.0,0.0,0.3,85.1,1011.9,650.8,602.0,362.6,40.4,0.9,0.0
Goa,1972,0.0,0.1,0.0,0.6,10.7,662.0,731.6,293.9,138.8,8.5,26.8,0.0
Goa,1973,0.0,0.4,0.0,0.0,3.1,455.9,922.1,910.6,437.4,103.6,2.9,0.2
Goa,1974,0.7,0.0,0.0,6.8,73.9,508.2,1133.0,774.4,351.1,238.6,0.0,0.0
Goa,1975,0.0,0.1,0.0,1.0,13.6,856.9,1027.0,848.0,556.0,192.7,20.2,0.0
Goa,1976,0.0,0.0,1.6,0.4,4.5,635.1,1279.2,690.1,360.7,20.3,71.0,0.0
Goa,1977,0.0,0.0,0.8,1.3,10.3,583.0,1384.6,580.5,386.9,77.0,78.8,0.2
Goa,1978,0.0,0.0,0.0,8.3,86.6,946.2,907.2,575.4,243.0,67.2,48.8,2.8
