Date,Temperature,State
1961-01-01 00:00:00,24.9,Goa
1961-02-01 00:00:00,24.56,Goa
1961-03-01 00:00:00,27.62,Goa
1961-04-01 00:00:00,28.81,Goa
1961-05-01 00:00:00,27.79,Goa
1961-06-01 00:00:00,25.42,Goa
1961-07-01 00:00:00,24.24,Goa
1961-08-01 00:00:00,25.22,Goa
1961-09-01 00:00:00,25.1,Goa
1961-10-01 00:00:00,25.27,Goa
1961-11-01 00:00:00,25.64,Goa
1961-12-01 00:00:00,24.64,Goa
1962-01-01 00:00:00,23.32,Goa
1962-02-01 00:00:00,25.48,Goa
1962-03-01 00:00:00,27.06,Goa
1962-04-01 00:00:00,28.39,Goa
1962-05-01 00:00:00,28.23,Goa
1962-06-01 00:00:00,26.63,Goa
1962-07-01 00:00:00,25.07,Goa
1962-08-01 00:00:00,24.78,Goa
1962-09-01 00:00:00,25.12,Goa
1962-10-01 00:00:00,26.21,Goa
1962-11-01 00:00:00,25.3,Goa
1962-12-01 00:00:00,24.04,Goa
1963-01-01 00:00:00,24.68,Goa
1963-02-01 00:00:00,25.36,Goa
1963-03-01 00:00:00,27.4,Goa
1963-04-01 00:00:00,28.03,Goa
1963-05-01 00:00:00,28.72,Goa
1963-06-01 00:00:00,25.74,Goa
1963-07-01 00:00:00,25.19,Goa
1963-08-01 00:00:00,24.48,Goa
1963-09-01 00:00:00,25.39,Goa
1963-10-01 00:00:00,25.72,Goa
1963-11-01 00:00:00,26.14,Goa
1963-12-01 00:00:00,25.26,Goa
1964-01-01 00:00:00,23.7,Goa
1964-02-01 00:00:00,25.32,Goa
1964-03-01 00:00:00,27.44,Goa
1964-04-01 00:00:00,29.11,Goa
1964-05-01 00:00:00,28.98,Goa
1964-06-01 00:00:00,26.28,Goa
1964-07-01 00:00:00,24.83,Goa
1964-08-01 00:00:00,24.38,Goa
1964-09-01 00:00:00,24.67,Goa
1964-10-01 00:00:00,25.26,Goa
1964-11-01 00:00:00,24.74,Goa
1964-12-01 00:00:00,23.7,Goa
1965-01-01 00:00:00,24.2,Goa
1965-02-01 00:00:00,24.83,Goa
1965-03-01 00:00:00,26.7,Goa
1965-04-01 00:00:00,28.28,Goa
1965-05-01 00:00:00,28.56,Goa
1965-06-01 00:00:00,25.99,Goa
1965-07-01 00:00:00,24.62,Goa
1965-08-01 00:00:00,25.12,Goa
1965-09-01 00:00:00,25.54,Goa
1965-10-01 00:00:00,26.69,Goa
1965-11-01 00:00:00,26.5,Goa
1965-12-01 00:00:00,25.3,Goa
1966-01-01 00:00:00,24.58,Goa
1966-02-01 00:00:00,26.06,Goa
1966-03-01 00:00:00,27.48,Goa
1966-04-01 00:00:00,28.6,Goa
1966-05-01 00:00:00,28.21,Goa
1966-06-01 00:00:00,26.64,Goa
1966-07-01 00:00:00,25.38,Goa
1966-08-01 00:00:00,25.59,Goa
1966-09-01 00:00:00,25.69,Goa
1966-10-01 00:00:00,26.38,Goa
1966-11-01 00:00:00,25.71,Goa
1966-12-01 00:00:00,24.51,Goa
1967-01-01 00:00:00,24.24,Goa
1967-02-01 00:00:00,25.45,Goa
1967-03-01 00:00:00,27.26,Goa
1967-04-01 00:00:00,29.17,Goa
1967-05-01 00:00:00,29.32,Goa
1967-06-01 00:00:00,26.74,Goa
1967-07-01 00:00:00,24.82,Goa
1967-08-01 00:00:00,25.04,Goa
1967-09-01 00:00:00,25.27,Goa
1967-10-01 00:00:00,25.86,Goa
1967-11-01 00:00:00,25.65,Goa
1967-12-01 00:00:00,25.53,Goa
1968-01-01 00:00:00,23.91,Goa
1968-02-01 00:00:00,25.1,Goa
1968-03-01 00:00:00,27.32,Goa
1968-04-01 00:00:00,28.17,Goa
1968-05-01 00:00:00,28.52,Goa
1968-06-01 00:00:00,26.38,Goa
1968-07-01 00:00:00,24.78,Goa
1968-08-01 00:00:00,25.15,Goa
1968-09-01 00:00:00,25.56,Goa
1968-10-01 00:00:00,25.74,Goa
1968-11-01 00:00:00,25.83,Goa
1968-12-01 00:00:00,24.9,Goa
1969-01-01 00:00:00,24.35,Goa
1969-02-01 00:00:00,25.84,Goa
1969-03-01 00:00:00,28.13,Goa
1969-04-01 00:00:00,29.45,Goa
1969-05-01 00:00:00,29.55,Goa
1969-06-01 00:00:00,26.64,Goa
1969-07-01 00:00:00,25.08,Goa
1969-08-01 00:00:00,25.27,Goa
1969-09-01 00:00:00,24.86,Goa
1969-10-01 00:00:00,26.11,Goa
1969-11-01 00:00:00,26.3,Goa
1969-12-01 00:00:00,25.31,Goa
1970-01-01 00:00:00,24.63,Goa
1970-02-01 00:00:00,25.49,Goa
1970-03-01 00:00:00,27.07,Goa
1970-04-01 00:00:00,28.91,Goa
1970-05-01 00:00:00,28.51,Goa
1970-06-01 00:00:00,25.74,Goa
1970-07-01 00:00:00,25.05,Goa
1970-08-01 00:00:00,24.52,Goa
1970-09-01 00:00:00,24.91,Goa
1970-10-01 00:00:00,25.79,Goa
1970-11-01 00:00:00,25.37,Goa
1970-12-01 00:00:00,23.46,Goa
1971-01-01 00:00:00,23.92,Goa
1971-02-01 00:00:00,25.2,Goa
1971-03-01 00:00:00,27.23,Goa
1971-04-01 00:00:00,29.18,Goa
1971-05-01 00:00:00,28.53,Goa
1971-06-01 00:00:00,25.27,Goa
1971-07-01 00:00:00,25.02,Goa
1971-08-01 00:00:00,24.81,Goa
1971-09-01 00:00:00,25.56,Goa
1971-10-01 00:00:00,25.18,Goa
1971-11-01 00:00:00,24.92,Goa
1971-12-01 00:00:00,24.16,Goa
1972-01-01 00:00:00,23.97,Goa
1972-02-01 00:00:00,24.49,Goa
1972-03-01 00:00:00,27.5,Goa
1972-04-01 00:00:00,28.77,Goa
1972-05-01 00:00:00,28.5,Goa
1972-06-01 00:00:00,27.55,Goa
1972-07-01 00:00:00,25.41,Goa
1972-08-01 00:00:00,25.43,Goa
1972-09-01 00:00:00,26.21,Goa
1972-10-01 00:00:00,27.03,Goa
1972-11-01 00:00:00,25.88,Goa
1972-12-01 00:00:00,25.71,Goa
1973-01-01 00:00:00,24.47,Goa
1973-02-01 00:00:00,26.29,Goa
1973-03-01 00:00:00,27.78,Goa
1973-04-01 00:00:00,29.91,Goa
1973-05-01 00:00:00,29.7,Goa
1973-06-01 00:00:00,26.5,Goa
1973-07-01 00:00:00,25.22,Goa
1973-08-01 00:00:00,24.57,Goa
1973-09-01 00:00:00,25.25,Goa
1973-10-01 00:00:00,25.98,Goa
1973-11-01 00:00:00,25.47,Goa
1973-12-01 00:00:00,24.89,Goa
1974-01-01 00:00:00,24.36,Goa
1974-02-01 00:00:00,25.75,Goa
1974-03-01 00:00:00,28.24,Goa
1974-04-01 00:00:00,29.4,Goa
1974-05-01 00:00:00,28.35,Goa
1974-06-01 00:00:00,26.05,Goa
1974-07-01 00:00:00,25.16,Goa
1974-08-01 00:00:00,24.84,Goa
1974-09-01 00:00:00,25.54,Goa
1974-10-01 00:00:00,25.27,Goa
1974-11-01 00:00:00,24.52,Goa
1974-12-01 00:00:00,23.84,Goa
1975-01-01 00:00:00,24.01,Goa
1975-02-01 00:00:00,25.49,Goa
1975-03-01 00:00:00,27.22,Goa
1975-04-01 00:00:00,29.26,Goa
1975-05-01 00:00:00,28.48,Goa
1975-06-01 00:00:00,25.87,Goa
1975-07-01 00:00:00,24.64,Goa
1975-08-01 00:00:00,24.67,Goa
1975-09-01 00:00:00,25.05,Goa
1975-10-01 00:00:00,25.29,Goa
1975-11-01 00:00:00,24.39,Goa
1975-12-01 00:00:00,23.53,Goa
1976-01-01 00:00:00,23.24,Goa
1976-02-01 00:00:00,24.88,Goa
1976-03-01 00:00:00,27.8,Goa
1976-04-01 00:00:00,28.1,Goa
1976-05-01 00:00:00,28.45,Goa
1976-06-01 00:00:00,26.1,Goa
1976-07-01 00:00:00,25.1,Goa
1976-08-01 00:00:00,24.97,Goa
1976-09-01 00:00:00,25.51,Goa
1976-10-01 00:00:00,27.04,Goa
1976-11-01 00:00:00,26.75,Goa
1976-12-01 00:00:00,25.43,Goa
1977-01-01 00:00:00,24.35,Goa
1977-02-01 00:00:00,26.0,Goa
1977-03-01 00:00:00,28.45,Goa
1977-04-01 00:00:00,28.86,Goa
