UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,15.348784,74.006444,4.878,0,0,0,No Data,No Data
1179727237,2007-05-21T06:00:37Z,15.348162,74.007145,6.285,0.1022655,0,0,No Data,No Data
1179727292,2007-05-21T06:01:32Z,15.347343,74.008303,11.585,0.2564796,0,0,No Data,No Data
1179727320,2007-05-21T06:02:00Z,15.346704,74.008556,11.289,0.3326268,0,0,No Data,No Data
1179727351,2007-05-21T06:02:31Z,15.346074,74.009033,8.286,0.4194832,0,0,No Data,No Data
1179727370,2007-05-21T06:02:50Z,15.345651,74.009276,7.017,0.4733318,0,0,No Data,No Data
1179727433,2007-05-21T06:03:53Z,15.344157,74.009792,5.2,0.6485764,0,0,No Data,No Data
1179727451,2007-05-21T06:04:11Z,15.343725,74.009811,2.797,0.6966195,0,0,No Data,No Data
1179727514,2007-05-21T06:05:14Z,15.342232,74.010326,3.518,0.8717084,0,0,No Data,No Data
1179727558,2007-05-21T06:05:58Z,15.341163,74.010598,5.722,0.9942519,0,0,No Data,No Data
1179727602,2007-05-21T06:06:42Z,15.340092,74.010871,5.056,1.116933,0,0,No Data,No Data
1179727645,2007-05-21T06:07:25Z,15.339015,74.010918,7.743,1.236869,0,0,No Data,No Data
1179727697,2007-05-21T06:08:17Z,15.337722,74.010976,8.343,1.380924,0,0,No Data,No Data
1179727749,2007-05-21T06:09:09Z,15.336429,74.011034,1.543,1.525,0,0,No Data,No Data
1179727792,2007-05-21T06:09:52Z,15.335351,74.011082,1.0,1.645062,0,0,No Data,No Data
1179727870,2007-05-21T06:11:10Z,15.333412,74.011170,1.731,1.861028,0,0,No Data,No Data
1179727913,2007-05-21T06:11:53Z,15.332336,74.011220,3.265,1.980922,0,0,No Data,No Data
1179727956,2007-05-21T06:12:36Z,15.331260,74.011269,13.771,2.100805,0,0,No Data,No Data
1179727991,2007-05-21T06:13:11Z,15.330399,74.011307,24.416,2.196681,0,0,No Data,No Data
1179728029,2007-05-21T06:13:49Z,15.329557,74.011792,25.63,2.303919,0,0,No Data,No Data
1179728090,2007-05-21T06:14:50Z,15.328061,74.012083,20.02,2.473363,0,0,No Data,No Data
1179728133,2007-05-21T06:15:33Z,15.326986,74.012130,15.576,2.593151,0,0,No Data,No Data
1179728204,2007-05-21T06:16:44Z,15.325284,74.012653,7.335,2.790721,0,0,No Data,No Data
1179728267,2007-05-21T06:17:47Z,15.323798,74.013166,5.61,2.965016,0,0,No Data,No Data
1179728322,2007-05-21T06:18:42Z,15.322528,74.013669,2.082,3.116371,0,0,No Data,No Data
1179728357,2007-05-21T06:19:17Z,15.321678,74.013931,2.707,3.215052,0,0,No Data,No Data
1179728415,2007-05-21T06:20:15Z,15.320416,74.014656,11.909,3.375628,0,0,No Data,No Data
1179728461,2007-05-21T06:21:01Z,15.319362,74.015150,26.298,3.504358,0,0,No Data,No Data
1179728497,2007-05-21T06:21:37Z,15.318515,74.015412,43.014,3.602766,0,0,No Data,No Data
1179728532,2007-05-21T06:22:12Z,15.317669,74.015674,49.117,3.701004,0,0,No Data,No Data
1179728582,2007-05-21T06:23:02Z,15.316632,74.016392,40.07,3.839812,0,0,No Data,No Data
1179728640,2007-05-21T06:24:00Z,15.315381,74.017119,42.603,3.999405,0,0,No Data,No Data
1179728690,2007-05-21T06:24:50Z,15.314316,74.017829,13.909,4.140349,0,0,No Data,No Data
1179728751,2007-05-21T06:25:51Z,15.312822,74.018117,2.1,4.309448,0,0,No Data,No Data
1179728787,2007-05-21T06:26:27Z,15.311974,74.018377,2.253,4.407899,0,0,No Data,No Data
1179728818,2007-05-21T06:26:58Z,15.311349,74.018851,3.777,4.494105,0,0,No Data,No Data
1179728868,2007-05-21T06:27:48Z,15.310305,74.019566,4.178,4.63342,0,0,No Data,No Data
1179728911,2007-05-21T06:28:31Z,15.309475,74.020271,2.844,4.752911,0,0,No Data,No Data
1179728954,2007-05-21T06:29:14Z,15.308869,74.021190,2.337,4.872496,0,0,No Data,No Data
1179728978,2007-05-21T06:29:38Z,15.308458,74.021654,3.132,4.940117,0,0,No Data,No Data
1179729033,2007-05-21T06:30:33Z,15.308082,74.023008,4.737,5.091499,0,0,No Data,No Data
1179729060,2007-05-21T06:31:00Z,15.307894,74.023686,5.347,5.16728,0,0,No Data,No Data
1179729104,2007-05-21T06:31:44Z,15.307723,74.024809,5.842,5.289359,0,0,No Data,No Data
1179729156,2007-05-21T06:32:36Z,15.307780,74.026144,11.085,5.43288,0,0,No Data,No Data
