UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,15.355010,73.999655,1.0,0,0,0,No Data,No Data
1179727236,2007-05-21T06:00:36Z,15.354831,74.000561,1.0,0.0992979,0,0,No Data,No Data
1179727350,2007-05-21T06:02:30Z,15.354511,74.003496,10.763,0.416468,0,0,No Data,No Data
1179727456,2007-05-21T06:04:16Z,15.354170,74.006214,50.056,0.710735,0,0,No Data,No Data
1179727483,2007-05-21T06:04:43Z,15.353977,74.006897,52.558,0.787231,0,0,No Data,No Data
1179727530,2007-05-21T06:05:30Z,15.353584,74.008038,47.04,0.91736,0,0,No Data,No Data
1179727577,2007-05-21T06:06:17Z,15.353177,74.009187,70.443,1.048817,0,0,No Data,No Data
1179727664,2007-05-21T06:07:44Z,15.352351,74.011257,118.938,1.289357,0,0,No Data,No Data
1179727696,2007-05-21T06:08:16Z,15.351933,74.011952,128.366,1.377255,0,0,No Data,No Data
1179727757,2007-05-21T06:09:17Z,15.351156,74.013314,101.347,1.547219,0,0,No Data,No Data
1179727776,2007-05-21T06:09:36Z,15.350968,74.013766,83.426,1.600124,0,0,No Data,No Data
1179727814,2007-05-21T06:10:14Z,15.350145,74.014243,55.914,1.70504,0,0,No Data,No Data
1179727851,2007-05-21T06:10:51Z,15.349515,74.014945,47.078,1.807965,0,0,No Data,No Data
1179727909,2007-05-21T06:11:49Z,15.348233,74.015677,73.765,1.970838,0,0,No Data,No Data
1179727955,2007-05-21T06:12:35Z,15.347198,74.016162,67.733,2.097237,0,0,No Data,No Data
1179728017,2007-05-21T06:13:37Z,15.345727,74.016669,35.706,2.26977,0,0,No Data,No Data
1179728068,2007-05-21T06:14:28Z,15.344669,74.017389,35.183,2.410677,0,0,No Data,No Data
1179728155,2007-05-21T06:15:55Z,15.342539,74.017928,21.395,2.654738,0,0,No Data,No Data
1179728238,2007-05-21T06:17:18Z,15.340617,74.018686,31.472,2.883652,0,0,No Data,No Data
1179728323,2007-05-21T06:18:43Z,15.338711,74.019664,50.463,3.120368,0,0,No Data,No Data
1179728376,2007-05-21T06:19:36Z,15.337428,74.019944,48.247,3.266276,0,0,No Data,No Data
1179728449,2007-05-21T06:20:49Z,15.335735,74.020688,40.455,3.470918,0,0,No Data,No Data
1179728501,2007-05-21T06:21:41Z,15.334444,74.020745,32.858,3.614731,0,0,No Data,No Data
1179728614,2007-05-21T06:23:34Z,15.331667,74.021312,47.422,3.929844,0,0,No Data,No Data
1179728666,2007-05-21T06:24:26Z,15.330377,74.021369,42.171,4.073501,0,0,No Data,No Data
1179728727,2007-05-21T06:25:27Z,15.328873,74.021434,38.706,4.241038,0,0,No Data,No Data
1179728787,2007-05-21T06:26:27Z,15.327368,74.021500,35.645,4.408646,0,0,No Data,No Data
1179728821,2007-05-21T06:27:01Z,15.326508,74.021537,31.217,4.50437,0,0,No Data,No Data
1179728830,2007-05-21T06:27:10Z,15.326293,74.021546,30.333,4.528224,0,0,No Data,No Data
1179728890,2007-05-21T06:28:10Z,15.324791,74.021612,28.309,4.69559,0,0,No Data,No Data
1179728937,2007-05-21T06:28:57Z,15.323738,74.022104,33.155,4.824185,0,0,No Data,No Data
1179728991,2007-05-21T06:29:51Z,15.322472,74.022605,41.799,4.975053,0,0,No Data,No Data
1179729034,2007-05-21T06:30:34Z,15.321643,74.023310,44.473,5.094428,0,0,No Data,No Data
1179729071,2007-05-21T06:31:11Z,15.321025,74.024006,48.069,5.196063,0,0,No Data,No Data
1179729119,2007-05-21T06:31:59Z,15.320196,74.024936,33.584,5.331997,0,0,No Data,No Data
1179729156,2007-05-21T06:32:36Z,15.319573,74.025634,17.592,5.434146,0,0,No Data,No Data
1179729193,2007-05-21T06:33:13Z,15.318953,74.026332,12.541,5.536017,0,0,No Data,No Data
1179729254,2007-05-21T06:34:14Z,15.317926,74.027492,6.536,5.705072,0,0,No Data,No Data
1179729285,2007-05-21T06:34:45Z,15.317525,74.028179,9.856,5.791277,0,0,No Data,No Data
1179729352,2007-05-21T06:35:52Z,15.316508,74.029560,15.353,5.977888,0,0,No Data,No Data
1179729382,2007-05-21T06:36:22Z,15.316118,74.030241,18.65,6.062968,0,0,No Data,No Data
1179729426,2007-05-21T06:37:06Z,15.315506,74.031161,29.011,6.182996,0,0,No Data,No Data
1179729504,2007-05-21T06:38:24Z,15.314296,74.032766,39.565,6.401711,0,0,No Data,No Data
1179729591,2007-05-21T06:39:51Z,15.313070,74.034610,20.55,6.642239,0,0,No Data,No Data
1179729634,2007-05-21T06:40:34Z,15.312459,74.035530,13.455,6.762211,0,0,No Data,No Data
1179729702,2007-05-21T06:41:42Z,15.311439,74.036913,10.157,6.949199,0,0,No Data,No Data
1179729720,2007-05-21T06:42:00Z,15.311249,74.037363,9.829,7.001997,0,0,No Data,No Data
1179729751,2007-05-21T06:42:31Z,15.310855,74.038042,19.141,7.087141,0,0,No Data,No Data
1179729816,2007-05-21T06:43:36Z,15.310295,74.039610,48.258,7.266697,0,0,No Data,No Data
1179729854,2007-05-21T06:44:14Z,15.309913,74.040508,59.509,7.372093,0,0,No Data,No Data
1179729905,2007-05-21T06:45:05Z,15.309287,74.041673,40.656,7.515335,0,0,No Data,No Data
1179729937,2007-05-21T06:45:37Z,15.308865,74.042377,20.016,7.604364,0,0,No Data,No Data
1179730005,2007-05-21T06:46:45Z,15.307846,74.043760,3.322,7.791274,0,0,No Data,No Data
1179730053,2007-05-21T06:47:33Z,15.307026,74.044685,5.972,7.926136,0,0,No Data,No Data
1179730099,2007-05-21T06:48:19Z,15.305977,74.045171,4.5,8.053992,0,0,No Data,No Data
1179730143,2007-05-21T06:49:03Z,15.304917,74.045437,3.4,8.175374,0,0,No Data,No Data
1179730169,2007-05-21T06:49:29Z,15.304271,74.045467,6.866,8.247334,0,0,No Data,No Data
1179730203,2007-05-21T06:50:03Z,15.303415,74.045502,8.112,8.342691,0,0,No Data,No Data
1179730250,2007-05-21T06:50:50Z,15.302328,74.045100,7.276,8.471059,0,0,No Data,No Data
1179730311,2007-05-21T06:51:51Z,15.301011,74.044262,6.686,8.642996,0,0,No Data,No Data
1179730378,2007-05-21T06:52:58Z,15.299686,74.043201,1.475,8.829287,0,0,No Data,No Data
1179730425,2007-05-21T06:53:45Z,15.299215,74.042106,2.445,8.957967,0,0,No Data,No Data
1179730506,2007-05-21T06:55:06Z,15.298075,74.040371,18.097,9.183309,0,0,No Data,No Data
1179730549,2007-05-21T06:55:49Z,15.297397,74.039509,18.41,9.302657,0,0,No Data,No Data
1179730614,2007-05-21T06:56:54Z,15.296691,74.037981,14.332,9.484553,0,0,No Data,No Data
1179730669,2007-05-21T06:57:49Z,15.295791,74.036905,11.67,9.637394,0,0,No Data,No Data
1179730708,2007-05-21T06:58:28Z,15.295327,74.036034,8.208,9.744142,0,0,No Data,No Data
1179730770,2007-05-21T06:59:30Z,15.294420,74.034736,5.209,9.91617,0,0,No Data,No Data
1179730824,2007-05-21T07:00:24Z,15.293939,74.033420,7.409,10.06717,0,0,No Data,No Data
1179730898,2007-05-21T07:01:38Z,15.293227,74.031670,6.903,10.27109,0,0,No Data,No Data
1179730947,2007-05-21T07:02:27Z,15.292555,74.030582,12.402,10.40974,0,0,No Data,No Data
1179731043,2007-05-21T07:04:03Z,15.292051,74.028153,21.776,10.67649,0,0,No Data,No Data
1179731131,2007-05-21T07:05:31Z,15.291543,74.025950,39.164,10.91967,0,0,No Data,No Data
1179731209,2007-05-21T07:06:49Z,15.291235,74.023962,21.942,11.13579,0,0,No Data,No Data
1179731295,2007-05-21T07:08:15Z,15.291125,74.021743,16.479,11.37437,0,0,No Data,No Data
1179731398,2007-05-21T07:09:58Z,15.291011,74.019076,1.701,11.66098,0,0,No Data,No Data
1179731492,2007-05-21T07:11:32Z,15.290915,74.016632,11.723,11.92355,0,0,No Data,No Data
1179731604,2007-05-21T07:13:24Z,15.290805,74.013746,26.044,12.23371,0,0,No Data,No Data
1179731733,2007-05-21T07:15:33Z,15.290694,74.010420,43.643,12.59104,0,0,No Data,No Data
1179731854,2007-05-21T07:17:34Z,15.290128,74.007327,27.399,12.9291,0,0,No Data,No Data
1179731966,2007-05-21T07:19:26Z,15.290007,74.004438,21.576,13.23958,0,0,No Data,No Data
1179732035,2007-05-21T07:20:35Z,15.290149,74.002652,21.028,13.43196,0,0,No Data,No Data
1179732066,2007-05-21T07:21:06Z,15.290548,74.001966,20.681,13.51797,0,0,No Data,No Data
1179732086,2007-05-21T07:21:26Z,15.290964,74.001724,18.518,13.5711,0,0,No Data,No Data
1179732150,2007-05-21T07:22:30Z,15.292423,74.000985,16.634,13.75194,0,0,No Data,No Data
1179732205,2007-05-21T07:23:25Z,15.293684,74.000481,13.756,13.90244,0,0,No Data,No Data
1179732257,2007-05-21T07:24:17Z,15.294956,74.000200,12.835,14.04728,0,0,No Data,No Data
1179732311,2007-05-21T07:25:11Z,15.296219,73.999697,13.221,14.198,0,0,No Data,No Data
1179732382,2007-05-21T07:26:22Z,15.297913,73.999175,13.017,14.39482,0,0,No Data,No Data
1179732425,2007-05-21T07:27:05Z,15.298979,73.999124,12.403,14.51366,0,0,No Data,No Data
1179732476,2007-05-21T07:27:56Z,15.300258,73.999063,10.776,14.65624,0,0,No Data,No Data
1179732522,2007-05-21T07:28:42Z,15.301307,73.998567,10.263,14.78457,0,0,No Data,No Data
1179732583,2007-05-21T07:29:43Z,15.302794,73.998275,10.572,14.95308,0,0,No Data,No Data
1179732651,2007-05-21T07:30:51Z,15.304505,73.998195,7.388,15.14376,0,0,No Data,No Data
1179732729,2007-05-21T07:32:09Z,15.306430,73.998106,9.504,15.35834,0,0,No Data,No Data
1179732798,2007-05-21T07:33:18Z,15.308142,73.998026,9.706,15.54921,0,0,No Data,No Data
1179732866,2007-05-21T07:34:26Z,15.309855,73.997946,9.371,15.74018,0,0,No Data,No Data
1179732927,2007-05-21T07:35:27Z,15.311356,73.997878,15.718,15.9075,0,0,No Data,No Data
1179732978,2007-05-21T07:36:18Z,15.312640,73.997817,17.201,16.05068,0,0,No Data,No Data
1179733021,2007-05-21T07:37:01Z,15.313712,73.997767,17.928,16.17019,0,0,No Data,No Data
1179733073,2007-05-21T07:37:53Z,15.315003,73.997714,17.477,16.31407,0,0,No Data,No Data
1179733159,2007-05-21T07:39:19Z,15.317135,73.997386,8.83,16.55407,0,0,No Data,No Data
1179733214,2007-05-21T07:40:14Z,15.318403,73.996879,1.508,16.70544,0,0,No Data,No Data
1179733275,2007-05-21T07:41:15Z,15.319895,73.996583,3.075,16.87463,0,0,No Data,No Data
1179733353,2007-05-21T07:42:33Z,15.321818,73.996269,1.39,17.09146,0,0,No Data,No Data
1179733416,2007-05-21T07:43:36Z,15.323304,73.995752,1.19,17.266,0,0,No Data,No Data
1179733485,2007-05-21T07:44:45Z,15.325023,73.995672,1.0,17.45766,0,0,No Data,No Data
1179733545,2007-05-21T07:45:45Z,15.326528,73.995601,1.232,17.62547,0,0,No Data,No Data
1179733605,2007-05-21T07:46:45Z,15.328034,73.995530,2.261,17.79334,0,0,No Data,No Data
1179733666,2007-05-21T07:47:46Z,15.329540,73.995460,1.047,17.96121,0,0,No Data,No Data
1179733709,2007-05-21T07:48:29Z,15.330616,73.995409,1.723,18.08118,0,0,No Data,No Data
1179733787,2007-05-21T07:49:47Z,15.332554,73.995318,1.0,18.29718,0,0,No Data,No Data
1179733847,2007-05-21T07:50:47Z,15.334062,73.995248,1.0,18.46524,0,0,No Data,No Data
1179733899,2007-05-21T07:51:39Z,15.335354,73.995188,3.34,18.60932,0,0,No Data,No Data
1179733960,2007-05-21T07:52:40Z,15.336869,73.995357,16.035,18.779,0,0,No Data,No Data
1179734040,2007-05-21T07:54:00Z,15.338826,73.995715,27.968,19.00028,0,0,No Data,No Data
1179734109,2007-05-21T07:55:09Z,15.340560,73.995856,29.695,19.19397,0,0,No Data,No Data
1179734181,2007-05-21T07:56:21Z,15.342306,73.996218,25.339,19.39222,0,0,No Data,No Data
1179734242,2007-05-21T07:57:22Z,15.343828,73.996365,16.966,19.56248,0,0,No Data,No Data
1179734297,2007-05-21T07:58:17Z,15.345141,73.996754,15.061,19.71456,0,0,No Data,No Data
1179734358,2007-05-21T07:59:18Z,15.346656,73.996677,1.15,19.88353,0,0,No Data,No Data
1179734419,2007-05-21T08:00:19Z,15.348169,73.996607,0.253,20.05219,0,0,No Data,No Data
1179734463,2007-05-21T08:01:03Z,15.349259,73.996781,2.34,20.17501,0,0,No Data,No Data
1179734523,2007-05-21T08:02:03Z,15.350773,73.996711,1.141,20.34373,0,0,No Data,No Data
1179734585,2007-05-21T08:03:05Z,15.352296,73.996864,1.0,20.51412,0,0,No Data,No Data
1179734624,2007-05-21T08:03:44Z,15.353179,73.997272,1.0,20.62185,0,0,No Data,No Data
1179734633,2007-05-21T08:03:53Z,15.353396,73.997262,1.054,20.64606,0,0,No Data,No Data
