UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,23.139151,72.657153,60.433,0,0,0,No Data,No Data
1179727258,2007-05-21T06:00:58Z,23.138307,72.655866,61.971,0.1617631,0,0,No Data,No Data
1179727316,2007-05-21T06:01:56Z,23.137224,72.654811,58.727,0.3235872,0,0,No Data,No Data
1179727365,2007-05-21T06:02:45Z,23.136118,72.654252,59.977,0.459302,0,0,No Data,No Data
1179727411,2007-05-21T06:03:31Z,23.135249,72.653458,60.535,0.585602,0,0,No Data,No Data
1179727464,2007-05-21T06:04:24Z,23.134151,72.652649,59.367,0.7331483,0,0,No Data,No Data
1179727493,2007-05-21T06:04:53Z,23.133483,72.652360,60.047,0.8130825,0,0,No Data,No Data
1179727542,2007-05-21T06:05:42Z,23.132372,72.651795,60.822,0.9495858,0,0,No Data,No Data
1179727588,2007-05-21T06:06:28Z,23.131251,72.651480,60.842,1.078467,0,0,No Data,No Data
1179727629,2007-05-21T06:07:09Z,23.130369,72.650932,63.907,1.191499,0,0,No Data,No Data
1179727692,2007-05-21T06:08:12Z,23.128781,72.650837,60.607,1.368456,0,0,No Data,No Data
1179727710,2007-05-21T06:08:30Z,23.128328,72.650810,59.066,1.41892,0,0,No Data,No Data
1179727774,2007-05-21T06:09:34Z,23.126741,72.650714,57.053,1.595856,0,0,No Data,No Data
1179727802,2007-05-21T06:10:02Z,23.126060,72.650673,61.414,1.67169,0,0,No Data,No Data
1179727857,2007-05-21T06:10:57Z,23.124687,72.650838,56.892,1.825398,0,0,No Data,No Data
1179727903,2007-05-21T06:11:43Z,23.123543,72.651020,57.189,1.954084,0,0,No Data,No Data
1179727950,2007-05-21T06:12:30Z,23.122398,72.651201,56.436,2.082894,0,0,No Data,No Data
1179727996,2007-05-21T06:13:16Z,23.121252,72.651381,54.675,2.211753,0,0,No Data,No Data
1179728042,2007-05-21T06:14:02Z,23.120106,72.651562,56.506,2.340578,0,0,No Data,No Data
1179728071,2007-05-21T06:14:31Z,23.119414,72.651768,59.266,2.420383,0,0,No Data,No Data
1179728109,2007-05-21T06:15:09Z,23.118494,72.651959,58.497,2.524639,0,0,No Data,No Data
1179728175,2007-05-21T06:16:15Z,23.116879,72.652353,59.553,2.708823,0,0,No Data,No Data
