UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,23.169397,72.684740,71.277,0,0,0,No Data,No Data
1179727230,2007-05-21T06:00:30Z,23.168837,72.685285,70.637,0.0836274,0,0,No Data,No Data
1179727311,2007-05-21T06:01:51Z,23.166939,72.686042,69.503,0.3086144,0,0,No Data,No Data
1179727382,2007-05-21T06:03:02Z,23.165305,72.686812,70.062,0.5068714,0,0,No Data,No Data
1179727440,2007-05-21T06:04:00Z,23.163951,72.687313,68.224,0.6660194,0,0,No Data,No Data
1179727487,2007-05-21T06:04:47Z,23.162862,72.687828,67.211,0.7981587,0,0,No Data,No Data
1179727555,2007-05-21T06:05:55Z,23.161243,72.688312,64.023,0.985009,0,0,No Data,No Data
1179727617,2007-05-21T06:06:57Z,23.159874,72.689100,65.201,1.157389,0,0,No Data,No Data
1179727704,2007-05-21T06:08:24Z,23.157723,72.689547,67.19,1.401199,0,0,No Data,No Data
1179727790,2007-05-21T06:09:50Z,23.155585,72.689704,64.55,1.639751,0,0,No Data,No Data
1179727865,2007-05-21T06:11:05Z,23.153727,72.689589,66.752,1.846849,0,0,No Data,No Data
1179727907,2007-05-21T06:11:47Z,23.152666,72.689523,67.829,1.965106,0,0,No Data,No Data
1179727960,2007-05-21T06:12:40Z,23.151339,72.689441,68.793,2.112976,0,0,No Data,No Data
1179728056,2007-05-21T06:14:16Z,23.148952,72.689294,67.703,2.379123,0,0,No Data,No Data
1179728110,2007-05-21T06:15:10Z,23.147625,72.689209,67.886,2.527108,0,0,No Data,No Data
1179728181,2007-05-21T06:16:21Z,23.146079,72.688252,67.966,2.725029,0,0,No Data,No Data
1179728252,2007-05-21T06:17:32Z,23.144535,72.687297,63.727,2.922696,0,0,No Data,No Data
1179728319,2007-05-21T06:18:39Z,23.142973,72.686623,63.048,3.109731,0,0,No Data,No Data
1179728349,2007-05-21T06:19:09Z,23.142472,72.686014,62.073,3.193322,0,0,No Data,No Data
1179728411,2007-05-21T06:20:11Z,23.141190,72.685067,65.799,3.365791,0,0,No Data,No Data
1179728480,2007-05-21T06:21:20Z,23.139922,72.683832,64.821,3.55521,0,0,No Data,No Data
1179728504,2007-05-21T06:21:44Z,23.139407,72.683510,65.166,3.62128,0,0,No Data,No Data
1179728572,2007-05-21T06:22:52Z,23.138139,72.682275,63.362,3.810684,0,0,No Data,No Data
1179728595,2007-05-21T06:23:15Z,23.137624,72.681954,64.025,3.876741,0,0,No Data,No Data
1179728671,2007-05-21T06:24:31Z,23.136371,72.680431,64.006,4.085823,0,0,No Data,No Data
1179728701,2007-05-21T06:25:01Z,23.135871,72.679822,65.706,4.169317,0,0,No Data,No Data
1179728784,2007-05-21T06:26:24Z,23.134353,72.678285,62.328,4.400139,0,0,No Data,No Data
1179728852,2007-05-21T06:27:32Z,23.133087,72.677051,62.841,4.589352,0,0,No Data,No Data
1179728920,2007-05-21T06:28:40Z,23.132100,72.675545,62.642,4.778607,0,0,No Data,No Data
1179728982,2007-05-21T06:29:42Z,23.131378,72.674055,62.442,4.950946,0,0,No Data,No Data
1179729040,2007-05-21T06:30:40Z,23.130921,72.672581,62.117,5.110112,0,0,No Data,No Data
1179729083,2007-05-21T06:31:23Z,23.130715,72.671411,61.361,5.231971,0,0,No Data,No Data
1179729141,2007-05-21T06:32:21Z,23.130259,72.669937,63.075,5.391106,0,0,No Data,No Data
1179729195,2007-05-21T06:33:15Z,23.130067,72.668479,64.69,5.541801,0,0,No Data,No Data
1179729242,2007-05-21T06:34:02Z,23.129596,72.667294,65.112,5.673958,0,0,No Data,No Data
1179729266,2007-05-21T06:34:26Z,23.129360,72.666701,66.248,5.740076,0,0,No Data,No Data
1179729358,2007-05-21T06:35:58Z,23.128137,72.664601,65.561,5.994526,0,0,No Data,No Data
1179729411,2007-05-21T06:36:51Z,23.127120,72.663671,60.985,6.142334,0,0,No Data,No Data
1179729464,2007-05-21T06:37:44Z,23.126104,72.662742,62.27,6.290057,0,0,No Data,No Data
1179729498,2007-05-21T06:38:18Z,23.125323,72.662406,62.68,6.383484,0,0,No Data,No Data
1179729613,2007-05-21T06:40:13Z,23.123025,72.660531,63.662,6.703255,0,0,No Data,No Data
1179729657,2007-05-21T06:40:57Z,23.121979,72.660179,63.998,6.825082,0,0,No Data,No Data
1179729705,2007-05-21T06:41:45Z,23.120948,72.659538,63.046,6.957229,0,0,No Data,No Data
1179729779,2007-05-21T06:42:59Z,23.119092,72.659427,63.026,7.16415,0,0,No Data,No Data
1179729854,2007-05-21T06:44:14Z,23.117236,72.659317,63.613,7.371054,0,0,No Data,No Data
1179729896,2007-05-21T06:44:56Z,23.116175,72.659253,63.071,7.489326,0,0,No Data,No Data
1179729960,2007-05-21T06:46:00Z,23.114583,72.659159,62.993,7.666725,0,0,No Data,No Data
1179730017,2007-05-21T06:46:57Z,23.113228,72.659660,63.741,7.826017,0,0,No Data,No Data
1179730085,2007-05-21T06:48:05Z,23.111607,72.660145,63.651,8.013095,0,0,No Data,No Data
1179730139,2007-05-21T06:48:59Z,23.110267,72.660352,63.702,8.16377,0,0,No Data,No Data
1179730171,2007-05-21T06:49:31Z,23.109471,72.660303,64.404,8.25248,0,0,No Data,No Data
1179730242,2007-05-21T06:50:42Z,23.107835,72.661070,61.688,8.450759,0,0,No Data,No Data
1179730276,2007-05-21T06:51:16Z,23.107025,72.661311,61.816,8.54419,0,0,No Data,No Data
1179730329,2007-05-21T06:52:09Z,23.105699,72.661231,62.354,8.691989,0,0,No Data,No Data
1179730372,2007-05-21T06:52:52Z,23.104638,72.661168,60.534,8.810233,0,0,No Data,No Data
1179730457,2007-05-21T06:54:17Z,23.102517,72.661037,61.49,9.046739,0,0,No Data,No Data
1179730500,2007-05-21T06:55:00Z,23.101471,72.660683,60.032,9.168673,0,0,No Data,No Data
1179730558,2007-05-21T06:55:58Z,23.100174,72.660026,61.619,9.327878,0,0,No Data,No Data
1179730639,2007-05-21T06:57:19Z,23.098362,72.659048,60.136,9.552999,0,0,No Data,No Data
1179730683,2007-05-21T06:58:03Z,23.097316,72.658696,59.196,9.674833,0,0,No Data,No Data
1179730769,2007-05-21T06:59:29Z,23.095519,72.657430,61.623,9.913184,0,0,No Data,No Data
1179730840,2007-05-21T07:00:40Z,23.093972,72.656469,60.522,10.11151,0,0,No Data,No Data
1179730917,2007-05-21T07:01:57Z,23.092439,72.655220,62.0,10.3247,0,0,No Data,No Data
1179730974,2007-05-21T07:02:54Z,23.091143,72.654563,64.468,10.48384,0,0,No Data,No Data
1179731049,2007-05-21T07:04:09Z,23.089890,72.653043,61.566,10.69281,0,0,No Data,No Data
1179731097,2007-05-21T07:04:57Z,23.088859,72.652401,61.295,10.82501,0,0,No Data,No Data
1179731172,2007-05-21T07:06:12Z,23.087607,72.650879,59.069,11.03404,0,0,No Data,No Data
1179731232,2007-05-21T07:07:12Z,23.086603,72.649665,58.841,11.20111,0,0,No Data,No Data
1179731330,2007-05-21T07:08:50Z,23.084834,72.647824,61.774,11.47361,0,0,No Data,No Data
1179731407,2007-05-21T07:10:07Z,23.083862,72.646031,57.285,11.68667,0,0,No Data,No Data
