AREA,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Gujarat Region,1961,0.5,3.8,2.4,0.0,1.3,108.05,329.55,150.9,238.25,14.1,0.15,0.0
Gujarat Region,1962,0.0,0.0,1.05,1.0,2.55,36.65,217.85,142.1,158.7,0.15,10.8,1.55
Gujarat Region,1963,0.95,0.0,0.95,0.9,0.4,45.2,187.25,237.25,146.7,35.7,32.8,0.3
Gujarat Region,1964,0.15,0.0,0.0,0.0,2.8,105.85,269.7,240.6,96.7,0.3,0.0,0.0
Gujarat Region,1965,6.45,0.0,0.3,0.35,0.75,6.3,364.05,139.0,18.9,0.6,2.25,0.05
Gujarat Region,1966,0.2,0.0,0.0,0.0,0.35,98.9,241.85,39.0,130.2,0.75,0.2,0.05
Gujarat Region,1967,0.0,0.0,44.15,0.55,0.2,119.45,440.3,132.65,77.3,0.55,0.0,23.35
Gujarat Region,1968,0.6,0.65,1.05,0.0,0.35,22.4,192.0,231.15,35.0,7.7,0.35,0.0
Gujarat Region,1969,0.0,0.2,0.0,0.0,0.0,72.35,253.8,95.05,109.4,0.15,6.8,1.7
Gujarat Region,1970,0.15,0.55,0.25,0.15,6.45,166.4,238.45,411.65,258.9,11.75,0.05,0.0
Gujarat Region,1971,0.15,0.05,0.0,0.3,3.5,161.65,215.2,164.1,93.55,2.95,0.0,0.0
Gujarat Region,1972,0.1,2.7,0.0,0.0,1.05,87.4,153.6,102.65,15.1,0.3,0.0,0.0
Gujarat Region,1973,0.5,0.4,0.05,0.0,0.9,74.05,239.3,221.55,231.15,7.05,0.0,0.05
Gujarat Region,1974,0.0,0.0,0.0,0.4,30.8,19.1,95.95,64.55,57.15,34.1,0.0,0.95
Gujarat Region,1975,0.35,0.0,0.35,0.0,0.05,128.6,153.5,319.45,259.25,75.75,0.0,0.0
Gujarat Region,1976,2.1,0.05,0.5,0.0,0.1,223.1,411.1,335.3,107.15,1.25,42.15,0.0
Gujarat Region,1977,2.45,0.05,0.1,0.05,11.55,235.6,381.7,165.75,129.45,0.8,8.35,0.0
Gujarat Region,1978,0.0,0.9,0.0,2.25,0.15,156.45,192.45,288.0,31.7,7.9,29.15,3.2
Gujarat Region,1979,0.5,3.95,0.0,0.0,0.2,137.9,104.45,537.65,41.65,11.85,91.25,0.55
Gujarat Region,1980,0.2,0.1,0.0,0.0,0.05,291.55,250.15,153.6,19.55,0.45,0.65,12.7
Gujarat Region,1981,1.0,0.0,0.35,0.05,0.5,78.65,349.4,270.4,113.7,36.8,58.75,0.0
Gujarat Region,1982,0.25,0.05,0.05,1.45,33.15,22.4,205.55,190.2,21.35,3.6,101.65,0.0
Gujarat Region,1983,0.15,0.05,0.0,4.65,0.9,169.75,310.3,326.1,124.3,50.05,0.0,0.0
Gujarat Region,1984,0.0,0.0,0.0,0.0,0.0,71.45,183.6,287.3,102.65,2.85,0.85,0.0
Gujarat Region,1985,0.0,0.0,0.0,0.4,3.6,13.35,175.25,150.55,17.9,83.05,0.0,0.15
Gujarat Region,1986,0.0,0.0,0.15,0.0,2.1,173.95,96.1,121.2,5.35,0.75,0.55,0.05
Gujarat Region,1987,0.2,0.25,0.2,0.0,0.2,50.5,68.9,107.05,3.9,1.75,7.2,7.0
Gujarat Region,1988,0.0,0.0,0.0,1.8,0.05,43.7,534.45,178.15,160.7,6.0,0.0,0.0
Gujarat Region,1989,1.55,0.0,0.1,0.0,0.05,123.5,303.9,179.45,49.65,2.3,0.0,0.0
Gujarat Region,1990,0.0,2.8,0.3,0.0,19.4,55.95,119.25,394.95,148.15,17.4,2.45,2.45
Gujarat Region,1991,0.0,0.0,0.0,0.0,0.0,34.45,298.2,89.0,23.6,0.0,0.35,0.15
Gujarat Region,1992,1.3,0.1,0.0,0.0,0.5,88.95,299.75,178.15,166.4,14.35,1.35,0.0
Gujarat Region,1993,0.75,3.25,0.05,0.0,0.0,87.3,349.0,36.75,108.95,30.3,9.35,1.25
Gujarat Region,1994,4.1,0.0,0.0,0.05,0.0,210.05,446.85,253.8,287.65,1.1,0.05,0.0
Gujarat Region,1995,1.1,0.0,0.2,0.0,0.0,5.75,355.05,86.4,56.75,23.4,0.15,0.35
Gujarat Region,1996,0.7,0.0,0.0,0.05,0.0,130.5,268.35,126.2,81.55,31.15,0.05,0.0
Gujarat Region,1997,0.75,0.0,0.4,1.8,3.3,272.55,189.65,226.85,133.4,5.0,0.45,0.45
