YEAR,TEMPERATURE,CO2,RAINFALL
01-01-1961 00:00,19.8,15.26181556,0.5
01-02-1961 00:00,20.68,15.26181556,3.8
01-03-1961 00:00,27.38,15.26181556,2.4
01-04-1961 00:00,29.45,15.26181556,0
01-05-1961 00:00,32.02,15.26181556,1.3
01-06-1961 00:00,30.48,15.26181556,108.05
01-07-1961 00:00,28.16,15.26181556,329.55
01-08-1961 00:00,28.07,15.26181556,150.9
01-09-1961 00:00,27.44,15.26181556,238.25
01-10-1961 00:00,26.58,15.26181556,14.1
01-11-1961 00:00,23.61,15.26181556,0.15
01-12-1961 00:00,19.4,15.26181556,0
01-01-1962 00:00,18.12,16.79095841,0
01-02-1962 00:00,22.64,16.79095841,0
01-03-1962 00:00,26.1,16.79095841,1.05
01-04-1962 00:00,29.94,16.79095841,1
01-05-1962 00:00,32.44,16.79095841,2.55
01-06-1962 00:00,31.36,16.79095841,36.65
01-07-1962 00:00,29.01,16.79095841,217.85
01-08-1962 00:00,27.97,16.79095841,142.1
01-09-1962 00:00,27.89,16.79095841,158.7
01-10-1962 00:00,26.77,16.79095841,0.15
01-11-1962 00:00,24.24,16.79095841,10.8
01-12-1962 00:00,20.43,16.79095841,1.55
01-01-1963 00:00,20.01,18.0334138,0.95
01-02-1963 00:00,23.79,18.0334138,0
01-03-1963 00:00,26.88,18.0334138,0.95
01-04-1963 00:00,29.73,18.0334138,0.9
01-05-1963 00:00,31.81,18.0334138,0.4
01-06-1963 00:00,31.34,18.0334138,45.2
01-07-1963 00:00,29.18,18.0334138,187.25
01-08-1963 00:00,27.72,18.0334138,237.25
01-09-1963 00:00,27.64,18.0334138,146.7
01-10-1963 00:00,27.73,18.0334138,35.7
01-11-1963 00:00,25.15,18.0334138,32.8
01-12-1963 00:00,21.22,18.0334138,0.3
01-01-1964 00:00,17.78,17.63127884,0.15
01-02-1964 00:00,21.79,17.63127884,0
01-03-1964 00:00,27.67,17.63127884,0
01-04-1964 00:00,30.8,17.63127884,0
01-05-1964 00:00,32.2,17.63127884,2.8
01-06-1964 00:00,30.76,17.63127884,105.85
01-07-1964 00:00,28.59,17.63127884,269.7
01-08-1964 00:00,27.76,17.63127884,240.6
01-09-1964 00:00,27.98,17.63127884,96.7
01-10-1964 00:00,26.65,17.63127884,0.3
01-11-1964 00:00,23.12,17.63127884,0
01-12-1964 00:00,19.78,17.63127884,0
01-01-1965 00:00,21.22,19.42479216,6.45
01-02-1965 00:00,22.57,19.42479216,0
01-03-1965 00:00,26.11,19.42479216,0.3
01-04-1965 00:00,28.81,19.42479216,0.35
01-05-1965 00:00,31.15,19.42479216,0.75
01-06-1965 00:00,31.3,19.42479216,6.3
01-07-1965 00:00,28.57,19.42479216,364.05
01-08-1965 00:00,27.86,19.42479216,139
01-09-1965 00:00,27.92,19.42479216,18.9
01-10-1965 00:00,28.08,19.42479216,0.6
01-11-1965 00:00,24.99,19.42479216,2.25
01-12-1965 00:00,20.26,19.42479216,0.05
01-01-1966 00:00,20.55,20.10288526,0.2
01-02-1966 00:00,24.15,20.10288526,0
01-03-1966 00:00,25.92,20.10288526,0
01-04-1966 00:00,29.06,20.10288526,0
01-05-1966 00:00,31.71,20.10288526,0.35
01-06-1966 00:00,30.97,20.10288526,98.9
01-07-1966 00:00,29,20.10288526,241.85
01-08-1966 00:00,27.86,20.10288526,39
01-09-1966 00:00,28.08,20.10288526,130.2
01-10-1966 00:00,28.44,20.10288526,0.75
01-11-1966 00:00,24.42,20.10288526,0.2
01-12-1966 00:00,19.92,20.10288526,0.05
01-01-1967 00:00,18.12,20.15824855,0
01-02-1967 00:00,23.53,20.15824855,0
01-03-1967 00:00,26.23,20.15824855,44.15
01-04-1967 00:00,29.18,20.15824855,0.55
01-05-1967 00:00,31.74,20.15824855,0.2
01-06-1967 00:00,30.65,20.15824855,119.45
01-07-1967 00:00,28.54,20.15824855,440.3
01-08-1967 00:00,27.43,20.15824855,132.65
01-09-1967 00:00,27.73,20.15824855,77.3
01-10-1967 00:00,27.38,20.15824855,0.55
01-11-1967 00:00,24.59,20.15824855,0
01-12-1967 00:00,20.67,20.15824855,23.35
01-01-1968 00:00,18.43,21.92515316,0.6
01-02-1968 00:00,20.55,21.92515316,0.65
01-03-1968 00:00,26.36,21.92515316,1.05
01-04-1968 00:00,29.1,21.92515316,0
01-05-1968 00:00,30.76,21.92515316,0.35
01-06-1968 00:00,31.77,21.92515316,22.4
01-07-1968 00:00,29.49,21.92515316,192
01-08-1968 00:00,27.49,21.92515316,231.15
01-09-1968 00:00,28.67,21.92515316,35
01-10-1968 00:00,27.72,21.92515316,7.7
01-11-1968 00:00,24.77,21.92515316,0.35
01-12-1968 00:00,20.34,21.92515316,0
01-01-1969 00:00,19.59,22.32170887,0
01-02-1969 00:00,22.13,22.32170887,0.2
01-03-1969 00:00,27.84,22.32170887,0
01-04-1969 00:00,30.41,22.32170887,0
01-05-1969 00:00,31.99,22.32170887,0
01-06-1969 00:00,31.67,22.32170887,72.35
01-07-1969 00:00,29.35,22.32170887,253.8
01-08-1969 00:00,27.54,22.32170887,95.05
01-09-1969 00:00,27.91,22.32170887,109.4
01-10-1969 00:00,27.95,22.32170887,0.15
01-11-1969 00:00,25.61,22.32170887,6.8
01-12-1969 00:00,21.48,22.32170887,1.7
01-01-1970 00:00,19.82,22.83886215,0.15
01-02-1970 00:00,22.01,22.83886215,0.55
01-03-1970 00:00,26.04,22.83886215,0.25
01-04-1970 00:00,30.26,22.83886215,0.15
01-05-1970 00:00,32.57,22.83886215,6.45
01-06-1970 00:00,30.92,22.83886215,166.4
01-07-1970 00:00,28.95,22.83886215,238.45
01-08-1970 00:00,27.87,22.83886215,411.65
01-09-1970 00:00,27.68,22.83886215,258.9
01-10-1970 00:00,27.99,22.83886215,11.75
01-11-1970 00:00,23.58,22.83886215,0.05
01-12-1970 00:00,19.99,22.83886215,0
01-01-1971 00:00,19.04,24.09419272,0.15
01-02-1971 00:00,22.08,24.09419272,0.05
01-03-1971 00:00,26.56,24.09419272,0
01-04-1971 00:00,31.22,24.09419272,0.3
01-05-1971 00:00,31.86,24.09419272,3.5
01-06-1971 00:00,30.23,24.09419272,161.65
01-07-1971 00:00,28.21,24.09419272,215.2
01-08-1971 00:00,27.58,24.09419272,164.1
01-09-1971 00:00,28.14,24.09419272,93.55
01-10-1971 00:00,26.74,24.09419272,2.95
01-11-1971 00:00,23.84,24.09419272,0
01-12-1971 00:00,20.4,24.09419272,0
01-01-1972 00:00,19.97,25.49630041,0.1
01-02-1972 00:00,19.68,25.49630041,2.7
01-03-1972 00:00,26.85,25.49630041,0
01-04-1972 00:00,29.21,25.49630041,0
01-05-1972 00:00,32.17,25.49630041,1.05
01-06-1972 00:00,31.94,25.49630041,87.4
01-07-1972 00:00,29.3,25.49630041,153.6
01-08-1972 00:00,28.28,25.49630041,102.65
01-09-1972 00:00,28.43,25.49630041,15.1
01-10-1972 00:00,28.12,25.49630041,0.3
01-11-1972 00:00,24.56,25.49630041,0
01-12-1972 00:00,20.91,25.49630041,0
01-01-1973 00:00,18.72,26.25636551,0.5
01-02-1973 00:00,23.15,26.25636551,0.4
01-03-1973 00:00,26.67,26.25636551,0.05
01-04-1973 00:00,31.22,26.25636551,0
01-05-1973 00:00,32.52,26.25636551,0.9
01-06-1973 00:00,31.35,26.25636551,74.05
01-07-1973 00:00,28.31,26.25636551,239.3
01-08-1973 00:00,27.63,26.25636551,221.55
