Date,Temperature,State
1961-01-01 00:00:00,19.8,Gujarat
1961-02-01 00:00:00,20.68,Gujarat
1961-03-01 00:00:00,27.38,Gujarat
1961-04-01 00:00:00,29.45,Gujarat
1961-05-01 00:00:00,32.02,Gujarat
1961-06-01 00:00:00,30.48,Gujarat
1961-07-01 00:00:00,28.16,Gujarat
1961-08-01 00:00:00,28.07,Gujarat
1961-09-01 00:00:00,27.44,Gujarat
1961-10-01 00:00:00,26.58,Gujarat
1961-11-01 00:00:00,23.61,Gujarat
1961-12-01 00:00:00,19.4,Gujarat
1962-01-01 00:00:00,18.12,Gujarat
1962-02-01 00:00:00,22.64,Gujarat
1962-03-01 00:00:00,26.1,Gujarat
1962-04-01 00:00:00,29.94,Gujarat
1962-05-01 00:00:00,32.44,Gujarat
1962-06-01 00:00:00,31.36,Gujarat
1962-07-01 00:00:00,29.01,Gujarat
1962-08-01 00:00:00,27.97,Gujarat
1962-09-01 00:00:00,27.89,Gujarat
1962-10-01 00:00:00,26.77,Gujarat
1962-11-01 00:00:00,24.24,Gujarat
1962-12-01 00:00:00,20.43,Gujarat
1963-01-01 00:00:00,20.01,Gujarat
1963-02-01 00:00:00,23.79,Gujarat
1963-03-01 00:00:00,26.88,Gujarat
1963-04-01 00:00:00,29.73,Gujarat
1963-05-01 00:00:00,31.81,Gujarat
1963-06-01 00:00:00,31.34,Gujarat
1963-07-01 00:00:00,29.18,Gujarat
1963-08-01 00:00:00,27.72,Gujarat
1963-09-01 00:00:00,27.64,Gujarat
1963-10-01 00:00:00,27.73,Gujarat
1963-11-01 00:00:00,25.15,Gujarat
1963-12-01 00:00:00,21.22,Gujarat
1964-01-01 00:00:00,17.78,Gujarat
1964-02-01 00:00:00,21.79,Gujarat
1964-03-01 00:00:00,27.67,Gujarat
1964-04-01 00:00:00,30.8,Gujarat
1964-05-01 00:00:00,32.2,Gujarat
1964-06-01 00:00:00,30.76,Gujarat
1964-07-01 00:00:00,28.59,Gujarat
1964-08-01 00:00:00,27.76,Gujarat
1964-09-01 00:00:00,27.98,Gujarat
1964-10-01 00:00:00,26.65,Gujarat
1964-11-01 00:00:00,23.12,Gujarat
1964-12-01 00:00:00,19.78,Gujarat
1965-01-01 00:00:00,21.22,Gujarat
1965-02-01 00:00:00,22.57,Gujarat
1965-03-01 00:00:00,26.11,Gujarat
1965-04-01 00:00:00,28.81,Gujarat
1965-05-01 00:00:00,31.15,Gujarat
1965-06-01 00:00:00,31.3,Gujarat
1965-07-01 00:00:00,28.57,Gujarat
1965-08-01 00:00:00,27.86,Gujarat
1965-09-01 00:00:00,27.92,Gujarat
1965-10-01 00:00:00,28.08,Gujarat
1965-11-01 00:00:00,24.99,Gujarat
1965-12-01 00:00:00,20.26,Gujarat
1966-01-01 00:00:00,20.55,Gujarat
1966-02-01 00:00:00,24.15,Gujarat
1966-03-01 00:00:00,25.92,Gujarat
1966-04-01 00:00:00,29.06,Gujarat
1966-05-01 00:00:00,31.71,Gujarat
1966-06-01 00:00:00,30.97,Gujarat
1966-07-01 00:00:00,29.0,Gujarat
1966-08-01 00:00:00,27.86,Gujarat
1966-09-01 00:00:00,28.08,Gujarat
1966-10-01 00:00:00,28.44,Gujarat
1966-11-01 00:00:00,24.42,Gujarat
1966-12-01 00:00:00,19.92,Gujarat
1967-01-01 00:00:00,18.12,Gujarat
1967-02-01 00:00:00,23.53,Gujarat
1967-03-01 00:00:00,26.23,Gujarat
