UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,28.691026,77.233903,204.989,0,0,0,No Data,No Data
1179727250,2007-05-21T06:00:50Z,28.689781,77.233874,205.179,0.1386196,0,0,No Data,No Data
1179727275,2007-05-21T06:01:15Z,28.689158,77.233860,204.749,0.2079354,0,0,No Data,No Data
1179727372,2007-05-21T06:02:52Z,28.686859,77.234755,206.231,0.4783772,0,0,No Data,No Data
1179727415,2007-05-21T06:03:35Z,28.685817,77.234967,204.058,0.5961738,0,0,No Data,No Data
1179727475,2007-05-21T06:04:35Z,28.684357,77.235407,206.776,0.7643061,0,0,No Data,No Data
1179727525,2007-05-21T06:05:25Z,28.683108,77.235615,205.61,0.9048032,0,0,No Data,No Data
1179727586,2007-05-21T06:06:26Z,28.681648,77.236055,206.257,1.072932,0,0,No Data,No Data
1179727603,2007-05-21T06:06:43Z,28.681233,77.236046,206.002,1.119111,0,0,No Data,No Data
1179727653,2007-05-21T06:07:33Z,28.679984,77.236254,206.029,1.259583,0,0,No Data,No Data
1179727672,2007-05-21T06:07:52Z,28.679565,77.236481,206.787,1.311189,0,0,No Data,No Data
1179727732,2007-05-21T06:08:52Z,28.678105,77.236921,204.778,1.479279,0,0,No Data,No Data
1179727783,2007-05-21T06:09:43Z,28.676856,77.237129,207.833,1.619792,0,0,No Data,No Data
1179727807,2007-05-21T06:10:07Z,28.676432,77.237592,208.586,1.685194,0,0,No Data,No Data
1179727857,2007-05-21T06:10:57Z,28.675182,77.237801,206.86,1.825771,0,0,No Data,No Data
1179727913,2007-05-21T06:11:53Z,28.673924,77.238482,209.101,1.980752,0,0,No Data,No Data
1179727939,2007-05-21T06:12:19Z,28.673298,77.238704,211.632,2.053744,0,0,No Data,No Data
1179727995,2007-05-21T06:13:15Z,28.672038,77.239385,206.921,2.208938,0,0,No Data,No Data
1179728048,2007-05-21T06:14:08Z,28.670985,77.240307,206.699,2.356737,0,0,No Data,No Data
1179728095,2007-05-21T06:14:55Z,28.670139,77.241233,206.047,2.487325,0,0,No Data,No Data
1179728137,2007-05-21T06:15:37Z,28.669297,77.241923,206.353,2.602763,0,0,No Data,No Data
1179728207,2007-05-21T06:16:47Z,28.668028,77.243313,206.918,2.798681,0,0,No Data,No Data
1179728261,2007-05-21T06:17:41Z,28.667178,77.244475,205.402,2.946507,0,0,No Data,No Data
1179728309,2007-05-21T06:18:29Z,28.666537,77.245643,206.397,3.081114,0,0,No Data,No Data
1179728351,2007-05-21T06:19:11Z,28.665897,77.246574,207.093,3.196617,0,0,No Data,No Data
1179728392,2007-05-21T06:19:52Z,28.665258,77.247505,207.011,3.312056,0,0,No Data,No Data
1179728448,2007-05-21T06:20:48Z,28.664611,77.248908,207.606,3.466947,0,0,No Data,No Data
1179728504,2007-05-21T06:21:44Z,28.663964,77.250312,207.303,3.621885,0,0,No Data,No Data
1179728515,2007-05-21T06:21:55Z,28.663753,77.250544,205.528,3.654526,0,0,No Data,No Data
1179728558,2007-05-21T06:22:38Z,28.663525,77.251721,204.676,3.772296,0,0,No Data,No Data
1179728606,2007-05-21T06:23:26Z,28.662882,77.252888,202.844,3.906953,0,0,No Data,No Data
1179728670,2007-05-21T06:24:30Z,28.662231,77.254528,203.173,4.082861,0,0,No Data,No Data
1179728718,2007-05-21T06:25:18Z,28.661588,77.255696,206.573,4.217558,0,0,No Data,No Data
1179728785,2007-05-21T06:26:25Z,28.660729,77.257331,206.074,4.403705,0,0,No Data,No Data
1179728819,2007-05-21T06:26:59Z,28.660505,77.258271,204.441,4.49889,0,0,No Data,No Data
1179728920,2007-05-21T06:28:40Z,28.659421,77.260844,209.333,4.777769,0,0,No Data,No Data
1179728970,2007-05-21T06:29:30Z,28.659188,77.262257,212.388,4.918249,0,0,No Data,No Data
1179729015,2007-05-21T06:30:15Z,28.658752,77.263429,209.999,5.04257,0,0,No Data,No Data
1179729064,2007-05-21T06:31:04Z,28.658109,77.264595,209.434,5.177117,0,0,No Data,No Data
1179729111,2007-05-21T06:31:51Z,28.657263,77.265521,208.357,5.307681,0,0,No Data,No Data
1179729158,2007-05-21T06:32:38Z,28.656417,77.266446,209.296,5.438228,0,0,No Data,No Data
1179729206,2007-05-21T06:33:26Z,28.655368,77.267131,206.702,5.572826,0,0,No Data,No Data
1179729273,2007-05-21T06:34:33Z,28.653900,77.268044,202.724,5.758986,0,0,No Data,No Data
1179729321,2007-05-21T06:35:21Z,28.652851,77.268729,204.09,5.893571,0,0,No Data,No Data
1179729372,2007-05-21T06:36:12Z,28.651607,77.268700,203.565,6.032054,0,0,No Data,No Data
1179729421,2007-05-21T06:37:01Z,28.650363,77.268671,207.014,6.170531,0,0,No Data,No Data
1179729504,2007-05-21T06:38:24Z,28.648290,77.268623,203.07,6.401342,0,0,No Data,No Data
1179729521,2007-05-21T06:38:41Z,28.647875,77.268613,203.734,6.44749,0,0,No Data,No Data
1179729596,2007-05-21T06:39:56Z,28.646009,77.268570,206.284,6.655189,0,0,No Data,No Data
1179729645,2007-05-21T06:40:45Z,28.644765,77.268541,205.492,6.793612,0,0,No Data,No Data
1179729704,2007-05-21T06:41:44Z,28.643318,77.268271,205.752,6.956738,0,0,No Data,No Data
1179729730,2007-05-21T06:42:10Z,28.642701,77.268020,201.552,7.029622,0,0,No Data,No Data
1179729789,2007-05-21T06:43:09Z,28.641254,77.267750,199.955,7.192807,0,0,No Data,No Data
1179729858,2007-05-21T06:44:18Z,28.639604,77.267239,203.097,7.383081,0,0,No Data,No Data
1179729910,2007-05-21T06:45:10Z,28.638369,77.266737,203.164,7.529006,0,0,No Data,No Data
1179729927,2007-05-21T06:45:27Z,28.637954,77.266728,203.915,7.575135,0,0,No Data,No Data
1179729964,2007-05-21T06:46:04Z,28.637134,77.266236,205.318,7.678288,0,0,No Data,No Data
1179730005,2007-05-21T06:46:45Z,28.636317,77.265508,207.075,7.793674,0,0,No Data,No Data
1179730072,2007-05-21T06:47:52Z,28.634883,77.264530,204.0,7.979691,0,0,No Data,No Data
1179730099,2007-05-21T06:48:19Z,28.634265,77.264279,204.0,8.052636,0,0,No Data,No Data
1179730152,2007-05-21T06:49:12Z,28.633457,77.263079,204.11,8.20033,0,0,No Data,No Data
