YEAR,TEMPERATURE,CO2,RAINFALL
01-01-1961 00:00,13.84,4.486213399,40.2
01-02-1961 00:00,14.48,4.486213399,29.9
01-03-1961 00:00,22.85,4.486213399,0.4
01-04-1961 00:00,28.06,4.486213399,4.6
01-05-1961 00:00,33.02,4.486213399,11
01-06-1961 00:00,34.16,4.486213399,46.2
01-07-1961 00:00,31.4,4.486213399,150.1
01-08-1961 00:00,29.88,4.486213399,251.4
01-09-1961 00:00,29.81,4.486213399,52.4
01-10-1961 00:00,25.1,4.486213399,25.8
01-11-1961 00:00,18.07,4.486213399,6.6
01-12-1961 00:00,12.3,4.486213399,9.2
01-01-1962 00:00,12.25,4.935705212,21.1
01-02-1962 00:00,17,4.935705212,10.4
01-03-1962 00:00,22.12,4.935705212,7.7
01-04-1962 00:00,29.44,4.935705212,1.3
01-05-1962 00:00,33.17,4.935705212,1.5
01-06-1962 00:00,34.56,4.935705212,14
01-07-1962 00:00,32.04,4.935705212,144.7
01-08-1962 00:00,30.56,4.935705212,111.5
01-09-1962 00:00,28.33,4.935705212,189.4
01-10-1962 00:00,24.3,4.935705212,0
01-11-1962 00:00,18.94,4.935705212,2.9
01-12-1962 00:00,14.15,4.935705212,6.5
01-01-1963 00:00,13.24,5.300925194,3.1
01-02-1963 00:00,18.46,5.300925194,4.1
01-03-1963 00:00,21.93,5.300925194,4.4
01-04-1963 00:00,27.79,5.300925194,2
01-05-1963 00:00,32.12,5.300925194,3.9
01-06-1963 00:00,34.29,5.300925194,40.7
01-07-1963 00:00,32.72,5.300925194,55.3
01-08-1963 00:00,29.95,5.300925194,307.6
01-09-1963 00:00,28.89,5.300925194,85.3
01-10-1963 00:00,26.48,5.300925194,0
01-11-1963 00:00,20.55,5.300925194,9
01-12-1963 00:00,14.57,5.300925194,6.3
01-01-1964 00:00,11.76,5.182717552,4.7
01-02-1964 00:00,16.18,5.182717552,1.5
01-03-1964 00:00,24.18,5.182717552,0.9
01-04-1964 00:00,29.35,5.182717552,0.4
01-05-1964 00:00,31.38,5.182717552,14.6
01-06-1964 00:00,34.13,5.182717552,8.8
01-07-1964 00:00,30.21,5.182717552,370.7
01-08-1964 00:00,30.33,5.182717552,191.5
01-09-1964 00:00,28.91,5.182717552,111.2
01-10-1964 00:00,25.52,5.182717552,0.6
01-11-1964 00:00,18.55,5.182717552,0.1
01-12-1964 00:00,14.44,5.182717552,6
01-01-1965 00:00,15.39,5.709921112,6.2
01-02-1965 00:00,16.47,5.709921112,11.5
01-03-1965 00:00,21.56,5.709921112,7.3
01-04-1965 00:00,26.09,5.709921112,8.6
01-05-1965 00:00,31.48,5.709921112,20.4
01-06-1965 00:00,35.11,5.709921112,2.1
01-07-1965 00:00,31.29,5.709921112,120.3
01-08-1965 00:00,30.09,5.709921112,133.3
01-09-1965 00:00,29.31,5.709921112,60.9
01-10-1965 00:00,26.13,5.709921112,11
01-11-1965 00:00,20.69,5.709921112,0.1
01-12-1965 00:00,13.87,5.709921112,0.2
01-01-1966 00:00,14.61,5.909246698,3.3
01-02-1966 00:00,18.6,5.909246698,34
01-03-1966 00:00,22.26,5.909246698,6.7
01-04-1966 00:00,28.25,5.909246698,1.7
01-05-1966 00:00,32.77,5.909246698,45.3
01-06-1966 00:00,33.46,5.909246698,128.9
01-07-1966 00:00,32.28,5.909246698,98.2
01-08-1966 00:00,30.02,5.909246698,312.8
01-09-1966 00:00,28.81,5.909246698,69.1
01-10-1966 00:00,25.81,5.909246698,6.7
01-11-1966 00:00,19.31,5.909246698,1
01-12-1966 00:00,13.88,5.909246698,0.2
01-01-1967 00:00,12.47,5.925520749,0
01-02-1967 00:00,18.65,5.925520749,2.4
01-03-1967 00:00,21.13,5.925520749,43.4
01-04-1967 00:00,27.27,5.925520749,0.9
01-05-1967 00:00,32,5.925520749,13
01-06-1967 00:00,34.74,5.925520749,33.1
01-07-1967 00:00,31.35,5.925520749,224.3
01-08-1967 00:00,29.52,5.925520749,336
01-09-1967 00:00,28.89,5.925520749,96.3
01-10-1967 00:00,24.95,5.925520749,7.8
01-11-1967 00:00,19.29,5.925520749,13.8
01-12-1967 00:00,14.72,5.925520749,68.9
01-01-1968 00:00,12.4,6.444902672,14.1
01-02-1968 00:00,14.74,6.444902672,15.9
01-03-1968 00:00,22.02,6.444902672,17.3
01-04-1968 00:00,27.91,6.444902672,0
01-05-1968 00:00,32.12,6.444902672,2.3
01-06-1968 00:00,34.6,6.444902672,28.3
01-07-1968 00:00,31.08,6.444902672,211.2
01-08-1968 00:00,30.21,6.444902672,90.1
01-09-1968 00:00,30.67,6.444902672,0.1
01-10-1968 00:00,25.13,6.444902672,7
01-11-1968 00:00,19.72,6.444902672,0
01-12-1968 00:00,14.82,6.444902672,2
01-01-1969 00:00,13.65,6.561470293,1.5
01-02-1969 00:00,17,6.561470293,6.8
01-03-1969 00:00,24.89,6.561470293,9.7
01-04-1969 00:00,28.43,6.561470293,3.6
01-05-1969 00:00,31.62,6.561470293,21
01-06-1969 00:00,35.24,6.561470293,11.3
01-07-1969 00:00,31.69,6.561470293,130.9
01-08-1969 00:00,30.54,6.561470293,132.7
01-09-1969 00:00,29.28,6.561470293,158.8
01-10-1969 00:00,26.57,6.561470293,0.3
01-11-1969 00:00,20.86,6.561470293,0.6
01-12-1969 00:00,15.28,6.561470293,0
01-01-1970 00:00,13.96,6.713487592,35.4
01-02-1970 00:00,16,6.713487592,35.4
01-03-1970 00:00,21.75,6.713487592,9.4
01-04-1970 00:00,29.75,6.713487592,0
01-05-1970 00:00,33.95,6.713487592,11.5
01-06-1970 00:00,32.97,6.713487592,67.2
01-07-1970 00:00,32.12,6.713487592,65.7
01-08-1970 00:00,30.11,6.713487592,207.9
01-09-1970 00:00,29.57,6.713487592,104.9
01-10-1970 00:00,26.37,6.713487592,0.8
01-11-1970 00:00,19.24,6.713487592,0
01-12-1970 00:00,15.08,6.713487592,0
01-01-1971 00:00,12.8,7.082492237,17
01-02-1971 00:00,16.98,7.082492237,18.9
01-03-1971 00:00,22.65,7.082492237,1.1
01-04-1971 00:00,29.53,7.082492237,7.5
01-05-1971 00:00,31.32,7.082492237,58.7
01-06-1971 00:00,32.59,7.082492237,61.3
01-07-1971 00:00,30.39,7.082492237,148.4
01-08-1971 00:00,29.44,7.082492237,259.2
01-09-1971 00:00,28.91,7.082492237,51.6
01-10-1971 00:00,25.62,7.082492237,11.3
01-11-1971 00:00,19.84,7.082492237,1.8
01-12-1971 00:00,15.36,7.082492237,0
01-01-1972 00:00,14.41,7.494642041,6.8
01-02-1972 00:00,14.3,7.494642041,12.1
01-03-1972 00:00,23.22,7.494642041,5.6
01-04-1972 00:00,27.35,7.494642041,11.6
01-05-1972 00:00,33.78,7.494642041,0.1
01-06-1972 00:00,34.96,7.494642041,24.9
01-07-1972 00:00,32.08,7.494642041,137.1
01-08-1972 00:00,29.97,7.494642041,186
01-09-1972 00:00,28.68,7.494642041,12.6
01-10-1972 00:00,25.23,7.494642041,7.7
01-11-1972 00:00,20.18,7.494642041,33.1
01-12-1972 00:00,15.43,7.494642041,3.2
01-01-1973 00:00,13.69,7.718063315,15.8
01-02-1973 00:00,18.03,7.718063315,5.2
01-03-1973 00:00,22.1,7.718063315,3.2
01-04-1973 00:00,30.35,7.718063315,0.5
01-05-1973 00:00,33.73,7.718063315,32.9
01-06-1973 00:00,33.96,7.718063315,75.1
01-07-1973 00:00,31.77,7.718063315,118.3
01-08-1973 00:00,29.63,7.718063315,189.8
01-09-1973 00:00,29.71,7.718063315,57.6
01-10-1973 00:00,25.48,7.718063315,19.7
01-11-1973 00:00,19.61,7.718063315,0
01-12-1973 00:00,13.21,7.718063315,9
01-01-1974 00:00,13.47,7.981223551,0.5
01-02-1974 00:00,15.45,7.981223551,1.3
01-03-1974 00:00,24.13,7.981223551,1.6
01-04-1974 00:00,30.22,7.981223551,0.9
01-05-1974 00:00,33.1,7.981223551,4.6
01-06-1974 00:00,33.38,7.981223551,37.9
01-07-1974 00:00,31.03,7.981223551,201.5
01-08-1974 00:00,30.77,7.981223551,94.5
01-09-1974 00:00,30.33,7.981223551,12.2
01-10-1974 00:00,25.81,7.981223551,16.4
01-11-1974 00:00,19.29,7.981223551,0
01-12-1974 00:00,13.44,7.981223551,13.5
01-01-1975 00:00,12.6,8.676466149,20.3
01-02-1975 00:00,15.52,8.676466149,2.9
01-03-1975 00:00,21.64,8.676466149,9.3
01-04-1975 00:00,29.14,8.676466149,0.3
01-05-1975 00:00,34.02,8.676466149,5.6
01-06-1975 00:00,33.07,8.676466149,57.9
01-07-1975 00:00,30.61,8.676466149,182.6
01-08-1975 00:00,29.85,8.676466149,180.1
01-09-1975 00:00,28.24,8.676466149,142.4
01-10-1975 00:00,26.19,8.676466149,20.6
01-11-1975 00:00,18.89,8.676466149,0
01-12-1975 00:00,15.38,8.676466149,0
01-01-1976 00:00,14.7,9.074991166,8.8
01-02-1976 00:00,16.84,9.074991166,23.1
01-03-1976 00:00,21.75,9.074991166,6.8
01-04-1976 00:00,27.79,9.074991166,2.7
01-05-1976 00:00,32.77,9.074991166,32.4
01-06-1976 00:00,32.66,9.074991166,80.2
01-07-1976 00:00,31.49,9.074991166,216.2
01-08-1976 00:00,28.95,9.074991166,317.4
01-09-1976 00:00,28.75,9.074991166,38
01-10-1976 00:00,26.37,9.074991166,0.2
01-11-1976 00:00,21.11,9.074991166,0.1
01-12-1976 00:00,15.08,9.074991166,0.8
01-01-1977 00:00,13.78,9.600176239,50.1
01-02-1977 00:00,17.34,9.600176239,1.5
01-03-1977 00:00,24.46,9.600176239,0.8
01-04-1977 00:00,28.01,9.600176239,22.8
01-05-1977 00:00,31.39,9.600176239,23.6
01-06-1977 00:00,32.9,9.600176239,50.6
01-07-1977 00:00,29.92,9.600176239,288.4
01-08-1977 00:00,30.05,9.600176239,165.7
01-09-1977 00:00,28.26,9.600176239,118.3
01-10-1977 00:00,26.14,9.600176239,8.4
01-11-1977 00:00,21.88,9.600176239,0.5
01-12-1977 00:00,15.94,9.600176239,9.4
01-01-1978 00:00,13.39,9.739325683,0.2
01-02-1978 00:00,15.52,9.739325683,24.8
01-03-1978 00:00,20.27,9.739325683,51.7
01-04-1978 00:00,28.44,9.739325683,4.2
01-05-1978 00:00,35.66,9.739325683,1.5
01-06-1978 00:00,34.06,9.739325683,71.5
01-07-1978 00:00,30.04,9.739325683,202.7
01-08-1978 00:00,29.83,9.739325683,184.8
01-09-1978 00:00,28.96,9.739325683,104.5
01-10-1978 00:00,26.11,9.739325683,2.1
01-11-1978 00:00,20.32,9.739325683,2.8
01-12-1978 00:00,15.31,9.739325683,0.5
01-01-1979 00:00,14.53,10.21392243,23.2
01-02-1979 00:00,15.99,10.21392243,45.5
01-03-1979 00:00,20.54,10.21392243,10.7
01-04-1979 00:00,29.36,10.21392243,3.5
01-05-1979 00:00,31.52,10.21392243,30
01-06-1979 00:00,34.66,10.21392243,33.6
01-07-1979 00:00,32.01,10.21392243,122.7
01-08-1979 00:00,31.06,10.21392243,39.7
01-09-1979 00:00,29.56,10.21392243,19.9
01-10-1979 00:00,26.79,10.21392243,3.6
01-11-1979 00:00,21.69,10.21392243,2.8
01-12-1979 00:00,16.02,10.21392243,6.3
01-01-1980 00:00,14.12,10.80306831,5.8
01-02-1980 00:00,18.17,10.80306831,2.3
01-03-1980 00:00,21.71,10.80306831,22
01-04-1980 00:00,30.26,10.80306831,0.4
01-05-1980 00:00,35.11,10.80306831,8.9
01-06-1980 00:00,34.31,10.80306831,45.5
01-07-1980 00:00,30.97,10.80306831,236.5
01-08-1980 00:00,30.89,10.80306831,102
01-09-1980 00:00,29.97,10.80306831,50.2
01-10-1980 00:00,26.67,10.80306831,13.4
01-11-1980 00:00,20.43,10.80306831,4.9
01-12-1980 00:00,15.37,10.80306831,21.4
01-01-1981 00:00,14.23,11.65701444,25.7
01-02-1981 00:00,17.76,11.65701444,13.3
01-03-1981 00:00,21.59,11.65701444,34.6
01-04-1981 00:00,29.31,11.65701444,0.5
01-05-1981 00:00,33.66,11.65701444,18
01-06-1981 00:00,35.5,11.65701444,63.3
01-07-1981 00:00,30.89,11.65701444,196.7
01-08-1981 00:00,30.96,11.65701444,63.7
01-09-1981 00:00,30.56,11.65701444,34.7
01-10-1981 00:00,25.98,11.65701444,0.1
01-11-1981 00:00,19.28,11.65701444,42.1
01-12-1981 00:00,14.99,11.65701444,0.6
01-01-1982 00:00,14.54,12.02854219,21.4
01-02-1982 00:00,15.44,12.02854219,20
01-03-1982 00:00,19.57,12.02854219,70.7
01-04-1982 00:00,27.11,12.02854219,33.1
01-05-1982 00:00,30.24,12.02854219,57.3
01-06-1982 00:00,34.12,12.02854219,29.9
01-07-1982 00:00,32.97,12.02854219,99.2
01-08-1982 00:00,30.32,12.02854219,150.4
01-09-1982 00:00,30.06,12.02854219,5.4
01-10-1982 00:00,26.43,12.02854219,3.2
01-11-1982 00:00,20.26,12.02854219,2.4
01-12-1982 00:00,15.43,12.02854219,13.6
01-01-1983 00:00,13.31,13.02731477,38
01-02-1983 00:00,15.65,13.02731477,5.3
01-03-1983 00:00,21.19,13.02731477,6.4
01-04-1983 00:00,25.28,13.02731477,82.5
01-05-1983 00:00,31.23,13.02731477,35.3
01-06-1983 00:00,33.37,13.02731477,29.5
01-07-1983 00:00,31.56,13.02731477,218.3
01-08-1983 00:00,30.28,13.02731477,240.7
01-09-1983 00:00,30,13.02731477,79.8
01-10-1983 00:00,25.24,13.02731477,5.4
01-11-1983 00:00,19.58,13.02731477,0
01-12-1983 00:00,15.26,13.02731477,3.3
01-01-1984 00:00,12.96,13.35241732,1.9
01-02-1984 00:00,15,13.35241732,14.5
01-03-1984 00:00,24.27,13.35241732,0.4
01-04-1984 00:00,28.84,13.35241732,2.7
01-05-1984 00:00,35.65,13.35241732,0.7
01-06-1984 00:00,34.98,13.35241732,48.6
01-07-1984 00:00,31,13.35241732,154.2
01-08-1984 00:00,30.23,13.35241732,179.5
01-09-1984 00:00,28.53,13.35241732,75.5
01-10-1984 00:00,25.29,13.35241732,0.9
