Date,Temperature,State
1961-01-01 00:00:00,13.84,Haryana Delhi & Chandigarh
1961-02-01 00:00:00,14.48,Haryana Delhi & Chandigarh
1961-03-01 00:00:00,22.85,Haryana Delhi & Chandigarh
1961-04-01 00:00:00,28.06,Haryana Delhi & Chandigarh
1961-05-01 00:00:00,33.02,Haryana Delhi & Chandigarh
1961-06-01 00:00:00,34.16,Haryana Delhi & Chandigarh
1961-07-01 00:00:00,31.4,Haryana Delhi & Chandigarh
1961-08-01 00:00:00,29.88,Haryana Delhi & Chandigarh
1961-09-01 00:00:00,29.81,Haryana Delhi & Chandigarh
1961-10-01 00:00:00,25.1,Haryana Delhi & Chandigarh
1961-11-01 00:00:00,18.07,Haryana Delhi & Chandigarh
1961-12-01 00:00:00,12.3,Haryana Delhi & Chandigarh
1962-01-01 00:00:00,12.25,Haryana Delhi & Chandigarh
1962-02-01 00:00:00,17.0,Haryana Delhi & Chandigarh
1962-03-01 00:00:00,22.12,Haryana Delhi & Chandigarh
1962-04-01 00:00:00,29.44,Haryana Delhi & Chandigarh
1962-05-01 00:00:00,33.17,Haryana Delhi & Chandigarh
1962-06-01 00:00:00,34.56,Haryana Delhi & Chandigarh
1962-07-01 00:00:00,32.04,Haryana Delhi & Chandigarh
1962-08-01 00:00:00,30.56,Haryana Delhi & Chandigarh
1962-09-01 00:00:00,28.33,Haryana Delhi & Chandigarh
1962-10-01 00:00:00,24.3,Haryana Delhi & Chandigarh
1962-11-01 00:00:00,18.94,Haryana Delhi & Chandigarh
1962-12-01 00:00:00,14.15,Haryana Delhi & Chandigarh
1963-01-01 00:00:00,13.24,Haryana Delhi & Chandigarh
1963-02-01 00:00:00,18.46,Haryana Delhi & Chandigarh
1963-03-01 00:00:00,21.93,Haryana Delhi & Chandigarh
1963-04-01 00:00:00,27.79,Haryana Delhi & Chandigarh
1963-05-01 00:00:00,32.12,Haryana Delhi & Chandigarh
1963-06-01 00:00:00,34.29,Haryana Delhi & Chandigarh
1963-07-01 00:00:00,32.72,Haryana Delhi & Chandigarh
1963-08-01 00:00:00,29.95,Haryana Delhi & Chandigarh
1963-09-01 00:00:00,28.89,Haryana Delhi & Chandigarh
1963-10-01 00:00:00,26.48,Haryana Delhi & Chandigarh
1963-11-01 00:00:00,20.55,Haryana Delhi & Chandigarh
