UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,29.777176,77.158081,248.456,0,0,0,No Data,No Data
1179727294,2007-05-21T06:01:34Z,29.775551,77.156135,250.818,0.2608627,0,0,No Data,No Data
1179727424,2007-05-21T06:03:44Z,29.773106,77.153692,249.339,0.621056,0,0,No Data,No Data
1179727513,2007-05-21T06:05:13Z,29.771051,77.152689,248.12,0.8694824,0,0,No Data,No Data
1179727610,2007-05-21T06:06:50Z,29.769003,77.151208,250.442,1.138548,0,0,No Data,No Data
1179727731,2007-05-21T06:08:51Z,29.766120,77.150185,250.299,1.474377,0,0,No Data,No Data
1179727805,2007-05-21T06:10:05Z,29.764479,77.149192,249.424,1.680731,0,0,No Data,No Data
1179727958,2007-05-21T06:12:38Z,29.760766,77.148148,250.982,2.106113,0,0,No Data,No Data
1179728076,2007-05-21T06:14:36Z,29.757875,77.147602,249.55,2.432209,0,0,No Data,No Data
1179728158,2007-05-21T06:15:58Z,29.756242,77.146132,249.994,2.662814,0,0,No Data,No Data
1179728295,2007-05-21T06:18:15Z,29.752945,77.145099,250.226,3.043142,0,0,No Data,No Data
1179728385,2007-05-21T06:19:45Z,29.750890,77.144096,250.796,3.291545,0,0,No Data,No Data
1179728486,2007-05-21T06:21:26Z,29.748414,77.143562,250.557,3.571903,0,0,No Data,No Data
1179728659,2007-05-21T06:24:19Z,29.744299,77.142035,249.159,4.053148,0,0,No Data,No Data
1179728727,2007-05-21T06:25:27Z,29.742651,77.141520,250.343,4.243152,0,0,No Data,No Data
1179728810,2007-05-21T06:26:50Z,29.741019,77.140052,249.888,4.473595,0,0,No Data,No Data
1179728895,2007-05-21T06:28:15Z,29.738958,77.139527,249.0,4.708529,0,0,No Data,No Data
1179729045,2007-05-21T06:30:45Z,29.735241,77.138965,248.978,5.125821,0,0,No Data,No Data
1179729112,2007-05-21T06:31:52Z,29.733586,77.138927,249.425,5.310076,0,0,No Data,No Data
1179729180,2007-05-21T06:33:00Z,29.731923,77.139365,248.308,5.5,0,0,No Data,No Data
1179729291,2007-05-21T06:34:51Z,29.729416,77.140738,247.575,5.809024,0,0,No Data,No Data
1179729388,2007-05-21T06:36:28Z,29.727323,77.142120,250.148,6.077576,0,0,No Data,No Data
1179729521,2007-05-21T06:38:41Z,29.724394,77.143959,246.455,6.448894,0,0,No Data,No Data
1179729642,2007-05-21T06:40:42Z,29.721482,77.144845,248.959,6.784168,0,0,No Data,No Data
1179729716,2007-05-21T06:41:56Z,29.719811,77.145759,247.98,6.990122,0,0,No Data,No Data
1179729785,2007-05-21T06:43:05Z,29.718148,77.146198,247.0,7.18004,0,0,No Data,No Data
1179729890,2007-05-21T06:44:50Z,29.715649,77.147093,246.732,7.471343,0,0,No Data,No Data
1179729994,2007-05-21T06:46:34Z,29.713150,77.147988,247.276,7.76261,0,0,No Data,No Data
1179730011,2007-05-21T06:46:51Z,29.712737,77.147978,246.554,7.808582,0,0,No Data,No Data
1179730112,2007-05-21T06:48:32Z,29.710246,77.148396,247.628,8.088785,0,0,No Data,No Data
1179730212,2007-05-21T06:50:12Z,29.707756,77.148816,247.984,8.368925,0,0,No Data,No Data
1179730318,2007-05-21T06:51:58Z,29.705258,77.149712,246.168,8.660201,0,0,No Data,No Data
1179730407,2007-05-21T06:53:27Z,29.703173,77.150617,246.674,8.908219,0,0,No Data,No Data
1179730491,2007-05-21T06:54:51Z,29.701097,77.151046,246.666,9.143008,0,0,No Data,No Data
1179730591,2007-05-21T06:56:31Z,29.698615,77.150989,247.075,9.41935,0,0,No Data,No Data
1179730665,2007-05-21T06:57:45Z,29.696944,77.151904,245.237,9.625309,0,0,No Data,No Data
1179730748,2007-05-21T06:59:08Z,29.694876,77.151856,246.422,9.855554,0,0,No Data,No Data
1179730816,2007-05-21T07:00:16Z,29.693213,77.152295,245.492,10.04544,0,0,No Data,No Data
1179730882,2007-05-21T07:01:22Z,29.691559,77.152257,245.421,10.22961,0,0,No Data,No Data
1179730982,2007-05-21T07:03:02Z,29.689077,77.152199,246.646,10.50597,0,0,No Data,No Data
1179731065,2007-05-21T07:04:25Z,29.687008,77.152152,246.829,10.73626,0,0,No Data,No Data
1179731148,2007-05-21T07:05:48Z,29.684940,77.152104,247.454,10.96645,0,0,No Data,No Data
1179731313,2007-05-21T07:08:33Z,29.680804,77.152008,248.965,11.42695,0,0,No Data,No Data
1179731418,2007-05-21T07:10:18Z,29.678338,77.150998,248.797,11.71826,0,0,No Data,No Data
1179731503,2007-05-21T07:11:43Z,29.676278,77.150473,247.633,11.95306,0,0,No Data,No Data
1179731577,2007-05-21T07:12:57Z,29.674640,77.149482,246.0,12.15902,0,0,No Data,No Data
1179731667,2007-05-21T07:14:27Z,29.672588,77.148480,246.019,12.40707,0,0,No Data,No Data
1179731749,2007-05-21T07:15:49Z,29.670958,77.147013,245.213,12.63737,0,0,No Data,No Data
1179731902,2007-05-21T07:18:22Z,29.667253,77.145973,247.287,13.06192,0,0,No Data,No Data
1179731991,2007-05-21T07:19:51Z,29.665201,77.144973,246.548,13.30993,0,0,No Data,No Data
1179732155,2007-05-21T07:22:35Z,29.661511,77.142984,245.527,13.76346,0,0,No Data,No Data
1179732244,2007-05-21T07:24:04Z,29.659460,77.141985,245.57,14.01135,0,0,No Data,No Data
1179732397,2007-05-21T07:26:37Z,29.655754,77.140949,244.555,14.43585,0,0,No Data,No Data
1179732538,2007-05-21T07:28:58Z,29.652470,77.139447,244.664,14.82919,0,0,No Data,No Data
1179732659,2007-05-21T07:30:59Z,29.649592,77.138430,245.114,15.16434,0,0,No Data,No Data
1179732801,2007-05-21T07:33:21Z,29.646308,77.136927,245.565,15.55775,0,0,No Data,No Data
1179732964,2007-05-21T07:36:04Z,29.642618,77.134939,245.644,16.01122,0,0,No Data,No Data
1179733083,2007-05-21T07:38:03Z,29.640170,77.132980,243.914,16.34315,0,0,No Data,No Data
1179733260,2007-05-21T07:41:00Z,29.636918,77.129575,244.0,16.83262,0,0,No Data,No Data
1179733402,2007-05-21T07:43:22Z,29.634064,77.127130,243.689,17.22871,0,0,No Data,No Data
1179733522,2007-05-21T07:45:22Z,29.631615,77.125170,245.205,17.56073,0,0,No Data,No Data
1179733604,2007-05-21T07:46:44Z,29.629986,77.123705,245.017,17.79085,0,0,No Data,No Data
1179733694,2007-05-21T07:48:14Z,29.627935,77.122707,244.368,18.03874,0,0,No Data,No Data
1179733776,2007-05-21T07:49:36Z,29.626305,77.121243,244.148,18.26892,0,0,No Data,No Data
1179733883,2007-05-21T07:51:23Z,29.624270,77.119293,244.239,18.56371,0,0,No Data,No Data
1179733977,2007-05-21T07:52:57Z,29.622648,77.117353,240.695,18.82411,0,0,No Data,No Data
1179734059,2007-05-21T07:54:19Z,29.621439,77.115423,241.624,19.05424,0,0,No Data,No Data
1179734093,2007-05-21T07:54:53Z,29.621455,77.114472,242.903,19.14629,0,0,No Data,No Data
1179734197,2007-05-21T07:56:37Z,29.623952,77.113576,241.909,19.43748,0,0,No Data,No Data
1179734268,2007-05-21T07:57:48Z,29.625216,77.112177,240.945,19.63273,0,0,No Data,No Data
1179734418,2007-05-21T08:00:18Z,29.628944,77.111785,242.858,20.04954,0,0,No Data,No Data
1179734551,2007-05-21T08:02:31Z,29.632260,77.111381,243.0,20.42081,0,0,No Data,No Data
1179734701,2007-05-21T08:05:01Z,29.635981,77.111463,244.513,20.83523,0,0,No Data,No Data
1179734833,2007-05-21T08:07:13Z,29.639289,77.111536,244.133,21.20365,0,0,No Data,No Data
1179734949,2007-05-21T08:09:09Z,29.642183,77.111600,244.681,21.52601,0,0,No Data,No Data
1179735065,2007-05-21T08:11:05Z,29.645078,77.111665,245.0,21.84839,0,0,No Data,No Data
1179735181,2007-05-21T08:13:01Z,29.647972,77.111729,246.524,22.17068,0,0,No Data,No Data
1179735281,2007-05-21T08:14:41Z,29.650453,77.111785,245.945,22.44696,0,0,No Data,No Data
1179735463,2007-05-21T08:17:43Z,29.655001,77.111887,247.001,22.95344,0,0,No Data,No Data
1179735552,2007-05-21T08:19:12Z,29.657053,77.112885,244.787,23.20148,0,0,No Data,No Data
1179735702,2007-05-21T08:21:42Z,29.660766,77.113444,245.396,23.61844,0,0,No Data,No Data
1179735836,2007-05-21T08:23:56Z,29.664066,77.113995,246.785,23.98974,0,0,No Data,No Data
1179736035,2007-05-21T08:27:15Z,29.669028,77.114106,246.907,24.54234,0,0,No Data,No Data
1179736300,2007-05-21T08:31:40Z,29.675645,77.114254,246.588,25.27916,0,0,No Data,No Data
1179736516,2007-05-21T08:35:16Z,29.681013,77.114851,248.0,25.87962,0,0,No Data,No Data
1179736669,2007-05-21T08:37:49Z,29.684719,77.115888,246.022,26.30431,0,0,No Data,No Data
1179736835,2007-05-21T08:40:35Z,29.688855,77.115981,246.44,26.76493,0,0,No Data,No Data
1179737018,2007-05-21T08:43:38Z,29.693405,77.116084,245.111,27.2716,0,0,No Data,No Data
1179737167,2007-05-21T08:46:07Z,29.697127,77.116167,247.884,27.6861,0,0,No Data,No Data
1179737316,2007-05-21T08:48:36Z,29.700849,77.116250,246.02,28.10065,0,0,No Data,No Data
1179737433,2007-05-21T08:50:33Z,29.703737,77.116791,247.34,28.42643,0,0,No Data,No Data
1179737566,2007-05-21T08:52:46Z,29.707046,77.116865,246.953,28.7949,0,0,No Data,No Data
1179737716,2007-05-21T08:55:16Z,29.710761,77.117426,248.747,29.2121,0,0,No Data,No Data
1179737806,2007-05-21T08:56:46Z,29.712814,77.118426,248.32,29.46032,0,0,No Data,No Data
1179738022,2007-05-21T09:00:22Z,29.718184,77.119026,248.713,30.06107,0,0,No Data,No Data
1179738156,2007-05-21T09:02:36Z,29.721487,77.119578,248.494,30.43267,0,0,No Data,No Data
1179738297,2007-05-21T09:04:57Z,29.724773,77.121083,248.11,30.82646,0,0,No Data,No Data
1179738415,2007-05-21T09:06:55Z,29.727662,77.121626,248.204,31.15237,0,0,No Data,No Data
1179738565,2007-05-21T09:09:25Z,29.731378,77.122187,249.539,31.56967,0,0,No Data,No Data
1179738682,2007-05-21T09:11:22Z,29.734267,77.122730,247.242,31.89561,0,0,No Data,No Data
1179738782,2007-05-21T09:13:02Z,29.736750,77.122787,249.066,32.17215,0,0,No Data,No Data
1179738899,2007-05-21T09:14:59Z,29.739639,77.123330,251.425,32.49811,0,0,No Data,No Data
1179738984,2007-05-21T09:16:24Z,29.741701,77.123854,248.359,32.7332,0,0,No Data,No Data
1179739050,2007-05-21T09:17:30Z,29.743356,77.123892,248.348,32.91755,0,0,No Data,No Data
1179739135,2007-05-21T09:18:55Z,29.745418,77.124416,248.101,33.15266,0,0,No Data,No Data
1179739269,2007-05-21T09:21:09Z,29.748721,77.124969,248.503,33.52431,0,0,No Data,No Data
1179739353,2007-05-21T09:22:33Z,29.750783,77.125493,249.827,33.75944,0,0,No Data,No Data
1179739422,2007-05-21T09:23:42Z,29.752431,77.126008,248.211,33.94966,0,0,No Data,No Data
1179739527,2007-05-21T09:25:27Z,29.754900,77.127020,249.1,34.24154,0,0,No Data,No Data
1179739664,2007-05-21T09:27:44Z,29.758198,77.128051,249.108,34.62201,0,0,No Data,No Data
1179739790,2007-05-21T09:29:50Z,29.761073,77.129550,248.311,34.97342,0,0,No Data,No Data
1179739880,2007-05-21T09:31:20Z,29.763128,77.130552,249.171,35.22196,0,0,No Data,No Data
1179739969,2007-05-21T09:32:49Z,29.765183,77.131555,250.646,35.47055,0,0,No Data,No Data
1179740096,2007-05-21T09:34:56Z,29.768059,77.133054,249.787,35.8221,0,0,No Data,No Data
1179740202,2007-05-21T09:36:42Z,29.770100,77.135011,250.988,36.11776,0,0,No Data,No Data
1179740299,2007-05-21T09:38:19Z,29.772147,77.136491,250.579,36.38692,0,0,No Data,No Data
1179740370,2007-05-21T09:39:30Z,29.773367,77.137951,251.019,36.58284,0,0,No Data,No Data
1179740422,2007-05-21T09:40:22Z,29.773758,77.139392,250.271,36.72882,0,0,No Data,No Data
1179740460,2007-05-21T09:41:00Z,29.774156,77.140356,250.567,36.83209,0,0,No Data,No Data
1179740571,2007-05-21T09:42:51Z,29.775352,77.143248,250.518,37.14175,0,0,No Data,No Data
1179740656,2007-05-21T09:44:16Z,29.775727,77.145643,248.564,37.37702,0,0,No Data,No Data
1179740726,2007-05-21T09:45:26Z,29.776946,77.147103,250.668,37.57285,0,0,No Data,No Data
1179740795,2007-05-21T09:46:35Z,29.777328,77.149021,249.897,37.76309,0,0,No Data,No Data
1179740884,2007-05-21T09:48:04Z,29.778117,77.151426,247.428,38.01158,0,0,No Data,No Data
1179740989,2007-05-21T09:49:49Z,29.778897,77.154306,250.005,38.30319,0,0,No Data,No Data
1179741041,2007-05-21T09:50:41Z,29.778459,77.155727,248.453,38.44892,0,0,No Data,No Data
