UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,31.896617,77.149894,1106.016,0,0,0,No Data,No Data
1179727269,2007-05-21T06:01:09Z,31.895039,77.150745,1120.234,0.1931666,0,0,No Data,No Data
1179727321,2007-05-21T06:02:01Z,31.893879,77.151382,1130.85,0.3356425,0,0,No Data,No Data
1179727405,2007-05-21T06:03:25Z,31.892075,77.152649,1146.167,0.5694338,0,0,No Data,No Data
1179727490,2007-05-21T06:04:50Z,31.890227,77.153906,1188.319,0.8069725,0,0,No Data,No Data
1179727614,2007-05-21T06:06:54Z,31.887712,77.155996,1200.337,1.149666,0,0,No Data,No Data
1179727691,2007-05-21T06:08:11Z,31.886120,77.157258,1192.838,1.363315,0,0,No Data,No Data
1179727754,2007-05-21T06:09:14Z,31.884800,77.158297,1199.561,1.540036,0,0,No Data,No Data
1179727791,2007-05-21T06:09:51Z,31.884215,77.159129,1207.309,1.642162,0,0,No Data,No Data
1179727833,2007-05-21T06:10:33Z,31.883304,77.159753,1201.623,1.759464,0,0,No Data,No Data
1179727870,2007-05-21T06:11:10Z,31.882564,77.160375,1205.734,1.860673,0,0,No Data,No Data
1179727925,2007-05-21T06:12:05Z,31.881517,77.161424,1189.783,2.013714,0,0,No Data,No Data
1179727961,2007-05-21T06:12:41Z,31.880786,77.162046,1186.033,2.114161,0,0,No Data,No Data
1179728002,2007-05-21T06:13:22Z,31.880033,77.162872,1181.818,2.228742,0,0,No Data,No Data
1179728059,2007-05-21T06:14:19Z,31.878916,77.163901,1182.353,2.386628,0,0,No Data,No Data
1179728106,2007-05-21T06:15:06Z,31.877960,77.164714,1199.261,2.51785,0,0,No Data,No Data
1179728143,2007-05-21T06:15:43Z,31.877202,77.165322,1197.26,2.619923,0,0,No Data,No Data
1179728196,2007-05-21T06:16:36Z,31.876074,77.166129,1241.215,2.766852,0,0,No Data,No Data
1179728248,2007-05-21T06:17:28Z,31.874961,77.166938,1214.133,2.912379,0,0,No Data,No Data
1179728288,2007-05-21T06:18:08Z,31.874252,77.167764,1212.432,3.023408,0,0,No Data,No Data
1179728351,2007-05-21T06:19:11Z,31.872759,77.168346,1236.667,3.198433,0,0,No Data,No Data
1179728387,2007-05-21T06:19:47Z,31.872057,77.168964,1222.984,3.296002,0,0,No Data,No Data
1179728442,2007-05-21T06:20:42Z,31.870777,77.169556,1236.327,3.449048,0,0,No Data,No Data
1179728465,2007-05-21T06:21:05Z,31.870221,77.169746,1236.021,3.513431,0,0,No Data,No Data
1179728528,2007-05-21T06:22:08Z,31.868786,77.170547,1232.243,3.690223,0,0,No Data,No Data
1179728558,2007-05-21T06:22:38Z,31.868075,77.170743,1231.373,3.771513,0,0,No Data,No Data
1179728628,2007-05-21T06:23:48Z,31.866459,77.171534,1220.436,3.9663,0,0,No Data,No Data
1179728659,2007-05-21T06:24:19Z,31.865750,77.171935,1215.952,4.053806,0,0,No Data,No Data
1179728688,2007-05-21T06:24:48Z,31.865051,77.172135,1205.751,4.133787,0,0,No Data,No Data
1179728733,2007-05-21T06:25:33Z,31.863988,77.172528,1195.956,4.257778,0,0,No Data,No Data
1179728793,2007-05-21T06:26:33Z,31.862572,77.173119,1191.674,4.424981,0,0,No Data,No Data
1179728853,2007-05-21T06:27:33Z,31.861155,77.173706,1201.182,4.592138,0,0,No Data,No Data
1179728869,2007-05-21T06:27:49Z,31.860796,77.173900,1198.657,4.636072,0,0,No Data,No Data
1179728923,2007-05-21T06:28:43Z,31.859550,77.174482,1198.425,4.785228,0,0,No Data,No Data
1179728976,2007-05-21T06:29:36Z,31.858315,77.175068,1195.551,4.933411,0,0,No Data,No Data
1179729040,2007-05-21T06:30:40Z,31.856741,77.175447,1172.376,5.11224,0,0,No Data,No Data
1179729077,2007-05-21T06:31:17Z,31.855872,77.175843,1183.4,5.215974,0,0,No Data,No Data
1179729127,2007-05-21T06:32:07Z,31.854643,77.176016,1178.941,5.353719,0,0,No Data,No Data
1179729183,2007-05-21T06:33:03Z,31.853406,77.176790,1199.251,5.509689,0,0,No Data,No Data
