YEAR,TEMPERATURE,CO2,RAINFALL
01-01-1961 00:00,-0.45,0.010862502,45
01-02-1961 00:00,-1.06,0.010862502,102.9
01-03-1961 00:00,5.88,0.010862502,82.9
01-04-1961 00:00,9.88,0.010862502,102.6
01-05-1961 00:00,14.58,0.010862502,55.4
01-06-1961 00:00,17.64,0.010862502,86.5
01-07-1961 00:00,16.62,0.010862502,242.7
01-08-1961 00:00,15.65,0.010862502,255.8
01-09-1961 00:00,14.74,0.010862502,303.7
01-10-1961 00:00,9.96,0.010862502,5.8
01-11-1961 00:00,3.72,0.010862502,66.5
01-12-1961 00:00,-1.03,0.010862502,43.8
01-01-1962 00:00,-1.44,0.01195086,14.1
01-02-1962 00:00,1.77,0.01195086,57.2
01-03-1962 00:00,5.3,0.01195086,201.2
01-04-1962 00:00,10.95,0.01195086,49.5
01-05-1962 00:00,14.54,0.01195086,47.2
01-06-1962 00:00,17.41,0.01195086,108.9
01-07-1962 00:00,16.92,0.01195086,325.7
01-08-1962 00:00,15.63,0.01195086,308.1
01-09-1962 00:00,13.23,0.01195086,111.3
01-10-1962 00:00,9.38,0.01195086,2.4
01-11-1962 00:00,4.66,0.01195086,76.8
01-12-1962 00:00,0.1,0.01195086,52.2
01-01-1963 00:00,-0.64,0.01283517,176.6
01-02-1963 00:00,2.82,0.01283517,58.8
01-03-1963 00:00,4.57,0.01283517,83.6
01-04-1963 00:00,9.69,0.01283517,97.7
01-05-1963 00:00,13.54,0.01283517,86.8
01-06-1963 00:00,17.61,0.01283517,86.2
01-07-1963 00:00,17.13,0.01283517,278.9
01-08-1963 00:00,15.29,0.01283517,246.8
01-09-1963 00:00,13.78,0.01283517,197.1
01-10-1963 00:00,10.58,0.01283517,0.1
01-11-1963 00:00,5.4,0.01283517,1.8
01-12-1963 00:00,0.86,0.01283517,39.6
01-01-1964 00:00,-2.33,0.012548953,52.5
01-02-1964 00:00,0.31,0.012548953,209.1
01-03-1964 00:00,7.29,0.012548953,170.9
01-04-1964 00:00,11.01,0.012548953,126.6
01-05-1964 00:00,12.64,0.012548953,143.9
01-06-1964 00:00,16.81,0.012548953,24.9
01-07-1964 00:00,15.36,0.012548953,278.3
01-08-1964 00:00,15.99,0.012548953,117.3
01-09-1964 00:00,13.64,0.012548953,39.9
01-10-1964 00:00,10.6,0.012548953,25.8
01-11-1964 00:00,4.64,0.012548953,12.8
01-12-1964 00:00,0.92,0.012548953,18.3
01-01-1965 00:00,1.13,0.013825475,0.3
01-02-1965 00:00,0.73,0.013825475,145
01-03-1965 00:00,4.64,0.013825475,78.4
01-04-1965 00:00,8.42,0.013825475,77.2
01-05-1965 00:00,12.63,0.013825475,95.7
01-06-1965 00:00,17.59,0.013825475,187.1
01-07-1965 00:00,16.03,0.013825475,250.5
01-08-1965 00:00,15.05,0.013825475,298
01-09-1965 00:00,13.99,0.013825475,153.3
01-10-1965 00:00,10.32,0.013825475,30.8
01-11-1965 00:00,6.36,0.013825475,13.9
01-12-1965 00:00,0.67,0.013825475,40.8
01-01-1966 00:00,0.3,0.014308103,30.8
01-02-1966 00:00,3.35,0.014308103,99.1
01-03-1966 00:00,5.63,0.014308103,181.5
01-04-1966 00:00,9.98,0.014308103,31.4
01-05-1966 00:00,14,0.014308103,48.1
01-06-1966 00:00,16.92,0.014308103,99.3
01-07-1966 00:00,16.5,0.014308103,386.3
01-08-1966 00:00,15.72,0.014308103,403.3
01-09-1966 00:00,13.24,0.014308103,105.7
01-10-1966 00:00,9.4,0.014308103,36.9
01-11-1966 00:00,4.58,0.014308103,23.8
01-12-1966 00:00,0.64,0.014308103,112.4
01-01-1967 00:00,-1.25,0.014347508,188.5
01-02-1967 00:00,2.78,0.014347508,114.1
01-03-1967 00:00,4.27,0.014347508,80.8
01-04-1967 00:00,9.47,0.014347508,50.9
01-05-1967 00:00,13.4,0.014347508,44.9
01-06-1967 00:00,17.74,0.014347508,99.3
01-07-1967 00:00,16.51,0.014347508,277.2
01-08-1967 00:00,15.24,0.014347508,181.1
01-09-1967 00:00,14.22,0.014347508,16.3
01-10-1967 00:00,8.95,0.014347508,47.2
01-11-1967 00:00,4.08,0.014347508,9.1
01-12-1967 00:00,0.79,0.014347508,58.8
01-01-1968 00:00,-1.78,0.015605091,66
01-02-1968 00:00,-0.61,0.015605091,78.6
01-03-1968 00:00,5.4,0.015605091,72.7
01-04-1968 00:00,10.14,0.015605091,130.4
01-05-1968 00:00,13.59,0.015605091,111
01-06-1968 00:00,17.41,0.015605091,31
01-07-1968 00:00,16.05,0.015605091,201.8
01-08-1968 00:00,15.36,0.015605091,306.7
01-09-1968 00:00,14.89,0.015605091,117.2
01-10-1968 00:00,8.82,0.015605091,8.4
01-11-1968 00:00,5.17,0.015605091,2.4
01-12-1968 00:00,1.34,0.015605091,1.5
01-01-1969 00:00,-0.83,0.015887337,116.5
01-02-1969 00:00,1.38,0.015887337,39
01-03-1969 00:00,7.96,0.015887337,37.9
01-04-1969 00:00,9.93,0.015887337,7.3
01-05-1969 00:00,13.41,0.015887337,43.5
01-06-1969 00:00,17.97,0.015887337,163.2
01-07-1969 00:00,16.68,0.015887337,223.4
01-08-1969 00:00,16.04,0.015887337,280.4
01-09-1969 00:00,13.7,0.015887337,164.4
01-10-1969 00:00,10.64,0.015887337,6.6
01-11-1969 00:00,6.4,0.015887337,0.2
01-12-1969 00:00,2.16,0.015887337,0.3
01-01-1970 00:00,-0.47,0.016255418,53.1
01-02-1970 00:00,1.11,0.016255418,76.5
01-03-1970 00:00,5,0.016255418,13.7
01-04-1970 00:00,11.84,0.016255418,57.5
01-05-1970 00:00,15.79,0.016255418,71.8
01-06-1970 00:00,16.48,0.016255418,252.7
01-07-1970 00:00,16.92,0.016255418,352.8
01-08-1970 00:00,15.54,0.016255418,301.2
01-09-1970 00:00,14.48,0.016255418,67
01-10-1970 00:00,10.8,0.016255418,13.8
01-11-1970 00:00,5.06,0.016255418,12.2
01-12-1970 00:00,1.6,0.016255418,2.6
01-01-1971 00:00,-1.09,0.017148892,55
01-02-1971 00:00,1.62,0.017148892,77
01-03-1971 00:00,6.32,0.017148892,55
01-04-1971 00:00,11.53,0.017148892,82.1
01-05-1971 00:00,13.56,0.017148892,21.3
01-06-1971 00:00,16.61,0.017148892,43.8
01-07-1971 00:00,15.72,0.017148892,184.2
01-08-1971 00:00,15.02,0.017148892,159.9
01-09-1971 00:00,13.24,0.017148892,57.6
01-10-1971 00:00,10.18,0.017148892,31.1
01-11-1971 00:00,5.53,0.017148892,21.3
01-12-1971 00:00,2.23,0.017148892,54
01-01-1972 00:00,1.12,0.018146833,116.8
01-02-1972 00:00,-1.01,0.018146833,80.6
01-03-1972 00:00,6.58,0.018146833,68.4
01-04-1972 00:00,9.09,0.018146833,15.7
01-05-1972 00:00,15.21,0.018146833,40
01-06-1972 00:00,17.67,0.018146833,99.1
01-07-1972 00:00,16.49,0.018146833,167.8
01-08-1972 00:00,15.27,0.018146833,213.9
01-09-1972 00:00,13.22,0.018146833,86.3
01-10-1972 00:00,9.29,0.018146833,32.1
01-11-1972 00:00,5.52,0.018146833,5.4
01-12-1972 00:00,1.71,0.018146833,29.1
01-01-1973 00:00,-0.61,0.018687805,75
01-02-1973 00:00,2.39,0.018687805,44.6
01-03-1973 00:00,5.08,0.018687805,33.7
01-04-1973 00:00,12.27,0.018687805,24.6
01-05-1973 00:00,15.25,0.018687805,41.8
01-06-1973 00:00,17.12,0.018687805,76.4
01-07-1973 00:00,16.49,0.018687805,168.8
01-08-1973 00:00,15.49,0.018687805,204.6
01-09-1973 00:00,14.45,0.018687805,30.5
01-10-1973 00:00,9.89,0.018687805,28.8
01-11-1973 00:00,5.77,0.018687805,2.4
01-12-1973 00:00,0.18,0.018687805,45.1
01-01-1974 00:00,-0.66,0.019324996,137.8
01-02-1974 00:00,-0.04,0.019324996,124.7
01-03-1974 00:00,7.06,0.019324996,126.3
01-04-1974 00:00,12.35,0.019324996,25.4
01-05-1974 00:00,14.73,0.019324996,35.1
01-06-1974 00:00,16.09,0.019324996,86.9
01-07-1974 00:00,16.26,0.019324996,214
01-08-1974 00:00,15.62,0.019324996,191.8
01-09-1974 00:00,14.08,0.019324996,95.3
01-10-1974 00:00,10.38,0.019324996,13.8
01-11-1974 00:00,5.09,0.019324996,0.2
01-12-1974 00:00,-0.61,0.019324996,2.7
01-01-1975 00:00,-1.8,0.021008393,66.7
01-02-1975 00:00,0.08,0.021008393,105.5
01-03-1975 00:00,4.54,0.021008393,126.6
01-04-1975 00:00,10.81,0.021008393,49.1
01-05-1975 00:00,14.79,0.021008393,30.1
01-06-1975 00:00,16.58,0.021008393,85.5
01-07-1975 00:00,15.62,0.021008393,368.9
01-08-1975 00:00,15.4,0.021008393,238
01-09-1975 00:00,13.47,0.021008393,72.6
01-10-1975 00:00,10.9,0.021008393,20.2
01-11-1975 00:00,4.81,0.021008393,1.7
01-12-1975 00:00,1.59,0.021008393,14.6
01-01-1976 00:00,0.17,0.021973344,85.5
01-02-1976 00:00,1.12,0.021973344,4.7
01-03-1976 00:00,4.74,0.021973344,12.9
01-04-1976 00:00,9.9,0.021973344,97.5
01-05-1976 00:00,14.52,0.021973344,87.2
01-06-1976 00:00,15.99,0.021973344,86.1
01-07-1976 00:00,16.63,0.021973344,339.7
01-08-1976 00:00,14.56,0.021973344,236.4
01-09-1976 00:00,13.6,0.021973344,197.1
01-10-1976 00:00,10.41,0.021973344,18.8
01-11-1976 00:00,6.69,0.021973344,9.9
01-12-1976 00:00,1.63,0.021973344,69.2
01-01-1977 00:00,-0.33,0.023244979,63.7
01-02-1977 00:00,1.78,0.023244979,102.6
01-03-1977 00:00,7.93,0.023244979,157.9
01-04-1977 00:00,10.49,0.023244979,53.5
01-05-1977 00:00,13.15,0.023244979,31.1
01-06-1977 00:00,16.32,0.023244979,156.1
01-07-1977 00:00,15.92,0.023244979,280
01-08-1977 00:00,15.74,0.023244979,300.1
01-09-1977 00:00,13.8,0.023244979,137.7
01-10-1977 00:00,10.8,0.023244979,3.6
01-11-1977 00:00,7.32,0.023244979,75.9
01-12-1977 00:00,1.86,0.023244979,9
01-01-1978 00:00,-1.54,0.023581902,170
01-02-1978 00:00,0.06,0.023581902,115.3
01-03-1978 00:00,3.28,0.023581902,157.4
01-04-1978 00:00,10.59,0.023581902,31.9
01-05-1978 00:00,17.25,0.023581902,85.1
01-06-1978 00:00,17.95,0.023581902,64.8
01-07-1978 00:00,15.94,0.023581902,163.4
01-08-1978 00:00,15.86,0.023581902,119
01-09-1978 00:00,13.89,0.023581902,43.5
01-10-1978 00:00,10.85,0.023581902,7
01-11-1978 00:00,5.25,0.023581902,34
01-12-1978 00:00,1.73,0.023581902,29.6
01-01-1979 00:00,0.17,0.024731047,83.2
01-02-1979 00:00,0.42,0.024731047,87.1
01-03-1979 00:00,3.9,0.024731047,71.7
01-04-1979 00:00,11.68,0.024731047,28.5
01-05-1979 00:00,13.22,0.024731047,26.1
01-06-1979 00:00,17.59,0.024731047,106.8
