AREA,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Himachal Pradesh,1962,45.0,102.9,82.9,102.6,55.4,86.5,242.7,255.8,303.7,5.8,66.5,43.8
Himachal Pradesh,1963,14.1,57.2,201.2,49.5,47.2,108.9,325.7,308.1,111.3,2.4,76.8,52.2
Himachal Pradesh,1964,176.6,58.8,83.6,97.7,86.8,86.2,278.9,246.8,197.1,0.1,1.8,39.6
Himachal Pradesh,1965,52.5,209.1,170.9,126.6,143.9,24.9,278.3,117.3,39.9,25.8,12.8,18.3
Himachal Pradesh,1966,0.3,145.0,78.4,77.2,95.7,187.1,250.5,298.0,153.3,30.8,13.9,40.8
Himachal Pradesh,1967,30.8,99.1,181.5,31.4,48.1,99.3,386.3,403.3,105.7,36.9,23.8,112.4
Himachal Pradesh,1968,188.5,114.1,80.8,50.9,44.9,99.3,277.2,181.1,16.3,47.2,9.1,58.8
Himachal Pradesh,1969,66.0,78.6,72.7,130.4,111.0,31.0,201.8,306.7,117.2,8.4,2.4,1.5
Himachal Pradesh,1970,116.5,39.0,37.9,7.3,43.5,163.2,223.4,280.4,164.4,6.6,0.2,0.3
Himachal Pradesh,1971,53.1,76.5,13.7,57.5,71.8,252.7,352.8,301.2,67.0,13.8,12.2,2.6
Himachal Pradesh,1972,55.0,77.0,55.0,82.1,21.3,43.8,184.2,159.9,57.6,31.1,21.3,54.0
Himachal Pradesh,1973,116.8,80.6,68.4,15.7,40.0,99.1,167.8,213.9,86.3,32.1,5.4,29.1
Himachal Pradesh,1974,75.0,44.6,33.7,24.6,41.8,76.4,168.8,204.6,30.5,28.8,2.4,45.1
Himachal Pradesh,1975,137.8,124.7,126.3,25.4,35.1,86.9,214.0,191.8,95.3,13.8,0.2,2.7
Himachal Pradesh,1976,66.7,105.5,126.6,49.1,30.1,85.5,368.9,238.0,72.6,20.2,1.7,14.6
Himachal Pradesh,1977,85.5,4.7,12.9,97.5,87.2,86.1,339.7,236.4,197.1,18.8,9.9,69.2
Himachal Pradesh,1978,63.7,102.6,157.9,53.5,31.1,156.1,280.0,300.1,137.7,3.6,75.9,9.0
Himachal Pradesh,1979,170.0,115.3,157.4,31.9,85.1,64.8,163.4,119.0,43.5,7.0,34.0,29.6
Himachal Pradesh,1980,83.2,87.1,71.7,28.5,26.1,106.8,477.1,128.8,52.5,25.3,27.3,40.5
Himachal Pradesh,1981,114.5,96.3,162.0,54.4,67.1,94.7,233.5,163.4,71.6,11.4,70.4,7.9
Himachal Pradesh,1982,187.3,147.7,228.9,146.2,152.5,58.3,160.4,170.2,31.5,42.5,21.8,75.7
Himachal Pradesh,1983,91.7,97.6,162.8,136.7,86.1,59.2,166.7,204.2,121.5,48.2,1.0,13.9
Himachal Pradesh,1984,24.3,134.5,38.7,68.6,14.7,105.0,194.4,192.5,121.5,10.6,25.1,38.4
Himachal Pradesh,1985,70.4,23.0,36.2,65.6,54.3,54.1,301.3,252.7,118.0,127.6,2.8,88.0
Himachal Pradesh,1986,7.3,119.3,159.4,105.3,99.1,86.4,240.9,246.9,52.4,43.4,72.7,89.5
Himachal Pradesh,1987,68.1,84.6,77.9,132.1,214.2,81.0,90.4,147.8,50.3,76.7,0.8,11.6
Himachal Pradesh,1988,41.6,128.3,353.9,27.2,39.3,84.0,411.3,304.7,360.2,2.2,4.9,123.5
