Date,Temperature,State
1961-01-01 00:00:00,-0.45,Himachal Pradesh
1961-02-01 00:00:00,-1.06,Himachal Pradesh
1961-03-01 00:00:00,5.88,Himachal Pradesh
1961-04-01 00:00:00,9.88,Himachal Pradesh
1961-05-01 00:00:00,14.58,Himachal Pradesh
1961-06-01 00:00:00,17.64,Himachal Pradesh
1961-07-01 00:00:00,16.62,Himachal Pradesh
1961-08-01 00:00:00,15.65,Himachal Pradesh
1961-09-01 00:00:00,14.74,Himachal Pradesh
1961-10-01 00:00:00,9.96,Himachal Pradesh
1961-11-01 00:00:00,3.72,Himachal Pradesh
1961-12-01 00:00:00,-1.03,Himachal Pradesh
1962-01-01 00:00:00,-1.44,Himachal Pradesh
1962-02-01 00:00:00,1.77,Himachal Pradesh
1962-03-01 00:00:00,5.3,Himachal Pradesh
1962-04-01 00:00:00,10.95,Himachal Pradesh
1962-05-01 00:00:00,14.54,Himachal Pradesh
1962-06-01 00:00:00,17.41,Himachal Pradesh
1962-07-01 00:00:00,16.92,Himachal Pradesh
1962-08-01 00:00:00,15.63,Himachal Pradesh
1962-09-01 00:00:00,13.23,Himachal Pradesh
1962-10-01 00:00:00,9.38,Himachal Pradesh
1962-11-01 00:00:00,4.66,Himachal Pradesh
1962-12-01 00:00:00,0.1,Himachal Pradesh
1963-01-01 00:00:00,-0.64,Himachal Pradesh
1963-02-01 00:00:00,2.82,Himachal Pradesh
1963-03-01 00:00:00,4.57,Himachal Pradesh
1963-04-01 00:00:00,9.69,Himachal Pradesh
1963-05-01 00:00:00,13.54,Himachal Pradesh
1963-06-01 00:00:00,17.61,Himachal Pradesh
1963-07-01 00:00:00,17.13,Himachal Pradesh
1963-08-01 00:00:00,15.29,Himachal Pradesh
1963-09-01 00:00:00,13.78,Himachal Pradesh
1963-10-01 00:00:00,10.58,Himachal Pradesh
1963-11-01 00:00:00,5.4,Himachal Pradesh
1963-12-01 00:00:00,0.86,Himachal Pradesh
1964-01-01 00:00:00,-2.33,Himachal Pradesh
1964-02-01 00:00:00,0.31,Himachal Pradesh
1964-03-01 00:00:00,7.29,Himachal Pradesh
1964-04-01 00:00:00,11.01,Himachal Pradesh
1964-05-01 00:00:00,12.64,Himachal Pradesh
1964-06-01 00:00:00,16.81,Himachal Pradesh
1964-07-01 00:00:00,15.36,Himachal Pradesh
1964-08-01 00:00:00,15.99,Himachal Pradesh
1964-09-01 00:00:00,13.64,Himachal Pradesh
1964-10-01 00:00:00,10.6,Himachal Pradesh
1964-11-01 00:00:00,4.64,Himachal Pradesh
1964-12-01 00:00:00,0.92,Himachal Pradesh
1965-01-01 00:00:00,1.13,Himachal Pradesh
1965-02-01 00:00:00,0.73,Himachal Pradesh
1965-03-01 00:00:00,4.64,Himachal Pradesh
1965-04-01 00:00:00,8.42,Himachal Pradesh
1965-05-01 00:00:00,12.63,Himachal Pradesh
1965-06-01 00:00:00,17.59,Himachal Pradesh
1965-07-01 00:00:00,16.03,Himachal Pradesh
1965-08-01 00:00:00,15.05,Himachal Pradesh
1965-09-01 00:00:00,13.99,Himachal Pradesh
1965-10-01 00:00:00,10.32,Himachal Pradesh
1965-11-01 00:00:00,6.36,Himachal Pradesh
1965-12-01 00:00:00,0.67,Himachal Pradesh
1966-01-01 00:00:00,0.3,Himachal Pradesh
1966-02-01 00:00:00,3.35,Himachal Pradesh
1966-03-01 00:00:00,5.63,Himachal Pradesh
1966-04-01 00:00:00,9.98,Himachal Pradesh
1966-05-01 00:00:00,14.0,Himachal Pradesh
1966-06-01 00:00:00,16.92,Himachal Pradesh
1966-07-01 00:00:00,16.5,Himachal Pradesh
1966-08-01 00:00:00,15.72,Himachal Pradesh
1966-09-01 00:00:00,13.24,Himachal Pradesh
1966-10-01 00:00:00,9.4,Himachal Pradesh
1966-11-01 00:00:00,4.58,Himachal Pradesh
1966-12-01 00:00:00,0.64,Himachal Pradesh
1967-01-01 00:00:00,-1.25,Himachal Pradesh
1967-02-01 00:00:00,2.78,Himachal Pradesh
1967-03-01 00:00:00,4.27,Himachal Pradesh
1967-04-01 00:00:00,9.47,Himachal Pradesh
1967-05-01 00:00:00,13.4,Himachal Pradesh
1967-06-01 00:00:00,17.74,Himachal Pradesh
1967-07-01 00:00:00,16.51,Himachal Pradesh
1967-08-01 00:00:00,15.24,Himachal Pradesh
1967-09-01 00:00:00,14.22,Himachal Pradesh
1967-10-01 00:00:00,8.95,Himachal Pradesh
1967-11-01 00:00:00,4.08,Himachal Pradesh
1967-12-01 00:00:00,0.79,Himachal Pradesh
