Date,Temperature,State
1961-01-01 00:00:00,-8.5,Jammu And Kashmir
1961-02-01 00:00:00,-8.3,Jammu And Kashmir
1961-03-01 00:00:00,-1.22,Jammu And Kashmir
1961-04-01 00:00:00,3.03,Jammu And Kashmir
1961-05-01 00:00:00,8.47,Jammu And Kashmir
1961-06-01 00:00:00,12.95,Jammu And Kashmir
1961-07-01 00:00:00,13.86,Jammu And Kashmir
1961-08-01 00:00:00,12.86,Jammu And Kashmir
1961-09-01 00:00:00,10.82,Jammu And Kashmir
1961-10-01 00:00:00,4.06,Jammu And Kashmir
1961-11-01 00:00:00,-3.24,Jammu And Kashmir
1961-12-01 00:00:00,-8.53,Jammu And Kashmir
1962-01-01 00:00:00,-9.26,Jammu And Kashmir
1962-02-01 00:00:00,-5.28,Jammu And Kashmir
1962-03-01 00:00:00,-1.16,Jammu And Kashmir
1962-04-01 00:00:00,4.04,Jammu And Kashmir
1962-05-01 00:00:00,8.19,Jammu And Kashmir
1962-06-01 00:00:00,12.39,Jammu And Kashmir
1962-07-01 00:00:00,13.72,Jammu And Kashmir
1962-08-01 00:00:00,12.65,Jammu And Kashmir
1962-09-01 00:00:00,9.13,Jammu And Kashmir
1962-10-01 00:00:00,3.5,Jammu And Kashmir
1962-11-01 00:00:00,-2.72,Jammu And Kashmir
1962-12-01 00:00:00,-8.18,Jammu And Kashmir
1963-01-01 00:00:00,-8.92,Jammu And Kashmir
1963-02-01 00:00:00,-4.62,Jammu And Kashmir
1963-03-01 00:00:00,-2.0,Jammu And Kashmir
1963-04-01 00:00:00,3.35,Jammu And Kashmir
1963-05-01 00:00:00,7.43,Jammu And Kashmir
1963-06-01 00:00:00,13.21,Jammu And Kashmir
1963-07-01 00:00:00,13.96,Jammu And Kashmir
1963-08-01 00:00:00,12.47,Jammu And Kashmir
1963-09-01 00:00:00,9.63,Jammu And Kashmir
1963-10-01 00:00:00,4.8,Jammu And Kashmir
1963-11-01 00:00:00,-1.58,Jammu And Kashmir
1963-12-01 00:00:00,-6.9,Jammu And Kashmir
1964-01-01 00:00:00,-10.8,Jammu And Kashmir
1964-02-01 00:00:00,-7.7,Jammu And Kashmir
1964-03-01 00:00:00,0.42,Jammu And Kashmir
1964-04-01 00:00:00,4.16,Jammu And Kashmir
1964-05-01 00:00:00,6.39,Jammu And Kashmir
1964-06-01 00:00:00,11.52,Jammu And Kashmir
1964-07-01 00:00:00,12.36,Jammu And Kashmir
1964-08-01 00:00:00,13.16,Jammu And Kashmir
1964-09-01 00:00:00,9.62,Jammu And Kashmir
1964-10-01 00:00:00,4.57,Jammu And Kashmir
1964-11-01 00:00:00,-2.14,Jammu And Kashmir
1964-12-01 00:00:00,-6.98,Jammu And Kashmir
1965-01-01 00:00:00,-6.8,Jammu And Kashmir
1965-02-01 00:00:00,-6.99,Jammu And Kashmir
1965-03-01 00:00:00,-1.96,Jammu And Kashmir
1965-04-01 00:00:00,2.04,Jammu And Kashmir
1965-05-01 00:00:00,6.22,Jammu And Kashmir
1965-06-01 00:00:00,12.06,Jammu And Kashmir
1965-07-01 00:00:00,12.91,Jammu And Kashmir
1965-08-01 00:00:00,11.94,Jammu And Kashmir
1965-09-01 00:00:00,9.59,Jammu And Kashmir
1965-10-01 00:00:00,4.57,Jammu And Kashmir
1965-11-01 00:00:00,-0.5,Jammu And Kashmir
1965-12-01 00:00:00,-7.12,Jammu And Kashmir
1966-01-01 00:00:00,-7.55,Jammu And Kashmir
1966-02-01 00:00:00,-3.79,Jammu And Kashmir
1966-03-01 00:00:00,-1.17,Jammu And Kashmir
1966-04-01 00:00:00,3.02,Jammu And Kashmir
1966-05-01 00:00:00,7.4,Jammu And Kashmir
1966-06-01 00:00:00,12.45,Jammu And Kashmir
1966-07-01 00:00:00,12.95,Jammu And Kashmir
1966-08-01 00:00:00,12.81,Jammu And Kashmir
1966-09-01 00:00:00,8.53,Jammu And Kashmir
1966-10-01 00:00:00,3.12,Jammu And Kashmir
1966-11-01 00:00:00,-2.58,Jammu And Kashmir
1966-12-01 00:00:00,-7.54,Jammu And Kashmir
1967-01-01 00:00:00,-9.87,Jammu And Kashmir
1967-02-01 00:00:00,-5.24,Jammu And Kashmir
1967-03-01 00:00:00,-2.42,Jammu And Kashmir
1967-04-01 00:00:00,2.91,Jammu And Kashmir
1967-05-01 00:00:00,6.83,Jammu And Kashmir
1967-06-01 00:00:00,12.43,Jammu And Kashmir
1967-07-01 00:00:00,13.63,Jammu And Kashmir
1967-08-01 00:00:00,12.36,Jammu And Kashmir
1967-09-01 00:00:00,10.24,Jammu And Kashmir
1967-10-01 00:00:00,2.83,Jammu And Kashmir
1967-11-01 00:00:00,-2.94,Jammu And Kashmir
1967-12-01 00:00:00,-7.18,Jammu And Kashmir
1968-01-01 00:00:00,-9.47,Jammu And Kashmir
1968-02-01 00:00:00,-8.05,Jammu And Kashmir
1968-03-01 00:00:00,-1.23,Jammu And Kashmir
1968-04-01 00:00:00,3.54,Jammu And Kashmir
1968-05-01 00:00:00,6.84,Jammu And Kashmir
1968-06-01 00:00:00,12.88,Jammu And Kashmir
1968-07-01 00:00:00,13.23,Jammu And Kashmir
1968-08-01 00:00:00,12.1,Jammu And Kashmir
1968-09-01 00:00:00,10.38,Jammu And Kashmir
1968-10-01 00:00:00,2.74,Jammu And Kashmir
1968-11-01 00:00:00,-1.8,Jammu And Kashmir
1968-12-01 00:00:00,-6.41,Jammu And Kashmir
1969-01-01 00:00:00,-9.23,Jammu And Kashmir
1969-02-01 00:00:00,-6.81,Jammu And Kashmir
1969-03-01 00:00:00,0.96,Jammu And Kashmir
1969-04-01 00:00:00,3.17,Jammu And Kashmir
1969-05-01 00:00:00,7.33,Jammu And Kashmir
1969-06-01 00:00:00,12.77,Jammu And Kashmir
1969-07-01 00:00:00,13.75,Jammu And Kashmir
1969-08-01 00:00:00,13.27,Jammu And Kashmir
1969-09-01 00:00:00,9.54,Jammu And Kashmir
1969-10-01 00:00:00,4.64,Jammu And Kashmir
1969-11-01 00:00:00,-0.68,Jammu And Kashmir
1969-12-01 00:00:00,-5.19,Jammu And Kashmir
1970-01-01 00:00:00,-8.22,Jammu And Kashmir
1970-02-01 00:00:00,-5.74,Jammu And Kashmir
1970-03-01 00:00:00,-1.93,Jammu And Kashmir
1970-04-01 00:00:00,5.23,Jammu And Kashmir
1970-05-01 00:00:00,9.68,Jammu And Kashmir
1970-06-01 00:00:00,12.33,Jammu And Kashmir
1970-07-01 00:00:00,13.64,Jammu And Kashmir
1970-08-01 00:00:00,13.04,Jammu And Kashmir
1970-09-01 00:00:00,10.24,Jammu And Kashmir
1970-10-01 00:00:00,4.96,Jammu And Kashmir
1970-11-01 00:00:00,-1.8,Jammu And Kashmir
1970-12-01 00:00:00,-6.18,Jammu And Kashmir
1971-01-01 00:00:00,-8.81,Jammu And Kashmir
