UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,34.287754,74.453946,1583.511,0,0,0,No Data,No Data
1179727234,2007-05-21T06:00:34Z,34.288363,74.454682,1581.655,0.0958835,0,0,No Data,No Data
1179727285,2007-05-21T06:01:25Z,34.288670,74.456152,1584.038,0.2353911,0,0,No Data,No Data
1179727372,2007-05-21T06:02:52Z,34.289891,74.458359,1584.972,0.4798052,0,0,No Data,No Data
1179727529,2007-05-21T06:05:29Z,34.292333,74.462042,1583.388,0.9142433,0,0,No Data,No Data
1179727634,2007-05-21T06:07:14Z,34.293860,74.464621,1581.978,1.206192,0,0,No Data,No Data
1179727766,2007-05-21T06:09:26Z,34.295693,74.467937,1582.563,1.573218,0,0,No Data,No Data
1179727875,2007-05-21T06:11:15Z,34.296919,74.470885,1582.059,1.876803,0,0,No Data,No Data
1179728001,2007-05-21T06:13:21Z,34.298450,74.474203,1582.467,2.22642,0,0,No Data,No Data
1179728106,2007-05-21T06:15:06Z,34.299371,74.477153,1581.645,2.516517,0,0,No Data,No Data
1179728156,2007-05-21T06:15:56Z,34.299679,74.478624,1581.985,2.656149,0,0,No Data,No Data
1179728211,2007-05-21T06:16:51Z,34.300292,74.480100,1582.266,2.808161,0,0,No Data,No Data
1179728259,2007-05-21T06:17:39Z,34.300295,74.481572,1580.815,2.943609,0,0,No Data,No Data
1179728322,2007-05-21T06:18:42Z,34.300605,74.483415,1581.753,3.116592,0,0,No Data,No Data
1179728360,2007-05-21T06:19:20Z,34.300912,74.484521,1581.189,3.223961,0,0,No Data,No Data
1179728446,2007-05-21T06:20:46Z,34.300918,74.487097,1584.468,3.460939,0,0,No Data,No Data
1179728482,2007-05-21T06:21:22Z,34.300921,74.488201,1584.158,3.562548,0,0,No Data,No Data
1179728580,2007-05-21T06:23:00Z,34.300927,74.491146,1582.291,3.833435,0,0,No Data,No Data
1179728617,2007-05-21T06:23:37Z,34.300930,74.492250,1581.117,3.935031,0,0,No Data,No Data
1179728714,2007-05-21T06:25:14Z,34.300938,74.495197,1581.052,4.206152,0,0,No Data,No Data
1179728787,2007-05-21T06:26:27Z,34.300944,74.497408,1580.492,4.409555,0,0,No Data,No Data
1179728873,2007-05-21T06:27:53Z,34.300952,74.499991,1578.988,4.64715,0,0,No Data,No Data
1179728909,2007-05-21T06:28:29Z,34.300955,74.501097,1580.218,4.748939,0,0,No Data,No Data
1179729019,2007-05-21T06:30:19Z,34.300962,74.504410,1575.245,5.053662,0,0,No Data,No Data
1179729093,2007-05-21T06:31:33Z,34.301271,74.506621,1576.0,5.259987,0,0,No Data,No Data
1179729180,2007-05-21T06:33:00Z,34.301582,74.509204,1574.197,5.500078,0,0,No Data,No Data
1179729265,2007-05-21T06:34:25Z,34.301587,74.511781,1576.043,5.737105,0,0,No Data,No Data
1179729354,2007-05-21T06:35:54Z,34.302203,74.514366,1576.49,5.984546,0,0,No Data,No Data
1179729453,2007-05-21T06:37:33Z,34.302514,74.517315,1574.238,6.25802,0,0,No Data,No Data
1179729546,2007-05-21T06:39:06Z,34.303435,74.519905,1574.543,6.517398,0,0,No Data,No Data
1179729629,2007-05-21T06:40:29Z,34.304355,74.522128,1578.605,6.746092,0,0,No Data,No Data
1179729722,2007-05-21T06:42:02Z,34.305276,74.524719,1574.225,7.005584,0,0,No Data,No Data
1179729777,2007-05-21T06:42:57Z,34.305890,74.526202,1574.0,7.15818,0,0,No Data,No Data
1179729832,2007-05-21T06:43:52Z,34.306504,74.527684,1574.0,7.310755,0,0,No Data,No Data
1179729931,2007-05-21T06:45:31Z,34.307732,74.530282,1574.0,7.586094,0,0,No Data,No Data
1179729958,2007-05-21T06:45:58Z,34.308039,74.531024,1574.0,7.662474,0,0,No Data,No Data
1179730030,2007-05-21T06:47:10Z,34.308960,74.532881,1574.0,7.86175,0,0,No Data,No Data
1179730119,2007-05-21T06:48:39Z,34.310187,74.535113,1574.0,8.108399,0,0,No Data,No Data
1179730218,2007-05-21T06:50:18Z,34.311416,74.537715,1574.0,8.384079,0,0,No Data,No Data
1179730281,2007-05-21T06:51:21Z,34.311726,74.539564,1574.0,8.557613,0,0,No Data,No Data
1179730336,2007-05-21T06:52:16Z,34.312341,74.541050,1574.0,8.710483,0,0,No Data,No Data
1179730418,2007-05-21T06:53:38Z,34.313263,74.543279,1574.0,8.939811,0,0,No Data,No Data
1179730469,2007-05-21T06:54:29Z,34.313572,74.544761,1574.0,9.080387,0,0,No Data,No Data
1179730547,2007-05-21T06:55:47Z,34.314189,74.546986,1574.0,9.296233,0,0,No Data,No Data
1179730663,2007-05-21T06:57:43Z,34.315726,74.549966,1574.0,9.619398,0,0,No Data,No Data
1179730714,2007-05-21T06:58:34Z,34.316035,74.551449,1574.0,9.760071,0,0,No Data,No Data
1179730769,2007-05-21T06:59:29Z,34.316651,74.552937,1574.0,9.913188,0,0,No Data,No Data
1179730862,2007-05-21T07:01:02Z,34.317576,74.555539,1574.0,10.17374,0,0,No Data,No Data
1179730929,2007-05-21T07:02:09Z,34.318192,74.557398,1574.0,10.35799,0,0,No Data,No Data
1179730984,2007-05-21T07:03:04Z,34.318808,74.558887,1574.0,10.51124,0,0,No Data,No Data
1179731083,2007-05-21T07:04:43Z,34.319120,74.561849,1575.305,10.78584,0,0,No Data,No Data
1179731149,2007-05-21T07:05:49Z,34.319737,74.563708,1576.407,10.97017,0,0,No Data,No Data
1179731236,2007-05-21T07:07:16Z,34.320046,74.566295,1576.944,11.21057,0,0,No Data,No Data
1179731285,2007-05-21T07:08:05Z,34.320048,74.567771,1576.655,11.34637,0,0,No Data,No Data
1179731347,2007-05-21T07:09:07Z,34.320359,74.569625,1576.018,11.52039,0,0,No Data,No Data
1179731408,2007-05-21T07:10:08Z,34.320363,74.571477,1574.465,11.69074,0,0,No Data,No Data
1179731471,2007-05-21T07:11:11Z,34.320676,74.573335,1574.192,11.86511,0,0,No Data,No Data
1179731546,2007-05-21T07:12:26Z,34.320983,74.575555,1574.727,12.07211,0,0,No Data,No Data
