AREA,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Jharkhand,1961,8.9,84.3,1.0,4.6,30.0,298.6,296.3,358.2,317.2,155.3,1.6,4.6
Jharkhand,1962,8.2,15.0,4.3,31.1,26.5,167.4,251.5,265.5,213.5,55.8,0.0,8.9
Jharkhand,1963,2.8,7.8,9.9,23.3,67.7,171.5,301.6,249.0,241.3,228.6,11.2,0.2
Jharkhand,1964,2.2,12.2,4.7,18.9,53.8,200.4,306.4,262.0,214.4,71.5,3.9,0.0
Jharkhand,1965,0.8,8.7,26.6,31.3,14.8,113.1,354.6,215.9,206.2,39.2,0.3,0.9
Jharkhand,1966,24.7,3.8,0.2,10.5,22.1,233.2,174.1,263.4,87.9,35.8,15.9,8.1
Jharkhand,1967,8.6,1.0,39.9,24.2,43.7,71.9,283.5,450.8,268.5,19.8,1.1,12.3
Jharkhand,1968,34.4,9.4,5.5,4.7,22.0,272.6,351.5,420.5,97.2,71.2,0.5,3.7
Jharkhand,1969,6.2,4.0,5.0,34.7,86.1,130.2,299.0,337.4,209.4,25.1,20.9,0.1
Jharkhand,1970,24.3,16.6,28.0,8.4,29.7,182.4,300.0,252.8,380.7,67.0,1.5,0.0
Jharkhand,1971,43.4,24.3,2.1,95.6,83.5,272.3,503.1,526.1,237.5,104.0,6.7,0.1
Jharkhand,1972,8.6,46.5,0.2,9.1,3.2,75.9,248.5,352.7,175.1,54.4,21.6,0.4
Jharkhand,1973,10.6,15.2,23.9,7.1,56.4,184.3,224.3,294.6,365.4,245.1,13.7,0.6
Jharkhand,1974,2.6,0.5,24.3,3.3,51.9,64.9,334.9,331.7,235.0,76.6,0.3,1.0
Jharkhand,1975,17.2,13.4,26.0,10.1,30.1,121.0,477.6,339.2,224.3,102.5,0.1,0.0
Jharkhand,1976,0.0,23.1,7.2,25.2,58.2,107.0,297.5,263.0,394.5,9.3,3.2,3.5
Jharkhand,1977,19.2,8.1,3.8,47.9,102.5,281.1,458.3,316.4,184.8,50.3,27.3,21.8
Jharkhand,1978,10.5,50.9,45.3,28.4,33.8,283.7,252.8,341.1,376.5,114.3,7.0,12.0
Jharkhand,1979,22.4,38.7,6.1,19.5,6.1,129.1,286.0,174.9,134.2,36.1,18.7,11.0
Jharkhand,1980,13.6,14.9,37.1,21.0,40.0,273.7,350.7,281.2,232.1,73.8,0.0,2.3
Jharkhand,1981,40.7,33.5,20.1,40.9,94.9,143.3,355.3,226.4,189.5,6.1,3.1,13.4
Jharkhand,1982,8.4,23.6,77.3,30.9,33.4,183.9,180.8,358.7,118.1,52.7,15.7,1.8
Jharkhand,1983,4.3,33.1,9.9,44.4,83.3,131.8,280.0,240.6,308.8,110.7,0.2,14.7
Jharkhand,1984,33.4,26.2,1.6,14.1,31.0,479.6,350.4,387.3,155.8,50.2,0.1,0.1
Jharkhand,1985,19.1,9.1,1.6,8.8,48.2,131.2,338.0,312.6,216.6,153.7,0.5,0.9
Jharkhand,1986,6.9,21.2,3.8,25.0,74.8,253.0,352.2,212.9,188.5,128.2,31.1,37.9
Jharkhand,1987,5.9,10.1,10.9,30.3,44.9,93.1,410.8,371.1,299.1,19.7,31.4,5.4
Jharkhand,1988,3.1,37.1,42.2,23.7,23.6,303.6,273.5,276.1,127.8,38.7,2.6,1.6
Jharkhand,1989,1.9,0.3,2.8,0.1,66.4,246.0,285.6,258.9,219.0,39.6,8.6,19.7
Jharkhand,1990,0.8,48.0,22.2,15.4,90.6,197.4,430.7,230.8,226.0,128.1,14.2,0.3
Jharkhand,1991,19.3,8.0,31.1,11.2,33.7,171.3,252.9,384.0,274.0,29.4,1.9,34.2
Jharkhand,1992,2.3,6.1,0.6,8.8,51.8,129.8,295.7,265.2,148.5,22.5,1.6,0.3
Jharkhand,1993,1.7,2.0,16.1,32.0,50.5,203.2,214.4,245.9,372.4,49.6,16.2,0.0
Jharkhand,1994,17.7,23.8,0.6,20.0,29.2,391.3,451.6,360.7,162.8,118.9,2.7,0.1
Jharkhand,1995,13.7,9.7,22.4,4.3,30.3,134.2,312.3,301.5,395.9,37.5,84.7,20.1
Jharkhand,1996,17.1,24.4,4.9,8.0,18.5,302.7,274.1,384.3,133.6,23.9,0.1,0.0
Jharkhand,1997,9.5,3.7,1.5,29.4,25.2,230.4,400.5,431.6,199.6,54.3,39.0,36.6
Jharkhand,1998,76.3,20.6,54.1,33.8,45.5,109.9,302.4,263.2,288.6,132.3,26.3,0.7
Jharkhand,1999,0.6,0.1,0.1,1.5,95.4,240.2,416.0,373.1,315.8,140.6,3.3,0.2
Jharkhand,2000,3.6,21.2,6.3,19.6,67.7,185.3,358.4,152.8,356.9,19.1,0.4,0.2
Jharkhand,2001,1.9,4.0,30.0,14.0,57.4,324.7,354.6,219.4,132.8,115.5,0.2,0.0
Jharkhand,2002,9.0,5.4,10.7,11.5,38.7,184.9,186.8,277.4,253.4,55.0,1.3,0.8
Jharkhand,2003,3.3,30.5,33.6,17.9,21.5,152.4,247.5,245.1,224.0,255.5,6.2,7.4
Jharkhand,2004,5.5,2.7,3.1,41.0,31.1,184.4,200.7,327.0,211.5,128.1,0.1,1.6
Jharkhand,2005,22.1,17.5,17.7,9.6,23.5,157.2,266.4,214.5,141.5,83.1,1.3,6.1
Jharkhand,2006,0.3,0.2,22.4,15.7,107.4,198.3,447.1,337.2,298.7,24.6,7.4,0.0
Jharkhand,2007,1.7,48.4,25.5,22.3,58.1,125.4,430.4,353.6,324.7,39.6,7.6,0.0
Jharkhand,2008,19.4,3.6,6.2,10.7,42.9,366.3,377.9,310.5,152.9,34.0,1.0,0.0
Jharkhand,2009,1.8,0.8,2.0,0.8,78.1,62.7,266.6,248.0,248.8,82.2,4.0,0.5
Jharkhand,2010,0.2,2.3,0.9,6.3,29.2,92.6,170.2,155.1,160.5,55.1,4.7,20.0
Jharkhand,2011,3.3,2.5,6.4,25.4,55.0,349.0,181.8,403.2,324.6,23.3,0.0,0.1
Jharkhand,2012,34.6,10.3,1.5,9.6,6.6,121.1,287.2,282.4,217.6,37.8,48.6,7.6
Jharkhand,2013,1.1,17.9,1.6,22.3,85.0,181.5,211.1,278.1,173.8,281.1,0.0,0.0
Jharkhand,2014,9.9,47.5,22.9,1.9,98.2,139.7,321.3,290.9,178.2,44.9,0.0,1.2
Jharkhand,2015,12.2,2.6,21.6,55.5,25.5,183.3,429.7,240.7,85.1,22.7,0.2,2.7
Jharkhand,2016,12.6,7.6,17.5,1.0,72.8,122.9,301.0,395.6,287.5,45.6,0.0,0.0
