Date,Temperature,State
1961-01-01 00:00:00,17.82,Jharkhand
1961-02-01 00:00:00,18.56,Jharkhand
1961-03-01 00:00:00,26.43,Jharkhand
1961-04-01 00:00:00,30.48,Jharkhand
1961-05-01 00:00:00,32.59,Jharkhand
1961-06-01 00:00:00,29.86,Jharkhand
1961-07-01 00:00:00,27.94,Jharkhand
1961-08-01 00:00:00,27.92,Jharkhand
1961-09-01 00:00:00,27.35,Jharkhand
1961-10-01 00:00:00,25.15,Jharkhand
1961-11-01 00:00:00,20.2,Jharkhand
1961-12-01 00:00:00,15.2,Jharkhand
1962-01-01 00:00:00,15.67,Jharkhand
1962-02-01 00:00:00,20.0,Jharkhand
1962-03-01 00:00:00,24.92,Jharkhand
1962-04-01 00:00:00,29.69,Jharkhand
1962-05-01 00:00:00,31.68,Jharkhand
1962-06-01 00:00:00,30.46,Jharkhand
1962-07-01 00:00:00,28.79,Jharkhand
1962-08-01 00:00:00,27.61,Jharkhand
1962-09-01 00:00:00,27.49,Jharkhand
1962-10-01 00:00:00,24.59,Jharkhand
1962-11-01 00:00:00,20.97,Jharkhand
1962-12-01 00:00:00,17.67,Jharkhand
1963-01-01 00:00:00,16.01,Jharkhand
1963-02-01 00:00:00,21.16,Jharkhand
1963-03-01 00:00:00,25.17,Jharkhand
1963-04-01 00:00:00,29.1,Jharkhand
1963-05-01 00:00:00,30.5,Jharkhand
1963-06-01 00:00:00,30.07,Jharkhand
1963-07-01 00:00:00,28.02,Jharkhand
1963-08-01 00:00:00,27.97,Jharkhand
1963-09-01 00:00:00,27.66,Jharkhand
1963-10-01 00:00:00,25.78,Jharkhand
1963-11-01 00:00:00,22.13,Jharkhand
1963-12-01 00:00:00,18.1,Jharkhand
1964-01-01 00:00:00,17.36,Jharkhand
1964-02-01 00:00:00,20.32,Jharkhand
1964-03-01 00:00:00,26.6,Jharkhand
1964-04-01 00:00:00,30.12,Jharkhand
1964-05-01 00:00:00,31.0,Jharkhand
1964-06-01 00:00:00,30.94,Jharkhand
1964-07-01 00:00:00,27.16,Jharkhand
1964-08-01 00:00:00,27.69,Jharkhand
1964-09-01 00:00:00,27.57,Jharkhand
1964-10-01 00:00:00,26.0,Jharkhand
1964-11-01 00:00:00,21.17,Jharkhand
