UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,23.337961,85.325061,640.513,0,0,0,No Data,No Data
1179727202,2007-05-21T06:00:02Z,23.337957,85.325127,640.465,0.0067952,0,0,No Data,No Data
1179727219,2007-05-21T06:00:19Z,23.337929,85.325585,640.153,0.0538113,0,0,No Data,No Data
1179727241,2007-05-21T06:00:41Z,23.337891,85.326175,639.372,0.1143082,0,0,No Data,No Data
1179727265,2007-05-21T06:01:05Z,23.337851,85.326830,638.308,0.1815011,0,0,No Data,No Data
1179727294,2007-05-21T06:01:34Z,23.337801,85.327617,637.762,0.2621616,0,0,No Data,No Data
1179727333,2007-05-21T06:02:13Z,23.337726,85.328664,637.024,0.3695331,0,0,No Data,No Data
1179727381,2007-05-21T06:03:01Z,23.337505,85.329959,635.964,0.5042201,0,0,No Data,No Data
1179727427,2007-05-21T06:03:47Z,23.337424,85.331203,638.708,0.6317976,0,0,No Data,No Data
1179727464,2007-05-21T06:04:24Z,23.337223,85.332168,638.128,0.7330373,0,0,No Data,No Data
1179727496,2007-05-21T06:04:56Z,23.336962,85.332992,638.026,0.8221719,0,0,No Data,No Data
1179727527,2007-05-21T06:05:27Z,23.336836,85.333832,637.518,0.9091915,0,0,No Data,No Data
1179727543,2007-05-21T06:05:43Z,23.336605,85.334195,636.897,0.9543335,0,0,No Data,No Data
1179727560,2007-05-21T06:06:00Z,23.336505,85.334641,636.457,1.001317,0,0,No Data,No Data
1179727594,2007-05-21T06:06:34Z,23.336307,85.335533,636.707,1.095204,0,0,No Data,No Data
1179727634,2007-05-21T06:07:14Z,23.335899,85.336524,636.184,1.206201,0,0,No Data,No Data
1179727654,2007-05-21T06:07:34Z,23.335664,85.337013,635.252,1.262616,0,0,No Data,No Data
1179727683,2007-05-21T06:08:03Z,23.335283,85.337674,634.798,1.342414,0,0,No Data,No Data
1179727713,2007-05-21T06:08:33Z,23.334962,85.338407,635.817,1.425412,0,0,No Data,No Data
1179727740,2007-05-21T06:09:00Z,23.334650,85.339074,633.899,1.501975,0,0,No Data,No Data
1179727760,2007-05-21T06:09:20Z,23.334483,85.339568,633.854,1.555858,0,0,No Data,No Data
1179727777,2007-05-21T06:09:37Z,23.334324,85.340000,634.81,1.603424,0,0,No Data,No Data
1179727803,2007-05-21T06:10:03Z,23.333957,85.340590,634.323,1.676254,0,0,No Data,No Data
1179727832,2007-05-21T06:10:32Z,23.333705,85.341325,633.434,1.75645,0,0,No Data,No Data
1179727868,2007-05-21T06:11:08Z,23.333373,85.342236,632.521,1.856689,0,0,No Data,No Data
1179727906,2007-05-21T06:11:46Z,23.333112,85.343229,631.158,1.962277,0,0,No Data,No Data
1179727959,2007-05-21T06:12:39Z,23.332626,85.344560,632.633,2.108756,0,0,No Data,No Data
1179727995,2007-05-21T06:13:15Z,23.332301,85.345465,630.556,2.208114,0,0,No Data,No Data
1179728028,2007-05-21T06:13:48Z,23.332049,85.346320,628.684,2.299955,0,0,No Data,No Data
1179728070,2007-05-21T06:14:30Z,23.331652,85.347400,627.119,2.418895,0,0,No Data,No Data
1179728102,2007-05-21T06:15:02Z,23.331343,85.348173,628.303,2.505116,0,0,No Data,No Data
1179728128,2007-05-21T06:15:28Z,23.331040,85.348814,627.238,2.578832,0,0,No Data,No Data
1179728149,2007-05-21T06:15:49Z,23.330876,85.349358,625.631,2.637371,0,0,No Data,No Data
1179728164,2007-05-21T06:16:04Z,23.330724,85.349709,624.696,2.677124,0,0,No Data,No Data
1179728191,2007-05-21T06:16:31Z,23.330359,85.350330,624.0,2.752503,0,0,No Data,No Data
1179728213,2007-05-21T06:16:53Z,23.330068,85.350838,623.975,2.813738,0,0,No Data,No Data
