UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,16.457421,75.492183,527.28,0,0,0,No Data,No Data
1179727267,2007-05-21T06:01:07Z,16.458894,75.492986,528.576,0.1850816,0,0,No Data,No Data
1179727457,2007-05-21T06:04:17Z,16.461797,75.496916,522.756,0.7147642,0,0,No Data,No Data
1179727606,2007-05-21T06:06:46Z,16.464728,75.499297,528.604,1.12846,0,0,No Data,No Data
1179727648,2007-05-21T06:07:28Z,16.465457,75.500086,527.834,1.245522,0,0,No Data,No Data
1179727905,2007-05-21T06:11:45Z,16.469075,75.505583,527.896,1.95741,0,0,No Data,No Data
1179728012,2007-05-21T06:13:32Z,16.470520,75.507938,532.263,2.255933,0,0,No Data,No Data
1179728161,2007-05-21T06:16:01Z,16.472693,75.511087,525.602,2.670209,0,0,No Data,No Data
1179728407,2007-05-21T06:20:07Z,16.474068,75.517327,534.049,3.353813,0,0,No Data,No Data
1179728625,2007-05-21T06:23:45Z,16.475456,75.522792,520.74,3.957389,0,0,No Data,No Data
1179728806,2007-05-21T06:26:46Z,16.476115,75.527465,528.624,4.46174,0,0,No Data,No Data
1179728988,2007-05-21T06:29:48Z,16.476774,75.532140,529.501,4.966231,0,0,No Data,No Data
1179729137,2007-05-21T06:32:17Z,16.476704,75.536023,528.081,5.380887,0,0,No Data,No Data
1179729348,2007-05-21T06:35:48Z,16.475862,75.541445,520.728,5.967317,0,0,No Data,No Data
1179729539,2007-05-21T06:38:59Z,16.472818,75.545263,524.034,6.49744,0,0,No Data,No Data
1179729730,2007-05-21T06:42:10Z,16.469773,75.549080,520.832,7.027518,0,0,No Data,No Data
1179729879,2007-05-21T06:44:39Z,16.466757,75.551346,518.207,7.441385,0,0,No Data,No Data
1179730005,2007-05-21T06:46:45Z,16.464484,75.553627,519.846,7.792603,0,0,No Data,No Data
1179730194,2007-05-21T06:49:54Z,16.459995,75.555088,520.783,8.316121,0,0,No Data,No Data
1179730439,2007-05-21T06:53:59Z,16.454019,75.556519,517.968,8.998698,0,0,No Data,No Data
1179730628,2007-05-21T06:57:08Z,16.449530,75.557983,519.431,9.522307,0,0,No Data,No Data
1179730751,2007-05-21T06:59:11Z,16.446541,75.558705,532.191,9.863812,0,0,No Data,No Data
1179730818,2007-05-21T07:00:18Z,16.445040,75.559454,528.734,10.04908,0,0,No Data,No Data
1179731009,2007-05-21T07:03:29Z,16.441264,75.562492,524.508,10.58007,0,0,No Data,No Data
1179731158,2007-05-21T07:05:58Z,16.441192,75.566375,529.43,10.99485,0,0,No Data,No Data
1179731277,2007-05-21T07:07:57Z,16.441134,75.569482,530.502,11.32676,0,0,No Data,No Data
1179731533,2007-05-21T07:12:13Z,16.443249,75.575738,522.191,12.03511,0,0,No Data,No Data
1179731816,2007-05-21T07:16:56Z,16.445351,75.582771,521.61,12.82174,0,0,No Data,No Data
1179731965,2007-05-21T07:19:25Z,16.445278,75.586656,521.992,13.23665,0,0,No Data,No Data
1179732084,2007-05-21T07:21:24Z,16.445221,75.589761,519.076,13.56835,0,0,No Data,No Data
1179732204,2007-05-21T07:23:24Z,16.445163,75.592868,516.449,13.90017,0,0,No Data,No Data
1179732385,2007-05-21T07:26:25Z,16.445820,75.597540,509.002,14.4044,0,0,No Data,No Data
1179732546,2007-05-21T07:29:06Z,16.447235,75.601449,510.434,14.85062,0,0,No Data,No Data
