UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,14.903981,75.688112,515.017,0,0,0,No Data,No Data
1179727242,2007-05-21T06:00:42Z,14.904003,75.687026,516.553,0.1168035,0,0,No Data,No Data
1179727298,2007-05-21T06:01:38Z,14.904032,75.685578,517.836,0.2726181,0,0,No Data,No Data
1179727368,2007-05-21T06:02:48Z,14.904069,75.683767,519.399,0.4674468,0,0,No Data,No Data
1179727466,2007-05-21T06:04:26Z,14.904120,75.681232,520.426,0.7401414,0,0,No Data,No Data
1179727606,2007-05-21T06:06:46Z,14.904188,75.677611,521.105,1.129687,0,0,No Data,No Data
1179727789,2007-05-21T06:09:49Z,14.904276,75.672904,522.451,1.636135,0,0,No Data,No Data
1179727976,2007-05-21T06:12:56Z,14.905421,75.668219,523.012,2.155971,0,0,No Data,No Data
1179728109,2007-05-21T06:15:09Z,14.906536,75.664983,525.847,2.525564,0,0,No Data,No Data
1179728235,2007-05-21T06:17:15Z,14.907994,75.662116,527.373,2.87408,0,0,No Data,No Data
1179728344,2007-05-21T06:19:04Z,14.909783,75.659979,529.038,3.17828,0,0,No Data,No Data
1179728426,2007-05-21T06:20:26Z,14.911551,75.658927,531.556,3.405361,0,0,No Data,No Data
1179728520,2007-05-21T06:22:00Z,14.913669,75.657883,531.815,3.666595,0,0,No Data,No Data
1179728640,2007-05-21T06:24:00Z,14.916151,75.656121,529.405,4.001672,0,0,No Data,No Data
1179728766,2007-05-21T06:26:06Z,14.918975,75.654728,525.865,4.349971,0,0,No Data,No Data
1179728891,2007-05-21T06:28:11Z,14.921801,75.653336,515.518,4.698448,0,0,No Data,No Data
1179728967,2007-05-21T06:29:27Z,14.923564,75.652647,516.506,4.908326,0,0,No Data,No Data
1179729069,2007-05-21T06:31:09Z,14.926027,75.651972,515.281,5.192063,0,0,No Data,No Data
1179729210,2007-05-21T06:33:30Z,14.929533,75.651680,517.0,5.583659,0,0,No Data,No Data
1179729337,2007-05-21T06:35:37Z,14.932688,75.651381,519.696,5.93644,0,0,No Data,No Data
1179729491,2007-05-21T06:38:11Z,14.936537,75.651458,517.751,6.365078,0,0,No Data,No Data
1179729603,2007-05-21T06:40:03Z,14.939336,75.651515,519.818,6.676815,0,0,No Data,No Data
1179729744,2007-05-21T06:42:24Z,14.942836,75.651586,522.21,7.066562,0,0,No Data,No Data
1179729856,2007-05-21T06:44:16Z,14.945636,75.651643,523.993,7.378394,0,0,No Data,No Data
1179729955,2007-05-21T06:45:55Z,14.948079,75.652056,527.046,7.654057,0,0,No Data,No Data
1179730071,2007-05-21T06:47:51Z,14.950865,75.652837,528.451,7.975497,0,0,No Data,No Data
1179730156,2007-05-21T06:49:16Z,14.952958,75.653242,528.768,8.212636,0,0,No Data,No Data
1179730272,2007-05-21T06:51:12Z,14.955744,75.654024,527.495,8.534063,0,0,No Data,No Data
1179730361,2007-05-21T06:52:41Z,14.957830,75.654791,525.306,8.78056,0,0,No Data,No Data
1179730481,2007-05-21T06:54:41Z,14.960609,75.655934,524.45,9.113499,0,0,No Data,No Data
1179730580,2007-05-21T06:56:20Z,14.963052,75.656350,522.766,9.38923,0,0,No Data,No Data
1179730687,2007-05-21T06:58:07Z,14.965482,75.657488,521.889,9.686234,0,0,No Data,No Data
1179730800,2007-05-21T07:00:00Z,14.967904,75.658988,526.438,10.00049,0,0,No Data,No Data
1179730870,2007-05-21T07:01:10Z,14.969283,75.660104,528.0,10.19537,0,0,No Data,No Data
1179730942,2007-05-21T07:02:22Z,14.969598,75.661922,527.493,10.39406,0,0,No Data,No Data
1179731012,2007-05-21T07:03:32Z,14.970621,75.663392,527.035,10.58897,0,0,No Data,No Data
1179731097,2007-05-21T07:04:57Z,14.970930,75.665572,528.0,10.82601,0,0,No Data,No Data
1179731186,2007-05-21T07:06:26Z,14.971587,75.667756,529.149,11.0721,0,0,No Data,No Data
1179731326,2007-05-21T07:08:46Z,14.971518,75.671373,534.128,11.46125,0,0,No Data,No Data
1179731494,2007-05-21T07:11:34Z,14.971435,75.675716,536.482,11.92853,0,0,No Data,No Data
1179731746,2007-05-21T07:15:46Z,14.971311,75.682235,548.474,12.62983,0,0,No Data,No Data
1179731971,2007-05-21T07:19:31Z,14.971201,75.688030,552.848,13.25323,0,0,No Data,No Data
1179732181,2007-05-21T07:23:01Z,14.971097,75.693463,543.095,13.8377,0,0,No Data,No Data
