YEAR,TEMPERATURE,CO2,RAINFALL
01-01-1961 00:00,23.98,5.080392268,0.88
01-02-1961 00:00,25.24,5.080392268,1.6
01-03-1961 00:00,28.91,5.080392268,3.78
01-04-1961 00:00,29.99,5.080392268,47.38
01-05-1961 00:00,28.53,5.080392268,232.48
01-06-1961 00:00,25.84,5.080392268,321.04
01-07-1961 00:00,24.24,5.080392268,672.22
01-08-1961 00:00,25.01,5.080392268,304.02
01-09-1961 00:00,24.98,5.080392268,191.32
01-10-1961 00:00,24.75,5.080392268,186.04
01-11-1961 00:00,23.97,5.080392268,12.16
01-12-1961 00:00,23.03,5.080392268,1.1
01-01-1962 00:00,22.66,5.589417258,0.6
01-02-1962 00:00,25.41,5.589417258,5.44
01-03-1962 00:00,28.09,5.589417258,3.38
01-04-1962 00:00,29.06,5.589417258,62.36
01-05-1962 00:00,28.64,5.589417258,140.28
01-06-1962 00:00,26.81,5.589417258,140.36
01-07-1962 00:00,25.07,5.589417258,441.78
01-08-1962 00:00,24.75,5.589417258,381.46
01-09-1962 00:00,24.95,5.589417258,208.62
01-10-1962 00:00,25.22,5.589417258,183.88
01-11-1962 00:00,23.99,5.589417258,25.7
01-12-1962 00:00,22.73,5.589417258,67.98
01-01-1963 00:00,23.32,6.003008991,0.7
01-02-1963 00:00,25.07,6.003008991,5.62
01-03-1963 00:00,28.03,6.003008991,24.48
01-04-1963 00:00,28.62,6.003008991,42.1
01-05-1963 00:00,29.28,6.003008991,80
01-06-1963 00:00,26.1,6.003008991,225.1
01-07-1963 00:00,25.27,6.003008991,286.08
01-08-1963 00:00,24.54,6.003008991,373.96
01-09-1963 00:00,25.45,6.003008991,98.44
01-10-1963 00:00,25.11,6.003008991,195.7
01-11-1963 00:00,24.69,6.003008991,5.64
01-12-1963 00:00,23.49,6.003008991,6.92
01-01-1964 00:00,23.23,5.869145276,0
01-02-1964 00:00,25.82,5.869145276,0.36
01-03-1964 00:00,28.6,5.869145276,2.52
01-04-1964 00:00,30.19,5.869145276,17.36
01-05-1964 00:00,29.89,5.869145276,30.92
01-06-1964 00:00,26.65,5.869145276,214.26
01-07-1964 00:00,24.97,5.869145276,369.48
01-08-1964 00:00,24.35,5.869145276,369.46
01-09-1964 00:00,24.55,5.869145276,261.5
01-10-1964 00:00,25.02,5.869145276,132.96
01-11-1964 00:00,23.35,5.869145276,50.94
01-12-1964 00:00,22.36,5.869145276,6
01-01-1965 00:00,23.23,6.466174586,1.42
01-02-1965 00:00,25.16,6.466174586,0.08
01-03-1965 00:00,27.74,6.466174586,2.04
01-04-1965 00:00,29.01,6.466174586,17.38
01-05-1965 00:00,29.18,6.466174586,31.62
01-06-1965 00:00,26.44,6.466174586,255.64
01-07-1965 00:00,24.67,6.466174586,372.94
01-08-1965 00:00,25.01,6.466174586,219.88
01-09-1965 00:00,25.4,6.466174586,131.96
01-10-1965 00:00,25.95,6.466174586,13.62
01-11-1965 00:00,24.89,6.466174586,15.46
01-12-1965 00:00,23.68,6.466174586,51.36
01-01-1966 00:00,23.79,6.691899953,7.78
01-02-1966 00:00,26.18,6.691899953,0.48
01-03-1966 00:00,28.6,6.691899953,3.36
01-04-1966 00:00,29.68,6.691899953,16.48
01-05-1966 00:00,29.24,6.691899953,108.72
01-06-1966 00:00,26.9,6.691899953,176.06
01-07-1966 00:00,25.38,6.691899953,385.12
01-08-1966 00:00,25.55,6.691899953,124.34
01-09-1966 00:00,25.37,6.691899953,199.56
01-10-1966 00:00,25.37,6.691899953,113.42
01-11-1966 00:00,24.55,6.691899953,132.38
01-12-1966 00:00,22.94,6.691899953,21.44
01-01-1967 00:00,23.4,6.710329429,3.16
01-02-1967 00:00,25.38,6.710329429,0
01-03-1967 00:00,27.84,6.710329429,6.62
01-04-1967 00:00,29.86,6.710329429,27.82
01-05-1967 00:00,29.75,6.710329429,61.46
01-06-1967 00:00,26.9,6.710329429,215.9
01-07-1967 00:00,24.55,6.710329429,488.7
01-08-1967 00:00,24.76,6.710329429,226.6
01-09-1967 00:00,25.08,6.710329429,127.3
01-10-1967 00:00,24.94,6.710329429,95.44
01-11-1967 00:00,23.91,6.710329429,7.08
01-12-1967 00:00,23.86,6.710329429,10.66
01-01-1968 00:00,22.99,7.298501162,1.16
01-02-1968 00:00,25.56,7.298501162,9.52
01-03-1968 00:00,27.9,7.298501162,5.74
01-04-1968 00:00,28.84,7.298501162,44.22
01-05-1968 00:00,29.21,7.298501162,45.44
01-06-1968 00:00,26.7,7.298501162,250.52
01-07-1968 00:00,24.72,7.298501162,488.66
01-08-1968 00:00,25.17,7.298501162,160.18
01-09-1968 00:00,25.29,7.298501162,225.86
01-10-1968 00:00,24.98,7.298501162,123.4
01-11-1968 00:00,24.26,7.298501162,27.34
01-12-1968 00:00,23.28,7.298501162,1.5
01-01-1969 00:00,23.52,7.430507642,0
01-02-1969 00:00,26.32,7.430507642,0
01-03-1969 00:00,29.24,7.430507642,2.8
01-04-1969 00:00,30.34,7.430507642,30.04
01-05-1969 00:00,29.72,7.430507642,66.98
01-06-1969 00:00,27.08,7.430507642,217.04
01-07-1969 00:00,25.04,7.430507642,427.02
01-08-1969 00:00,25.22,7.430507642,247.84
01-09-1969 00:00,24.82,7.430507642,198.74
01-10-1969 00:00,25.16,7.430507642,148.08
01-11-1969 00:00,24.79,7.430507642,50.48
01-12-1969 00:00,23.22,7.430507642,13.88
01-01-1970 00:00,23.8,7.602658951,0.72
01-02-1970 00:00,25.83,7.602658951,2.24
01-03-1970 00:00,28.42,7.602658951,2.52
01-04-1970 00:00,29.7,7.602658951,38.58
01-05-1970 00:00,29.16,7.602658951,134.52
01-06-1970 00:00,25.8,7.602658951,240.82
01-07-1970 00:00,24.96,7.602658951,388.48
01-08-1970 00:00,24.31,7.602658951,388.62
01-09-1970 00:00,24.85,7.602658951,186.62
01-10-1970 00:00,24.93,7.602658951,156.88
01-11-1970 00:00,23.68,7.602658951,14.1
01-12-1970 00:00,21.85,7.602658951,0.08
01-01-1971 00:00,23.36,8.020536608,1.16
01-02-1971 00:00,25.61,8.020536608,2.14
01-03-1971 00:00,27.82,8.020536608,1.28
01-04-1971 00:00,29.75,8.020536608,29.42
01-05-1971 00:00,28.9,8.020536608,121.58
01-06-1971 00:00,25.25,8.020536608,345.32
01-07-1971 00:00,25.09,8.020536608,294.84
01-08-1971 00:00,24.89,8.020536608,227.2
01-09-1971 00:00,25.5,8.020536608,151.4
01-10-1971 00:00,24.66,8.020536608,112.44
01-11-1971 00:00,23.37,8.020536608,8.6
01-12-1971 00:00,22.25,8.020536608,4.62
01-01-1972 00:00,22.76,8.487273808,0
01-02-1972 00:00,25.06,8.487273808,1.5
01-03-1972 00:00,28.26,8.487273808,0.6
01-04-1972 00:00,29.72,8.487273808,21.96
01-05-1972 00:00,29.04,8.487273808,125.24
01-06-1972 00:00,27.93,8.487273808,236.58
01-07-1972 00:00,25.46,8.487273808,339.92
01-08-1972 00:00,25.51,8.487273808,159.9
01-09-1972 00:00,26.16,8.487273808,147.24
01-10-1972 00:00,25.91,8.487273808,113.48
01-11-1972 00:00,24.49,8.487273808,32.02
01-12-1972 00:00,23.98,8.487273808,18.32
01-01-1973 00:00,24.23,8.740286229,0
01-02-1973 00:00,26.73,8.740286229,0
01-03-1973 00:00,28.88,8.740286229,0.16
01-04-1973 00:00,30.87,8.740286229,15.82
01-05-1973 00:00,30.39,8.740286229,69.44
01-06-1973 00:00,26.67,8.740286229,293.54
01-07-1973 00:00,25.28,8.740286229,330.02
01-08-1973 00:00,24.42,8.740286229,333.1
01-09-1973 00:00,25.36,8.740286229,123.14
01-10-1973 00:00,25.16,8.740286229,169.34
01-11-1973 00:00,23.99,8.740286229,20.76
01-12-1973 00:00,23.03,8.740286229,4.76
01-01-1974 00:00,23.35,9.038300859,0.04
01-02-1974 00:00,25.84,9.038300859,0
01-03-1974 00:00,28.9,9.038300859,4.82
01-04-1974 00:00,30.14,9.038300859,28.52
01-05-1974 00:00,28.73,9.038300859,112.46
01-06-1974 00:00,26.38,9.038300859,160.66
01-07-1974 00:00,25.23,9.038300859,445.46
01-08-1974 00:00,24.8,9.038300859,251.9
01-09-1974 00:00,25.23,9.038300859,263.36
01-10-1974 00:00,24.66,9.038300859,162.52
01-11-1974 00:00,23.39,9.038300859,4.36
01-12-1974 00:00,22.33,9.038300859,0
01-01-1975 00:00,22.89,9.825625225,4.98
01-02-1975 00:00,25.9,9.825625225,1.72
01-03-1975 00:00,28.36,9.825625225,9.84
01-04-1975 00:00,30.25,9.825625225,12.88
01-05-1975 00:00,29.2,9.825625225,81.64
01-06-1975 00:00,26.15,9.825625225,397.16
01-07-1975 00:00,24.59,9.825625225,418.78
01-08-1975 00:00,24.64,9.825625225,336.68
01-09-1975 00:00,24.8,9.825625225,282.94
01-10-1975 00:00,24.62,9.825625225,232.22
01-11-1975 00:00,22.98,9.825625225,51.78
01-12-1975 00:00,21.92,9.825625225,0.58
01-01-1976 00:00,22.18,10.2769331,0
01-02-1976 00:00,25.02,10.2769331,0.04
01-03-1976 00:00,28.44,10.2769331,4.86
01-04-1976 00:00,29.03,10.2769331,44.86
01-05-1976 00:00,29.41,10.2769331,21.96
01-06-1976 00:00,26.57,10.2769331,157.14
01-07-1976 00:00,25.11,10.2769331,371.54
01-08-1976 00:00,24.77,10.2769331,247.36
01-09-1976 00:00,25.58,10.2769331,133.8
01-10-1976 00:00,26.39,10.2769331,38.06
01-11-1976 00:00,25.24,10.2769331,93.42
01-12-1976 00:00,23.85,10.2769331,2.84
01-01-1977 00:00,23.63,10.87167658,0
01-02-1977 00:00,26.18,10.87167658,1.38
01-03-1977 00:00,28.97,10.87167658,10.46
01-04-1977 00:00,29.68,10.87167658,39.34
01-05-1977 00:00,28.8,10.87167658,107.94
01-06-1977 00:00,26.84,10.87167658,306.66
01-07-1977 00:00,25.09,10.87167658,406.9
01-08-1977 00:00,25.05,10.87167658,196.38
01-09-1977 00:00,25.75,10.87167658,148.1
01-10-1977 00:00,25.38,10.87167658,183.22
01-11-1977 00:00,25.15,10.87167658,98.2
