Date,Temperature,State
1961-01-01 00:00:00,23.98,Karnataka
1961-02-01 00:00:00,25.24,Karnataka
1961-03-01 00:00:00,28.91,Karnataka
1961-04-01 00:00:00,29.99,Karnataka
1961-05-01 00:00:00,28.53,Karnataka
1961-06-01 00:00:00,25.84,Karnataka
1961-07-01 00:00:00,24.24,Karnataka
1961-08-01 00:00:00,25.01,Karnataka
1961-09-01 00:00:00,24.98,Karnataka
1961-10-01 00:00:00,24.75,Karnataka
1961-11-01 00:00:00,23.97,Karnataka
1961-12-01 00:00:00,23.03,Karnataka
1962-01-01 00:00:00,22.66,Karnataka
1962-02-01 00:00:00,25.41,Karnataka
1962-03-01 00:00:00,28.09,Karnataka
1962-04-01 00:00:00,29.06,Karnataka
1962-05-01 00:00:00,28.64,Karnataka
1962-06-01 00:00:00,26.81,Karnataka
1962-07-01 00:00:00,25.07,Karnataka
1962-08-01 00:00:00,24.75,Karnataka
1962-09-01 00:00:00,24.95,Karnataka
1962-10-01 00:00:00,25.22,Karnataka
1962-11-01 00:00:00,23.99,Karnataka
1962-12-01 00:00:00,22.73,Karnataka
1963-01-01 00:00:00,23.32,Karnataka
1963-02-01 00:00:00,25.07,Karnataka
1963-03-01 00:00:00,28.03,Karnataka
1963-04-01 00:00:00,28.62,Karnataka
1963-05-01 00:00:00,29.28,Karnataka
1963-06-01 00:00:00,26.1,Karnataka
1963-07-01 00:00:00,25.27,Karnataka
1963-08-01 00:00:00,24.54,Karnataka
1963-09-01 00:00:00,25.45,Karnataka
1963-10-01 00:00:00,25.11,Karnataka
1963-11-01 00:00:00,24.69,Karnataka
1963-12-01 00:00:00,23.49,Karnataka
1964-01-01 00:00:00,23.23,Karnataka
1964-02-01 00:00:00,25.82,Karnataka
1964-03-01 00:00:00,28.6,Karnataka
1964-04-01 00:00:00,30.19,Karnataka
1964-05-01 00:00:00,29.89,Karnataka
1964-06-01 00:00:00,26.65,Karnataka
1964-07-01 00:00:00,24.97,Karnataka
1964-08-01 00:00:00,24.35,Karnataka
1964-09-01 00:00:00,24.55,Karnataka
1964-10-01 00:00:00,25.02,Karnataka
1964-11-01 00:00:00,23.35,Karnataka
1964-12-01 00:00:00,22.36,Karnataka
1965-01-01 00:00:00,23.23,Karnataka
1965-02-01 00:00:00,25.16,Karnataka
1965-03-01 00:00:00,27.74,Karnataka
1965-04-01 00:00:00,29.01,Karnataka
1965-05-01 00:00:00,29.18,Karnataka
1965-06-01 00:00:00,26.44,Karnataka
1965-07-01 00:00:00,24.67,Karnataka
1965-08-01 00:00:00,25.01,Karnataka
1965-09-01 00:00:00,25.4,Karnataka
1965-10-01 00:00:00,25.95,Karnataka
1965-11-01 00:00:00,24.89,Karnataka
1965-12-01 00:00:00,23.68,Karnataka
1966-01-01 00:00:00,23.79,Karnataka
1966-02-01 00:00:00,26.18,Karnataka
1966-03-01 00:00:00,28.6,Karnataka
1966-04-01 00:00:00,29.68,Karnataka
1966-05-01 00:00:00,29.24,Karnataka
1966-06-01 00:00:00,26.9,Karnataka
1966-07-01 00:00:00,25.38,Karnataka
1966-08-01 00:00:00,25.55,Karnataka
1966-09-01 00:00:00,25.37,Karnataka
1966-10-01 00:00:00,25.37,Karnataka
1966-11-01 00:00:00,24.55,Karnataka
1966-12-01 00:00:00,22.94,Karnataka
1967-01-01 00:00:00,23.4,Karnataka
1967-02-01 00:00:00,25.38,Karnataka
1967-03-01 00:00:00,27.84,Karnataka
1967-04-01 00:00:00,29.86,Karnataka
1967-05-01 00:00:00,29.75,Karnataka
1967-06-01 00:00:00,26.9,Karnataka
1967-07-01 00:00:00,24.55,Karnataka
1967-08-01 00:00:00,24.76,Karnataka
1967-09-01 00:00:00,25.08,Karnataka
1967-10-01 00:00:00,24.94,Karnataka
1967-11-01 00:00:00,23.91,Karnataka
1967-12-01 00:00:00,23.86,Karnataka
1968-01-01 00:00:00,22.99,Karnataka
1968-02-01 00:00:00,25.56,Karnataka
1968-03-01 00:00:00,27.9,Karnataka
1968-04-01 00:00:00,28.84,Karnataka
1968-05-01 00:00:00,29.21,Karnataka
1968-06-01 00:00:00,26.7,Karnataka
1968-07-01 00:00:00,24.72,Karnataka
1968-08-01 00:00:00,25.17,Karnataka
1968-09-01 00:00:00,25.29,Karnataka
1968-10-01 00:00:00,24.98,Karnataka
1968-11-01 00:00:00,24.26,Karnataka
1968-12-01 00:00:00,23.28,Karnataka
1969-01-01 00:00:00,23.52,Karnataka
1969-02-01 00:00:00,26.32,Karnataka
1969-03-01 00:00:00,29.24,Karnataka
1969-04-01 00:00:00,30.34,Karnataka
1969-05-01 00:00:00,29.72,Karnataka
1969-06-01 00:00:00,27.08,Karnataka
1969-07-01 00:00:00,25.04,Karnataka
1969-08-01 00:00:00,25.22,Karnataka
1969-09-01 00:00:00,24.82,Karnataka
1969-10-01 00:00:00,25.16,Karnataka
1969-11-01 00:00:00,24.79,Karnataka
1969-12-01 00:00:00,23.22,Karnataka
1970-01-01 00:00:00,23.8,Karnataka
1970-02-01 00:00:00,25.83,Karnataka
1970-03-01 00:00:00,28.42,Karnataka
1970-04-01 00:00:00,29.7,Karnataka
1970-05-01 00:00:00,29.16,Karnataka
1970-06-01 00:00:00,25.8,Karnataka
1970-07-01 00:00:00,24.96,Karnataka
1970-08-01 00:00:00,24.31,Karnataka
1970-09-01 00:00:00,24.85,Karnataka
1970-10-01 00:00:00,24.93,Karnataka
1970-11-01 00:00:00,23.68,Karnataka
1970-12-01 00:00:00,21.85,Karnataka
1971-01-01 00:00:00,23.36,Karnataka
1971-02-01 00:00:00,25.61,Karnataka
1971-03-01 00:00:00,27.82,Karnataka
1971-04-01 00:00:00,29.75,Karnataka
1971-05-01 00:00:00,28.9,Karnataka
1971-06-01 00:00:00,25.25,Karnataka
1971-07-01 00:00:00,25.09,Karnataka
1971-08-01 00:00:00,24.89,Karnataka
1971-09-01 00:00:00,25.5,Karnataka
1971-10-01 00:00:00,24.66,Karnataka
1971-11-01 00:00:00,23.37,Karnataka
1971-12-01 00:00:00,22.25,Karnataka
1972-01-01 00:00:00,22.76,Karnataka
1972-02-01 00:00:00,25.06,Karnataka
1972-03-01 00:00:00,28.26,Karnataka
1972-04-01 00:00:00,29.72,Karnataka
1972-05-01 00:00:00,29.04,Karnataka
1972-06-01 00:00:00,27.93,Karnataka
1972-07-01 00:00:00,25.46,Karnataka
1972-08-01 00:00:00,25.51,Karnataka
1972-09-01 00:00:00,26.16,Karnataka
1972-10-01 00:00:00,25.91,Karnataka
1972-11-01 00:00:00,24.49,Karnataka
1972-12-01 00:00:00,23.98,Karnataka
1973-01-01 00:00:00,24.23,Karnataka
1973-02-01 00:00:00,26.73,Karnataka
1973-03-01 00:00:00,28.88,Karnataka
1973-04-01 00:00:00,30.87,Karnataka
1973-05-01 00:00:00,30.39,Karnataka
1973-06-01 00:00:00,26.67,Karnataka
1973-07-01 00:00:00,25.28,Karnataka
1973-08-01 00:00:00,24.42,Karnataka
1973-09-01 00:00:00,25.36,Karnataka
1973-10-01 00:00:00,25.16,Karnataka
1973-11-01 00:00:00,23.99,Karnataka
1973-12-01 00:00:00,23.03,Karnataka
1974-01-01 00:00:00,23.35,Karnataka
1974-02-01 00:00:00,25.84,Karnataka
1974-03-01 00:00:00,28.9,Karnataka
1974-04-01 00:00:00,30.14,Karnataka
1974-05-01 00:00:00,28.73,Karnataka
1974-06-01 00:00:00,26.38,Karnataka
1974-07-01 00:00:00,25.23,Karnataka
1974-08-01 00:00:00,24.8,Karnataka
1974-09-01 00:00:00,25.23,Karnataka
1974-10-01 00:00:00,24.66,Karnataka
1974-11-01 00:00:00,23.39,Karnataka
1974-12-01 00:00:00,22.33,Karnataka
1975-01-01 00:00:00,22.89,Karnataka
1975-02-01 00:00:00,25.9,Karnataka
1975-03-01 00:00:00,28.36,Karnataka
1975-04-01 00:00:00,30.25,Karnataka
1975-05-01 00:00:00,29.2,Karnataka
1975-06-01 00:00:00,26.15,Karnataka
1975-07-01 00:00:00,24.59,Karnataka
1975-08-01 00:00:00,24.64,Karnataka
1975-09-01 00:00:00,24.8,Karnataka
1975-10-01 00:00:00,24.62,Karnataka
1975-11-01 00:00:00,22.98,Karnataka
1975-12-01 00:00:00,21.92,Karnataka
1976-01-01 00:00:00,22.18,Karnataka
1976-02-01 00:00:00,25.02,Karnataka
1976-03-01 00:00:00,28.44,Karnataka
1976-04-01 00:00:00,29.03,Karnataka
1976-05-01 00:00:00,29.41,Karnataka
1976-06-01 00:00:00,26.57,Karnataka
1976-07-01 00:00:00,25.11,Karnataka
1976-08-01 00:00:00,24.77,Karnataka
1976-09-01 00:00:00,25.58,Karnataka
1976-10-01 00:00:00,26.39,Karnataka
1976-11-01 00:00:00,25.24,Karnataka
1976-12-01 00:00:00,23.85,Karnataka
1977-01-01 00:00:00,23.63,Karnataka
1977-02-01 00:00:00,26.18,Karnataka
1977-03-01 00:00:00,28.97,Karnataka
1977-04-01 00:00:00,29.68,Karnataka
1977-05-01 00:00:00,28.8,Karnataka
1977-06-01 00:00:00,26.84,Karnataka
1977-07-01 00:00:00,25.09,Karnataka
1977-08-01 00:00:00,25.05,Karnataka
1977-09-01 00:00:00,25.75,Karnataka
1977-10-01 00:00:00,25.38,Karnataka
1977-11-01 00:00:00,25.15,Karnataka
1977-12-01 00:00:00,22.79,Karnataka
1978-01-01 00:00:00,23.82,Karnataka
1978-02-01 00:00:00,25.44,Karnataka
1978-03-01 00:00:00,28.07,Karnataka
1978-04-01 00:00:00,29.63,Karnataka
1978-05-01 00:00:00,29.24,Karnataka
1978-06-01 00:00:00,25.59,Karnataka
1978-07-01 00:00:00,24.53,Karnataka
1978-08-01 00:00:00,24.42,Karnataka
1978-09-01 00:00:00,24.9,Karnataka
1978-10-01 00:00:00,25.47,Karnataka
1978-11-01 00:00:00,24.78,Karnataka
1978-12-01 00:00:00,23.55,Karnataka
1979-01-01 00:00:00,24.19,Karnataka
1979-02-01 00:00:00,25.81,Karnataka
1979-03-01 00:00:00,28.42,Karnataka
1979-04-01 00:00:00,30.12,Karnataka
1979-05-01 00:00:00,29.49,Karnataka
1979-06-01 00:00:00,27.4,Karnataka
1979-07-01 00:00:00,25.43,Karnataka
1979-08-01 00:00:00,24.99,Karnataka
1979-09-01 00:00:00,25.28,Karnataka
1979-10-01 00:00:00,25.79,Karnataka
1979-11-01 00:00:00,24.81,Karnataka
1979-12-01 00:00:00,23.82,Karnataka
1980-01-01 00:00:00,23.77,Karnataka
1980-02-01 00:00:00,26.44,Karnataka
1980-03-01 00:00:00,28.63,Karnataka
1980-04-01 00:00:00,30.13,Karnataka
1980-05-01 00:00:00,30.55,Karnataka
1980-06-01 00:00:00,26.11,Karnataka
1980-07-01 00:00:00,25.28,Karnataka
1980-08-01 00:00:00,24.7,Karnataka
1980-09-01 00:00:00,25.6,Karnataka
1980-10-01 00:00:00,26.15,Karnataka
1980-11-01 00:00:00,24.92,Karnataka
1980-12-01 00:00:00,23.42,Karnataka
1981-01-01 00:00:00,23.4,Karnataka
1981-02-01 00:00:00,26.1,Karnataka
1981-03-01 00:00:00,28.29,Karnataka
1981-04-01 00:00:00,30.09,Karnataka
1981-05-01 00:00:00,29.74,Karnataka
1981-06-01 00:00:00,26.41,Karnataka
1981-07-01 00:00:00,25.44,Karnataka
1981-08-01 00:00:00,24.6,Karnataka
1981-09-01 00:00:00,25.06,Karnataka
1981-10-01 00:00:00,25.3,Karnataka
1981-11-01 00:00:00,23.99,Karnataka
1981-12-01 00:00:00,22.94,Karnataka
1982-01-01 00:00:00,23.62,Karnataka
1982-02-01 00:00:00,26.31,Karnataka
1982-03-01 00:00:00,28.61,Karnataka
1982-04-01 00:00:00,29.64,Karnataka
1982-05-01 00:00:00,29.46,Karnataka
1982-06-01 00:00:00,26.86,Karnataka
1982-07-01 00:00:00,25.45,Karnataka
1982-08-01 00:00:00,25.18,Karnataka
1982-09-01 00:00:00,25.38,Karnataka
1982-10-01 00:00:00,26.07,Karnataka
1982-11-01 00:00:00,24.5,Karnataka
1982-12-01 00:00:00,23.35,Karnataka
1983-01-01 00:00:00,23.38,Karnataka
1983-02-01 00:00:00,25.81,Karnataka
1983-03-01 00:00:00,28.71,Karnataka
1983-04-01 00:00:00,30.11,Karnataka
1983-05-01 00:00:00,30.32,Karnataka
1983-06-01 00:00:00,27.66,Karnataka
1983-07-01 00:00:00,25.8,Karnataka
1983-08-01 00:00:00,24.97,Karnataka
1983-09-01 00:00:00,24.79,Karnataka
1983-10-01 00:00:00,24.97,Karnataka
1983-11-01 00:00:00,23.5,Karnataka
1983-12-01 00:00:00,23.29,Karnataka
1984-01-01 00:00:00,24.08,Karnataka
1984-02-01 00:00:00,25.81,Karnataka
1984-03-01 00:00:00,28.23,Karnataka
1984-04-01 00:00:00,29.59,Karnataka
