YEAR,TEMPERATURE,CO2,RAINFALL
01-01-1961 00:00,26.17,0.234630047,13.7
01-02-1961 00:00,26.78,0.234630047,31.3
01-03-1961 00:00,28.59,0.234630047,11.4
01-04-1961 00:00,28.96,0.234630047,94.1
01-05-1961 00:00,27.57,0.234630047,500.5
01-06-1961 00:00,25.52,0.234630047,1005.2
01-07-1961 00:00,24.86,0.234630047,1146.5
01-08-1961 00:00,25.39,0.234630047,678.3
01-09-1961 00:00,25.66,0.234630047,399.3
01-10-1961 00:00,25.95,0.234630047,274.2
01-11-1961 00:00,26.34,0.234630047,85.9
01-12-1961 00:00,25.91,0.234630047,17.5
01-01-1962 00:00,25.93,0.258138578,28.4
01-02-1962 00:00,26.77,0.258138578,54.7
01-03-1962 00:00,27.87,0.258138578,39.6
01-04-1962 00:00,28.34,0.258138578,95.1
01-05-1962 00:00,27.42,0.258138578,472.4
01-06-1962 00:00,26.65,0.258138578,244.9
01-07-1962 00:00,25.32,0.258138578,951.1
01-08-1962 00:00,25.3,0.258138578,510.7
01-09-1962 00:00,25.81,0.258138578,394.9
01-10-1962 00:00,25.79,0.258138578,475.6
01-11-1962 00:00,26.29,0.258138578,31.5
01-12-1962 00:00,25.99,0.258138578,76.9
01-01-1963 00:00,25.94,0.277239671,30.2
01-02-1963 00:00,26.51,0.277239671,24.8
01-03-1963 00:00,27.97,0.277239671,69.8
01-04-1963 00:00,28.29,0.277239671,96.3
01-05-1963 00:00,28.33,0.277239671,157.1
01-06-1963 00:00,26.13,0.277239671,393.3
01-07-1963 00:00,25.51,0.277239671,720.2
01-08-1963 00:00,25.56,0.277239671,511
01-09-1963 00:00,26.27,0.277239671,223.9
01-10-1963 00:00,26.12,0.277239671,282.6
01-11-1963 00:00,26.45,0.277239671,93.4
01-12-1963 00:00,26.13,0.277239671,48.4
01-01-1964 00:00,25.9,0.271057383,1.1
01-02-1964 00:00,27.15,0.271057383,7.8
01-03-1964 00:00,28.48,0.271057383,67.2
01-04-1964 00:00,29.23,0.271057383,83.3
01-05-1964 00:00,28.82,0.271057383,94.8
01-06-1964 00:00,26.33,0.271057383,379.4
01-07-1964 00:00,25.07,0.271057383,754.2
01-08-1964 00:00,25.26,0.271057383,548
01-09-1964 00:00,25.39,0.271057383,398.2
01-10-1964 00:00,25.79,0.271057383,325.7
01-11-1964 00:00,25.51,0.271057383,191.7
01-12-1964 00:00,25.32,0.271057383,17.8
01-01-1965 00:00,25.55,0.298630257,9.1
01-02-1965 00:00,26.52,0.298630257,0.9
01-03-1965 00:00,27.82,0.298630257,28.3
01-04-1965 00:00,28.33,0.298630257,109.8
01-05-1965 00:00,27.78,0.298630257,214.5
01-06-1965 00:00,25.94,0.298630257,597.7
01-07-1965 00:00,25.33,0.298630257,465.1
01-08-1965 00:00,25.46,0.298630257,296.1
01-09-1965 00:00,26.11,0.298630257,150.1
01-10-1965 00:00,26.53,0.298630257,183.7
01-11-1965 00:00,26.62,0.298630257,131.7
01-12-1965 00:00,25.8,0.298630257,155.5
01-01-1966 00:00,26.4,0.309055033,3
01-02-1966 00:00,27.55,0.309055033,6.9
01-03-1966 00:00,28.61,0.309055033,67.7
01-04-1966 00:00,28.85,0.309055033,167.4
01-05-1966 00:00,28.5,0.309055033,95.2
01-06-1966 00:00,26.09,0.309055033,496.2
01-07-1966 00:00,25.29,0.309055033,601.9
01-08-1966 00:00,26.04,0.309055033,202.1
01-09-1966 00:00,26.03,0.309055033,293.2
01-10-1966 00:00,25.93,0.309055033,392.3
01-11-1966 00:00,26.2,0.309055033,245.4
01-12-1966 00:00,25.9,0.309055033,50.5
01-01-1967 00:00,25.76,0.30990617,14.3
01-02-1967 00:00,26.38,0.30990617,0.1
01-03-1967 00:00,28.01,0.30990617,24.6
01-04-1967 00:00,29.18,0.30990617,70.1
01-05-1967 00:00,28.16,0.30990617,244.9
01-06-1967 00:00,25.89,0.30990617,541.7
01-07-1967 00:00,25.01,0.30990617,741.4
01-08-1967 00:00,25.27,0.30990617,508.4
