UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,10.131241,76.383672,13.813,0,0,0,No Data,No Data
1179727236,2007-05-21T06:00:36Z,10.131986,76.384186,10.622,0.1003934,0,0,No Data,No Data
1179727286,2007-05-21T06:01:26Z,10.132980,76.384958,5.763,0.2397533,0,0,No Data,No Data
1179727329,2007-05-21T06:02:09Z,10.133724,76.385728,10.86,0.3580254,0,0,No Data,No Data
1179727405,2007-05-21T06:03:25Z,10.134458,76.387515,9.516,0.570282,0,0,No Data,No Data
1179727455,2007-05-21T06:04:15Z,10.135200,76.388540,7.698,0.7098108,0,0,No Data,No Data
1179727528,2007-05-21T06:05:28Z,10.135683,76.390326,14.891,0.9128962,0,0,No Data,No Data
1179727570,2007-05-21T06:06:10Z,10.135922,76.391347,15.699,1.02799,0,0,No Data,No Data
1179727633,2007-05-21T06:07:13Z,10.136408,76.392880,16.256,1.204546,0,0,No Data,No Data
1179727675,2007-05-21T06:07:55Z,10.136648,76.393901,12.939,1.319656,0,0,No Data,No Data
1179727715,2007-05-21T06:08:35Z,10.136637,76.394919,12.804,1.431312,0,0,No Data,No Data
1179727765,2007-05-21T06:09:25Z,10.136622,76.396192,11.056,1.570889,0,0,No Data,No Data
1179727856,2007-05-21T06:10:56Z,10.136597,76.398483,10.542,1.822033,0,0,No Data,No Data
1179727926,2007-05-21T06:12:06Z,10.136575,76.400264,15.497,2.017276,0,0,No Data,No Data
1179727987,2007-05-21T06:13:07Z,10.136305,76.401787,20.25,2.186877,0,0,No Data,No Data
1179728038,2007-05-21T06:13:58Z,10.136038,76.403055,20.927,2.328973,0,0,No Data,No Data
1179728099,2007-05-21T06:14:59Z,10.136020,76.404581,30.042,2.496245,0,0,No Data,No Data
1179728144,2007-05-21T06:15:44Z,10.136512,76.405607,28.914,2.621346,0,0,No Data,No Data
1179728166,2007-05-21T06:16:06Z,10.136757,76.406120,28.273,2.683909,0,0,No Data,No Data
1179728231,2007-05-21T06:17:11Z,10.138004,76.407159,26.221,2.86354,0,0,No Data,No Data
1179728318,2007-05-21T06:18:38Z,10.139753,76.408463,19.748,3.105174,0,0,No Data,No Data
1179728363,2007-05-21T06:19:23Z,10.140755,76.408990,20.554,3.230918,0,0,No Data,No Data
1179728459,2007-05-21T06:20:59Z,10.142760,76.410301,18.037,3.496423,0,0,No Data,No Data
1179728577,2007-05-21T06:22:57Z,10.145528,76.411372,11.507,3.826302,0,0,No Data,No Data
1179728619,2007-05-21T06:23:39Z,10.146538,76.411646,8.23,3.942756,0,0,No Data,No Data
1179728684,2007-05-21T06:24:44Z,10.148052,76.412185,8.087,4.121452,0,0,No Data,No Data
1179728748,2007-05-21T06:25:48Z,10.149568,76.412725,8.173,4.300359,0,0,No Data,No Data
1179728858,2007-05-21T06:27:38Z,10.152096,76.413796,8.61,4.60535,0,0,No Data,No Data
1179728922,2007-05-21T06:28:42Z,10.153618,76.414338,10.509,4.78496,0,0,No Data,No Data
1179728978,2007-05-21T06:29:38Z,10.154887,76.414876,16.945,4.938089,0,0,No Data,No Data
