UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,24.935965,79.346593,229.131,0,0,0,No Data,No Data
1179727263,2007-05-21T06:01:03Z,24.934416,79.346302,230.869,0.1748634,0,0,No Data,No Data
1179727316,2007-05-21T06:01:56Z,24.933126,79.346013,229.929,0.3213584,0,0,No Data,No Data
1179727367,2007-05-21T06:02:47Z,24.931835,79.346005,230.616,0.4650534,0,0,No Data,No Data
1179727419,2007-05-21T06:03:39Z,24.930542,79.345996,230.174,0.6089706,0,0,No Data,No Data
1179727465,2007-05-21T06:04:25Z,24.929509,79.345425,229.603,0.7375426,0,0,No Data,No Data
1179727539,2007-05-21T06:05:39Z,24.927699,79.345130,230.999,0.9411214,0,0,No Data,No Data
1179727601,2007-05-21T06:06:41Z,24.926147,79.345118,230.572,1.113878,0,0,No Data,No Data
1179727632,2007-05-21T06:07:12Z,24.925373,79.345113,230.388,1.200008,0,0,No Data,No Data
1179727714,2007-05-21T06:08:34Z,24.923314,79.345102,231.738,1.429132,0,0,No Data,No Data
1179727755,2007-05-21T06:09:15Z,24.922285,79.345096,230.772,1.543654,0,0,No Data,No Data
1179727817,2007-05-21T06:10:17Z,24.920741,79.345087,232.099,1.715489,0,0,No Data,No Data
1179727910,2007-05-21T06:11:50Z,24.918428,79.345074,233.104,1.972939,0,0,No Data,No Data
1179727951,2007-05-21T06:12:31Z,24.917401,79.345069,232.601,2.087254,0,0,No Data,No Data
1179728036,2007-05-21T06:13:56Z,24.915343,79.345617,231.181,2.322886,0,0,No Data,No Data
1179728088,2007-05-21T06:14:48Z,24.914059,79.345891,230.764,2.468384,0,0,No Data,No Data
1179728140,2007-05-21T06:15:40Z,24.912776,79.345883,229.396,2.611126,0,0,No Data,No Data
1179728214,2007-05-21T06:16:54Z,24.910980,79.346434,232.795,2.818653,0,0,No Data,No Data
1179728289,2007-05-21T06:18:09Z,24.909184,79.346984,231.087,3.026129,0,0,No Data,No Data
1179728312,2007-05-21T06:18:32Z,24.908671,79.347261,232.271,3.089708,0,0,No Data,No Data
1179728404,2007-05-21T06:20:04Z,24.906617,79.348368,235.059,3.344187,0,0,No Data,No Data
1179728456,2007-05-21T06:20:56Z,24.905334,79.348637,236.162,3.489583,0,0,No Data,No Data
1179728521,2007-05-21T06:22:01Z,24.903800,79.349190,235.679,3.669216,0,0,No Data,No Data
1179728585,2007-05-21T06:23:05Z,24.902264,79.349740,236.441,3.848965,0,0,No Data,No Data
1179728670,2007-05-21T06:24:30Z,24.900219,79.350287,235.0,4.083194,0,0,No Data,No Data
1179728721,2007-05-21T06:25:21Z,24.898942,79.350279,236.665,4.225344,0,0,No Data,No Data
1179728813,2007-05-21T06:26:53Z,24.896644,79.350263,236.054,4.481177,0,0,No Data,No Data
1179728895,2007-05-21T06:28:15Z,24.894600,79.350247,239.0,4.708662,0,0,No Data,No Data
