UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,24.968217,79.340559,215.008,0,0,0,No Data,No Data
1179727284,2007-05-21T06:01:24Z,24.966397,79.341688,221.051,0.2324213,0,0,No Data,No Data
1179727330,2007-05-21T06:02:10Z,24.965353,79.342250,223.8,0.3616976,0,0,No Data,No Data
1179727412,2007-05-21T06:03:32Z,24.963757,79.343649,230.028,0.5885805,0,0,No Data,No Data
1179727485,2007-05-21T06:04:45Z,24.962467,79.345064,225.81,0.7910883,0,0,No Data,No Data
1179727573,2007-05-21T06:06:13Z,24.960895,79.346752,227.905,1.035333,0,0,No Data,No Data
1179727653,2007-05-21T06:07:33Z,24.959589,79.348443,227.48,1.25952,0,0,No Data,No Data
1179727792,2007-05-21T06:09:52Z,24.956990,79.350977,230.961,1.645696,0,0,No Data,No Data
1179727858,2007-05-21T06:10:58Z,24.955943,79.352383,230.982,1.829372,0,0,No Data,No Data
1179727925,2007-05-21T06:12:05Z,24.954635,79.353503,233.606,2.013683,0,0,No Data,No Data
1179727985,2007-05-21T06:13:05Z,24.953329,79.354340,235.201,2.181779,0,0,No Data,No Data
1179728060,2007-05-21T06:14:20Z,24.951764,79.355456,237.427,2.389297,0,0,No Data,No Data
1179728116,2007-05-21T06:15:16Z,24.950461,79.356010,235.882,2.544735,0,0,No Data,No Data
1179728169,2007-05-21T06:16:09Z,24.949162,79.356283,235.927,2.691854,0,0,No Data,No Data
1179728235,2007-05-21T06:17:15Z,24.947603,79.356835,237.851,2.874094,0,0,No Data,No Data
1179728300,2007-05-21T06:18:20Z,24.946044,79.357386,236.031,3.056283,0,0,No Data,No Data
1179728362,2007-05-21T06:19:22Z,24.944487,79.357373,235.674,3.229609,0,0,No Data,No Data
1179728456,2007-05-21T06:20:56Z,24.942154,79.357353,236.659,3.489297,0,0,No Data,No Data
1179728529,2007-05-21T06:22:09Z,24.940341,79.357338,237.968,3.691104,0,0,No Data,No Data
1179728612,2007-05-21T06:23:32Z,24.938268,79.357320,238.923,3.921822,0,0,No Data,No Data
1179728695,2007-05-21T06:24:55Z,24.936197,79.357302,243.222,4.152381,0,0,No Data,No Data
1179728793,2007-05-21T06:26:33Z,24.933874,79.356439,236.823,4.425246,0,0,No Data,No Data
1179728866,2007-05-21T06:27:46Z,24.932067,79.356143,235.764,4.628545,0,0,No Data,No Data
1179728932,2007-05-21T06:28:52Z,24.930520,79.355569,238.168,4.810181,0,0,No Data,No Data
1179728987,2007-05-21T06:29:47Z,24.929232,79.354996,237.918,4.964737,0,0,No Data,No Data
1179729049,2007-05-21T06:30:49Z,24.927684,79.354984,237.754,5.137061,0,0,No Data,No Data
1179729121,2007-05-21T06:32:01Z,24.925881,79.354971,237.998,5.337722,0,0,No Data,No Data
1179729197,2007-05-21T06:33:17Z,24.924075,79.354392,238.191,5.54702,0,0,No Data,No Data
1179729249,2007-05-21T06:34:09Z,24.922786,79.354100,237.209,5.693409,0,0,No Data,No Data
1179729353,2007-05-21T06:35:53Z,24.920211,79.353797,240.824,5.981625,0,0,No Data,No Data
1179729374,2007-05-21T06:36:14Z,24.919696,79.353793,241.188,6.038861,0,0,No Data,No Data
1179729489,2007-05-21T06:38:09Z,24.916872,79.353211,243.024,6.35866,0,0,No Data,No Data
1179729562,2007-05-21T06:39:22Z,24.915077,79.352919,241.861,6.56063,0,0,No Data,No Data
1179729624,2007-05-21T06:40:24Z,24.913539,79.352629,238.625,6.734287,0,0,No Data,No Data
1179729696,2007-05-21T06:41:36Z,24.911743,79.352617,236.282,6.934164,0,0,No Data,No Data
