YEAR,TEMPERATURE,CO2,RAINFALL
01-01-1961 00:00,17.88,8.643292982,29
01-02-1961 00:00,18.72,8.643292982,11.2
01-03-1961 00:00,26.57,8.643292982,3.8
01-04-1961 00:00,30.58,8.643292982,5.8
01-05-1961 00:00,33.93,8.643292982,8.4
01-06-1961 00:00,31.46,8.643292982,132.9
01-07-1961 00:00,27.47,8.643292982,499.4
01-08-1961 00:00,26.89,8.643292982,462.9
01-09-1961 00:00,26.14,8.643292982,358.4
01-10-1961 00:00,24.52,8.643292982,65.7
01-11-1961 00:00,20.72,8.643292982,7.5
01-12-1961 00:00,15.8,8.643292982,13.7
01-01-1962 00:00,16,9.509299363,9.75
01-02-1962 00:00,20.29,9.509299363,14
01-03-1962 00:00,25.02,9.509299363,14.65
01-04-1962 00:00,30.37,9.509299363,8.95
01-05-1962 00:00,33.7,9.509299363,6.8
01-06-1962 00:00,32.39,9.509299363,35.95
01-07-1962 00:00,28.18,9.509299363,317.95
01-08-1962 00:00,26.84,9.509299363,266.35
01-09-1962 00:00,26.42,9.509299363,271.4
01-10-1962 00:00,24.23,9.509299363,0.75
01-11-1962 00:00,21.26,9.509299363,4.95
01-12-1962 00:00,18.12,9.509299363,35.65
01-01-1963 00:00,16.71,10.21294474,6.65
01-02-1963 00:00,21.53,10.21294474,9.5
01-03-1963 00:00,25.07,10.21294474,4.1
01-04-1963 00:00,29.47,10.21294474,9.6
01-05-1963 00:00,32.87,10.21294474,7.3
01-06-1963 00:00,31.29,10.21294474,109.45
01-07-1963 00:00,28.05,10.21294474,254.7
01-08-1963 00:00,26.37,10.21294474,363.75
01-09-1963 00:00,26.68,10.21294474,199.5
01-10-1963 00:00,25.79,10.21294474,27.35
01-11-1963 00:00,22.86,10.21294474,19.15
01-12-1963 00:00,18.15,10.21294474,1.7
01-01-1964 00:00,16.98,9.985201831,0.1
01-02-1964 00:00,20.65,9.985201831,4.05
01-03-1964 00:00,26.99,9.985201831,2.2
01-04-1964 00:00,31.71,9.985201831,0.65
01-05-1964 00:00,33.06,9.985201831,5.1
01-06-1964 00:00,31.7,9.985201831,121.6
01-07-1964 00:00,27.27,9.985201831,319.45
01-08-1964 00:00,26.48,9.985201831,372.6
01-09-1964 00:00,26.75,9.985201831,194.65
01-10-1964 00:00,25.84,9.985201831,12.05
01-11-1964 00:00,20.68,9.985201831,0.45
01-12-1964 00:00,18.06,9.985201831,0.7
01-01-1965 00:00,18.79,11.00093034,4.7
01-02-1965 00:00,20.62,11.00093034,0.8
01-03-1965 00:00,24.84,11.00093034,8.45
01-04-1965 00:00,29.26,11.00093034,7.25
01-05-1965 00:00,32.96,11.00093034,0.6
01-06-1965 00:00,32.75,11.00093034,49.8
01-07-1965 00:00,28.01,11.00093034,238.35
01-08-1965 00:00,27.19,11.00093034,163.75
01-09-1965 00:00,26.64,11.00093034,154.1
01-10-1965 00:00,26.18,11.00093034,8.55
01-11-1965 00:00,22.28,11.00093034,0.55
01-12-1965 00:00,18.08,11.00093034,9.35
01-01-1966 00:00,18.07,11.38495786,8.6
01-02-1966 00:00,22.39,11.38495786,2.35
01-03-1966 00:00,25.38,11.38495786,2.05
01-04-1966 00:00,30.73,11.38495786,0.4
01-05-1966 00:00,33.58,11.38495786,5.2
01-06-1966 00:00,32.03,11.38495786,139.95
01-07-1966 00:00,29.32,11.38495786,260.55
01-08-1966 00:00,26.72,11.38495786,231.3
01-09-1966 00:00,27.22,11.38495786,77.5
01-10-1966 00:00,26.56,11.38495786,1.4
01-11-1966 00:00,22.57,11.38495786,28.9
01-12-1966 00:00,17.6,11.38495786,6.45
01-01-1967 00:00,16.92,11.41631201,0.1
01-02-1967 00:00,22.06,11.41631201,0
01-03-1967 00:00,24.44,11.41631201,42.6
01-04-1967 00:00,29.46,11.41631201,1.8
01-05-1967 00:00,33.56,11.41631201,1.5
01-06-1967 00:00,32.33,11.41631201,122.2
01-07-1967 00:00,27.91,11.41631201,310
01-08-1967 00:00,26.08,11.41631201,367.5
01-09-1967 00:00,26.3,11.41631201,242.1
01-10-1967 00:00,25.43,11.41631201,4.05
01-11-1967 00:00,21.75,11.41631201,0.6
01-12-1967 00:00,18.93,11.41631201,84.25
01-01-1968 00:00,16.7,12.41697108,22.45
01-02-1968 00:00,19.31,12.41697108,7.05
01-03-1968 00:00,24.73,12.41697108,9.25
01-04-1968 00:00,29.38,12.41697108,2.35
01-05-1968 00:00,32.81,12.41697108,0.7
01-06-1968 00:00,32.18,12.41697108,68.15
01-07-1968 00:00,27.79,12.41697108,379.95
01-08-1968 00:00,26.29,12.41697108,286.6
01-09-1968 00:00,28.03,12.41697108,122.8
01-10-1968 00:00,25.16,12.41697108,17.25
01-11-1968 00:00,21.42,12.41697108,0
01-12-1968 00:00,18.16,12.41697108,0.95
01-01-1969 00:00,17.85,12.64155427,7
01-02-1969 00:00,21.39,12.64155427,1.5
01-03-1969 00:00,27.48,12.64155427,0.55
01-04-1969 00:00,31.09,12.64155427,0.45
01-05-1969 00:00,33.08,12.64155427,5.25
01-06-1969 00:00,32.63,12.64155427,44.8
01-07-1969 00:00,27.74,12.64155427,473.4
01-08-1969 00:00,26.33,12.64155427,394.35
01-09-1969 00:00,26.62,12.64155427,212.4
01-10-1969 00:00,26.18,12.64155427,0
01-11-1969 00:00,23.07,12.64155427,39.5
01-12-1969 00:00,18.25,12.64155427,0.15
01-01-1970 00:00,18.11,12.93443602,40.25
01-02-1970 00:00,20.39,12.93443602,20.75
