AREA,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Madhya Pradesh,1961,29.0,11.2,3.8,5.8,8.4,132.9,499.4,462.9,358.4,65.7,7.5,13.7
Madhya Pradesh,1962,9.75,14.0,14.65,8.95,6.8,35.95,317.95,266.35,271.4,0.75,4.95,35.65
Madhya Pradesh,1963,6.65,9.5,4.1,9.6,7.3,109.45,254.7,363.75,199.5,27.35,19.15,1.7
Madhya Pradesh,1964,0.1,4.05,2.2,0.65,5.1,121.6,319.45,372.6,194.65,12.05,0.45,0.7
Madhya Pradesh,1965,4.7,0.8,8.45,7.25,0.6,49.8,238.35,163.75,154.1,8.55,0.55,9.35
Madhya Pradesh,1966,8.6,2.35,2.05,0.4,5.2,139.95,260.55,231.3,77.5,1.4,28.9,6.45
Madhya Pradesh,1967,0.1,0.0,42.6,1.8,1.5,122.2,310.0,367.5,242.1,4.05,0.6,84.25
Madhya Pradesh,1968,22.45,7.05,9.25,2.35,0.7,68.15,379.95,286.6,122.8,17.25,0.0,0.95
Madhya Pradesh,1969,7.0,1.5,0.55,0.45,5.25,44.8,473.4,394.35,212.4,0.0,39.5,0.15
Madhya Pradesh,1970,40.25,20.75,22.3,0.95,12.35,226.3,227.5,413.9,258.2,5.2,0.0,0.0
Madhya Pradesh,1971,20.0,5.15,6.3,8.2,23.85,270.25,477.4,253.3,184.4,78.25,0.1,0.0
Madhya Pradesh,1972,0.25,7.05,0.1,1.2,1.05,73.05,184.6,488.5,107.6,14.65,22.5,3.65
Madhya Pradesh,1973,0.55,17.25,0.05,0.65,1.85,64.4,496.75,454.5,230.9,53.95,0.1,8.7
Madhya Pradesh,1974,0.2,3.7,0.8,0.4,9.4,69.8,296.35,396.45,60.15,82.65,2.95,1.05
Madhya Pradesh,1975,6.5,7.35,6.85,0.15,2.4,163.3,318.6,463.1,208.55,72.5,0.05,0.15
Madhya Pradesh,1976,10.4,1.55,4.5,9.2,9.55,121.8,315.95,358.55,178.4,0.75,29.55,1.45
Madhya Pradesh,1977,6.4,4.95,4.75,5.2,9.0,216.55,302.75,368.3,178.35,37.1,50.9,3.25
Madhya Pradesh,1978,12.9,44.65,18.0,4.5,0.1,173.55,328.45,419.0,138.75,7.7,18.1,32.15
Madhya Pradesh,1979,34.4,40.3,5.5,0.3,10.25,104.5,219.75,243.35,49.7,6.05,79.5,2.15
Madhya Pradesh,1980,4.95,2.35,2.25,0.4,1.1,252.25,279.4,431.2,112.6,2.9,1.05,31.1
Madhya Pradesh,1981,8.95,0.75,17.2,1.1,12.75,135.05,303.8,283.7,158.15,12.3,12.3,17.1
Madhya Pradesh,1982,65.4,9.05,6.45,2.2,14.85,79.3,259.45,486.05,124.95,24.9,41.1,1.95
Madhya Pradesh,1983,7.65,6.5,0.15,10.8,12.1,93.2,294.55,342.1,343.95,60.05,0.0,2.6
Madhya Pradesh,1984,34.45,21.85,0.0,1.75,1.0,77.45,183.65,563.15,87.15,13.65,0.0,1.0
Madhya Pradesh,1985,22.4,3.1,0.25,5.0,3.7,75.15,304.9,317.3,135.7,127.5,0.0,0.0
Madhya Pradesh,1986,10.6,69.75,11.15,0.8,8.45,158.3,393.9,240.25,57.95,10.25,0.6,21.15
Madhya Pradesh,1987,31.7,29.05,4.3,0.05,7.65,59.75,196.4,334.95,196.0,68.25,12.5,9.45
Madhya Pradesh,1988,5.3,9.1,3.4,5.35,4.4,167.55,338.65,308.5,127.0,39.7,0.2,1.15
Madhya Pradesh,1989,1.35,0.1,13.95,0.1,3.15,160.05,174.1,364.2,106.75,1.0,0.75,14.2
Madhya Pradesh,1990,0.75,20.2,1.75,1.55,30.7,238.2,299.85,334.95,294.8,30.25,1.4,7.55
Madhya Pradesh,1991,1.8,5.7,8.7,3.35,1.95,97.5,332.0,375.15,46.2,2.55,3.35,2.85
Madhya Pradesh,1992,0.05,0.1,0.3,0.25,6.45,44.7,253.6,390.05,170.75,35.3,1.15,0.0
Madhya Pradesh,1993,0.0,8.6,11.5,0.8,4.2,109.55,295.3,262.5,358.2,21.9,0.7,2.05
Madhya Pradesh,1994,12.1,8.05,0.1,7.7,1.15,242.9,451.55,448.95,168.85,13.7,1.65,0.0
Madhya Pradesh,1995,19.4,4.85,31.3,2.3,1.7,74.1,341.05,303.7,146.15,12.4,1.05,10.45
Madhya Pradesh,1996,24.7,10.3,2.85,1.15,1.15,57.9,375.45,367.9,141.85,52.3,0.55,0.0
Madhya Pradesh,1997,3.5,0.0,0.65,5.7,2.5,92.4,397.5,346.85,147.6,48.85,63.9,98.25
Madhya Pradesh,1998,16.1,3.15,16.5,3.55,1.75,88.65,288.1,265.85,236.85,29.75,19.9,0.0
Madhya Pradesh,1999,1.2,26.1,0.0,0.0,4.65,124.75,310.15,271.95,426.75,82.6,0.15,0.0
Madhya Pradesh,2000,0.1,0.0,0.1,0.1,18.75,130.45,349.1,172.2,71.5,1.5,0.0,0.1
Madhya Pradesh,2001,2.2,0.4,1.75,14.5,14.4,229.55,368.8,221.4,38.95,86.1,0.5,0.0
Madhya Pradesh,2002,1.1,24.65,1.35,0.95,4.55,116.2,65.8,404.75,166.55,24.5,5.75,1.0
Madhya Pradesh,2003,0.9,40.35,1.15,1.0,0.35,124.3,337.15,299.1,374.1,10.7,0.35,2.7
Madhya Pradesh,2004,18.3,0.2,0.0,1.05,4.35,145.9,210.55,395.5,87.8,34.45,3.15,0.4
Madhya Pradesh,2005,24.45,6.85,19.85,4.75,21.8,122.55,471.45,193.55,176.75,14.45,0.0,2.9
Madhya Pradesh,2006,0.0,0.0,47.3,8.75,20.4,65.4,336.4,415.1,136.1,13.35,10.45,3.0
Madhya Pradesh,2007,4.35,18.9,5.6,1.75,10.4,87.35,256.7,191.6,134.2,1.55,16.65,1.05
Madhya Pradesh,2008,0.9,2.05,5.7,2.5,4.55,250.9,245.0,238.0,127.9,14.2,5.25,0.2
Madhya Pradesh,2009,10.15,0.5,0.95,2.0,5.1,46.05,318.95,182.0,174.15,79.4,72.15,19.05
Madhya Pradesh,2010,2.55,7.9,0.45,0.4,1.05,60.3,310.9,281.7,174.75,18.6,7.75,2.05
Madhya Pradesh,2011,0.3,1.8,0.2,4.45,4.15,287.0,315.15,335.1,220.75,0.65,0.0,0.0
Madhya Pradesh,2012,22.8,0.35,0.3,1.0,2.15,58.0,419.05,346.45,183.45,7.4,1.9,1.35
Madhya Pradesh,2013,1.85,37.25,11.3,6.15,0.35,287.8,470.65,456.7,88.45,96.45,0.4,1.7
Madhya Pradesh,2014,28.85,42.05,11.2,3.25,1.95,61.2,310.4,221.4,166.1,31.7,2.45,14.35
