Date,Temperature,State
1961-01-01 00:00:00,17.88,Madhya Pradesh
1961-02-01 00:00:00,18.72,Madhya Pradesh
1961-03-01 00:00:00,26.57,Madhya Pradesh
1961-04-01 00:00:00,30.58,Madhya Pradesh
1961-05-01 00:00:00,33.93,Madhya Pradesh
1961-06-01 00:00:00,31.46,Madhya Pradesh
1961-07-01 00:00:00,27.47,Madhya Pradesh
1961-08-01 00:00:00,26.89,Madhya Pradesh
1961-09-01 00:00:00,26.14,Madhya Pradesh
1961-10-01 00:00:00,24.52,Madhya Pradesh
1961-11-01 00:00:00,20.72,Madhya Pradesh
1961-12-01 00:00:00,15.8,Madhya Pradesh
1962-01-01 00:00:00,16.0,Madhya Pradesh
1962-02-01 00:00:00,20.29,Madhya Pradesh
1962-03-01 00:00:00,25.02,Madhya Pradesh
1962-04-01 00:00:00,30.37,Madhya Pradesh
1962-05-01 00:00:00,33.7,Madhya Pradesh
1962-06-01 00:00:00,32.39,Madhya Pradesh
1962-07-01 00:00:00,28.18,Madhya Pradesh
1962-08-01 00:00:00,26.84,Madhya Pradesh
1962-09-01 00:00:00,26.42,Madhya Pradesh
1962-10-01 00:00:00,24.23,Madhya Pradesh
1962-11-01 00:00:00,21.26,Madhya Pradesh
1962-12-01 00:00:00,18.12,Madhya Pradesh
1963-01-01 00:00:00,16.71,Madhya Pradesh
1963-02-01 00:00:00,21.53,Madhya Pradesh
1963-03-01 00:00:00,25.07,Madhya Pradesh
1963-04-01 00:00:00,29.47,Madhya Pradesh
1963-05-01 00:00:00,32.87,Madhya Pradesh
1963-06-01 00:00:00,31.29,Madhya Pradesh
1963-07-01 00:00:00,28.05,Madhya Pradesh
1963-08-01 00:00:00,26.37,Madhya Pradesh
1963-09-01 00:00:00,26.68,Madhya Pradesh
1963-10-01 00:00:00,25.79,Madhya Pradesh
1963-11-01 00:00:00,22.86,Madhya Pradesh
1963-12-01 00:00:00,18.15,Madhya Pradesh
1964-01-01 00:00:00,16.98,Madhya Pradesh
1964-02-01 00:00:00,20.65,Madhya Pradesh
1964-03-01 00:00:00,26.99,Madhya Pradesh
1964-04-01 00:00:00,31.71,Madhya Pradesh
1964-05-01 00:00:00,33.06,Madhya Pradesh
1964-06-01 00:00:00,31.7,Madhya Pradesh
1964-07-01 00:00:00,27.27,Madhya Pradesh
1964-08-01 00:00:00,26.48,Madhya Pradesh
1964-09-01 00:00:00,26.75,Madhya Pradesh
1964-10-01 00:00:00,25.84,Madhya Pradesh
1964-11-01 00:00:00,20.68,Madhya Pradesh
1964-12-01 00:00:00,18.06,Madhya Pradesh
1965-01-01 00:00:00,18.79,Madhya Pradesh
