UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,22.029737,74.580414,169.521,0,0,0,No Data,No Data
1179727257,2007-05-21T06:00:57Z,22.030396,74.581761,165.259,0.1571982,0,0,No Data,No Data
1179727364,2007-05-21T06:02:44Z,22.032335,74.583762,174.796,0.4559726,0,0,No Data,No Data
1179727491,2007-05-21T06:04:51Z,22.034908,74.585750,167.616,0.8083851,0,0,No Data,No Data
1179727599,2007-05-21T06:06:39Z,22.036846,74.587751,258.163,1.107103,0,0,No Data,No Data
1179727892,2007-05-21T06:11:32Z,22.042733,74.592436,331.309,1.921644,0,0,No Data,No Data
1179728034,2007-05-21T06:13:54Z,22.045294,74.595090,351.801,2.317089,0,0,No Data,No Data
1179728090,2007-05-21T06:14:50Z,22.046554,74.595735,366.962,2.472449,0,0,No Data,No Data
1179728232,2007-05-21T06:17:12Z,22.049122,74.598394,271.726,2.868773,0,0,No Data,No Data
1179728394,2007-05-21T06:19:54Z,22.051716,74.601737,297.989,3.318764,0,0,No Data,No Data
1179728430,2007-05-21T06:20:30Z,22.052362,74.602403,274.382,3.41834,0,0,No Data,No Data
1179728628,2007-05-21T06:23:48Z,22.055604,74.606412,354.965,3.967412,0,0,No Data,No Data
1179728719,2007-05-21T06:25:19Z,22.056907,74.608422,421.302,4.220575,0,0,No Data,No Data
1179728846,2007-05-21T06:27:26Z,22.058877,74.611104,432.432,4.57376,0,0,No Data,No Data
1179729016,2007-05-21T06:30:16Z,22.060863,74.615137,432.827,5.045052,0,0,No Data,No Data
1179729162,2007-05-21T06:32:42Z,22.062779,74.618482,362.157,5.450814,0,0,No Data,No Data
1179729387,2007-05-21T06:36:27Z,22.065368,74.623857,323.858,6.075858,0,0,No Data,No Data
1179729556,2007-05-21T06:39:16Z,22.067326,74.627892,283.088,6.545815,0,0,No Data,No Data
1179729692,2007-05-21T06:41:32Z,22.068651,74.631262,223.606,6.923528,0,0,No Data,No Data
1179729821,2007-05-21T06:43:41Z,22.069348,74.634646,216.165,7.281229,0,0,No Data,No Data
1179730013,2007-05-21T06:46:53Z,22.071319,74.639364,196.982,7.815281,0,0,No Data,No Data
1179730089,2007-05-21T06:48:09Z,22.071356,74.641405,205.758,8.025915,0,0,No Data,No Data
1179730190,2007-05-21T06:49:50Z,22.071407,74.644125,187.153,8.306622,0,0,No Data,No Data
1179730326,2007-05-21T06:52:06Z,22.072729,74.647498,182.361,8.684527,0,0,No Data,No Data
1179730503,2007-05-21T06:55:03Z,22.072801,74.652270,187.649,9.176934,0,0,No Data,No Data
1179730782,2007-05-21T06:59:42Z,22.072928,74.659765,164.477,9.95042,0,0,No Data,No Data
1179731035,2007-05-21T07:03:55Z,22.073054,74.666575,154.358,10.6532,0,0,No Data,No Data
1179731212,2007-05-21T07:06:52Z,22.073139,74.671346,152.138,11.14552,0,0,No Data,No Data
1179731389,2007-05-21T07:09:49Z,22.073226,74.676115,154.025,11.63771,0,0,No Data,No Data
1179731516,2007-05-21T07:11:56Z,22.073292,74.679519,150.541,11.98898,0,0,No Data,No Data
1179731617,2007-05-21T07:13:37Z,22.073344,74.682241,154.676,12.26993,0,0,No Data,No Data
1179731769,2007-05-21T07:16:09Z,22.073423,74.686325,160.302,12.69141,0,0,No Data,No Data
1179731920,2007-05-21T07:18:40Z,22.073501,74.690409,153.128,13.11285,0,0,No Data,No Data
1179732068,2007-05-21T07:21:08Z,22.075461,74.693766,167.17,13.52229,0,0,No Data,No Data
1179732261,2007-05-21T07:24:21Z,22.077441,74.698495,159.709,14.0577,0,0,No Data,No Data
1179732317,2007-05-21T07:25:17Z,22.078097,74.699844,165.421,14.21492,0,0,No Data,No Data
1179732430,2007-05-21T07:27:10Z,22.079409,74.702542,160.4,14.52932,0,0,No Data,No Data
1179732628,2007-05-21T07:30:28Z,22.082640,74.706559,163.431,15.07817,0,0,No Data,No Data
1179732846,2007-05-21T07:34:06Z,22.085884,74.711258,186.746,15.68276,0,0,No Data,No Data
1179732993,2007-05-21T07:36:33Z,22.087840,74.714622,169.145,16.09257,0,0,No Data,No Data
1179733098,2007-05-21T07:38:18Z,22.088523,74.717333,181.309,16.38244,0,0,No Data,No Data
1179733301,2007-05-21T07:41:41Z,22.091139,74.722035,180.979,16.94823,0,0,No Data,No Data
1179733437,2007-05-21T07:43:57Z,22.092466,74.725406,196.42,17.32612,0,0,No Data,No Data
1179733597,2007-05-21T07:46:37Z,22.093805,74.729459,205.0,17.7701,0,0,No Data,No Data
1179733744,2007-05-21T07:49:04Z,22.095761,74.732824,201.963,18.17992,0,0,No Data,No Data
1179733999,2007-05-21T07:53:19Z,22.096516,74.739637,194.157,18.88781,0,0,No Data,No Data
1179734202,2007-05-21T07:56:42Z,22.096615,74.745104,179.096,19.45188,0,0,No Data,No Data
1179734436,2007-05-21T08:00:36Z,22.097990,74.751205,167.814,20.09961,0,0,No Data,No Data
1179734562,2007-05-21T08:02:42Z,22.098056,74.754602,160.239,20.45016,0,0,No Data,No Data
1179734742,2007-05-21T08:05:42Z,22.098773,74.759377,153.219,20.94921,0,0,No Data,No Data
1179734945,2007-05-21T08:09:05Z,22.098871,74.764847,147.179,21.51363,0,0,No Data,No Data
1179735173,2007-05-21T08:12:53Z,22.098983,74.770998,138.485,22.14828,0,0,No Data,No Data
1179735376,2007-05-21T08:16:16Z,22.099082,74.776460,135.527,22.71187,0,0,No Data,No Data
1179735503,2007-05-21T08:18:23Z,22.099145,74.779875,135.952,23.06421,0,0,No Data,No Data
