UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,17.632623,74.161713,620.76,0,0,0,No Data,No Data
1179727223,2007-05-21T06:00:23Z,17.632132,74.162054,621.26,0.0654619,0,0,No Data,No Data
1179727263,2007-05-21T06:01:03Z,17.631147,74.162219,621.413,0.1764195,0,0,No Data,No Data
1179727297,2007-05-21T06:01:37Z,17.630327,74.162385,622.303,0.2693753,0,0,No Data,No Data
1179727336,2007-05-21T06:02:16Z,17.629344,74.162380,619.76,0.378786,0,0,No Data,No Data
1179727382,2007-05-21T06:03:02Z,17.628197,74.162374,621.463,0.5063741,0,0,No Data,No Data
1179727467,2007-05-21T06:04:27Z,17.626072,74.162192,621.468,0.7436893,0,0,No Data,No Data
1179727514,2007-05-21T06:05:14Z,17.624931,74.162018,616.883,0.8719883,0,0,No Data,No Data
1179727537,2007-05-21T06:05:37Z,17.624443,74.161676,616.324,0.9372605,0,0,No Data,No Data
1179727577,2007-05-21T06:06:17Z,17.623465,74.161673,615.164,1.046075,0,0,No Data,No Data
1179727602,2007-05-21T06:06:42Z,17.622814,74.161672,614.998,1.118508,0,0,No Data,No Data
1179727676,2007-05-21T06:07:56Z,17.621017,74.162003,619.111,1.321556,0,0,No Data,No Data
1179727731,2007-05-21T06:08:51Z,17.619713,74.162508,613.639,1.476289,0,0,No Data,No Data
1179727772,2007-05-21T06:09:32Z,17.618735,74.162844,614.349,1.590844,0,0,No Data,No Data
1179727843,2007-05-21T06:10:43Z,17.617268,74.163858,616.97,1.786402,0,0,No Data,No Data
1179727880,2007-05-21T06:11:20Z,17.616616,74.164535,615.973,1.888516,0,0,No Data,No Data
1179727912,2007-05-21T06:11:52Z,17.615964,74.165041,615.2,1.978783,0,0,No Data,No Data
1179727945,2007-05-21T06:12:25Z,17.615313,74.165548,615.232,2.069007,0,0,No Data,No Data
