UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,17.647418,74.130597,617.024,0,0,0,No Data,No Data
1179727259,2007-05-21T06:00:59Z,17.646140,74.131355,628.34,0.1633646,0,0,No Data,No Data
1179727295,2007-05-21T06:01:35Z,17.645593,74.132115,631.288,0.2644253,0,0,No Data,No Data
1179727321,2007-05-21T06:02:01Z,17.645228,74.132685,632.232,0.3373088,0,0,No Data,No Data
1179727377,2007-05-21T06:02:57Z,17.644680,74.134016,633.303,0.4911511,0,0,No Data,No Data
1179727419,2007-05-21T06:03:39Z,17.644133,74.134966,633.846,0.6089193,0,0,No Data,No Data
1179727470,2007-05-21T06:04:30Z,17.643951,74.136299,631.886,0.7518014,0,0,No Data,No Data
1179727514,2007-05-21T06:05:14Z,17.643952,74.137442,631.548,0.8731542,0,0,No Data,No Data
1179727565,2007-05-21T06:06:05Z,17.643953,74.138777,629.522,1.01481,0,0,No Data,No Data
1179727609,2007-05-21T06:06:49Z,17.643953,74.139921,627.769,1.136195,0,0,No Data,No Data
1179727667,2007-05-21T06:07:47Z,17.643951,74.141443,629.5,1.297681,0,0,No Data,No Data
1179727682,2007-05-21T06:08:02Z,17.643950,74.141823,630.11,1.338059,0,0,No Data,No Data
1179727725,2007-05-21T06:08:45Z,17.643948,74.142964,630.593,1.459204,0,0,No Data,No Data
1179727784,2007-05-21T06:09:44Z,17.643765,74.144486,629.134,1.622035,0,0,No Data,No Data
1179727846,2007-05-21T06:10:46Z,17.643220,74.146009,628.392,1.794672,0,0,No Data,No Data
1179727888,2007-05-21T06:11:28Z,17.642675,74.146960,627.585,1.912432,0,0,No Data,No Data
1179727944,2007-05-21T06:12:24Z,17.642131,74.148293,627.021,2.066307,0,0,No Data,No Data
1179727997,2007-05-21T06:13:17Z,17.641768,74.149626,623.654,2.213466,0,0,No Data,No Data
1179728073,2007-05-21T06:14:33Z,17.641223,74.151531,620.416,2.424538,0,0,No Data,No Data
1179728117,2007-05-21T06:15:17Z,17.641041,74.152672,621.145,2.54737,0,0,No Data,No Data
1179728184,2007-05-21T06:16:24Z,17.640675,74.154382,616.531,2.733343,0,0,No Data,No Data
1179728221,2007-05-21T06:17:01Z,17.640491,74.155329,617.624,2.835978,0,0,No Data,No Data
1179728279,2007-05-21T06:17:59Z,17.640305,74.156846,624.504,2.998304,0,0,No Data,No Data
1179728355,2007-05-21T06:19:15Z,17.639756,74.158740,622.873,3.208366,0,0,No Data,No Data
1179728446,2007-05-21T06:20:46Z,17.639026,74.161014,624.649,3.462968,0,0,No Data,No Data
1179728483,2007-05-21T06:21:23Z,17.638843,74.161962,616.797,3.565638,0,0,No Data,No Data
1179728538,2007-05-21T06:22:18Z,17.638297,74.163287,619.507,3.718831,0,0,No Data,No Data
1179728581,2007-05-21T06:23:01Z,17.637750,74.164232,616.686,3.836089,0,0,No Data,No Data
1179728620,2007-05-21T06:23:40Z,17.637386,74.165178,620.068,3.944314,0,0,No Data,No Data
1179728672,2007-05-21T06:24:32Z,17.637022,74.166504,621.56,4.090774,0,0,No Data,No Data
1179728709,2007-05-21T06:25:09Z,17.636476,74.167259,625.456,4.191303,0,0,No Data,No Data
1179728751,2007-05-21T06:25:51Z,17.635932,74.168206,628.357,4.308617,0,0,No Data,No Data
1179728802,2007-05-21T06:26:42Z,17.635023,74.169143,630.918,4.450523,0,0,No Data,No Data
1179728851,2007-05-21T06:27:31Z,17.633934,74.169703,630.612,4.585494,0,0,No Data,No Data
1179728896,2007-05-21T06:28:16Z,17.632845,74.170068,629.932,4.71269,0,0,No Data,No Data
1179728951,2007-05-21T06:29:11Z,17.631576,74.170623,627.883,4.865693,0,0,No Data,No Data
1179729027,2007-05-21T06:30:27Z,17.629765,74.171174,627.687,5.075563,0,0,No Data,No Data
1179729071,2007-05-21T06:31:11Z,17.628679,74.171352,629.052,5.197888,0,0,No Data,No Data
1179729129,2007-05-21T06:32:09Z,17.627232,74.171338,628.657,5.358937,0,0,No Data,No Data
1179729165,2007-05-21T06:32:45Z,17.626328,74.171329,628.379,5.459536,0,0,No Data,No Data
1179729202,2007-05-21T06:33:22Z,17.625424,74.171320,626.679,5.560109,0,0,No Data,No Data
1179729238,2007-05-21T06:33:58Z,17.624521,74.171311,626.063,5.660624,0,0,No Data,No Data
1179729259,2007-05-21T06:34:19Z,17.623979,74.171306,625.872,5.720941,0,0,No Data,No Data
1179729317,2007-05-21T06:35:17Z,17.622534,74.171292,623.63,5.88175,0,0,No Data,No Data
1179729354,2007-05-21T06:35:54Z,17.621632,74.171282,622.973,5.982169,0,0,No Data,No Data
1179729375,2007-05-21T06:36:15Z,17.621090,74.171275,621.313,6.042437,0,0,No Data,No Data
1179729418,2007-05-21T06:36:58Z,17.620008,74.171261,619.553,6.162859,0,0,No Data,No Data
1179729440,2007-05-21T06:37:20Z,17.619467,74.171254,619.179,6.22304,0,0,No Data,No Data
1179729469,2007-05-21T06:37:49Z,17.618746,74.171245,620.269,6.303267,0,0,No Data,No Data
1179729491,2007-05-21T06:38:11Z,17.618205,74.171238,621.894,6.36341,0,0,No Data,No Data
1179729535,2007-05-21T06:38:55Z,17.617125,74.171035,623.891,6.485536,0,0,No Data,No Data
1179729586,2007-05-21T06:39:46Z,17.615864,74.170830,623.031,6.627486,0,0,No Data,No Data
1179729608,2007-05-21T06:40:08Z,17.615325,74.170634,622.669,6.690954,0,0,No Data,No Data
1179729645,2007-05-21T06:40:45Z,17.614425,74.170623,624.127,6.791089,0,0,No Data,No Data
1179729704,2007-05-21T06:41:44Z,17.612987,74.170227,624.017,6.956559,0,0,No Data,No Data
1179729740,2007-05-21T06:42:20Z,17.612088,74.170216,624.741,7.056583,0,0,No Data,No Data
1179729786,2007-05-21T06:43:06Z,17.611011,74.169821,625.168,7.183495,0,0,No Data,No Data
1179729809,2007-05-21T06:43:29Z,17.610473,74.169626,626.102,7.246827,0,0,No Data,No Data
1179729852,2007-05-21T06:44:12Z,17.609396,74.169423,627.53,7.36857,0,0,No Data,No Data
1179729881,2007-05-21T06:44:41Z,17.608679,74.169413,626.249,7.448366,0,0,No Data,No Data
1179729925,2007-05-21T06:45:25Z,17.607603,74.169211,625.053,7.570005,0,0,No Data,No Data
1179729962,2007-05-21T06:46:02Z,17.606707,74.169011,626.548,7.671944,0,0,No Data,No Data
1179729998,2007-05-21T06:46:38Z,17.605811,74.168811,625.626,7.773849,0,0,No Data,No Data
1179730028,2007-05-21T06:47:08Z,17.605095,74.168614,627.108,7.856222,0,0,No Data,No Data
1179730057,2007-05-21T06:47:37Z,17.604379,74.168604,627.828,7.935898,0,0,No Data,No Data
1179730101,2007-05-21T06:48:21Z,17.603305,74.168402,631.807,8.057264,0,0,No Data,No Data
1179730153,2007-05-21T06:49:13Z,17.602054,74.168009,631.208,8.202605,0,0,No Data,No Data
1179730230,2007-05-21T06:50:30Z,17.600267,74.167234,632.681,8.417851,0,0,No Data,No Data
1179730281,2007-05-21T06:51:21Z,17.599015,74.167034,633.617,8.558825,0,0,No Data,No Data
1179730420,2007-05-21T06:53:40Z,17.595797,74.165688,630.723,8.944393,0,0,No Data,No Data
1179730458,2007-05-21T06:54:18Z,17.594904,74.165304,630.191,9.051736,0,0,No Data,No Data
1179730497,2007-05-21T06:54:57Z,17.594012,74.164920,626.696,9.159059,0,0,No Data,No Data
1179730602,2007-05-21T06:56:42Z,17.591514,74.164146,623.495,9.449032,0,0,No Data,No Data
1179730676,2007-05-21T06:57:56Z,17.589732,74.163564,622.323,9.656755,0,0,No Data,No Data
1179730742,2007-05-21T06:59:02Z,17.588132,74.163170,621.288,9.839696,0,0,No Data,No Data
1179730787,2007-05-21T06:59:47Z,17.587066,74.162782,623.036,9.965266,0,0,No Data,No Data
1179730830,2007-05-21T07:00:30Z,17.586001,74.162769,623.648,10.0838,0,0,No Data,No Data
1179730859,2007-05-21T07:00:59Z,17.585289,74.162575,623.953,10.16559,0,0,No Data,No Data
1179730888,2007-05-21T07:01:28Z,17.584578,74.162569,625.767,10.24469,0,0,No Data,No Data
1179730923,2007-05-21T07:02:03Z,17.583689,74.162561,626.046,10.3436,0,0,No Data,No Data
1179730966,2007-05-21T07:02:46Z,17.582623,74.162552,623.324,10.46224,0,0,No Data,No Data
1179730995,2007-05-21T07:03:15Z,17.581912,74.162546,622.217,10.54131,0,0,No Data,No Data
1179731024,2007-05-21T07:03:44Z,17.581202,74.162727,620.745,10.62261,0,0,No Data,No Data
1179731101,2007-05-21T07:05:01Z,17.579419,74.163470,620.149,10.83622,0,0,No Data,No Data
1179731162,2007-05-21T07:06:02Z,17.578172,74.164402,619.603,11.00669,0,0,No Data,No Data
1179731231,2007-05-21T07:07:11Z,17.576591,74.165123,624.225,11.19858,0,0,No Data,No Data
1179731295,2007-05-21T07:08:15Z,17.575174,74.165859,625.0,11.37457,0,0,No Data,No Data
1179731324,2007-05-21T07:08:44Z,17.574465,74.166040,624.519,11.45574,0,0,No Data,No Data
1179731365,2007-05-21T07:09:25Z,17.573579,74.166595,624.21,11.57054,0,0,No Data,No Data
1179731397,2007-05-21T07:09:57Z,17.572871,74.166963,623.248,11.65848,0,0,No Data,No Data
1179731464,2007-05-21T07:11:04Z,17.571455,74.167887,622.173,11.84414,0,0,No Data,No Data
1179731500,2007-05-21T07:11:40Z,17.570570,74.168066,619.219,11.94446,0,0,No Data,No Data
1179731672,2007-05-21T07:14:32Z,17.566516,74.169593,619.668,12.42397,0,0,No Data,No Data
1179731756,2007-05-21T07:15:56Z,17.564575,74.170386,621.292,12.65584,0,0,No Data,No Data
1179731787,2007-05-21T07:16:27Z,17.563799,74.170376,622.065,12.74216,0,0,No Data,No Data
1179731849,2007-05-21T07:17:29Z,17.562248,74.170355,621.243,12.91476,0,0,No Data,No Data
1179731929,2007-05-21T07:18:49Z,17.560311,74.169920,620.869,13.13524,0,0,No Data,No Data
1179732007,2007-05-21T07:20:07Z,17.558375,74.169690,623.307,13.35207,0,0,No Data,No Data
1179732088,2007-05-21T07:21:28Z,17.556441,74.169052,622.091,13.57775,0,0,No Data,No Data
1179732172,2007-05-21T07:22:52Z,17.554505,74.168212,619.407,13.81087,0,0,No Data,No Data
1179732236,2007-05-21T07:23:56Z,17.552958,74.167786,613.009,13.98881,0,0,No Data,No Data
1179732288,2007-05-21T07:24:48Z,17.551799,74.167161,615.451,14.13387,0,0,No Data,No Data
1179732334,2007-05-21T07:25:34Z,17.550832,74.166537,612.999,14.26012,0,0,No Data,No Data
1179732372,2007-05-21T07:26:12Z,17.550059,74.165918,611.142,14.36836,0,0,No Data,No Data
1179732418,2007-05-21T07:26:58Z,17.549476,74.164894,612.257,14.49489,0,0,No Data,No Data
1179732451,2007-05-21T07:27:31Z,17.548897,74.164275,613.233,14.58686,0,0,No Data,No Data
1179732486,2007-05-21T07:28:06Z,17.548512,74.163453,615.026,14.68403,0,0,No Data,No Data
1179732525,2007-05-21T07:28:45Z,17.547928,74.162635,613.031,14.79242,0,0,No Data,No Data
1179732571,2007-05-21T07:29:31Z,17.547350,74.161607,609.456,14.919,0,0,No Data,No Data
